snapshot_t,lookbacktime,Rcenters,nparticles,amp1,amp2,phase1,phase2
533.2399470828391,533.2399470828391,533.2399470828391,533.2399470828391,533.2399470828391,533.2399470828391,533.2399470828391,533.2399470828391
539.0713770625848,539.0713770625848,539.0713770625848,539.0713770625848,539.0713770625848,539.0713770625848,539.0713770625848,539.0713770625848
559.8778837748204,559.8778837748204,559.8778837748204,559.8778837748204,559.8778837748204,559.8778837748204,559.8778837748204,559.8778837748204
570.4760732982832,570.4760732982832,570.4760732982832,570.4760732982832,570.4760732982832,570.4760732982832,570.4760732982832,570.4760732982832
570.9147549417012,570.9147549417012,570.9147549417012,570.9147549417012,570.9147549417012,570.9147549417012,570.9147549417012,570.9147549417012
589.5848357637961,589.5848357637961,589.5848357637961,589.5848357637961,589.5848357637961,589.5848357637961,589.5848357637961,589.5848357637961
607.5820329493832,607.5820329493832,607.5820329493832,607.5820329493832,607.5820329493832,607.5820329493832,607.5820329493832,607.5820329493832
608.1690536117472,608.1690536117472,608.1690536117472,608.1690536117472,608.1690536117472,608.1690536117472,608.1690536117472,608.1690536117472
625.0681698981299,625.0681698981299,625.0681698981299,625.0681698981299,625.0681698981299,625.0681698981299,625.0681698981299,625.0681698981299
633.8009738670754,633.8009738670754,633.8009738670754,633.8009738670754,633.8009738670754,633.8009738670754,633.8009738670754,633.8009738670754
637.699454427444,637.699454427444,637.699454427444,637.699454427444,637.699454427444,637.699454427444,637.699454427444,637.699454427444
651.1875857607732,651.1875857607732,651.1875857607732,651.1875857607732,651.1875857607732,651.1875857607732,651.1875857607732,651.1875857607732
661.4048548504853,661.4048548504853,661.4048548504853,661.4048548504853,661.4048548504853,661.4048548504853,661.4048548504853,661.4048548504853
669.4631036430359,669.4631036430359,669.4631036430359,669.4631036430359,669.4631036430359,669.4631036430359,669.4631036430359,669.4631036430359
700.6645851018194,700.6645851018194,700.6645851018194,700.6645851018194,700.6645851018194,700.6645851018194,700.6645851018194,700.6645851018194
675.2537366538531,675.2537366538531,675.2537366538531,675.2537366538531,675.2537366538531,675.2537366538531,675.2537366538531,675.2537366538531
719.7337456712851,719.7337456712851,719.7337456712851,719.7337456712851,719.7337456712851,719.7337456712851,719.7337456712851,719.7337456712851
709.4270351363435,709.4270351363435,709.4270351363435,709.4270351363435,709.4270351363435,709.4270351363435,709.4270351363435,709.4270351363435
728.6896875876024,728.6896875876024,728.6896875876024,728.6896875876024,728.6896875876024,728.6896875876024,728.6896875876024,728.6896875876024
