snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,amp5
602.0,6.2968197,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.2968197,1.5,69207.0,94559.516,560326.94,21491.186,252253.16,67037.31,120205.95
602.0,6.2968197,2.5,70446.0,113873.32,164260.58,26883.38,112229.19,37086.805,55432.242
602.0,6.2968197,3.5,76405.0,1063.2357,371879.22,47613.92,92054.32,41770.34,32572.062
602.0,6.2968197,4.5,89457.0,47903.66,765815.44,91749.945,64535.14,17133.463,53095.996
602.0,6.2968197,5.5,117161.0,1345.2039,1088080.0,121720.336,71051.09,23176.82,40303.16
602.0,6.2968197,6.5,119565.0,84634.09,1068024.2,171660.67,61165.145,80503.17,27403.18
602.0,6.2968197,7.5,116280.0,142946.9,1001522.3,130041.89,99870.18,51378.656,12860.7705
602.0,6.2968197,8.5,121341.0,20407.188,897440.44,44781.06,100290.6,68820.695,66083.05
602.0,6.2968197,9.5,113970.0,18377.955,513138.66,244443.06,154650.95,86859.61,166563.98
602.0,6.2968197,10.5,110907.0,151903.66,203917.89,172125.05,258139.0,114573.9,100775.86
602.0,6.2968197,11.5,107237.0,55034.137,525647.6,162113.2,65758.5,32424.46,96242.336
602.0,6.2968197,12.5,102469.0,72644.125,543940.56,183290.11,307420.8,120037.32,22800.805
602.0,6.2968197,13.5,87594.0,5105.485,745522.4,287946.28,149335.75,88903.63,136093.31
602.0,6.2968197,14.5,72469.0,47197.023,697593.6,329177.94,41204.008,54709.387,124738.82
602.0,6.2968197,15.5,62842.0,131340.66,755662.06,362722.38,131034.95,163109.75,146843.36
602.0,6.2968197,16.5,51773.0,133076.94,858993.5,487862.8,196075.56,80099.945,226016.22
602.0,6.2968197,17.5,37767.0,148399.06,626417.7,287174.2,32789.316,46249.496,85582.8
602.0,6.2968197,18.5,26977.0,181344.95,513351.8,131235.23,82106.086,22014.701,70899.875
602.0,6.2968197,19.5,20407.0,256852.17,567228.94,310298.7,135575.27,57794.64,154811.73
602.0,6.2968197,20.5,14946.0,255526.3,525088.9,369078.0,244772.27,121750.43,94263.78
602.0,6.2968197,21.5,11350.0,230696.97,450529.94,353405.34,264190.0,183709.48,131989.03
604.0,6.2570214,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604.0,6.2570214,1.5,69253.0,129594.6,542370.0,5993.193,254947.5,53733.074,51214.137
604.0,6.2570214,2.5,70284.0,97784.76,124406.484,12854.921,161339.58,61584.35,9627.873
604.0,6.2570214,3.5,76109.0,72374.0,387967.44,89757.805,101151.35,26910.725,76147.67
604.0,6.2570214,4.5,90571.0,33230.742,652196.8,89973.13,26866.146,88404.45,20877.621
604.0,6.2570214,5.5,115163.0,83941.195,1024815.3,53283.395,82951.88,50432.43,64877.254
604.0,6.2570214,6.5,124641.0,66002.12,1012055.44,134031.58,115278.734,67301.56,41754.934
604.0,6.2570214,7.5,118689.0,82573.55,922092.3,248824.23,170474.39,38672.043,44837.74
604.0,6.2570214,8.5,122317.0,62739.387,868304.06,134948.55,70971.92,34696.36,88273.9
604.0,6.2570214,9.5,113713.0,92674.36,558395.4,185224.56,101932.68,23734.264,70179.01
604.0,6.2570214,10.5,109651.0,65073.918,319743.5,197679.58,138170.92,173195.11,83580.875
604.0,6.2570214,11.5,102660.0,195968.67,262507.47,295819.97,144850.11,129479.336,76061.086
604.0,6.2570214,12.5,98244.0,98899.46,454154.06,142933.23,180231.12,10212.98,131534.75
604.0,6.2570214,13.5,89979.0,59625.49,527003.1,225772.6,268643.28,148632.8,135913.55
604.0,6.2570214,14.5,78339.0,44274.137,560928.0,87733.07,129272.17,213190.0,164094.84
604.0,6.2570214,15.5,63217.0,37315.395,545632.2,243216.56,89171.48,118692.06,131571.97
604.0,6.2570214,16.5,50789.0,98766.19,626754.6,305681.4,127099.61,131924.39,120733.625
604.0,6.2570214,17.5,39680.0,156145.12,595122.44,313523.7,54622.86,72815.9,75912.6
604.0,6.2570214,18.5,27999.0,196070.03,481819.06,233976.6,35920.562,106994.46,37324.016
604.0,6.2570214,19.5,18050.0,186542.55,383651.38,181311.92,40325.965,37785.86,94031.25
604.0,6.2570214,20.5,13682.0,193336.44,374546.16,221562.36,150065.97,95035.414,25946.963
604.0,6.2570214,21.5,10602.0,221182.58,417447.56,317160.44,241951.36,166185.56,116463.38
608.0,6.198067,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608.0,6.198067,1.5,70768.0,133371.3,706568.0,138341.22,173154.62,141107.27,35087.293
608.0,6.198067,2.5,71763.0,54409.656,10353.063,107839.164,168142.97,75317.75,40202.676
608.0,6.198067,3.5,75302.0,46800.895,493560.5,120799.47,169711.03,71605.88,21014.568
608.0,6.198067,4.5,96181.0,70790.04,855357.8,37332.938,56637.387,20699.193,70477.59
608.0,6.198067,5.5,119545.0,59918.45,992031.7,124048.055,140603.56,101391.44,74643.66
608.0,6.198067,6.5,118213.0,11217.097,739897.44,129694.99,87283.71,58804.35,80563.875
608.0,6.198067,7.5,116066.0,83767.984,824587.3,194369.9,49017.402,623.47614,34207.13
608.0,6.198067,8.5,116845.0,78758.94,797035.6,150847.81,59104.098,107730.88,75834.36
608.0,6.198067,9.5,115392.0,33404.953,421022.06,128280.44,147403.88,55636.363,47319.55
608.0,6.198067,10.5,113000.0,61675.75,248661.6,97833.17,167486.22,133351.88,164328.08
608.0,6.198067,11.5,104421.0,154935.69,476443.94,216175.52,64573.312,61170.06,179407.3
608.0,6.198067,12.5,90880.0,148517.44,477135.62,201433.42,119909.93,65976.05,124000.01
608.0,6.198067,13.5,84143.0,131730.94,585904.9,188083.61,89811.12,101136.414,163663.97
608.0,6.198067,14.5,80332.0,131088.06,668222.5,129648.21,137197.27,102888.81,14103.768
608.0,6.198067,15.5,65632.0,6549.4756,518648.28,101419.81,69719.3,162843.95,153586.45
608.0,6.198067,16.5,53680.0,54447.086,500388.1,91858.95,147499.72,128020.15,114548.14
608.0,6.198067,17.5,39628.0,105639.33,461615.94,89243.07,178518.34,34970.82,86017.42
608.0,6.198067,18.5,28280.0,182447.05,418936.62,115862.125,151100.31,111649.2,71836.67
608.0,6.198067,19.5,19395.0,171198.9,323700.8,85628.445,81675.766,87566.49,57342.496
608.0,6.198067,20.5,12442.0,115503.61,215963.7,105478.1,26342.264,70987.46,71688.9
608.0,6.198067,21.5,9153.0,127298.6,234989.19,161027.25,104304.836,87015.36,61948.453
610.0,6.1668267,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610.0,6.1668267,1.5,70093.0,252490.38,705784.8,38711.895,149640.58,51685.6,75332.28
610.0,6.1668267,2.5,71993.0,148046.36,5439.293,7188.9106,22530.924,40755.312,62254.613
610.0,6.1668267,3.5,73899.0,21271.068,449332.62,32374.203,55085.715,16466.016,14828.628
610.0,6.1668267,4.5,93052.0,45979.965,768734.9,38463.023,71488.445,101920.94,8385.125
610.0,6.1668267,5.5,120975.0,32502.277,1006750.06,118982.07,78848.09,22530.424,33389.633
610.0,6.1668267,6.5,122899.0,3574.565,972180.8,97198.93,120443.15,42240.656,81878.195
610.0,6.1668267,7.5,116248.0,30689.547,831505.1,144752.9,55894.82,156815.94,136984.34
610.0,6.1668267,8.5,116052.0,69981.68,777308.6,194083.62,193081.16,149475.75,90423.64
610.0,6.1668267,9.5,114772.0,378.2146,400923.03,222081.64,44003.56,110090.43,181040.98
610.0,6.1668267,10.5,113705.0,82820.51,167565.7,252148.2,70427.93,71634.77,167739.39
610.0,6.1668267,11.5,106781.0,114374.42,401727.53,171171.92,59979.3,60143.992,62262.008
610.0,6.1668267,12.5,91199.0,179957.69,574079.75,252998.77,164412.66,66577.125,140324.88
610.0,6.1668267,13.5,81012.0,191924.97,750580.8,283836.4,131104.6,49156.645,106836.25
610.0,6.1668267,14.5,78086.0,129502.484,767213.2,87898.48,48273.684,135312.33,99659.016
610.0,6.1668267,15.5,66431.0,73100.23,613574.75,65619.125,75363.945,72371.195,90742.24
610.0,6.1668267,16.5,52059.0,72234.3,568591.9,179826.89,189660.56,99806.37,109166.14
610.0,6.1668267,17.5,41387.0,89180.086,473669.3,106602.56,250210.89,35462.89,41324.273
610.0,6.1668267,18.5,30225.0,184027.19,460502.47,191310.2,181699.86,80614.08,5790.9653
610.0,6.1668267,19.5,19881.0,161217.16,344191.06,185339.39,134688.8,61152.656,27350.387
