snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,amp5
602.0,6.2968197,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.2968197,1.5,69207.0,1247.0516,1686.7205,789.973,766.88403,506.225,391.05624
602.0,6.2968197,2.5,70446.0,1180.3174,4706.778,1057.1968,1141.7242,714.62915,54.019978
602.0,6.2968197,3.5,76405.0,1417.9481,11679.041,743.07733,255.8485,595.9554,1184.1735
602.0,6.2968197,4.5,89457.0,850.6057,16910.822,1644.7959,1126.0392,263.3672,400.64072
602.0,6.2968197,5.5,117161.0,1003.87305,23549.996,449.0814,1586.3513,595.7654,1831.1619
602.0,6.2968197,6.5,119565.0,2835.1758,25597.78,3687.7764,2642.6917,1025.9064,1246.9434
602.0,6.2968197,7.5,116280.0,1286.5685,28316.566,3341.1501,4446.3,3155.7966,2117.4224
602.0,6.2968197,8.5,121341.0,135.47021,27870.143,1822.5804,3567.2737,2784.504,1519.2076
602.0,6.2968197,9.5,113970.0,1876.5599,21742.885,3135.3464,746.0844,771.784,1384.5876
602.0,6.2968197,10.5,110907.0,462.8758,2813.218,12602.614,3710.1008,6649.5986,3991.552
602.0,6.2968197,11.5,107237.0,1844.101,21140.807,7730.2534,12363.909,4580.8413,8771.412
602.0,6.2968197,12.5,102469.0,4242.183,28322.541,8919.089,11255.82,1841.6132,5955.8237
602.0,6.2968197,13.5,87594.0,4955.874,33119.74,23109.38,12580.436,6062.4956,7000.4663
602.0,6.2968197,14.5,72469.0,11929.875,33838.5,23961.23,3342.449,4020.2695,1474.4255
602.0,6.2968197,15.5,62842.0,11053.286,43818.406,22637.508,5620.6475,1966.7949,3348.879
602.0,6.2968197,16.5,51773.0,2053.5168,46949.785,15237.792,1857.4556,5270.965,7074.261
602.0,6.2968197,17.5,37767.0,491.41324,44508.95,13244.907,11244.387,6786.774,3522.6733
602.0,6.2968197,18.5,26977.0,561.1221,39019.27,24298.795,19743.793,7342.041,8139.616
602.0,6.2968197,19.5,20407.0,5433.8022,31940.865,28375.73,25634.578,17177.504,9966.928
602.0,6.2968197,20.5,14946.0,2762.1592,18385.395,19215.77,15153.012,8661.424,3972.4377
602.0,6.2968197,21.5,11350.0,2934.9668,11200.002,12025.472,8853.847,7036.3774,5621.9814
604.0,6.2570214,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604.0,6.2570214,1.5,69253.0,219.47926,1437.243,615.4459,657.6902,634.56995,841.51044
604.0,6.2570214,2.5,70284.0,207.15633,6406.853,958.867,1059.7328,191.91591,302.58054
604.0,6.2570214,3.5,76109.0,151.46397,11414.9795,823.6036,822.2419,230.698,1012.8396
604.0,6.2570214,4.5,90571.0,228.43146,17531.379,954.04877,1270.6268,280.68198,682.5953
604.0,6.2570214,5.5,115163.0,386.42004,24852.986,1048.6711,1217.4457,1499.8854,564.93274
604.0,6.2570214,6.5,124641.0,1393.0392,26273.47,2187.7664,2372.5657,2522.4238,149.9682
604.0,6.2570214,7.5,118689.0,3216.8755,28273.271,1027.4979,1787.2465,1482.0452,1173.8671
604.0,6.2570214,8.5,122317.0,5315.7954,24405.527,2297.5498,2906.639,3889.442,3793.652
604.0,6.2570214,9.5,113713.0,3042.874,15872.754,659.29987,3778.6836,3145.4287,5315.7134
604.0,6.2570214,10.5,109651.0,453.77676,1835.9757,4537.196,1149.9247,5303.076,1594.5161
604.0,6.2570214,11.5,102660.0,2690.3433,21847.316,1466.2712,3014.866,5957.192,6722.8276
604.0,6.2570214,12.5,98244.0,440.3703,34336.844,6192.2236,8866.163,5908.288,11157.649
604.0,6.2570214,13.5,89979.0,2269.5295,41770.062,13703.849,13674.476,9708.148,7545.4697
604.0,6.2570214,14.5,78339.0,9876.395,48171.105,22266.932,19517.227,14376.561,10597.571
604.0,6.2570214,15.5,63217.0,11428.3545,52105.117,20498.299,15330.515,4537.6616,9019.263
604.0,6.2570214,16.5,50789.0,9773.591,53763.08,20495.71,4563.7637,11585.952,11727.982
604.0,6.2570214,17.5,39680.0,547.5979,52247.074,19672.283,6544.756,7219.359,6072.832
604.0,6.2570214,18.5,27999.0,426.2287,39754.54,12376.484,6842.6167,4333.3506,8358.008
604.0,6.2570214,19.5,18050.0,1999.0309,31958.727,20281.164,15937.68,6007.918,7956.971
604.0,6.2570214,20.5,13682.0,4253.3623,22511.562,18778.475,15770.1455,11712.613,11032.455
604.0,6.2570214,21.5,10602.0,1229.4773,11911.953,9934.016,8003.8345,6519.2485,7477.577
608.0,6.198067,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608.0,6.198067,1.5,70768.0,851.9475,1812.6312,668.4406,745.46625,281.7677,697.3723
608.0,6.198067,2.5,71763.0,889.04565,6743.071,665.782,1304.8893,371.09354,398.4902
608.0,6.198067,3.5,75302.0,1362.4695,10077.915,461.28384,1120.0123,472.99643,1047.2438
608.0,6.198067,4.5,96181.0,3028.8848,20031.05,1317.621,830.3386,490.825,787.78467
608.0,6.198067,5.5,119545.0,1974.4481,27886.674,1420.5808,952.0564,1500.9496,779.61395
608.0,6.198067,6.5,118213.0,1049.5321,30847.451,2501.783,1913.8948,603.5387,1369.9276
608.0,6.198067,7.5,116066.0,2550.3723,29549.781,6165.649,2077.4094,1027.0085,1816.5073
608.0,6.198067,8.5,116845.0,1331.1484,24778.283,4392.0947,2188.521,4321.8984,1239.7502
608.0,6.198067,9.5,115392.0,5100.364,13892.25,3595.6685,3996.7837,252.70934,7908.0063
608.0,6.198067,10.5,113000.0,5737.8965,7843.06,9424.333,12261.669,7798.464,6544.098
608.0,6.198067,11.5,104421.0,3480.8743,856.46124,11209.701,8071.756,2345.0461,6117.2915
608.0,6.198067,12.5,90880.0,1107.2822,13999.989,11188.54,6527.278,6364.378,5669.1587
608.0,6.198067,13.5,84143.0,164.19873,36282.12,3512.4695,11192.628,6751.5913,5194.8916
608.0,6.198067,14.5,80332.0,4240.355,45005.992,9461.512,10717.838,4566.489,5013.2646
608.0,6.198067,15.5,65632.0,5460.471,50572.52,19728.555,3102.7756,14602.569,6597.012
608.0,6.198067,16.5,53680.0,2304.1658,54307.28,32756.035,11929.118,16661.285,13593.687
608.0,6.198067,17.5,39628.0,3551.502,46604.465,24766.059,16305.707,7557.0996,3521.8047
608.0,6.198067,18.5,28280.0,292.19073,36197.44,19390.6,13796.237,5504.5547,2847.0461
608.0,6.198067,19.5,19395.0,1308.0194,33633.066,17989.94,2315.4768,3720.4429,3967.0298
608.0,6.198067,20.5,12442.0,35.349995,24719.236,16180.51,5127.4746,6540.1226,3546.8774
608.0,6.198067,21.5,9153.0,2250.9329,15635.07,11704.907,7407.1255,8032.823,1652.421
610.0,6.1668267,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610.0,6.1668267,1.5,70093.0,2109.8616,1186.3802,512.4662,655.3801,769.4984,431.25528
610.0,6.1668267,2.5,71993.0,1463.0117,5322.482,1036.6332,922.1668,679.3681,308.84042
610.0,6.1668267,3.5,73899.0,683.09796,10520.317,1450.9067,481.4019,563.4111,610.6717
610.0,6.1668267,4.5,93052.0,2398.7905,18798.488,2453.4668,1695.125,712.47705,596.80963
610.0,6.1668267,5.5,120975.0,1484.65,28712.797,2142.1687,3575.2327,305.2423,93.07323
610.0,6.1668267,6.5,122899.0,638.1708,28482.92,2491.4746,1413.8209,1480.4562,2318.8113
610.0,6.1668267,7.5,116248.0,2928.0894,30072.42,4802.9917,1076.2222,2203.9878,1644.3711
610.0,6.1668267,8.5,116052.0,511.57153,27099.715,3596.8677,4084.567,3000.7456,4758.225
610.0,6.1668267,9.5,114772.0,1610.2683,19013.031,3759.2893,5697.013,2201.6238,3748.0032
610.0,6.1668267,10.5,113705.0,657.1544,12409.874,12608.039,5992.812,1961.209,1850.5814
610.0,6.1668267,11.5,106781.0,6053.4224,14279.645,11628.72,8932.371,2347.9497,2602.422
610.0,6.1668267,12.5,91199.0,6745.7563,15149.763,10755.612,1128.5536,3168.132,7003.475
610.0,6.1668267,13.5,81012.0,4281.2534,21727.082,21326.082,6422.2295,7407.2866,6118.201
610.0,6.1668267,14.5,78086.0,1430.9824,40587.734,17611.23,11472.083,8068.6377,3166.4963
610.0,6.1668267,15.5,66431.0,5265.6885,39654.336,13313.834,12245.177,7763.5293,2336.2847
610.0,6.1668267,16.5,52059.0,4183.523,38540.055,17833.594,3282.813,9827.937,7006.3247
610.0,6.1668267,17.5,41387.0,6029.6587,41668.348,20225.156,10496.005,8983.291,6558.034
610.0,6.1668267,18.5,30225.0,331.76477,35744.168,17913.545,17024.812,2638.5461,941.67773
610.0,6.1668267,19.5,19881.0,1291.2792,30863.268,14227.497,8320.297,6194.8164,2686.4539
610.0,6.1668267,20.5,11184.0,1193.3315,21600.28,13358.835,1184.7942,5365.8916,1033.2388
610.0,6.1668267,21.5,8170.0,1429.254,18185.102,12768.883,4189.1904,6875.1416,1417.3613
612.0,6.133891,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
612.0,6.133891,1.5,70041.0,1574.1605,613.45667,1162.785,1012.7522,549.58606,1270.3602
612.0,6.133891,2.5,73039.0,1495.7938,5480.9033,1517.4072,328.26553,685.6275,558.11066
612.0,6.133891,3.5,73280.0,2179.8792,8530.103,1252.6888,1102.1327,81.74346,443.7799
612.0,6.133891,4.5,91879.0,2136.5867,17491.76,2387.689,550.0312,1676.6696,164.21402
612.0,6.133891,5.5,115500.0,1970.6881,27123.938,2078.2715,4470.733,873.9365,226.72554
612.0,6.133891,6.5,125168.0,361.69797,30853.707,1144.2343,4131.913,1128.3939,954.5386
612.0,6.133891,7.5,119807.0,2855.5813,28646.543,3723.216,1257.0525,1199.8412,2013.7739
612.0,6.133891,8.5,119189.0,341.9494,26038.793,6180.88,1470.2053,2772.1375,1179.9403
612.0,6.133891,9.5,111422.0,2606.3132,16262.44,5433.952,2859.1572,2495.2244,2546.3723
612.0,6.133891,10.5,114182.0,3506.623,15112.3955,12472.453,7358.0938,718.92096,5355.338
612.0,6.133891,11.5,109661.0,4649.1357,23638.604,21800.719,862.915,5264.1055,3918.6416
612.0,6.133891,12.5,95961.0,10098.172,27544.63,23981.793,4289.4893,2474.5964,4149.884
612.0,6.133891,13.5,84311.0,7085.2466,28504.102,20678.596,9548.043,6220.8823,1585.6655
612.0,6.133891,14.5,75773.0,5033.021,34828.688,23980.768,10768.568,10419.981,688.3881
612.0,6.133891,15.5,66274.0,355.13553,35695.453,16030.675,9890.25,8355.479,2566.4805
612.0,6.133891,16.5,51905.0,3259.437,33130.805,3340.9263,5437.9233,2154.9553,8783.882
612.0,6.133891,17.5,39332.0,9549.157,33926.477,10068.659,10410.802,4166.951,2067.2776
612.0,6.133891,18.5,29679.0,5028.251,30076.633,6257.4688,16570.375,1269.1655,3349.801
612.0,6.133891,19.5,21009.0,1461.5797,27671.215,11092.527,13938.313,6291.605,2671.61
612.0,6.133891,20.5,11887.0,2950.047,21869.44,10437.075,3956.7935,4047.4434,4071.267
612.0,6.133891,21.5,7484.0,1304.1069,16968.842,13224.18,2085.3762,4509.112,4262.54
614.0,6.1007195,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
614.0,6.1007195,1.5,69415.0,2606.2078,233.68866,1339.3616,280.9704,728.2253,472.5509
614.0,6.1007195,2.5,72329.0,1855.5812,4410.3086,693.5223,263.93088,413.52026,1021.35834
614.0,6.1007195,3.5,75631.0,2330.243,10337.853,1045.6388,192.41605,814.33405,406.905
614.0,6.1007195,4.5,89401.0,2013.7954,15436.794,1105.6494,2108.3582,815.4005,550.8694
614.0,6.1007195,5.5,116263.0,1347.1854,24984.74,1277.6592,4137.8833,848.1082,682.3617
614.0,6.1007195,6.5,121980.0,1219.6447,25812.871,973.05383,531.9776,1859.9307,541.6639
614.0,6.1007195,7.5,119935.0,1707.2877,26872.531,4064.4058,2896.1646,814.4808,1328.9574
614.0,6.1007195,8.5,125979.0,62.571033,28157.137,8797.968,767.6554,4054.5457,1082.8446
614.0,6.1007195,9.5,115818.0,4409.839,14301.597,6927.7085,4326.9316,4667.8384,4635.258
614.0,6.1007195,10.5,112847.0,3039.5276,9059.569,15188.684,7301.329,5101.1714,7354.939
614.0,6.1007195,11.5,110149.0,2764.5317,20459.928,27680.227,5855.3735,1731.1971,505.53143
614.0,6.1007195,12.5,99131.0,8604.08,25460.71,24471.143,9647.855,3952.5327,4411.163
614.0,6.1007195,13.5,86532.0,8869.246,35478.81,23466.086,5840.671,4535.9214,2158.6929
614.0,6.1007195,14.5,76501.0,445.94925,36165.824,17338.994,6866.381,4175.742,5826.6216
614.0,6.1007195,15.5,64404.0,613.886,36292.246,9560.762,9887.651,10548.371,266.99774
614.0,6.1007195,16.5,52043.0,2597.5173,37758.863,7579.599,7950.8823,8361.838,4253.8657
614.0,6.1007195,17.5,39910.0,6121.3774,35983.684,12932.323,7416.419,7159.912,5970.9673
614.0,6.1007195,18.5,28720.0,5759.884,27351.709,4957.2515,12726.376,5787.897,7592.0767
614.0,6.1007195,19.5,18676.0,426.52267,24088.994,4676.726,10509.798,4370.7017,5901.3438
614.0,6.1007195,20.5,13357.0,481.52432,22930.19,5018.139,7745.5034,2340.6694,2981.71
614.0,6.1007195,21.5,7703.0,540.1777,15961.955,8734.43,2512.99,3395.032,2015.5773
616.0,6.067346,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
616.0,6.067346,1.5,70853.0,1990.7554,1191.0449,1058.2767,309.3842,1101.292,323.77588
616.0,6.067346,2.5,72314.0,2446.7502,3528.4563,286.69183,269.72678,1105.4938,164.80661
616.0,6.067346,3.5,75102.0,1447.2242,8508.44,752.6921,433.12222,165.27966,172.30797
616.0,6.067346,4.5,91080.0,1625.013,16927.21,780.165,582.4075,622.5874,561.6346
616.0,6.067346,5.5,117350.0,2549.2788,24326.447,459.1423,3758.3594,2053.001,1225.1089
616.0,6.067346,6.5,120435.0,323.10236,25108.56,2506.0537,2404.1926,1584.4292,705.49176
616.0,6.067346,7.5,121196.0,1846.5579,30959.05,2595.0085,4309.4614,1423.1072,2335.9624
616.0,6.067346,8.5,126728.0,4478.796,31954.916,3303.9316,4194.941,1704.1371,4190.1274
616.0,6.067346,9.5,120287.0,6360.789,18749.637,10477.185,7414.351,5858.119,4847.426
616.0,6.067346,10.5,119055.0,6344.8403,3568.0654,15514.014,1892.5835,6612.609,2240.2983
616.0,6.067346,11.5,110514.0,4301.149,15548.013,16385.307,7004.2686,7925.9873,1499.8818
616.0,6.067346,12.5,98642.0,3397.4438,16066.29,21579.074,7572.976,6673.345,1558.9641
616.0,6.067346,13.5,88962.0,761.6775,30465.209,20353.361,13191.319,10852.296,1327.3086
616.0,6.067346,14.5,75918.0,278.7331,36495.62,12667.554,16756.328,3545.6619,309.09247
616.0,6.067346,15.5,64486.0,3188.5676,43085.465,8223.701,11037.519,7191.1055,5879.1616
616.0,6.067346,16.5,53204.0,2892.9473,42680.88,17132.781,9182.295,4226.492,6392.537
616.0,6.067346,17.5,37455.0,943.81946,36050.41,13615.619,3874.778,8140.3667,10026.213
616.0,6.067346,18.5,27773.0,891.2647,31025.914,9548.191,7193.5347,10185.638,8867.523
616.0,6.067346,19.5,19034.0,1522.0945,31027.482,719.9739,12981.266,11684.8955,5961.751
616.0,6.067346,20.5,12928.0,604.45886,21190.006,3017.9443,8717.53,6579.4316,515.33826
616.0,6.067346,21.5,7896.0,112.03721,11639.992,4195.2266,1618.04,4478.6733,4448.458
618.0,6.032073,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618.0,6.032073,1.5,70621.0,775.32806,1292.8796,832.7074,278.54105,1339.22,126.16153
618.0,6.032073,2.5,70675.0,956.62964,2429.5632,1241.5392,484.14597,826.3875,149.77762
618.0,6.032073,3.5,77822.0,485.7528,8221.097,743.5949,366.26642,945.046,625.013
618.0,6.032073,4.5,90851.0,1143.0677,15436.202,902.8824,934.74176,1642.4786,1038.6685
618.0,6.032073,5.5,118188.0,416.73923,23127.367,35.271286,3491.354,757.93536,2020.3347
618.0,6.032073,6.5,123388.0,860.0966,26632.361,1814.8599,1323.935,498.2956,2362.53
618.0,6.032073,7.5,120960.0,3420.3794,29965.398,1587.6414,1136.0903,2692.019,2639.5232
618.0,6.032073,8.5,125807.0,1145.9161,35570.715,6531.8223,4427.6826,3004.824,1619.5472
618.0,6.032073,9.5,121752.0,3048.3323,28294.906,6090.9404,2331.7485,1842.8932,4925.038
618.0,6.032073,10.5,117060.0,6279.8833,9757.778,15262.521,2653.1045,11231.101,5953.435
618.0,6.032073,11.5,115860.0,6147.723,30150.012,18720.719,8425.9,10494.45,9757.59
