,Snapshot,Lookback,Minf_20,Minf_25,Minf_30,Minf_35,Minf_40
0,600.0,6.323181769898123,165743641.51930174,29852208.682057343,11148314.881525138,672058.3351333236,475432.8390146173
1,602.0,6.296819541234349,145053005.440972,46596469.52565,14031502.34394,1168824.76053,443046.4292
2,604.0,6.257021370782392,182267652.24573603,114481304.69655,28644466.74664,2460821.6207,673899.3243
3,608.0,6.198067183682968,289400100.72583103,204457217.264916,73332800.0134,26219221.53537,2036089.3093
4,610.0,6.166826674452982,291833434.643721,199113229.78644,97807605.15415,35247770.987730004,4029212.35773
5,612.0,6.133891202463207,343062359.78108,153459651.875905,113779849.38658002,36043525.55109,5033865.31782
6,614.0,6.100719280344513,306149419.7441499,138982842.84263504,102120983.83342,40422726.53881,12246789.50866
7,616.0,6.067346103953526,267939107.36496,170714387.99304,55624966.97181,32846729.1949,10445406.6598
8,618.0,6.032072868913223,251379950.11983,114314803.368165,44933739.84917,32198585.60099,5407311.91192
9,620.0,5.9948320266449295,253626200.97014,71672420.75400001,47677765.983260006,27410108.4726,2620096.3313
10,622.0,5.957324003606695,172348494.78763,76045200.011814,42067426.37923,16724329.6268,7416747.141
11,624.0,5.9365639909968575,180994953.86514,63445112.6326,45790547.93894,12209994.182999998,9498479.21064
12,626.0,5.894811696137233,148593021.53293,62072627.15167,26861598.6296,10534491.75167,6562873.45695
13,629.0,5.85272746861963,176354205.56388003,44638130.0962,25863380.44709,8435376.4243,5676844.7356
14,630.0,5.829423163299706,186017965.02524,41029887.3638,27448247.7917,9114344.88,4123530.91
15,632.0,5.806019824366869,214514447.40644,40888825.99139,28103876.002000004,10475616.9866,2804929.676
16,634.0,5.758847580686567,254417852.5014,56474094.92210001,21614137.55162,4613816.374,7536912.8228
17,636.0,5.735113676933862,270447548.64307,74441510.94555001,10222445.70383,4820702.72665,6882927.79985
18,639.0,5.687351268637958,334644330.05407,93786662.33909,10249765.143290002,8246298.483609999,973829.55712
19,640.0,5.674282004200253,336353758.76608,100221468.14543,13807446.68255,7293898.33116,1139535.2785
20,642.0,5.63487750476342,289734905.24978,74020463.0093,17250088.723800004,8229000.315400001,446983.4271
21,644.0,5.607096887071627,269773366.72736,78731890.20825,27103728.83991,6710704.112299999,679873.3099
22,646.0,5.563197273837341,188172053.37901,56702238.24913,17520597.51029,3620513.40326,1127872.99987
23,648.0,5.532228479342441,226583583.87704,40645306.30981,10568598.417940002,2627404.23255,841639.49005
24,650.0,5.499580009312712,224674619.74868,16465973.0308,9375833.591000002,2180358.2456,289233.00190000003
25,652.0,5.4667717357004335,170909509.79404,9237292.4266,5418245.7713,2815231.68004,2177625.12412
26,654.0,5.432045810452904,167552964.74262,33155243.98597,5774083.985909999,973971.94311,2313599.07817
27,656.0,5.395473989249358,200703717.85981,44778927.96623,4091963.99346,2930475.59056,2685531.97638
28,658.0,5.377073878453867,249702115.031384,60162465.225030005,3362287.68,3198067.6151,2784533.85355
29,660.0,5.338220697323426,328709809.92824394,98204035.69613,6498512.556739999,3397711.5819999995,4226931.7997200005
30,662.0,5.297253698952362,302711035.28275,66501617.53675,3035910.9723000005,3346306.0944,4038954.96171
31,664.0,5.276641111204341,292263648.312044,54151362.57966,4897846.838,2907577.03156,5564021.41722
32,666.0,5.235158502612744,306057881.06604,31686083.44115,2443028.6629,3492729.5548,2609001.78955
33,668.0,5.214323161439596,300441442.3421,18374182.96529,2156438.1422,2024935.5826,1044614.9728
34,670.0,5.170266337889607,195391872.66358,12716244.9944,5645066.361,535524.56763,63096.14646999999
35,672.0,5.147046563163453,129345509.53148,11656821.095,3886535.5228,92901.02057,77330.33450000001
