snapshot_t,lookbacktime,Rcenters,nparticles,amp1,amp2,phase1,phase2
520.0,7.641375389072152,0.5,4.0,2.582795941034762e-15,1.6044578846883637e-15,-0.10130972015350131,1.5707963267948957
520.0,7.641375389072152,1.5,12.0,8.990471893838023e-15,2.1208122566863237e-15,-0.12281998281120925,-1.069773934602513
520.0,7.641375389072152,2.5,28.0,3.5294577219249755e-14,4.9377318090387654e-15,0.10870897214892582,-1.0653701499977342
520.0,7.641375389072152,3.5,36.0,5.2121432043501215e-14,7.82269734611767e-15,-0.031560445358395944,-1.9890771444488742
520.0,7.641375389072152,4.5,40.0,5.726818451059766e-14,5.072778211151731e-15,-0.026080337432296468,-2.3389057966873
520.0,7.641375389072152,5.5,52.0,6.824784490727732e-14,2.734475161171227e-15,-0.05019606990362629,2.172210170846726
520.0,7.641375389072152,6.5,68.0,8.180955486069343e-14,3.908234157755414e-15,-0.06708991679905481,3.0786507478554355
520.0,7.641375389072152,7.5,68.0,7.731313604525016e-14,6.352745117126806e-15,-0.15929298092700786,-2.6341378527471355
520.0,7.641375389072152,8.5,84.0,9.293507258064927e-14,7.459681310829515e-15,-0.24005698281408286,3.0941989602506594
520.0,7.641375389072152,9.5,92.0,1.0447396776254436e-13,5.693078464090383e-15,-0.3311027338536949,3.089066821700489
520.0,7.641375389072152,10.5,100.0,1.1652141318201988e-13,8.513551644339015e-15,-0.3761142077858606,-2.9178351441340555
520.0,7.641375389072152,11.5,108.0,1.2109736494107385e-13,9.884829622371363e-15,-0.44604777142219637,-2.6565633198990506
520.0,7.641375389072152,12.5,120.0,1.2848005151191004e-13,9.173635317671002e-15,-0.4808406101555051,-2.6826350908577727
520.0,7.641375389072152,13.5,124.0,1.2457329788552656e-13,1.0513212721640911e-14,-0.5143243450453666,-2.7664697016005895
520.0,7.641375389072152,14.5,156.0,1.5191029203585993e-13,1.1900171092800026e-14,-0.5444165670692782,-2.6557076444247505
520.0,7.641375389072152,15.5,132.0,1.2084023324334288e-13,8.254888243422842e-15,-0.5458417672359985,-1.9873763730573704
520.0,7.641375389072152,16.5,172.0,1.465676100935449e-13,1.6347713416740562e-14,-0.5583298191716193,-1.5016107024561933
520.0,7.641375389072152,17.5,164.0,1.2774775460307038e-13,1.6149918968381412e-14,-0.5644947834707901,-1.3886334173359869
520.0,7.641375389072152,18.5,188.0,1.359992465376717e-13,1.8985911619188944e-14,-0.5681067162923971,-1.2529068455640346
520.0,7.641375389072152,19.5,180.0,1.2967662068422169e-13,1.792076711220931e-14,-0.5835870218412516,-0.6557072522284548
520.0,7.641375389072152,20.5,200.0,1.2272849291693793e-13,1.6091027793629126e-14,-0.5989444405101026,-0.6506845633046853
520.0,7.641375389072152,21.5,204.0,1.1333044292930106e-13,1.6305738906344107e-14,-0.5782427747967813,-0.2526916983025046
