snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
520.0,7.641375389072152,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,1.5,12.0,1.7857675448508352e-14,5.463223112879068e-14,2.146687026809132e-14,8.833821547774552e-14,6.98934179382816e-14,0.0,2.836341381072998,-0.3886300325393677,1.9875068664550781,-1.780049443244934
520.0,7.641375389072152,2.5,28.0,9.622752356226727e-14,6.556223113663632e-14,7.551232512136587e-14,7.882116555843458e-14,7.195555937153781e-14,0.0,-2.105329990386963,-3.040207624435425,2.330845832824707,-2.5078248977661133
520.0,7.641375389072152,3.5,36.0,5.152205295429549e-14,1.3588607254407324e-13,7.839566785975633e-14,5.843230800108134e-14,4.0196511649445806e-14,0.0,-0.44745343923568726,-1.9392507076263428,1.211520791053772,-0.33582809567451477
520.0,7.641375389072152,4.5,40.0,2.3772277820289373e-14,8.019751176466166e-14,1.2165395166796524e-14,5.250865344694511e-14,5.911149139613091e-14,0.0,-0.13555914163589478,-1.0277080535888672,-1.3937158584594727,1.4575854539871216
520.0,7.641375389072152,5.5,52.0,4.101381980889905e-14,1.2430595973801641e-13,8.702474794074247e-14,4.9253895074626435e-14,1.2356236121002626e-13,0.0,-0.5359194874763489,-2.1142940521240234,2.447737216949463,2.055335760116577
520.0,7.641375389072152,6.5,68.0,9.428249874614616e-14,7.612747170143076e-14,7.142300372151403e-14,4.635099397328581e-14,7.180062928279057e-14,0.0,0.3388501703739166,0.6699076890945435,1.376664638519287,2.856959342956543
520.0,7.641375389072152,7.5,68.0,5.250566827022865e-14,8.881482120402221e-14,3.2862167959926787e-14,3.836955879424006e-14,3.913232339954114e-14,0.0,-0.2899188697338104,-2.328084945678711,-0.5864353775978088,-1.1289769411087036
520.0,7.641375389072152,8.5,84.0,4.942542279314302e-14,1.22572579398267e-13,3.418658511778396e-14,5.251802518378121e-16,4.2420637387430186e-14,0.0,-0.010907519608736038,-2.957188367843628,0.8131049275398254,0.7869054675102234
520.0,7.641375389072152,9.5,92.0,4.786209135184544e-14,1.3706418452795457e-13,8.991316132172841e-15,6.970129188269742e-15,4.8182606940142415e-14,0.0,-0.3114771544933319,0.30414509773254395,1.1990519762039185,0.6194722652435303
520.0,7.641375389072152,10.5,100.0,4.035061333998967e-14,1.8477667621299862e-13,3.743178440496871e-14,2.2763543033267733e-14,4.708822774913424e-14,0.0,-0.538542628288269,-2.421372413635254,-1.3072595596313477,-2.7578446865081787
520.0,7.641375389072152,11.5,108.0,7.585606947267676e-14,1.3441316402865407e-13,2.7349981493395712e-14,2.9265594166265394e-14,1.693878969021564e-14,0.0,-0.28183990716934204,-0.8085887432098389,-0.08479244261980057,0.3077225387096405
520.0,7.641375389072152,12.5,120.0,6.041936157115402e-14,1.5219317687862736e-13,1.9309588752882954e-14,5.6853421233311125e-15,2.425881363289559e-14,0.0,-0.5503489971160889,3.0460000038146973,1.8999943733215332,1.177236795425415
520.0,7.641375389072152,13.5,124.0,5.739459336398176e-14,1.5399646896122404e-13,3.659486462819328e-14,1.4783752420096523e-14,9.3175835813414e-15,0.0,-0.6797584295272827,2.6153066158294678,-0.06163012981414795,1.177537202835083
520.0,7.641375389072152,14.5,156.0,6.93376630525773e-14,2.1228549223858844e-13,2.659417969850604e-14,1.4696510982300268e-14,2.962115623863437e-14,0.0,-0.6941854357719421,3.123288154602051,1.300779104232788,1.6598451137542725
520.0,7.641375389072152,15.5,132.0,4.296406234797524e-14,1.528602199864775e-13,2.5127711840367282e-14,3.9101369394125465e-14,3.562488712764129e-14,0.0,-0.6104503273963928,-2.1456592082977295,0.31954795122146606,1.2226777076721191
520.0,7.641375389072152,16.5,172.0,5.4326341873429246e-14,2.0193250627824058e-13,5.840251081725417e-14,3.240789546694471e-14,3.77305870733198e-14,0.0,-0.7257627248764038,-2.2272696495056152,1.6174472570419312,0.7242417931556702
520.0,7.641375389072152,17.5,164.0,6.769437847732249e-14,1.6372723420814114e-13,1.3078475676181338e-14,5.844303203472304e-15,4.915768643409114e-14,0.0,-0.5577784180641174,-1.5922549962997437,2.0210938453674316,0.8786720037460327
520.0,7.641375389072152,18.5,188.0,5.428301783224308e-14,1.3476422239162724e-13,5.3464333046617656e-14,3.5403266559346626e-14,4.3449485026056516e-14,0.0,-0.44011443853378296,-1.9653316736221313,0.09277089685201645,1.4322437047958374
520.0,7.641375389072152,19.5,180.0,4.845793159639379e-14,1.9118124019865224e-13,6.924763243978808e-14,9.487359921111261e-14,3.7841292431762324e-14,0.0,-0.47896745800971985,-0.20231083035469055,0.4593723714351654,0.4342711567878723
520.0,7.641375389072152,20.5,200.0,7.934274168664573e-14,1.4169278527600448e-13,1.6015674415394955e-14,4.371859756300614e-14,2.2497886310502194e-14,0.0,-0.5510695576667786,-0.5876596570014954,0.8517778515815735,0.5639422535896301
520.0,7.641375389072152,21.5,204.0,8.27667334625179e-14,1.3799407290911155e-13,1.0771574025306489e-14,5.97901127488783e-14,3.4831727849516975e-14,0.0,-0.9791673421859741,1.8437083959579468,0.3549807071685791,-1.2263092994689941
520.0,7.641375389072152,22.5,196.0,7.673997207005914e-14,1.2986162131837047e-13,2.8765192768619575e-14,5.2884105506427166e-14,1.6650461372900608e-14,0.0,-0.48304519057273865,-0.17434148490428925,1.286434292793274,1.9205868244171143
520.0,7.641375389072152,23.5,228.0,7.981077821198057e-14,1.3425088569810994e-13,4.824042933007212e-14,6.406878907031248e-14,2.600545700904033e-14,0.0,-0.518948495388031,0.06361013650894165,0.6566741466522217,-2.7795703411102295
520.0,7.641375389072152,24.5,252.0,9.01951853048838e-14,1.2554928756360756e-13,4.364119700949158e-14,4.881399285643966e-14,1.2158874826923854e-14,0.0,-0.6151531934738159,0.02642793580889702,0.6804936528205872,3.1031317710876465
520.0,7.641375389072152,25.5,252.0,1.105816352657725e-13,9.489490338363169e-14,4.767142205842933e-14,4.818007847840626e-14,5.840502387459012e-14,0.0,-1.1641523838043213,-1.5304815769195557,-0.17650611698627472,-0.8971803784370422
520.0,7.641375389072152,26.5,244.0,8.300461419542479e-14,8.204809378583724e-14,4.258458791042054e-14,3.599878111287139e-14,1.908286923178367e-14,0.0,-0.44912463426589966,0.15184123814105988,0.5295276045799255,-2.4430346488952637
520.0,7.641375389072152,27.5,260.0,8.467693506011148e-14,9.02407902508125e-14,3.626060246686467e-14,7.266841559630305e-14,2.4510128250497653e-14,0.0,-0.6268320083618164,0.4100874066352844,0.7588016390800476,-2.7954156398773193
520.0,7.641375389072152,28.5,280.0,8.820041593783634e-14,6.22848403957957e-14,4.577578418044277e-14,6.68942631141302e-14,7.0148644118592345e-15,0.0,-0.7418139576911926,0.8261234760284424,0.7727975845336914,-3.023966073989868
520.0,7.641375389072152,29.5,300.0,8.719663446149495e-14,5.5712800856302805e-14,5.728712733042443e-14,6.028920931272029e-14,1.6760423507706384e-14,0.0,-0.7973395586013794,0.5848228335380554,0.7063962817192078,-2.9430999755859375
520.0,7.641375389072152,30.5,284.0,9.094589366537634e-14,5.259764659243031e-14,4.1710407469351055e-14,6.262553391665536e-14,2.618595242341761e-14,0.0,-0.6312121152877808,0.7397485375404358,0.854344367980957,-2.218395709991455
520.0,7.641375389072152,31.5,292.0,8.442427529634089e-14,4.202281569894325e-14,4.667824513395005e-14,5.335000522048024e-14,4.377890762636555e-14,0.0,-0.6486627459526062,0.4277397096157074,0.9219650030136108,-2.878542423248291
520.0,7.641375389072152,32.5,316.0,7.942094654459983e-14,1.6663500726302742e-14,4.861255439475969e-14,6.68403109183428e-14,1.9938904889531853e-14,0.0,1.4108855724334717,0.48455896973609924,0.9456773996353149,-2.8078901767730713
520.0,7.641375389072152,33.5,324.0,8.8944361587278e-14,1.504338488660217e-14,4.288604780010119e-14,6.551291002196397e-14,2.6285685894940746e-14,0.0,0.3767383396625519,0.6823213696479797,0.8529906272888184,-2.1453380584716797
520.0,7.641375389072152,34.5,324.0,8.284770303601183e-14,1.8422598905264114e-14,4.174134911610801e-14,6.830057154848831e-14,2.2531937490866503e-14,0.0,1.9704630374908447,0.5749872326850891,0.8490890264511108,-2.3536429405212402
520.0,7.641375389072152,35.5,348.0,8.578051057016658e-14,3.062750175799994e-14,4.3378828229792755e-14,7.107430981155443e-14,4.205102123741018e-14,0.0,2.2603015899658203,0.37186872959136963,0.8542889952659607,-2.5662577152252197
520.0,7.641375389072152,36.5,352.0,8.76700648926379e-14,3.4199057699239296e-14,4.7878117139582675e-14,8.257994585119179e-14,3.467964110602096e-14,0.0,2.287735939025879,0.4944027066230774,1.005628228187561,-2.185215473175049
520.0,7.641375389072152,37.5,372.0,7.506635016276547e-14,4.9445262922104076e-14,6.126586876166669e-14,7.528790256692542e-14,3.9595367407674264e-14,0.0,2.786787748336792,0.9126203060150146,0.7540690302848816,-2.581528663635254
520.0,7.641375389072152,38.5,372.0,7.956358011665388e-14,4.4875340427594436e-14,5.5536044372277025e-14,7.034563267277905e-14,3.243210131841376e-14,0.0,2.314260482788086,0.3761156499385834,1.0584651231765747,-2.0717804431915283
520.0,7.641375389072152,39.5,340.0,6.62864674174507e-14,5.2079700153681825e-14,4.745887226857219e-14,6.178499994493299e-14,2.3615990322527457e-14,0.0,2.3992598056793213,0.44012224674224854,1.0376818180084229,-1.9413461685180664
523.0,7.596713167865263,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,1.5,12.0,4.925170650005653e-14,6.09618944122407e-14,1.4099664688359032e-13,8.239217081946328e-14,8.174988677711846e-14,0.0,2.5314548015594482,1.954108715057373,0.6204567551612854,0.0410069040954113
523.0,7.596713167865263,2.5,28.0,1.7752348595583174e-14,2.6443614704402776e-14,4.76808785720235e-14,1.9970074449016564e-13,8.552063644236845e-14,0.0,-2.0980522632598877,-1.3776456117630005,1.558438777923584,3.032832622528076
523.0,7.596713167865263,3.5,36.0,7.031034825535909e-14,9.714990408750332e-14,4.3925658218063957e-14,7.721498857049228e-14,2.864635248904422e-14,0.0,-0.043950118124485016,0.9790791273117065,-3.0368103981018066,-1.2809648513793945
523.0,7.596713167865263,4.5,40.0,6.480481705732274e-14,1.009179253504649e-13,3.530111394943566e-14,3.144870989701023e-14,1.7026785598738882e-14,0.0,0.2242310643196106,-1.7829278707504272,-1.0033717155456543,-1.36396062374115
523.0,7.596713167865263,5.5,52.0,1.1954093314184289e-13,2.380491185651407e-13,1.0025559097891149e-13,1.0937044805937646e-13,1.5323922944714776e-13,0.0,-0.24788188934326172,2.4922337532043457,-1.5699846744537354,1.112417459487915
523.0,7.596713167865263,6.5,68.0,6.981889973936214e-14,9.284269462119889e-14,4.5874759641428765e-14,1.8852314217384216e-14,2.1072208078303856e-14,0.0,-0.3804752826690674,-0.4883413314819336,0.03562264144420624,-2.8641910552978516
523.0,7.596713167865263,7.5,68.0,4.423704444748121e-14,7.824740057662417e-14,3.185667976318962e-14,3.045334672680927e-14,1.867300482793206e-14,0.0,-0.3589862883090973,2.1101975440979004,1.0587921142578125,0.7141709327697754
523.0,7.596713167865263,8.5,84.0,7.515284916733908e-14,1.1124826735930055e-13,6.19798809231068e-14,4.0790553164301656e-14,5.804588783075985e-14,0.0,-0.1965619921684265,2.073077917098999,-2.722957134246826,0.20356205105781555
523.0,7.596713167865263,9.5,92.0,5.765752594333665e-14,1.0426191584763656e-13,3.420207626790777e-14,6.054258126585215e-14,1.1827330741908661e-14,0.0,0.05447737127542496,-1.1377506256103516,2.1858937740325928,2.1791577339172363
523.0,7.596713167865263,10.5,100.0,8.444411619609737e-14,1.3643821916445013e-13,4.3827834667279895e-14,2.706098520190249e-14,5.014094426191665e-14,0.0,-0.5568997859954834,1.668392539024353,-2.3413562774658203,1.8778563737869263
523.0,7.596713167865263,11.5,108.0,4.406232526738517e-14,1.2768745211796196e-13,4.485557301428223e-14,2.1444142469257286e-14,3.076987532605425e-14,0.0,-0.5840311050415039,-1.040652871131897,2.84816575050354,2.459867000579834
523.0,7.596713167865263,12.5,120.0,7.793967565523224e-14,1.0513089225094885e-13,4.0013503281008415e-14,3.487177630141405e-14,2.8388543611136314e-14,0.0,-0.6761211156845093,-2.7545275688171387,2.800427198410034,2.4501841068267822
523.0,7.596713167865263,13.5,124.0,2.6145406640479957e-14,1.660943568828978e-13,7.506203106635681e-14,8.638209564936326e-14,5.362924105939707e-14,0.0,-0.8436736464500427,2.9058027267456055,1.440384030342102,-0.2542409598827362
523.0,7.596713167865263,14.5,156.0,5.90138357560617e-14,1.3125025060334933e-13,5.944629002099687e-14,3.908318895765645e-14,2.1704613036678994e-14,0.0,-0.5613338947296143,-2.344879150390625,1.7303762435913086,0.8698770403862
523.0,7.596713167865263,15.5,132.0,6.33794029086289e-14,1.2172908671327488e-13,1.8177519309660037e-14,3.551377086226917e-14,1.2816621856241035e-14,0.0,-0.6971138119697571,-2.6528308391571045,1.2302227020263672,2.263521194458008
523.0,7.596713167865263,16.5,172.0,7.176604552598317e-14,1.481899280451559e-13,2.665289623881179e-14,6.687126739826894e-14,1.4854285939049883e-14,0.0,-0.43528518080711365,-2.7598509788513184,1.4369854927062988,1.4885144233703613
523.0,7.596713167865263,17.5,164.0,7.419572904199603e-14,1.0554053414553433e-13,3.323257875729986e-14,5.261900404551776e-14,2.87000750251907e-14,0.0,-0.7033955454826355,-2.7198121547698975,1.4005343914031982,0.44500431418418884
523.0,7.596713167865263,18.5,188.0,1.154823171768335e-13,1.328921809520067e-13,2.6765634852692172e-14,4.2332643694024765e-14,2.928458354272579e-14,0.0,-0.6924044489860535,-2.5156941413879395,1.6960821151733398,0.7833663821220398
523.0,7.596713167865263,19.5,180.0,7.785190948936954e-14,1.1603356491690598e-13,2.6857834963714412e-14,7.060133816657945e-14,2.2852291644065296e-14,0.0,-0.7804628610610962,-3.1187710762023926,1.2756704092025757,2.5757176876068115
