snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.641375389072152,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,1.5,12.0,12.0,1.9725376787925245e-15,2.277615037579402e-15,0.0,-0.7078933715820312,2.4563398361206055
520.0,7.641375389072152,2.5,28.0,28.0,3.988151427069708e-15,1.054096672716737e-14,0.0,0.87625652551651,-2.2559473514556885
520.0,7.641375389072152,3.5,36.0,36.0,1.5242971841876853e-14,1.7364396324643505e-14,0.0,1.5451740026474,-1.880049705505371
520.0,7.641375389072152,4.5,40.0,40.0,7.350697993015092e-15,1.0769627938410592e-14,0.0,-2.5101168155670166,-1.4197782278060913
520.0,7.641375389072152,5.5,52.0,52.0,9.778651890636564e-15,9.037270476874209e-15,0.0,-1.053210735321045,-0.26315733790397644
520.0,7.641375389072152,6.5,68.0,68.0,1.7009044933903986e-14,1.7637097742641936e-14,0.0,-1.1076467037200928,0.49755430221557617
520.0,7.641375389072152,7.5,68.0,68.0,3.9645546316574495e-14,1.490623837253771e-14,0.0,-1.7295440435409546,2.651622772216797
520.0,7.641375389072152,8.5,84.0,84.0,7.757803099907354e-14,3.83331878561517e-14,0.0,-1.926561951637268,2.881920576095581
520.0,7.641375389072152,9.5,92.0,92.0,1.0805828436388189e-13,4.934090163778631e-14,0.0,-1.918434739112854,2.6564996242523193
520.0,7.641375389072152,10.5,100.0,100.0,1.17151094528298e-13,5.5311669993675004e-14,0.0,-1.8183413743972778,2.609316349029541
520.0,7.641375389072152,11.5,108.0,108.0,1.2667672563708015e-13,6.025041653436154e-14,0.0,-1.7717756032943726,2.3436472415924072
520.0,7.641375389072152,12.5,120.0,120.0,1.341292084376079e-13,7.323024618147591e-14,0.0,-1.814481496810913,2.4449620246887207
520.0,7.641375389072152,13.5,124.0,124.0,1.2296584712227715e-13,9.76316960926119e-14,0.0,-1.942184567451477,2.4720876216888428
520.0,7.641375389072152,14.5,156.0,156.0,1.230597659329348e-13,1.0315182115553937e-13,0.0,-1.9733961820602417,2.5091512203216553
520.0,7.641375389072152,15.5,132.0,132.0,9.237843447166265e-14,7.76397513372121e-14,0.0,-2.0001513957977295,2.7082948684692383
520.0,7.641375389072152,16.5,172.0,172.0,8.710483873231358e-14,6.84663165249118e-14,0.0,-2.007622718811035,2.5993740558624268
520.0,7.641375389072152,17.5,164.0,164.0,5.622042916180295e-14,4.31421931306583e-14,0.0,-2.065941572189331,2.801240921020508
520.0,7.641375389072152,18.5,188.0,188.0,4.4529108036380154e-14,4.037054146964719e-14,0.0,-2.22210693359375,2.970417022705078
520.0,7.641375389072152,19.5,180.0,180.0,3.1667729206852877e-14,3.830005410045141e-14,0.0,-2.629293441772461,-3.1282331943511963
520.0,7.641375389072152,20.5,200.0,200.0,2.5631037181343272e-14,3.597280602457341e-14,0.0,-2.6449453830718994,-3.0988824367523193
520.0,7.641375389072152,21.5,204.0,204.0,2.438928579618346e-14,3.292074054285871e-14,0.0,-3.0032057762145996,-2.8783693313598633
520.0,7.641375389072152,22.5,196.0,196.0,2.3380185098754548e-14,2.927586347193204e-14,0.0,3.0059285163879395,-2.6588728427886963
520.0,7.641375389072152,23.5,228.0,228.0,2.288627155991682e-14,2.6046489243217825e-14,0.0,3.012990951538086,-2.626791477203369
520.0,7.641375389072152,24.5,252.0,252.0,1.8902930984387458e-14,1.9737254821649762e-14,0.0,3.0370430946350098,-2.3515396118164062
520.0,7.641375389072152,25.5,252.0,252.0,1.6531763782932478e-14,1.6094479978521636e-14,0.0,2.9477105140686035,-2.130492687225342
520.0,7.641375389072152,26.5,244.0,244.0,1.4895745696953735e-14,1.3909297932981854e-14,0.0,2.896796703338623,-1.9796262979507446
520.0,7.641375389072152,27.5,260.0,260.0,1.4261097600820518e-14,1.3459156544440622e-14,0.0,2.807842493057251,-2.032087564468384
520.0,7.641375389072152,28.5,280.0,280.0,1.4248444384083272e-14,1.454399731407099e-14,0.0,2.950918197631836,-1.7670116424560547
520.0,7.641375389072152,29.5,300.0,300.0,1.3512589527065109e-14,1.3791969293158256e-14,0.0,3.0203211307525635,-1.7086085081100464
520.0,7.641375389072152,30.5,284.0,284.0,1.1983077436332035e-14,1.111936715826494e-14,0.0,3.1258060932159424,-1.6201764345169067
520.0,7.641375389072152,31.5,292.0,292.0,1.1279169839194101e-14,8.756402002588574e-15,0.0,-3.137728691101074,-1.6148853302001953
520.0,7.641375389072152,32.5,316.0,316.0,1.2243851635755379e-14,9.17930806233655e-15,0.0,-3.1348493099212646,-1.6654092073440552
520.0,7.641375389072152,33.5,324.0,324.0,1.180328038109477e-14,8.023294883282045e-15,0.0,3.0907230377197266,-1.6803592443466187
520.0,7.641375389072152,34.5,324.0,324.0,1.0833419484021519e-14,6.752595836818409e-15,0.0,2.8806772232055664,-1.9683747291564941
520.0,7.641375389072152,35.5,348.0,348.0,1.1169031128603038e-14,7.270752137793774e-15,0.0,2.5258829593658447,-2.2358288764953613
520.0,7.641375389072152,36.5,352.0,352.0,1.1764514824094036e-14,6.995434938257862e-15,0.0,2.506837844848633,-2.6244771480560303
520.0,7.641375389072152,37.5,372.0,372.0,1.1177717434811858e-14,6.6426148535122336e-15,0.0,2.619751214981079,-2.4797210693359375
520.0,7.641375389072152,38.5,372.0,372.0,1.0452769625543812e-14,5.519705632351504e-15,0.0,2.647056818008423,-2.437262535095215
520.0,7.641375389072152,39.5,340.0,340.0,9.611449767166677e-15,4.4255824712654536e-15,0.0,2.704318046569824,-2.468510150909424
523.0,7.596713167865263,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,1.5,12.0,12.0,5.3454437590435145e-15,3.558754613933717e-15,0.0,1.6075141429901123,0.7976418137550354
523.0,7.596713167865263,2.5,28.0,28.0,1.2783093933302752e-14,1.0591090698303248e-14,0.0,1.1202868223190308,-0.0060645113699138165
523.0,7.596713167865263,3.5,36.0,36.0,6.0991072032078906e-15,4.268574513740576e-15,0.0,-2.922642230987549,-2.2074079513549805
523.0,7.596713167865263,4.5,40.0,40.0,1.3866970241308837e-14,1.7213323043481156e-14,0.0,-1.4399374723434448,-2.016542434692383
