snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
520.0,7.6413755,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,0.75,36819.0,36819.0,840.38745,5714.1777,330.09305,1220.0192,0.0,2.6621144,-1.1374933,2.0610971,-2.8249302
520.0,7.6413755,1.25,44927.0,44927.0,433.96643,10366.81,534.757,1332.1311,0.0,2.4003315,-1.2298844,0.79852605,-2.4745479
520.0,7.6413755,1.75,48719.0,48719.0,283.68332,13396.265,366.06592,1576.0905,0.0,2.7678804,-1.2199137,1.9943205,-2.4387693
520.0,7.6413755,2.25,50071.0,50071.0,393.48196,14721.758,1043.904,2517.416,0.0,-1.1661451,-1.1865168,1.2991257,-2.3691342
520.0,7.6413755,2.75,50737.0,50737.0,523.03485,15350.292,329.92563,2621.9666,0.0,2.5044427,-1.2342255,1.7330021,-2.2014065
520.0,7.6413755,3.25,49975.0,49975.0,980.37885,14848.66,792.11053,2441.2056,0.0,2.3325963,-1.2703893,1.8460048,-2.4236615
520.0,7.6413755,3.75,48777.0,48777.0,149.01968,12909.125,1214.9288,2416.143,0.0,2.9120667,-1.2420589,1.8027406,-2.2219505
520.0,7.6413755,4.25,46765.0,46765.0,413.4974,12620.388,266.86377,2371.543,0.0,2.2705438,-1.2216492,1.3264719,-2.3456979
520.0,7.6413755,4.75,44896.0,44896.0,571.2242,11409.619,801.4796,1847.2816,0.0,2.7552087,-1.2142,1.363326,-2.4572544
520.0,7.6413755,5.25,42197.0,42197.0,202.71803,10685.622,278.3943,1734.5314,0.0,2.572774,-1.2758892,1.6099623,-2.1123698
520.0,7.6413755,5.75,40126.0,40126.0,505.95798,9850.086,335.04733,1362.662,0.0,0.39567226,-1.277668,1.5877788,-2.664536
520.0,7.6413755,6.25,37517.0,37517.0,128.29662,9110.305,317.00095,1318.602,0.0,-2.0968304,-1.258515,1.4858211,-2.390921
520.0,7.6413755,6.75,34852.0,34852.0,649.69763,9101.567,422.55695,1529.0613,0.0,2.6036606,-1.2377346,0.7168593,-2.7649276
520.0,7.6413755,7.25,31885.0,31885.0,421.15894,7680.755,461.60883,1359.7758,0.0,2.8639326,-1.2358716,-0.81913596,-2.270412
520.0,7.6413755,7.75,28949.0,28949.0,493.60553,7568.6836,394.22614,1408.7189,0.0,1.8840877,-1.2761363,-0.15341894,-2.3442795
520.0,7.6413755,8.25,25430.0,25430.0,466.20926,6878.9688,264.4375,1395.3959,0.0,2.7352188,-1.2853367,-0.47062185,-2.18674
520.0,7.6413755,8.75,21081.0,21081.0,107.13356,5699.9937,49.9506,980.8311,0.0,0.98999083,-1.3255874,0.53353727,-2.3968568
520.0,7.6413755,9.25,16377.0,16377.0,243.12224,4122.0635,63.29735,596.6907,0.0,2.591037,-1.3905566,-2.6128454,-2.745731
520.0,7.6413755,9.75,9161.0,9161.0,100.40416,2278.0713,349.95538,583.3436,0.0,-1.7137319,-1.2838886,-0.23125675,-2.9793143
520.0,7.6413755,10.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,10.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,11.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,12.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,12.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,13.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,13.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,14.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,14.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,15.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,15.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,16.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,16.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,17.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,17.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,18.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,19.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,19.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,0.75,36422.0,36422.0,242.2781,6001.0,514.0183,909.5556,0.0,-2.948884,-1.2048483,-0.60763997,-2.4929776
523.0,7.596713,1.25,44361.0,44361.0,769.9953,10359.07,317.61728,1893.5151,0.0,-2.4500823,-1.153419,2.7138886,-2.2452
523.0,7.596713,1.75,48006.0,48006.0,252.27664,13093.651,376.5508,2023.2191,0.0,-2.8349884,-1.1293602,-2.8052745,-2.0647693
523.0,7.596713,2.25,49737.0,49737.0,307.46957,15207.943,359.93112,2119.7764,0.0,-2.8918128,-1.1665096,-2.3364427,-2.391294
523.0,7.596713,2.75,50726.0,50726.0,659.0927,15609.791,656.48816,1917.9396,0.0,2.792812,-1.1848645,2.29153,-2.42942
523.0,7.596713,3.25,49604.0,49604.0,619.2738,14694.692,105.7174,2154.055,0.0,2.5055537,-1.1611443,2.541832,-2.4741561
523.0,7.596713,3.75,48189.0,48189.0,317.1203,13912.096,144.21805,2823.5405,0.0,2.0549412,-1.1909224,0.91571236,-2.2818413
523.0,7.596713,4.25,46307.0,46307.0,525.3459,12911.362,258.1775,2571.917,0.0,2.317039,-1.2184665,0.66589797,-2.1282268
523.0,7.596713,4.75,44356.0,44356.0,624.2477,11584.225,109.96056,2508.1575,0.0,2.791359,-1.2466142,-1.1193607,-2.444472
523.0,7.596713,5.25,41785.0,41785.0,310.1739,10628.92,456.10507,2466.2053,0.0,2.4812348,-1.2102921,0.82665884,-2.1937525
523.0,7.596713,5.75,39900.0,39900.0,738.43866,9311.071,409.93903,1440.4384,0.0,2.3775215,-1.1731573,-0.28948125,-2.1675925
523.0,7.596713,6.25,37656.0,37656.0,537.89746,9911.052,255.99754,1979.6359,0.0,0.69163054,-1.236527,-0.88642436,-2.2302358
523.0,7.596713,6.75,34807.0,34807.0,493.7565,9073.72,472.45392,1623.5557,0.0,-1.3613902,-1.2424401,-0.94866085,-2.4341693
523.0,7.596713,7.25,32271.0,32271.0,612.32025,7974.5327,150.89977,1681.114,0.0,2.188729,-1.2711895,-1.0578167,-2.2801619
523.0,7.596713,7.75,29222.0,29222.0,341.8282,7443.1646,680.12836,1211.2229,0.0,1.6134331,-1.1864816,-1.2905691,-2.6660395
523.0,7.596713,8.25,25439.0,25439.0,383.76166,6383.3574,531.74786,1037.537,0.0,1.1854287,-1.2551146,-2.294347,-2.3551166
523.0,7.596713,8.75,21435.0,21435.0,97.51131,5680.685,347.91925,900.5815,0.0,-0.028603593,-1.1789111,-0.91100407,-2.4639482
523.0,7.596713,9.25,16712.0,16712.0,316.39737,4291.751,103.251335,622.6535,0.0,3.0276396,-1.3227103,-1.7765375,-2.394394
523.0,7.596713,9.75,9335.0,9335.0,233.16872,2395.2622,56.294308,493.05432,0.0,-1.935002,-1.2444322,1.4548595,-2.0899596
523.0,7.596713,10.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,10.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,11.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,12.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,12.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,13.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,13.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,14.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,14.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,15.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,15.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,16.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
