snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,27938.0,27938.0,289.53726,2070.2014,628.04926,849.6014,0.0,2.8322575,-0.8349211,1.5010362,1.1124192
520.0,7.6413755,2.5,40263.0,40263.0,1602.25,3934.6033,846.2168,809.5374,0.0,-0.12277786,1.5967778,3.0710418,2.703765
520.0,7.6413755,3.5,57150.0,57150.0,2416.4834,8976.994,2115.411,1678.7101,0.0,-0.71910113,1.9294401,-0.007885119,-1.4458157
520.0,7.6413755,4.5,81043.0,81043.0,5025.259,9620.341,704.29584,4991.8203,0.0,0.44930714,3.0513127,-1.53509,-0.7350989
520.0,7.6413755,5.5,102145.0,102145.0,8963.531,8704.555,2627.1843,4553.0693,0.0,1.0352583,-2.6968513,0.85198796,0.90475047
520.0,7.6413755,6.5,95116.0,95116.0,2297.2617,3235.522,4822.3433,1410.6193,0.0,-0.47911134,-2.907882,1.8062416,-2.0558271
520.0,7.6413755,7.5,90846.0,90846.0,8174.1123,7853.872,3674.0293,2709.5527,0.0,-3.062349,-3.0044584,-2.0657554,-1.0515202
520.0,7.6413755,8.5,88220.0,88220.0,9211.595,5661.152,3651.7083,1785.5394,0.0,-3.0187516,-1.217445,-1.48396,1.0404716
520.0,7.6413755,9.5,85640.0,85640.0,7035.707,3353.589,754.1165,5439.741,0.0,-2.8552892,-0.115473256,-0.46699744,-2.7539492
520.0,7.6413755,10.5,81576.0,81576.0,4921.6206,6502.2993,3207.5798,3037.5803,0.0,1.1486361,0.52846795,2.8168108,-2.647648
520.0,7.6413755,11.5,67096.0,67096.0,6726.943,3975.1035,4859.3257,5932.0015,0.0,-0.032537714,2.0477943,0.39932138,-0.4932803
520.0,7.6413755,12.5,57075.0,57075.0,9092.909,8936.33,4681.104,5734.059,0.0,-0.302852,-1.53395,1.2380216,-0.4945738
520.0,7.6413755,13.5,46515.0,46515.0,10095.206,4694.205,2386.2295,4288.471,0.0,-0.3982098,-2.6252317,2.653894,-0.32439357
520.0,7.6413755,14.5,35826.0,35826.0,10912.854,9584.771,3444.0283,2891.4514,0.0,-0.97657984,-3.0173595,-0.087341115,-0.012645026
520.0,7.6413755,15.5,28716.0,28716.0,6651.109,14777.258,4622.2783,3541.2317,0.0,-0.07875863,-2.676983,-0.1366133,1.2313952
520.0,7.6413755,16.5,26840.0,26840.0,10828.699,15527.777,2190.8577,2005.1318,0.0,0.9997224,-2.4418232,-1.0863456,-0.10330015
520.0,7.6413755,17.5,20380.0,20380.0,14977.668,6151.723,6153.879,4198.748,0.0,0.626737,-2.664358,-2.5014253,-2.3532581
520.0,7.6413755,18.5,17968.0,17968.0,17335.389,5755.5454,6052.6045,1617.41,0.0,0.77337325,-2.7772796,-1.9953486,2.662946
520.0,7.6413755,19.5,13351.0,13351.0,15934.623,2456.4453,1981.8403,1731.2767,0.0,0.62295735,1.5386177,-1.8849967,-1.0935477
520.0,7.6413755,20.5,9569.0,9569.0,12256.499,3867.369,587.21643,1139.2401,0.0,0.60428303,1.2754276,2.669955,-1.7183994
520.0,7.6413755,21.5,6989.0,6989.0,9644.856,4606.1475,2049.4749,780.86774,0.0,0.5882482,1.1735321,2.1433275,-2.2044592
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,28655.0,28655.0,772.8771,2362.3088,978.9506,1808.8086,0.0,2.3630877,-1.6046395,2.5540314,0.7615339
523.0,7.596713,2.5,40766.0,40766.0,1065.3221,2630.5173,1687.2583,1686.7753,0.0,1.2366855,1.7695343,-1.8247417,0.7571742
523.0,7.596713,3.5,52348.0,52348.0,1843.523,9006.311,41.432846,1537.7554,0.0,2.7897537,1.5060241,-2.4186044,1.1723363
523.0,7.596713,4.5,73791.0,73791.0,2512.5308,14366.132,1623.0607,3260.1213,0.0,-2.219204,2.071214,-0.52684486,-2.581612
523.0,7.596713,5.5,95006.0,95006.0,3648.8818,15446.562,5160.3433,4262.8135,0.0,1.9919325,2.8444178,-2.9002466,-0.5146328
523.0,7.596713,6.5,105385.0,105385.0,7748.593,11970.45,2894.0186,4487.144,0.0,0.2463244,2.1328704,2.898669,-0.7017756
523.0,7.596713,7.5,102293.0,102293.0,7003.9966,2809.739,5742.28,5059.571,0.0,-0.98335236,3.064578,2.7582688,-1.9772162
523.0,7.596713,8.5,97985.0,97985.0,14985.798,703.13043,7353.0366,4147.5444,0.0,-2.2817981,0.80691844,-2.2496402,1.4175601
523.0,7.596713,9.5,84195.0,84195.0,7800.7754,6365.8076,5132.4976,2798.3855,0.0,-2.7725952,0.16410522,-1.8805298,-2.955315
523.0,7.596713,10.5,78746.0,78746.0,5091.4907,5202.5195,4176.9287,1574.6427,0.0,-1.9629227,0.6697702,0.9071986,3.1310513
523.0,7.596713,11.5,69698.0,69698.0,9639.463,5476.818,5975.0234,1347.9731,0.0,-0.7683961,2.0002346,0.6863277,-1.4601364
523.0,7.596713,12.5,61208.0,61208.0,16294.836,4278.217,5312.034,3489.528,0.0,-0.55811507,2.7736232,1.0683637,-0.5737301
523.0,7.596713,13.5,49975.0,49975.0,10740.084,10241.35,8698.889,2788.9094,0.0,-0.79178774,-2.993134,1.8617791,-0.54946446
523.0,7.596713,14.5,36556.0,36556.0,5762.3506,9193.669,2891.7483,2317.0955,0.0,-1.1434122,2.8982487,0.03919049,-0.7503013
523.0,7.596713,15.5,27770.0,27770.0,4599.9077,5340.6064,4820.971,3510.317,0.0,-1.2131523,2.335888,-1.9088981,1.7755669
