snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.3231816,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.3231816,1.5,31864.0,31864.0,1003.8359,304.4724,407.001,132.26588,0.0,-0.032204006,-0.5403742,-3.1149092,2.4871254
600.0,6.3231816,2.5,37097.0,37097.0,927.33624,4313.532,422.34396,981.56757,0.0,0.74287695,1.8557037,2.5813732,-2.9268107
600.0,6.3231816,3.5,38763.0,38763.0,173.26913,4203.9795,407.00964,1346.0615,0.0,-2.7721002,1.1261955,3.0129523,-2.5409071
600.0,6.3231816,4.5,46800.0,46800.0,988.38916,9190.559,336.72443,1498.6549,0.0,-2.435378,1.271765,3.0769384,1.8580018
600.0,6.3231816,5.5,58633.0,58633.0,1540.2605,14885.82,2235.2148,2912.7812,0.0,-0.29857993,1.765068,0.5807135,-2.947628
600.0,6.3231816,6.5,59982.0,59982.0,4120.1704,13000.39,1793.9379,1607.9795,0.0,-3.1286752,1.7259218,-2.1199265,-2.3568425
600.0,6.3231816,7.5,57890.0,57890.0,998.9731,11763.687,1512.0325,1970.3909,0.0,1.8269094,1.8349025,-1.7290409,-2.3375566
600.0,6.3231816,8.5,60101.0,60101.0,5402.757,10209.655,1627.5322,399.2052,0.0,2.20855,2.705227,-2.3755095,-1.5551878
600.0,6.3231816,9.5,56955.0,56955.0,6591.0024,5231.686,1768.3123,2139.1453,0.0,2.3911366,-2.3604693,1.1839825,2.942774
600.0,6.3231816,10.5,54910.0,54910.0,3246.7568,5312.552,1708.2883,1967.5739,0.0,3.134363,-1.6558024,1.4488089,-2.7808099
600.0,6.3231816,11.5,52239.0,52239.0,2833.8357,4022.3086,1184.0234,5450.3076,0.0,2.288002,-0.9225468,2.4625406,-2.5695696
600.0,6.3231816,12.5,45990.0,45990.0,2681.0532,3493.3804,2696.4375,1289.5494,0.0,0.47512108,0.3138459,2.0872064,1.4030781
600.0,6.3231816,13.5,39851.0,39851.0,4710.8037,7372.748,804.4702,2114.1582,0.0,-0.6106673,1.0985706,0.38745344,-0.9085499
600.0,6.3231816,14.5,33734.0,33734.0,8102.921,6388.9595,3313.975,1828.8595,0.0,-0.48774916,1.1541392,1.4894457,2.5430875
600.0,6.3231816,15.5,29501.0,29501.0,9917.443,4101.0166,4809.152,3603.0417,0.0,-0.3557875,0.57568073,0.8184737,1.8897297
600.0,6.3231816,16.5,22987.0,22987.0,9644.766,2739.1682,4490.704,956.247,0.0,-0.5999379,0.6224004,0.4898929,2.3248332
600.0,6.3231816,17.5,16625.0,16625.0,8670.712,1705.8439,3905.0732,77.3354,0.0,-0.55269563,1.1131481,0.99213874,3.1302085
600.0,6.3231816,18.5,12149.0,12149.0,9510.133,3291.7083,1582.4668,1247.8555,0.0,-0.71834165,-1.7940177,2.0347652,1.9533237
600.0,6.3231816,19.5,8686.0,8686.0,8329.729,4495.22,1032.841,806.1861,0.0,-0.67886025,-1.2787751,-2.591286,1.5244249
600.0,6.3231816,20.5,6098.0,6098.0,7602.8115,4846.5034,2564.048,1509.6929,0.0,-0.71942604,-1.3275042,-2.113041,-2.8550913
600.0,6.3231816,21.5,3980.0,3980.0,5199.886,3522.8638,2566.0696,1925.5161,0.0,-0.72492355,-1.3723642,-2.1532576,-2.8352613
602.0,6.2968197,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.2968197,1.5,32211.0,32211.0,1003.8896,620.1854,194.35965,223.74059,0.0,-0.77654815,0.27548462,0.06728024,0.725706
602.0,6.2968197,2.5,36359.0,36359.0,1217.2664,5677.9263,590.8056,1688.0065,0.0,-1.6020576,1.8851947,0.080094494,-2.6336555
602.0,6.2968197,3.5,39738.0,39738.0,573.89233,1862.3916,1283.7198,522.29175,0.0,0.44056588,1.9234288,-0.3901606,-2.3449364
602.0,6.2968197,4.5,46777.0,46777.0,504.68085,7769.5103,439.17798,538.59625,0.0,-2.672524,0.9059205,2.5617046,0.09596817
602.0,6.2968197,5.5,60896.0,60896.0,275.04086,15586.095,1426.8308,3732.3176,0.0,-0.09019107,1.3937914,-1.3248601,2.5478215
602.0,6.2968197,6.5,60859.0,60859.0,2675.7756,12527.146,822.4978,3065.895,0.0,2.7557333,1.3482615,1.0452343,3.0076547
602.0,6.2968197,7.5,58281.0,58281.0,1473.161,10605.885,1879.8467,1205.467,0.0,-0.4040584,1.6707834,2.569738,2.3193996
602.0,6.2968197,8.5,59772.0,59772.0,4130.4595,10555.166,1158.9462,665.89685,0.0,2.5630362,2.261259,1.0056766,-0.4434029
602.0,6.2968197,9.5,54997.0,54997.0,8454.675,6958.743,2413.8088,3487.214,0.0,2.3750272,-2.852566,-0.11637513,1.1870675
602.0,6.2968197,10.5,53296.0,53296.0,5074.9277,5848.311,4199.1846,713.1681,0.0,2.7997513,-2.280542,0.14196713,1.0703647
602.0,6.2968197,11.5,50503.0,50503.0,2516.7163,2623.5005,2067.233,1333.7883,0.0,2.0452242,-1.6947203,1.6503778,2.070312
602.0,6.2968197,12.5,48126.0,48126.0,2133.865,2236.07,331.51517,1281.7698,0.0,1.5584155,-0.29226944,-2.9168792,1.9539758
602.0,6.2968197,13.5,40499.0,40499.0,3055.7407,4542.6167,4542.207,658.2058,0.0,-0.3728842,0.48094663,-0.8954228,0.8888589
602.0,6.2968197,14.5,33152.0,33152.0,8002.409,3821.952,2736.2908,699.19934,0.0,-0.31487745,0.9258447,-0.082832575,-0.043262452
602.0,6.2968197,15.5,29467.0,29467.0,10965.31,4970.741,4870.971,5064.1055,0.0,-0.5256143,0.56103414,0.31116378,1.6238463
602.0,6.2968197,16.5,24120.0,24120.0,11061.148,3333.6865,5619.051,2804.0232,0.0,-0.5557909,0.5679385,0.2995497,0.6451358
602.0,6.2968197,17.5,17292.0,17292.0,8223.228,2434.7766,3138.9187,352.14197,0.0,-0.69082034,2.0649636,0.4852058,1.1940299
602.0,6.2968197,18.5,11749.0,11749.0,7621.5444,2739.3733,2675.8052,1503.9429,0.0,-0.72757477,-2.767837,1.7532393,1.1165891
602.0,6.2968197,19.5,8164.0,8164.0,7331.66,3787.038,1261.0923,1455.9872,0.0,-0.6975002,-1.7506139,2.5067005,1.1142478
602.0,6.2968197,20.5,6072.0,6072.0,7466.915,4647.6343,1992.989,1079.2711,0.0,-0.73429304,-1.4680424,-2.2650158,2.8603687
602.0,6.2968197,21.5,4632.0,4632.0,6508.507,4534.1074,3031.7385,2067.1868,0.0,-0.7293982,-1.5289217,-2.4518867,3.028683
604.0,6.2570214,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604.0,6.2570214,1.5,32380.0,32380.0,139.7218,796.881,634.9646,726.5567,0.0,0.07340753,-0.8892207,-2.6481686,1.8812879
604.0,6.2570214,2.5,36131.0,36131.0,656.75696,6018.087,342.79343,2111.6243,0.0,-0.12506327,1.700137,-3.067609,-3.124475
604.0,6.2570214,3.5,39730.0,39730.0,1095.8936,6850.8765,1110.682,1965.309,0.0,0.13681234,2.324303,-2.1731565,-2.5126078
604.0,6.2570214,4.5,46660.0,46660.0,1895.1777,2226.595,746.9435,1751.0239,0.0,0.803196,-0.033877507,1.3715917,3.0489905
604.0,6.2570214,5.5,59404.0,59404.0,1114.7654,11301.447,650.3915,2444.3884,0.0,1.3728664,0.6855143,-0.15871578,0.8315092
604.0,6.2570214,6.5,62959.0,62959.0,1275.618,12693.822,670.351,1098.87,0.0,-1.6936703,0.74917203,-2.8842983,2.271186
604.0,6.2570214,7.5,59547.0,59547.0,2841.437,10808.535,1343.9099,2724.5054,0.0,-1.5982581,1.0555061,-3.1155167,2.2380147
604.0,6.2570214,8.5,60020.0,60020.0,5251.4204,10618.751,2528.163,1869.5785,0.0,-2.8437037,1.8828405,-2.3229141,-2.7006717
604.0,6.2570214,9.5,54800.0,54800.0,7087.5757,7428.4307,4453.021,2127.3335,0.0,2.308712,2.2054558,-1.6238061,-2.1292667
604.0,6.2570214,10.5,52166.0,52166.0,5595.3467,6114.653,5912.0586,193.7342,0.0,2.004611,2.9426947,-1.2878655,2.8358507
604.0,6.2570214,11.5,48359.0,48359.0,1696.5413,3772.6775,3359.6223,1123.8884,0.0,2.4496944,-2.206355,-1.5617976,3.140618
604.0,6.2570214,12.5,45527.0,45527.0,3652.1855,2690.476,2410.976,478.1728,0.0,2.2460933,-1.3174521,2.1382527,2.1208043
604.0,6.2570214,13.5,41144.0,41144.0,1984.0364,1871.4922,4294.42,1677.3701,0.0,0.89994127,0.08839542,-2.8076186,1.2261804
604.0,6.2570214,14.5,35105.0,35105.0,6966.404,2984.5027,6291.88,1924.8605,0.0,-0.6349746,1.8439785,-2.0949278,-0.65182734
604.0,6.2570214,15.5,28945.0,28945.0,9746.81,2835.9338,3087.9885,4126.2715,0.0,-0.74836975,0.23433147,-1.1934367,-0.43414634
604.0,6.2570214,16.5,22877.0,22877.0,10367.693,3097.241,3987.8157,2668.3833,0.0,-0.72475326,0.17300785,-0.31046465,0.18245651
604.0,6.2570214,17.5,17259.0,17259.0,9177.835,2215.892,2813.4294,827.38654,0.0,-0.5246225,1.3642868,0.23314184,-2.6844969
604.0,6.2570214,18.5,11975.0,11975.0,7416.19,2362.4355,1234.9065,2083.517,0.0,-0.46217772,2.5677204,0.5432421,-1.7850211
604.0,6.2570214,19.5,7243.0,7243.0,5870.335,1485.2522,1725.886,1365.554,0.0,-0.6729944,-2.8490424,1.3145535,-0.35557848
604.0,6.2570214,20.5,5442.0,5442.0,6088.2524,3357.5781,1610.651,797.77435,0.0,-0.875914,-2.1517992,2.8190837,1.8149601
604.0,6.2570214,21.5,4566.0,4566.0,6337.3755,4285.8677,2876.9292,1986.6173,0.0,-0.8875667,-2.0338426,3.1125998,2.0733838
608.0,6.198067,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608.0,6.198067,1.5,32891.0,32891.0,698.962,562.7978,123.018036,149.54193,0.0,-0.12094551,-2.198349,1.411933,-1.226401
608.0,6.198067,2.5,37211.0,37211.0,413.24387,6643.54,432.71014,1667.6078,0.0,-0.7577943,1.5417815,-2.5649388,2.9974313
608.0,6.198067,3.5,39544.0,39544.0,805.57184,10507.788,791.71246,2885.9797,0.0,-1.5811692,1.8083743,-1.1307017,-3.0307136
608.0,6.198067,4.5,50118.0,50118.0,1760.8379,4488.974,845.68616,1712.2667,0.0,-1.9781381,2.9320416,2.745785,-0.45664403
608.0,6.198067,5.5,60666.0,60666.0,1181.9922,5169.8174,1423.0879,1004.165,0.0,1.8999548,-0.9714987,-2.1439514,0.29574952
608.0,6.198067,6.5,59318.0,59318.0,2434.2778,4013.682,2319.946,880.93854,0.0,-1.7660031,-0.5118883,-1.6623076,1.220766
608.0,6.198067,7.5,57912.0,57912.0,1183.9388,5058.5522,2285.6357,954.5971,0.0,-2.7489657,0.061535627,-1.1826838,1.0431876
608.0,6.198067,8.5,57547.0,57547.0,6263.7983,10275.643,3777.5886,710.6119,0.0,3.047553,1.3444555,0.10474898,-2.6850932
608.0,6.198067,9.5,56924.0,56924.0,5917.7935,8489.473,3448.3818,1091.3335,0.0,-3.0501094,1.9566103,0.15736717,-2.2231622
608.0,6.198067,10.5,53895.0,53895.0,4084.1917,2962.9458,1973.8011,2837.2332,0.0,2.0229926,2.4053788,-0.050594788,1.9482191
608.0,6.198067,11.5,49278.0,49278.0,7796.543,4102.0767,2189.2507,2645.3809,0.0,2.149129,2.7529638,0.6992116,-2.7563777
608.0,6.198067,12.5,42757.0,42757.0,5067.3105,2975.0142,1127.5276,2072.5,0.0,1.9968255,2.4173522,1.3564647,-1.1196896
608.0,6.198067,13.5,38662.0,38662.0,2817.021,1931.2064,1832.8059,1537.1783,0.0,0.4756779,1.3637235,1.1299207,0.34121656
608.0,6.198067,14.5,36592.0,36592.0,943.52295,4027.901,644.87024,860.33496,0.0,-2.965187,2.2181015,0.62518495,-2.5068135
608.0,6.198067,15.5,29634.0,29634.0,5462.7246,2589.381,2854.2615,911.6569,0.0,-0.6375631,1.7233299,2.4831052,0.4725962
608.0,6.198067,16.5,23717.0,23717.0,8605.94,2389.3577,2095.0803,1449.5262,0.0,-0.6646452,1.4462706,2.4385023,3.0956733
608.0,6.198067,17.5,17102.0,17102.0,7674.471,4067.1377,1594.9672,2256.3657,0.0,-0.7208765,0.97114736,0.1473409,2.4886642
608.0,6.198067,18.5,12381.0,12381.0,8126.4507,3426.9194,1439.5531,1523.9612,0.0,-0.5695406,1.1450436,0.4460947,2.2351327
608.0,6.198067,19.5,7486.0,7486.0,5688.814,1975.1522,1416.1367,351.086,0.0,-0.5428324,1.9669005,1.5159364,-2.7985654
608.0,6.198067,20.5,4817.0,4817.0,4012.8599,1784.9387,1657.2994,588.4803,0.0,-0.6150792,2.527996,1.9574732,-1.0960672
