snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,33634.0,33634.0,562.7935,1073.6637,0.0,2.6276407,-0.8834841
520.0,7.6413755,2.5,41993.0,41993.0,760.43744,2573.9324,0.0,0.04495785,1.6967775
520.0,7.6413755,3.5,56691.0,56691.0,1259.6265,4606.9966,0.0,-0.7935419,1.9312223
520.0,7.6413755,4.5,78726.0,78726.0,2569.3777,5050.7334,0.0,0.43879363,2.9130132
520.0,7.6413755,5.5,99162.0,99162.0,4395.156,4139.5527,0.0,1.0289339,-2.870412
520.0,7.6413755,6.5,92843.0,92843.0,1163.2283,1843.6547,0.0,-0.33865425,2.7841985
520.0,7.6413755,7.5,89924.0,89924.0,3789.131,4289.789,0.0,3.120447,3.0148554
520.0,7.6413755,8.5,88143.0,88143.0,4074.0159,1153.6282,0.0,3.1332974,-1.2310379
520.0,7.6413755,9.5,86576.0,86576.0,2819.8135,1809.5109,0.0,-3.0634599,1.1838821
520.0,7.6413755,10.5,82826.0,82826.0,3019.7705,3848.4333,0.0,1.0601914,0.9745822
520.0,7.6413755,11.5,68854.0,68854.0,3706.518,3130.8843,0.0,0.16554894,2.1025734
520.0,7.6413755,12.5,58620.0,58620.0,4635.8823,3541.2732,0.0,-0.17844415,-1.6417288
520.0,7.6413755,13.5,48399.0,48399.0,5048.967,2360.1511,0.0,-0.37255877,-3.10593
520.0,7.6413755,14.5,37858.0,37858.0,5423.07,4871.8022,0.0,-0.9345807,3.0170763
520.0,7.6413755,15.5,30866.0,30866.0,3343.0576,7375.643,0.0,0.1586548,-2.7978144
520.0,7.6413755,16.5,27922.0,27922.0,6023.332,7510.1055,0.0,1.0071875,-2.514749
520.0,7.6413755,17.5,21271.0,21271.0,7798.575,2937.4746,0.0,0.6009728,-2.7329352
520.0,7.6413755,18.5,18891.0,18891.0,9067.974,2807.4001,0.0,0.75611955,-2.8255143
520.0,7.6413755,19.5,14333.0,14333.0,8490.216,1443.4794,0.0,0.63637847,1.7353272
520.0,7.6413755,20.5,10134.0,10134.0,6459.2124,2076.0605,0.0,0.5913217,1.3192232
520.0,7.6413755,21.5,7157.0,7157.0,4856.431,2264.7915,0.0,0.5809802,1.217621
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,34033.0,34033.0,422.66595,1171.789,0.0,2.278102,-1.651271
