snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,33671.0,33671.0,632.7247,3628.9104,0.0,2.719602,-1.0382991
520.0,7.6413755,2.5,41658.0,41658.0,1628.2856,3068.2803,0.0,-0.121351644,1.509897
520.0,7.6413755,3.5,56894.0,56894.0,2416.0933,7945.173,0.0,-0.71991664,1.9417669
520.0,7.6413755,4.5,79381.0,79381.0,4860.5127,9276.086,0.0,0.4458434,-3.1267018
520.0,7.6413755,5.5,98776.0,98776.0,8991.169,8895.24,0.0,1.0143504,-2.4928012
520.0,7.6413755,6.5,91219.0,91219.0,2131.253,2770.9937,0.0,-0.46034393,-2.3393345
520.0,7.6413755,7.5,85910.0,85910.0,7939.885,7302.2314,0.0,-3.025663,-2.7403736
520.0,7.6413755,8.5,81422.0,81422.0,9388.671,7963.319,0.0,-2.732403,-1.0058419
520.0,7.6413755,9.5,78202.0,78202.0,7297.5093,5742.149,0.0,-2.4828758,-0.40983465
520.0,7.6413755,10.5,73687.0,73687.0,3036.7307,7676.8823,0.0,1.2209141,0.115301415
520.0,7.6413755,11.5,60663.0,60663.0,5261.652,1916.6174,0.0,-0.3245968,1.8361698
520.0,7.6413755,12.5,51897.0,51897.0,8566.801,10532.688,0.0,-0.51486754,-1.52879
520.0,7.6413755,13.5,41569.0,41569.0,9993.184,4977.9814,0.0,-0.4714023,-2.1775835
520.0,7.6413755,14.5,31392.0,31392.0,10191.161,8774.023,0.0,-0.9918267,-2.8787282
520.0,7.6413755,15.5,25013.0,25013.0,6522.597,13622.282,0.0,-0.2877177,-2.6187508
520.0,7.6413755,16.5,23284.0,23284.0,7919.5513,13705.191,0.0,0.87143946,-2.3722625
520.0,7.6413755,17.5,17944.0,17944.0,12823.273,6089.7275,0.0,0.61885786,-2.5846276
520.0,7.6413755,18.5,15747.0,15747.0,14897.671,5689.077,0.0,0.779354,-2.6662378
520.0,7.6413755,19.5,11482.0,11482.0,13615.966,1799.2858,0.0,0.60968846,1.5147051
520.0,7.6413755,20.5,8532.0,8532.0,10921.613,3469.0032,0.0,0.59122187,1.1001287
520.0,7.6413755,21.5,6263.0,6263.0,8677.643,4171.011,0.0,0.59207886,1.1212323
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,34311.0,34311.0,853.2281,3576.8313,0.0,2.3547502,-1.4615465
523.0,7.596713,2.5,42109.0,42109.0,946.9093,1731.6902,0.0,1.2963653,1.7148664
523.0,7.596713,3.5,52064.0,52064.0,1984.3683,8065.834,0.0,2.755889,1.4321835
523.0,7.596713,4.5,72292.0,72292.0,2688.4753,13224.955,0.0,-2.201857,2.0752482
523.0,7.596713,5.5,92012.0,92012.0,3413.5684,14400.504,0.0,2.022273,2.9368513
523.0,7.596713,6.5,100882.0,100882.0,7247.2344,9728.795,0.0,0.16962017,2.130309
523.0,7.596713,7.5,96604.0,96604.0,6294.0205,2697.7605,0.0,-1.0186207,-2.3170474
523.0,7.596713,8.5,91648.0,91648.0,15277.386,2167.5234,0.0,-2.3197405,-0.34868026
523.0,7.596713,9.5,77277.0,77277.0,8303.571,7156.956,0.0,-2.5494425,-0.055201724
523.0,7.596713,10.5,71887.0,71887.0,5973.5825,5531.994,0.0,-2.067779,0.46651143
523.0,7.596713,11.5,63014.0,63014.0,9691.571,2833.6006,0.0,-0.994287,1.6682627
523.0,7.596713,12.5,54669.0,54669.0,15662.98,2187.6113,0.0,-0.66340864,-2.761502
523.0,7.596713,13.5,42428.0,42428.0,11701.59,8704.457,0.0,-0.98864704,-2.6016057
523.0,7.596713,14.5,31085.0,31085.0,5749.086,7866.0225,0.0,-1.440455,3.0428534
