snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,33634.0,33634.0,223587.84,8989.106,0.0,1.6844734,-2.683294
520.0,7.6413755,2.5,41993.0,41993.0,238852.78,10652.061,0.0,2.0440283,0.5978018
520.0,7.6413755,3.5,56691.0,56691.0,232590.84,23758.12,0.0,2.5841641,-1.7293426
520.0,7.6413755,4.5,78726.0,78726.0,287794.0,65605.52,0.0,2.623541,0.5509123
520.0,7.6413755,5.5,99162.0,99162.0,312333.8,36029.39,0.0,-3.1327965,-3.0756423
520.0,7.6413755,6.5,92843.0,92843.0,421093.78,63772.69,0.0,-3.0532079,1.0330107
520.0,7.6413755,7.5,89924.0,89924.0,396346.5,136370.89,0.0,2.9909577,0.71050197
520.0,7.6413755,8.5,88143.0,88143.0,464010.38,52467.965,0.0,2.921839,3.0271852
520.0,7.6413755,9.5,86576.0,86576.0,311111.47,135968.02,0.0,2.996385,-1.2165744
520.0,7.6413755,10.5,82826.0,82826.0,44141.105,100976.945,0.0,-0.34993967,1.9856305
520.0,7.6413755,11.5,68854.0,68854.0,211772.45,176631.23,0.0,-0.8346066,1.4698287
520.0,7.6413755,12.5,58620.0,58620.0,439471.03,215970.77,0.0,-0.77848613,1.4453783
520.0,7.6413755,13.5,48399.0,48399.0,484084.84,68048.67,0.0,-0.88249916,1.211864
520.0,7.6413755,14.5,37858.0,37858.0,455288.72,45351.7,0.0,-0.96243316,1.7074076
520.0,7.6413755,15.5,30866.0,30866.0,445397.06,59681.555,0.0,-1.0031127,1.2965419
520.0,7.6413755,16.5,27922.0,27922.0,429556.28,113189.49,0.0,-0.98953146,0.88177997
520.0,7.6413755,17.5,21271.0,21271.0,193274.14,51884.098,0.0,-1.3623023,-0.6594334
520.0,7.6413755,18.5,18891.0,18891.0,125179.38,37817.89,0.0,-1.8628381,-1.490815
520.0,7.6413755,19.5,14333.0,14333.0,121376.51,48502.992,0.0,-2.1689405,-1.6875311
520.0,7.6413755,20.5,10134.0,10134.0,124207.79,72086.82,0.0,-2.5457208,-2.2200837
520.0,7.6413755,21.5,7157.0,7157.0,101838.28,64198.586,0.0,-2.7113235,-2.45748
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,34033.0,34033.0,225717.2,39544.445,0.0,1.6534543,0.8634676
523.0,7.596713,2.5,42151.0,42151.0,254785.55,28550.059,0.0,2.2108514,2.1659222
523.0,7.596713,3.5,52050.0,52050.0,238773.78,58925.832,0.0,2.4769154,-1.0512322
523.0,7.596713,4.5,71932.0,71932.0,265228.7,29111.8,0.0,2.6692505,-1.021484
523.0,7.596713,5.5,92419.0,92419.0,284278.1,59153.727,0.0,-3.1373935,-1.8372929
523.0,7.596713,6.5,102986.0,102986.0,434848.56,34368.445,0.0,-2.9405966,-2.3630385
523.0,7.596713,7.5,100745.0,100745.0,447117.16,30088.105,0.0,2.9811137,1.845843
523.0,7.596713,8.5,97607.0,97607.0,451671.56,59071.066,0.0,2.687626,0.0059105866
523.0,7.596713,9.5,85078.0,85078.0,235910.86,107550.07,0.0,2.8777986,0.1310477
523.0,7.596713,10.5,80023.0,80023.0,79149.8,83762.61,0.0,-2.943615,-0.09619903
523.0,7.596713,11.5,71459.0,71459.0,208946.92,190566.11,0.0,-0.9386645,0.3729846
