snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,121118.0,121118.0,1029082.4,36288.152,0.0,1.1301649,-2.8620956
520.0,7.6413755,2.5,92709.0,92709.0,626951.6,20684.133,0.0,1.3466666,-2.4905465
520.0,7.6413755,3.5,84954.0,84954.0,370761.88,35571.91,0.0,1.9114505,-1.9125383
520.0,7.6413755,4.5,97090.0,97090.0,340778.3,64449.844,0.0,2.2797737,0.62256557
520.0,7.6413755,5.5,112683.0,112683.0,318401.25,44572.863,0.0,2.982991,-3.0436623
520.0,7.6413755,6.5,103172.0,103172.0,445255.53,63547.07,0.0,-3.11839,1.0677253
520.0,7.6413755,7.5,98135.0,98135.0,415346.97,140384.31,0.0,2.9422176,0.63699156
520.0,7.6413755,8.5,94827.0,94827.0,495032.56,43621.83,0.0,2.9072146,-2.9605613
520.0,7.6413755,9.5,90934.0,90934.0,328528.53,140439.7,0.0,2.9903328,-1.2452407
520.0,7.6413755,10.5,86561.0,86561.0,50617.55,110391.516,0.0,-0.21542397,2.0355458
520.0,7.6413755,11.5,71699.0,71699.0,217357.88,189013.55,0.0,-0.85058767,1.4804357
520.0,7.6413755,12.5,60728.0,60728.0,454990.75,221243.2,0.0,-0.77357566,1.4892567
520.0,7.6413755,13.5,49568.0,49568.0,501288.7,68153.39,0.0,-0.88544494,1.1656544
520.0,7.6413755,14.5,38441.0,38441.0,466850.84,38654.16,0.0,-0.9817707,1.4563907
520.0,7.6413755,15.5,30775.0,30775.0,448088.94,59350.305,0.0,-1.0085002,1.1585965
520.0,7.6413755,16.5,28298.0,28298.0,438031.66,112096.12,0.0,-0.99155074,0.9048212
520.0,7.6413755,17.5,21614.0,21614.0,191300.34,49504.336,0.0,-1.4126978,-0.7722292
520.0,7.6413755,18.5,19029.0,19029.0,127823.734,41289.92,0.0,-1.9139891,-1.5477821
520.0,7.6413755,19.5,14239.0,14239.0,121316.97,48619.12,0.0,-2.1758378,-1.7601393
520.0,7.6413755,20.5,10248.0,10248.0,123676.99,70255.62,0.0,-2.5383291,-2.2452784
520.0,7.6413755,21.5,7409.0,7409.0,104272.81,66863.03,0.0,-2.705926,-2.47333
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,121525.0,121525.0,979722.1,54226.316,0.0,1.1608727,1.4037013
523.0,7.596713,2.5,92430.0,92430.0,615959.25,54889.453,0.0,1.4376211,2.0398483
523.0,7.596713,3.5,80968.0,80968.0,387376.22,50604.07,0.0,1.8136183,-1.4245017
523.0,7.596713,4.5,91207.0,91207.0,322771.72,29075.076,0.0,2.2729487,-0.9725347
523.0,7.596713,5.5,106089.0,106089.0,292026.16,60786.195,0.0,2.945774,-1.7042958
523.0,7.596713,6.5,113779.0,113779.0,450354.66,32268.162,0.0,-3.0207894,-2.3570669
523.0,7.596713,7.5,109791.0,109791.0,483633.0,34383.48,0.0,2.9526336,1.4984449
523.0,7.596713,8.5,104589.0,104589.0,486817.53,66334.54,0.0,2.6636684,-0.07551274
523.0,7.596713,9.5,90162.0,90162.0,253328.5,105559.195,0.0,2.8717985,0.06721901
523.0,7.596713,10.5,83641.0,83641.0,85062.84,87561.72,0.0,-2.9289787,0.028408801
523.0,7.596713,11.5,73963.0,73963.0,209357.1,187926.19,0.0,-0.91407233,0.37582648
523.0,7.596713,12.5,64993.0,64993.0,449403.0,163640.4,0.0,-0.7980881,0.3138683
523.0,7.596713,13.5,53348.0,53348.0,409537.75,108610.055,0.0,-0.85504746,0.61060256
523.0,7.596713,14.5,39554.0,39554.0,365302.56,46419.016,0.0,-1.0568147,1.6631999
523.0,7.596713,15.5,30221.0,30221.0,330579.9,7604.4995,0.0,-1.0281094,-1.8194531
523.0,7.596713,16.5,25487.0,25487.0,303646.72,10702.502,0.0,-1.2115995,-1.8330686
523.0,7.596713,17.5,22094.0,22094.0,237473.36,8668.475,0.0,-1.3092536,-1.9015517
523.0,7.596713,18.5,17505.0,17505.0,163423.64,17453.758,0.0,-1.4254245,3.0991015
523.0,7.596713,19.5,12789.0,12789.0,95672.914,36120.812,0.0,-1.9059588,-2.3633885
523.0,7.596713,20.5,9259.0,9259.0,94934.51,63508.176,0.0,-2.659928,-2.5256736
523.0,7.596713,21.5,5402.0,5402.0,59650.344,42676.02,0.0,-2.7955709,-2.829173
525.0,7.566684,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,1.5,122011.0,122011.0,998866.4,39461.7,0.0,1.1089451,-2.7569053
525.0,7.566684,2.5,93692.0,93692.0,570488.44,56614.99,0.0,1.4248236,-0.8345711
525.0,7.566684,3.5,82937.0,82937.0,385502.06,39368.35,0.0,1.8271261,3.0818121
525.0,7.566684,4.5,91438.0,91438.0,239298.94,45392.29,0.0,2.1950495,3.117582
525.0,7.566684,5.5,104332.0,104332.0,264295.72,74854.64,0.0,2.5170217,2.8243852
525.0,7.566684,6.5,108892.0,108892.0,348351.66,84338.03,0.0,3.0977266,-1.6745626
525.0,7.566684,7.5,111946.0,111946.0,515943.75,48963.75,0.0,2.958836,1.6067921
525.0,7.566684,8.5,105728.0,105728.0,433558.9,113913.9,0.0,2.7537413,-0.28344482
525.0,7.566684,9.5,97610.0,97610.0,236456.22,186654.1,0.0,2.0761497,-1.1005008
525.0,7.566684,10.5,86596.0,86596.0,76815.32,116403.14,0.0,-0.67709875,-0.38498542
525.0,7.566684,11.5,74326.0,74326.0,239998.8,93239.55,0.0,-0.8340772,0.12375386
525.0,7.566684,12.5,67843.0,67843.0,426427.0,127412.17,0.0,-0.84107184,0.25156322
525.0,7.566684,13.5,54336.0,54336.0,340201.1,58146.203,0.0,-0.965068,-0.31158882
525.0,7.566684,14.5,41077.0,41077.0,309813.06,61071.49,0.0,-0.9139544,-0.67209125
525.0,7.566684,15.5,30568.0,30568.0,277226.16,26756.457,0.0,-0.976916,-1.9804176
525.0,7.566684,16.5,24533.0,24533.0,198989.31,63838.39,0.0,-1.0885717,-2.253516
525.0,7.566684,17.5,21059.0,21059.0,139031.17,75657.875,0.0,-1.4726542,-2.6541731
525.0,7.566684,18.5,17036.0,17036.0,162212.78,4029.6643,0.0,-1.4351579,1.6551766
525.0,7.566684,19.5,12302.0,12302.0,93924.43,12149.548,0.0,-1.8243774,-2.2200956
525.0,7.566684,20.5,9643.0,9643.0,89185.39,57667.125,0.0,-2.5814033,-2.4806573
525.0,7.566684,21.5,4102.0,4102.0,37599.98,23404.896,0.0,-2.7304664,-2.7947779
527.0,7.5333905,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527.0,7.5333905,1.5,120434.0,120434.0,918684.8,76743.195,0.0,1.1684897,-3.100576
527.0,7.5333905,2.5,93247.0,93247.0,563176.2,27329.857,0.0,1.4121969,-1.9770842
527.0,7.5333905,3.5,85040.0,85040.0,400303.62,38326.258,0.0,1.8817796,3.090764
527.0,7.5333905,4.5,94960.0,94960.0,342052.7,98827.58,0.0,2.1928165,-2.591539
527.0,7.5333905,5.5,109924.0,109924.0,276430.28,85170.19,0.0,2.4975264,-3.0998282
527.0,7.5333905,6.5,107066.0,107066.0,245178.4,32894.363,0.0,2.9400764,-1.5267104
527.0,7.5333905,7.5,104079.0,104079.0,401979.6,67588.47,0.0,-3.1135647,-3.077949
527.0,7.5333905,8.5,107264.0,107264.0,568489.9,43870.652,0.0,2.8996422,2.4963489
527.0,7.5333905,9.5,96239.0,96239.0,223309.94,129925.0,0.0,2.6582398,-0.8698928
527.0,7.5333905,10.5,91204.0,91204.0,131916.88,183995.73,0.0,-0.7444813,-0.8243243
527.0,7.5333905,11.5,75713.0,75713.0,284248.5,167235.33,0.0,-0.54052114,-0.6324005
527.0,7.5333905,12.5,70468.0,70468.0,407098.28,167728.23,0.0,-0.6847432,-0.57285124
527.0,7.5333905,13.5,57448.0,57448.0,409425.78,127209.445,0.0,-0.70934296,-0.7188317
527.0,7.5333905,14.5,43782.0,43782.0,313877.5,27903.332,0.0,-0.92097455,-3.0511425
527.0,7.5333905,15.5,34296.0,34296.0,302903.72,36209.29,0.0,-0.9417834,-2.8475611
527.0,7.5333905,16.5,24386.0,24386.0,178695.56,52844.375,0.0,-1.1547139,-2.3047707
527.0,7.5333905,17.5,18827.0,18827.0,112598.36,57223.785,0.0,-1.4955615,-2.6057813
527.0,7.5333905,18.5,15123.0,15123.0,75190.586,43265.938,0.0,-1.4964842,-2.2101755
527.0,7.5333905,19.5,11649.0,11649.0,55812.36,14475.606,0.0,-1.7205,-2.4287088
527.0,7.5333905,20.5,8098.0,8098.0,68129.17,54897.22,0.0,-2.54417,-2.387422
527.0,7.5333905,21.5,4172.0,4172.0,26721.416,28809.727,0.0,-2.6557496,-2.4461608
530.0,7.48298,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
530.0,7.48298,1.5,121096.0,121096.0,917168.2,7294.0684,0.0,1.1123756,2.7227845
530.0,7.48298,2.5,92450.0,92450.0,514521.6,23816.398,0.0,1.4374137,-2.187882
530.0,7.48298,3.5,86204.0,86204.0,351306.25,42800.777,0.0,1.921276,0.7665154
530.0,7.48298,4.5,93189.0,93189.0,414371.84,48038.363,0.0,2.3648455,1.6605537
530.0,7.48298,5.5,107191.0,107191.0,345830.6,48846.324,0.0,2.840603,1.7969651
530.0,7.48298,6.5,114551.0,114551.0,328058.66,31005.69,0.0,2.7919497,2.731425
530.0,7.48298,7.5,104794.0,104794.0,283660.72,103650.94,0.0,-2.9639347,-2.7280235
530.0,7.48298,8.5,101685.0,101685.0,369624.03,91679.36,0.0,2.9764173,2.2988377
530.0,7.48298,9.5,97674.0,97674.0,326031.62,123713.07,0.0,-3.116795,0.9985669
530.0,7.48298,10.5,90289.0,90289.0,128717.11,220234.11,0.0,-2.1930232,-1.180092
530.0,7.48298,11.5,75390.0,75390.0,228817.38,209747.95,0.0,-0.69794345,-1.1649281
530.0,7.48298,12.5,67901.0,67901.0,489383.88,154477.8,0.0,-0.75383687,-0.6085793
530.0,7.48298,13.5,59388.0,59388.0,537916.8,41170.047,0.0,-0.64917696,-0.8190505
530.0,7.48298,14.5,49823.0,49823.0,410971.53,70936.516,0.0,-0.73612654,-2.0050225
530.0,7.48298,15.5,37117.0,37117.0,320693.12,121905.71,0.0,-0.83674943,-2.562379
530.0,7.48298,16.5,27430.0,27430.0,240905.17,35402.887,0.0,-1.2776005,-2.4063835
530.0,7.48298,17.5,19635.0,19635.0,159012.11,51431.78,0.0,-1.3258854,-2.315053
530.0,7.48298,18.5,15293.0,15293.0,105377.19,40545.477,0.0,-1.2198629,-2.347175
530.0,7.48298,19.5,11252.0,11252.0,40924.336,25900.018,0.0,-1.4015332,-2.158925
530.0,7.48298,20.5,7586.0,7586.0,30762.062,35512.086,0.0,-2.3908267,-3.063307
530.0,7.48298,21.5,4832.0,4832.0,36211.51,46386.45,0.0,-2.9798796,3.01628
532.0,7.445623,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
532.0,7.445623,1.5,120928.0,120928.0,919170.44,53712.285,0.0,1.1452178,-2.3596656
532.0,7.445623,2.5,92829.0,92829.0,547165.8,16078.035,0.0,1.4232917,1.5582094
532.0,7.445623,3.5,86748.0,86748.0,389460.78,54755.14,0.0,1.8571098,-0.4838343
532.0,7.445623,4.5,94483.0,94483.0,503573.1,42959.64,0.0,2.3223798,0.46651134
532.0,7.445623,5.5,108482.0,108482.0,341882.25,13506.227,0.0,2.636742,-1.274206
532.0,7.445623,6.5,111019.0,111019.0,345450.4,39228.863,0.0,3.0166326,1.3165449
