snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,phase0,phase1,phase2,phase3
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,123396.0,3250356.0,212137.97,1031784.44,143261.97,0.0,2.435944,1.983819,-2.5721908
520.0,7.6413755,2.5,94624.0,8573053.0,612700.7,673109.56,132106.5,0.0,2.8872342,-2.1043415,0.26605952
520.0,7.6413755,3.5,86614.0,13857779.0,794299.3,1068670.6,422683.66,0.0,2.4802973,-1.7564347,2.9782712
520.0,7.6413755,4.5,98543.0,19734776.0,1325015.9,1542465.4,98982.28,0.0,-2.7536862,0.31666708,1.1523759
520.0,7.6413755,5.5,114124.0,24790494.0,1930834.4,2126279.2,591175.2,0.0,-2.1417704,0.9315791,-1.9380213
520.0,7.6413755,6.5,104651.0,22708060.0,618371.75,1024199.25,1336930.9,0.0,2.3439426,1.2792753,-1.3700457
520.0,7.6413755,7.5,100008.0,21629972.0,2047885.5,1629632.6,1005444.0,0.0,0.108959794,0.59022903,1.035557
520.0,7.6413755,8.5,96960.0,20594014.0,2146549.0,1509884.8,856549.9,0.0,-0.006083564,1.9321054,1.4279956
520.0,7.6413755,9.5,93453.0,19661018.0,1115931.6,768912.5,107573.67,0.0,0.09320057,2.5833263,1.2512062
520.0,7.6413755,10.5,88916.0,18268340.0,1391052.8,1490161.2,1017720.1,0.0,-2.1945758,-3.0002978,-0.4212833
520.0,7.6413755,11.5,74275.0,14897844.0,1641799.6,439057.78,769515.56,0.0,-3.1101046,-0.7802744,-2.9211304
520.0,7.6413755,12.5,62928.0,12540016.0,1887206.6,2032351.6,740005.2,0.0,2.8701868,1.6141341,-1.9804054
520.0,7.6413755,13.5,51765.0,10091838.0,2198002.2,1109150.4,356219.25,0.0,2.7276607,0.54645145,-0.067742966
520.0,7.6413755,14.5,40439.0,7746058.5,2286881.5,1928122.6,685770.9,0.0,2.1336565,0.10793774,3.006634
520.0,7.6413755,15.5,32671.0,6090682.5,1281478.1,2980325.8,747570.7,0.0,-3.0695136,0.4699046,2.8289475
520.0,7.6413755,16.5,29518.0,5312108.0,2333814.2,2891336.8,641884.25,0.0,-2.1049237,0.75138867,1.9520243
520.0,7.6413755,17.5,22602.0,3878214.2,2819985.5,1073830.8,1061117.8,0.0,-2.5283728,0.6133752,0.84209913
520.0,7.6413755,18.5,19990.0,3434359.8,3373702.8,1128871.8,1071178.9,0.0,-2.299887,0.3682391,1.4417667
520.0,7.6413755,19.5,15184.0,2624356.2,3192750.5,671747.25,422941.1,0.0,-2.433029,-1.2331914,1.1219192
520.0,7.6413755,20.5,10764.0,1842283.9,2408244.0,795010.75,220452.44,0.0,-2.4933388,-1.6790068,-0.19569814
520.0,7.6413755,21.5,7663.0,1286637.0,1789759.1,848418.9,400880.38,0.0,-2.534341,-1.8449342,-0.7464044
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,123951.0,3546916.2,207696.97,1082071.2,254111.53,0.0,-1.5353429,1.8306681,-0.8947692
523.0,7.596713,2.5,94622.0,8678442.0,290096.72,411857.6,372087.62,0.0,-2.2324467,2.8898752,1.7280908
523.0,7.596713,3.5,82685.0,12562045.0,474017.72,1285802.8,23649.668,0.0,-0.65969324,-2.178938,2.9270613
523.0,7.596713,4.5,92644.0,17820704.0,398492.16,1866037.9,488489.84,0.0,1.0854512,-1.20145,2.700982
523.0,7.596713,5.5,107489.0,22748956.0,1001042.3,2311700.8,1290915.5,0.0,-1.3028235,-0.027204335,0.2931372
523.0,7.596713,6.5,115439.0,24992500.0,1733767.9,1703622.9,470396.34,0.0,-2.7910607,-1.1093061,-0.27545366
523.0,7.596713,7.5,111589.0,23934238.0,1417960.8,881424.44,1365962.0,0.0,2.1378245,1.3552881,-0.36881283
523.0,7.596713,8.5,106763.0,22718074.0,3230681.2,629660.4,1723719.0,0.0,0.7687119,2.2485085,0.87417436
523.0,7.596713,9.5,92673.0,19551814.0,1492457.9,1171898.1,1335659.4,0.0,0.28658104,2.970585,1.2852393
523.0,7.596713,10.5,86033.0,17844364.0,1018379.0,890652.94,1097378.5,0.0,1.5882245,-2.6590455,-2.2423084
523.0,7.596713,11.5,76391.0,15577617.0,2264614.2,1114089.5,1350447.4,0.0,2.5773373,-0.8914142,-2.5656357
523.0,7.596713,12.5,67776.0,13631365.0,3606147.2,1081246.8,875340.3,0.0,2.7051003,-0.14415841,-2.3011963
523.0,7.596713,13.5,55974.0,11003912.0,2218514.8,2529733.5,1550394.1,0.0,2.4472718,0.11222975,-1.2523835
523.0,7.596713,14.5,41688.0,7999213.5,1113837.1,2132372.8,678145.1,0.0,2.1971767,-0.15963367,2.778888
523.0,7.596713,15.5,32244.0,6063525.5,863684.0,956277.2,1033660.6,0.0,2.0604806,-0.8866223,1.1365846
523.0,7.596713,16.5,27189.0,4908567.0,1731360.4,1024486.6,635201.1,0.0,-2.9909348,-0.20391715,0.48299345
523.0,7.596713,17.5,23475.0,4076161.5,2644531.8,794189.9,856899.5,0.0,-2.6225884,-0.13943656,-0.24244978
523.0,7.596713,18.5,18521.0,3163716.8,2477153.2,757077.44,534791.5,0.0,-2.557937,0.41173315,-0.3308847
523.0,7.596713,19.5,13510.0,2356372.0,2790826.2,679917.2,866994.75,0.0,-2.6029408,-1.052282,0.6566445
523.0,7.596713,20.5,9714.0,1686588.4,2463963.0,1144438.1,442122.66,0.0,-2.784849,-2.4308243,-1.9730492
523.0,7.596713,21.5,5645.0,965581.1,1380607.9,657863.44,267513.3,0.0,-2.7572057,-2.3398066,-1.5457832
525.0,7.566684,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,1.5,124527.0,3639906.2,560394.44,1267639.2,204782.86,0.0,-2.9747365,1.7793473,1.9788328
525.0,7.566684,2.5,95846.0,8919293.0,334875.84,463181.84,107594.38,0.0,-1.7795666,1.8963187,-1.9247963
525.0,7.566684,3.5,84714.0,13101394.0,862141.5,855123.7,238243.53,0.0,-2.1015959,-2.8339078,1.3677272
525.0,7.566684,4.5,92968.0,17877068.0,488910.5,1802509.4,528600.9,0.0,-0.44306585,-1.3405048,0.9767039
525.0,7.566684,5.5,105775.0,22197836.0,555987.2,2990226.0,751041.0,0.0,-0.9413328,-0.7435658,-2.5442357
525.0,7.566684,6.5,110507.0,23800964.0,1057446.2,1290199.1,741719.3,0.0,-2.0485191,-0.32576075,-2.7950437
525.0,7.566684,7.5,113898.0,24521126.0,2034091.2,308207.3,1076040.8,0.0,3.0240388,1.4547173,-2.2872684
525.0,7.566684,8.5,107827.0,22874790.0,1884054.4,1844045.6,671738.0,0.0,0.64922625,1.4009345,-1.25708
525.0,7.566684,9.5,100136.0,20917130.0,4324938.0,785578.56,717300.9,0.0,0.36822507,2.6266866,-1.5707039
525.0,7.566684,10.5,89151.0,18481294.0,1790357.0,2166142.8,981544.9,0.0,1.475205,-2.4904487,2.5822957
525.0,7.566684,11.5,76668.0,15646719.0,3279177.2,797700.4,1196593.5,0.0,2.3227253,-1.5568564,-3.0964913
525.0,7.566684,12.5,70654.0,14392972.0,4666300.0,1573697.2,2407462.5,0.0,2.2070837,-0.6398493,-2.2729468
525.0,7.566684,13.5,56994.0,11206915.0,2558664.5,1520264.2,1808488.4,0.0,2.493896,-0.42618492,-1.8365304
525.0,7.566684,14.5,43278.0,8335414.0,1580752.9,1059812.8,1450741.5,0.0,1.5867636,-0.9479855,-2.1893172
525.0,7.566684,15.5,32536.0,6080177.5,1117428.9,1126633.0,591856.56,0.0,2.365608,-1.7891175,-0.2919632
525.0,7.566684,16.5,26184.0,4726258.5,1735200.8,519563.28,755517.3,0.0,-2.8617117,-2.2934272,-0.26010716
525.0,7.566684,17.5,22627.0,3959867.5,2395117.8,479766.38,512437.97,0.0,-2.8119621,-0.1864081,0.47906312
525.0,7.566684,18.5,18387.0,3143145.5,2357897.0,620031.6,548160.0,0.0,-2.5446324,0.42495713,1.4107221
525.0,7.566684,19.5,13133.0,2271645.5,2388566.5,479883.2,189985.08,0.0,-2.6722293,-1.8393078,1.6040418
525.0,7.566684,20.5,10256.0,1828336.6,2455032.5,832760.6,115099.47,0.0,-2.6388009,-2.0095818,-2.0856986
525.0,7.566684,21.5,4489.0,770602.94,1118944.1,548901.9,299127.1,0.0,-2.9081235,-2.7594876,-2.3135211
527.0,7.5333905,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527.0,7.5333905,1.5,123190.0,3303370.5,690656.44,1037646.94,47932.57,0.0,-2.75986,1.6570094,2.1963348
527.0,7.5333905,2.5,95629.0,8558938.0,320080.66,718838.3,55483.344,0.0,-2.3160863,0.70774657,0.3736573
527.0,7.5333905,3.5,86990.0,13605930.0,238143.92,478598.1,114505.54,0.0,1.6110574,1.9415087,1.9601079
527.0,7.5333905,4.5,96620.0,18744322.0,829165.4,2358343.0,528197.0,0.0,-1.3712429,-2.2297463,-1.3659176
527.0,7.5333905,5.5,111545.0,23301550.0,798910.4,3559648.0,241175.16,0.0,-1.531281,-1.6740179,1.8971127
527.0,7.5333905,6.5,108685.0,23255038.0,2018517.8,2736322.2,160289.9,0.0,-2.8148904,-1.1551306,2.913474
527.0,7.5333905,7.5,105895.0,22816464.0,1749819.0,2051536.0,1032454.6,0.0,-2.9034781,-1.6805614,-3.0301273
527.0,7.5333905,8.5,109242.0,23183454.0,1199868.5,1370023.6,955899.7,0.0,1.6557537,0.56589556,2.5907419
