snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,27938.0,5026349.5,4852.741,852122.4,119557.57,178560.92,0.0,-1.0078282,2.099515,-1.8576216,-2.139304
520.0,7.6413755,2.5,40263.0,8559902.0,445585.8,539857.6,126684.875,173533.2,0.0,2.830344,2.9959788,-0.11129587,-1.4078071
520.0,7.6413755,3.5,57150.0,13238289.0,596124.1,825071.9,428358.28,225877.98,0.0,2.5181918,-1.9838468,-3.0870636,1.7716538
520.0,7.6413755,4.5,81043.0,19270074.0,1317248.6,1476590.4,120377.35,988386.4,0.0,-2.7226048,0.6061937,0.93837184,2.3086789
520.0,7.6413755,5.5,102145.0,24279994.0,1919880.8,2373873.2,634805.1,966379.3,0.0,-2.1446958,1.0556104,-1.9512343,-2.0257382
520.0,7.6413755,6.5,95116.0,22137330.0,563778.4,1411041.6,1300779.5,306234.2,0.0,2.2670121,1.4362717,-1.3422456,1.0299342
520.0,7.6413755,7.5,90846.0,20833544.0,2098677.8,1793975.9,898148.94,491858.4,0.0,0.14055037,0.8680984,0.97754455,1.9015509
520.0,7.6413755,8.5,88220.0,19630930.0,2226336.2,2152695.8,716207.75,289459.8,0.0,0.102175884,1.9404413,1.5681578,-2.0528133
520.0,7.6413755,9.5,85640.0,18619722.0,1296883.0,1443623.9,152446.38,1264309.5,0.0,0.320812,2.3530576,3.005005,0.42922103
520.0,7.6413755,10.5,81576.0,17261782.0,1100617.8,1663735.1,858315.8,737873.8,0.0,-2.1898956,2.9494362,-0.60292697,0.5399969
520.0,7.6413755,11.5,67096.0,13903222.0,1464217.2,72323.55,864882.5,1240913.6,0.0,2.9611275,-0.1291443,-2.6608038,2.631398
520.0,7.6413755,12.5,57075.0,11732902.0,1845825.9,2319128.8,869036.25,1059589.8,0.0,2.7357717,1.6581495,-1.8143641,2.4704125
520.0,7.6413755,13.5,46515.0,9330957.0,2140029.5,1167049.8,411005.84,789614.4,0.0,2.7021902,0.8052324,-0.24173762,2.7897868
520.0,7.6413755,14.5,35826.0,7040151.0,2219787.5,1918744.4,824677.7,501700.78,0.0,2.1033654,0.28960425,2.990333,3.090886
520.0,7.6413755,15.5,28716.0,5474660.0,1223738.5,2894232.8,986685.3,655913.8,0.0,2.9431295,0.5586765,2.9815457,-1.9880786
520.0,7.6413755,16.5,26840.0,4921344.5,2025844.5,2917267.8,645237.0,368582.7,0.0,-2.081601,0.80644387,2.1359506,-3.1380546
520.0,7.6413755,17.5,20380.0,3562403.5,2576142.5,1105795.2,1068544.6,649658.4,0.0,-2.5169108,0.7075614,0.89781415,0.89243966
520.0,7.6413755,18.5,17968.0,3141237.0,3071696.2,1132961.0,1101839.8,331473.56,0.0,-2.2893536,0.45662376,1.5275861,-1.6722668
520.0,7.6413755,19.5,13351.0,2348373.0,2850055.0,505749.66,344886.75,285464.38,0.0,-2.4540246,-1.3559402,1.3717954,2.3056407
520.0,7.6413755,20.5,9569.0,1673530.1,2196067.8,718749.7,142001.84,222509.4,0.0,-2.4885943,-1.7210956,-0.2524497,1.4616762
520.0,7.6413755,21.5,6989.0,1197373.8,1691145.6,812312.2,361432.1,184823.78,0.0,-2.5267627,-1.8847109,-0.86100703,1.0829929
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,28655.0,5163803.5,187859.95,913022.94,161959.78,418853.12,0.0,-0.85009617,1.7843127,-0.7027103,-2.2892897
