snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,phase0,phase1,phase2,phase3
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,121118.0,47504.98,360730.1,1710618.6,117362.234,0.0,-2.6529777,-2.7949474,-1.7801238
520.0,7.6413755,2.5,92709.0,15501.447,246855.61,2225357.8,172270.83,0.0,-1.8341209,-2.6070137,-0.33077988
520.0,7.6413755,3.5,84954.0,77739.8,246114.64,1733355.2,32771.21,0.0,-2.4620554,-2.2524283,-0.26077712
520.0,7.6413755,4.5,97090.0,33586.664,67685.2,1237130.2,93372.375,0.0,-1.1650395,-2.167649,2.2331345
520.0,7.6413755,5.5,112683.0,4712.043,234223.25,797667.3,183308.48,0.0,-0.5392754,-2.659471,2.8737833
520.0,7.6413755,6.5,103172.0,324342.7,320147.84,672868.6,293983.38,0.0,-1.0901228,-2.8650365,0.7084445
520.0,7.6413755,7.5,98135.0,340310.78,281832.66,820730.06,280395.97,0.0,-1.8714378,-2.9894798,0.5386848
520.0,7.6413755,8.5,94827.0,480519.5,284448.7,900769.0,149887.72,0.0,2.6027532,-2.9817314,2.1065295
520.0,7.6413755,9.5,90934.0,323775.75,251138.27,879330.5,235285.77,0.0,2.2819166,-2.7396262,3.0284505
520.0,7.6413755,10.5,86561.0,303457.62,491687.38,909003.06,224723.83,0.0,2.1155806,-2.1744058,2.8312798
520.0,7.6413755,11.5,71699.0,305936.84,416005.16,603901.56,165671.72,0.0,1.9418315,-2.1612868,-2.828097
520.0,7.6413755,12.5,60728.0,252806.4,476965.38,437608.7,178122.56,0.0,2.388937,-1.8406332,-2.1804242
520.0,7.6413755,13.5,49568.0,296667.2,390015.22,383862.53,312129.75,0.0,2.3437183,-1.8518797,-1.6662462
520.0,7.6413755,14.5,38441.0,290449.0,349741.66,179133.72,390759.62,0.0,2.661647,-0.3629954,-1.5766922
520.0,7.6413755,15.5,30775.0,204528.62,243530.47,117440.26,239513.97,0.0,2.7416,0.33858147,-1.8555931
520.0,7.6413755,16.5,28298.0,72585.625,295891.34,62612.24,107136.57,0.0,2.6040823,-1.0906149,-2.1322646
520.0,7.6413755,17.5,21614.0,132607.62,200419.45,55364.51,29776.861,0.0,2.7807019,-2.54378,-2.6770048
520.0,7.6413755,18.5,19029.0,124566.27,189091.47,61909.1,24073.627,0.0,2.5687752,2.672924,-0.113566406
520.0,7.6413755,19.5,14239.0,14227.762,119588.26,39917.367,83313.31,0.0,1.8044327,1.9775149,-0.39124948
520.0,7.6413755,20.5,10248.0,2713.447,94593.03,55043.77,36116.867,0.0,1.6915023,1.9503238,-0.8218105
520.0,7.6413755,21.5,7409.0,33882.543,97343.66,93890.734,65727.28,0.0,1.1673383,1.1994934,1.0902963
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,121525.0,104083.12,157431.12,1843373.8,82495.12,0.0,-1.3079267,-2.7173479,-1.0114323
523.0,7.596713,2.5,92430.0,56326.44,277381.8,2532480.5,113008.9,0.0,-0.7870736,-2.6787577,-1.7172929
523.0,7.596713,3.5,80968.0,44351.652,185419.45,2391585.2,71833.36,0.0,-0.94941425,-2.5200894,-2.0970821
523.0,7.596713,4.5,91207.0,52285.758,274239.62,2214616.0,168777.9,0.0,-0.7037267,-2.2890682,-1.724751
523.0,7.596713,5.5,106089.0,239760.81,261245.42,1530050.6,189892.0,0.0,-0.7165252,-2.398405,-2.1417053
523.0,7.596713,6.5,113779.0,342431.6,614296.1,1023348.44,171098.39,0.0,-0.37236518,-2.5936427,3.0596025
523.0,7.596713,7.5,109791.0,130490.35,631821.8,968242.6,180874.78,0.0,-0.7591423,-2.7431693,-0.9794483
523.0,7.596713,8.5,104589.0,44210.867,340890.56,1247844.1,37439.145,0.0,-1.1132498,-2.8121448,-1.8131961
523.0,7.596713,9.5,90162.0,173779.28,287521.97,942950.6,154662.27,0.0,0.77438676,-2.659082,3.111106
523.0,7.596713,10.5,83641.0,246751.6,573426.56,1047883.6,230164.3,0.0,0.94186896,-2.5042875,2.8251235
523.0,7.596713,11.5,73963.0,228358.61,579456.9,806302.4,176146.12,0.0,1.392385,-2.2276607,-3.0834444
523.0,7.596713,12.5,64993.0,247798.78,519810.9,434654.2,137384.61,0.0,2.168789,-1.9918014,-1.978493
523.0,7.596713,13.5,53348.0,294265.66,479203.25,404113.72,251491.03,0.0,2.7815685,-1.7454897,-0.49249607
523.0,7.596713,14.5,39554.0,166911.42,609279.94,409947.47,499556.4,0.0,2.4547076,-2.4181173,-0.95770437
523.0,7.596713,15.5,30221.0,251920.11,515327.25,87415.72,286394.38,0.0,2.645121,-1.5799532,-1.321589
523.0,7.596713,16.5,25487.0,248993.53,513032.72,49155.473,303386.47,0.0,2.9055817,-2.8809345,-1.3485467
523.0,7.596713,17.5,22094.0,170995.88,426467.72,144017.12,228578.16,0.0,2.904015,-2.601747,-0.8824671
523.0,7.596713,18.5,17505.0,108056.51,318848.6,168492.42,156130.39,0.0,2.7010741,-3.0137582,-1.2150742
523.0,7.596713,19.5,12789.0,70156.12,181258.94,179989.48,87703.336,0.0,2.5235186,2.7773604,-2.3285213
523.0,7.596713,20.5,9259.0,61229.754,87474.336,52040.098,4532.418,0.0,3.0779722,2.8902974,1.7586478
523.0,7.596713,21.5,5402.0,12044.997,6716.4033,12834.161,9561.489,0.0,2.054192,1.7099775,-0.29943386
525.0,7.566684,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
