snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,27938.0,20237.73,176011.47,1247508.9,45608.105,275883.22,0.0,-2.4444466,-2.7564175,-0.851287,-1.0319585
520.0,7.6413755,2.5,40263.0,16550.156,115456.945,1794760.4,97817.31,308859.47,0.0,-1.8889413,-2.522977,-0.18614504,-0.62167037
520.0,7.6413755,3.5,57150.0,21436.135,196266.2,1611867.5,59592.695,312815.34,0.0,-2.4196002,-2.200614,1.0074254,0.16022426
520.0,7.6413755,4.5,81043.0,19486.781,72819.586,1191014.9,92419.62,264948.4,0.0,-1.4319004,-2.123746,1.8278021,1.6604707
520.0,7.6413755,5.5,102145.0,10810.007,218523.36,696836.1,156521.73,86814.71,0.0,-0.3849908,-2.6912942,2.8585384,1.746575
520.0,7.6413755,6.5,95116.0,304046.8,293196.03,636097.0,323849.06,241609.7,0.0,-0.97337776,-2.8584714,0.7524816,-0.363909
520.0,7.6413755,7.5,90846.0,336653.8,244835.6,766078.6,261592.39,146561.14,0.0,-1.8441535,-3.0080943,0.56173974,3.1291912
520.0,7.6413755,8.5,88220.0,473424.6,298582.12,895410.8,147584.12,201847.25,0.0,2.515881,-2.9904296,2.1210835,-2.718525
520.0,7.6413755,9.5,85640.0,314330.0,252081.17,881553.94,220574.78,45226.195,0.0,2.4407275,-2.735566,2.9919553,-1.4851558
520.0,7.6413755,10.5,81576.0,298791.66,511105.0,912424.94,231869.47,179998.16,0.0,2.1443787,-2.2043335,2.976916,2.5444596
520.0,7.6413755,11.5,67096.0,289089.28,427056.12,596753.75,162650.34,215440.62,0.0,1.9453158,-2.175356,-2.8552318,1.643713
520.0,7.6413755,12.5,57075.0,238826.77,475650.7,439577.75,177594.28,121595.13,0.0,2.3822548,-1.8521131,-2.2579458,0.98705685
520.0,7.6413755,13.5,46515.0,286007.22,408640.03,374286.28,296328.2,88286.96,0.0,2.3010242,-1.909796,-1.6684155,1.560486
520.0,7.6413755,14.5,35826.0,267600.0,337860.97,150481.84,385494.62,235562.1,0.0,2.606563,-0.27645737,-1.5828452,-2.205124
520.0,7.6413755,15.5,28716.0,184683.77,237316.64,97888.05,237508.66,325673.3,0.0,2.6092505,0.58711547,-1.9011028,-1.5961218
520.0,7.6413755,16.5,26840.0,61648.957,291071.4,57217.973,105389.266,341941.88,0.0,2.5468957,-1.0187922,-2.2159734,-1.6594002
520.0,7.6413755,17.5,20380.0,120175.76,200357.1,55366.914,34092.39,133562.67,0.0,2.7110784,-2.616168,-2.8249168,-2.6061413
520.0,7.6413755,18.5,17968.0,118178.13,182085.78,70560.195,11227.767,19609.9,0.0,2.5676188,2.571599,0.4427202,0.030723423
520.0,7.6413755,19.5,13351.0,11526.525,109932.65,42086.824,80015.74,138199.17,0.0,1.7642548,1.9922314,-0.47123832,0.038916998
520.0,7.6413755,20.5,9569.0,2198.34,88329.914,56070.45,36083.117,75853.56,0.0,1.6896738,1.9829693,-1.0512474,-0.76542175
520.0,7.6413755,21.5,6989.0,32905.55,93770.64,83126.65,58448.75,49010.137,0.0,1.1455537,1.1589727,1.1262363,0.09742916
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,28655.0,13441.666,96279.27,1415937.8,34770.344,255583.44,0.0,-0.87520325,-2.7568235,-1.1014974,-0.63239104
523.0,7.596713,2.5,40766.0,752.438,113359.37,2176050.8,46316.62,311204.97,0.0,-0.8072317,-2.6423492,2.950025,-0.43481818
523.0,7.596713,3.5,52348.0,30788.467,142333.11,2212626.8,49226.71,500288.0,0.0,-0.76451606,-2.49556,-2.4884856,-0.6552435
523.0,7.596713,4.5,73791.0,45895.457,225789.44,2085207.8,158054.05,491786.34,0.0,-0.49435902,-2.2541366,-1.7191317,-0.21502219
523.0,7.596713,5.5,95006.0,246817.55,270860.47,1491359.0,145948.02,382477.16,0.0,-0.5745711,-2.3852649,-2.0374775,0.9726159
523.0,7.596713,6.5,105385.0,343085.88,566560.44,980575.06,176163.45,182554.8,0.0,-0.35473734,-2.6164627,2.93936,-0.73267895
523.0,7.596713,7.5,102293.0,130718.22,591086.9,939288.25,190163.95,168363.11,0.0,-0.78838193,-2.7503908,-0.97406465,1.0644902
523.0,7.596713,8.5,97985.0,59206.79,332147.6,1231237.4,67306.984,190321.36,0.0,-1.1521461,-2.8052576,-1.6041969,1.1345229
523.0,7.596713,9.5,84195.0,188779.25,267520.78,928807.7,127331.03,123245.516,0.0,0.74837565,-2.6322687,-3.106095,0.09039639
523.0,7.596713,10.5,78746.0,245799.61,583436.44,1043001.6,205536.89,245810.38,0.0,0.9406506,-2.5018184,2.9012585,1.2963946
523.0,7.596713,11.5,69698.0,228243.05,582892.56,781477.44,176426.89,411452.62,0.0,1.4025252,-2.2260408,3.112938,1.5034233
