snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,phase0,phase1,phase2,phase3
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,125195.0,152.561,5264.1367,527.94995,1045.1041,0.0,0.7245242,3.119463,-1.9907826
520.0,7.6413755,2.5,97888.0,496.773,9958.999,1253.3275,1420.3286,0.0,0.7643696,-2.4390593,-2.2734268
520.0,7.6413755,3.5,90308.0,692.574,11085.439,1004.2759,1418.682,0.0,0.89157844,2.5814626,-2.5999045
520.0,7.6413755,4.5,102409.0,1562.109,13432.635,934.1928,1981.8496,0.0,1.1374815,-2.1347682,-1.3749956
520.0,7.6413755,5.5,117934.0,291.665,21094.416,1828.2487,5579.263,0.0,1.3429835,-1.6878426,-2.866051
520.0,7.6413755,6.5,108760.0,2388.811,21957.54,2335.1995,2901.0752,0.0,1.1878299,0.7729683,-2.0822506
520.0,7.6413755,7.5,104861.0,1239.591,25810.57,6095.3604,4421.6006,0.0,1.3232806,-0.80853,-2.8223093
520.0,7.6413755,8.5,102083.0,631.845,33719.516,4556.3984,8842.69,0.0,1.00435,-2.7803001,3.059132
520.0,7.6413755,9.5,99715.0,6409.564,24823.588,12010.439,3246.5781,0.0,0.875428,-1.6962184,3.0246897
520.0,7.6413755,10.5,95714.0,16548.46,7582.9946,17491.973,13981.779,0.0,-0.23045532,-1.1001348,0.34388632
520.0,7.6413755,11.5,81727.0,19204.938,28793.85,19762.729,21123.635,0.0,-1.8587942,-0.30100018,1.7725879
520.0,7.6413755,12.5,70520.0,22454.51,42008.52,12423.929,16549.95,0.0,-2.112033,-0.67008424,2.1115966
520.0,7.6413755,13.5,60145.0,15285.65,58895.7,9984.437,17279.254,0.0,-2.2852015,-1.2527409,2.4451795
520.0,7.6413755,14.5,49106.0,4283.869,69989.95,13289.653,2975.3384,0.0,-2.372938,-1.2182524,-3.130791
520.0,7.6413755,15.5,42251.0,14261.576,75551.02,29229.037,10527.079,0.0,-2.3391705,-0.42702463,0.5413476
520.0,7.6413755,16.5,36615.0,24542.389,54749.348,21255.291,11298.789,0.0,-2.427354,-0.48310578,1.9004205
520.0,7.6413755,17.5,27563.0,18685.557,36491.492,8320.541,4062.498,0.0,-3.0151348,-2.291191,-2.239217
520.0,7.6413755,18.5,23429.0,12510.211,26775.193,7653.677,4850.208,0.0,3.076822,-2.509914,-0.45305985
520.0,7.6413755,19.5,18009.0,10756.382,19636.098,7468.159,2748.491,0.0,-3.1055613,3.110825,2.4283574
520.0,7.6413755,20.5,12783.0,4856.126,9079.072,4634.5713,7849.8784,0.0,3.1085043,1.2122993,1.2244256
520.0,7.6413755,21.5,8542.0,1078.823,3432.523,4839.229,5744.771,0.0,2.270354,1.0802104,1.0189402
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,125615.0,367.412,6978.8706,651.67365,395.81436,0.0,0.9290717,-0.3621652,-2.7361963
523.0,7.596713,2.5,97696.0,246.341,11297.423,1777.6765,2111.1555,0.0,0.9022317,1.0892417,-2.4881482
523.0,7.596713,3.5,86295.0,1161.638,12217.112,1097.1998,536.9793,0.0,1.0161309,3.0141935,-2.632443
523.0,7.596713,4.5,96389.0,542.048,16585.693,1057.5505,2275.775,0.0,1.124618,-2.7492435,-2.7562485
523.0,7.596713,5.5,111337.0,3336.579,19973.469,2092.4907,3926.4316,0.0,1.2732558,-3.0548491,2.590126
523.0,7.596713,6.5,119971.0,4891.82,27575.988,2364.4653,3087.6738,0.0,1.1706443,-2.5213122,2.8714828
523.0,7.596713,7.5,116777.0,1497.9,28263.562,3198.008,2011.7169,0.0,1.2380524,-0.42287925,-1.1733829
523.0,7.596713,8.5,111963.0,4494.357,28663.41,6013.9136,6501.8223,0.0,1.2139043,-2.13588,-1.885429
523.0,7.596713,9.5,98713.0,5469.295,22275.365,11809.881,7025.334,0.0,1.3241004,-2.4342613,-0.79002905
523.0,7.596713,10.5,92784.0,9030.451,8340.272,10259.718,9503.416,0.0,1.599994,-1.6738299,0.14908479
523.0,7.596713,11.5,84060.0,18988.572,29088.652,12833.699,18467.977,0.0,-2.0649834,-0.8176932,1.1336968
523.0,7.596713,12.5,77085.0,32093.398,66555.24,29835.666,23827.727,0.0,-1.9611152,-0.9858485,1.340261
523.0,7.596713,13.5,65901.0,33037.72,78467.62,21921.633,15377.336,0.0,-1.9969575,-1.1060205,1.298751
523.0,7.596713,14.5,50675.0,12574.176,79003.87,12491.258,12180.77,0.0,-2.2014823,-0.7614572,0.45867434
523.0,7.596713,15.5,40911.0,6493.842,70679.734,7762.8545,4622.767,0.0,-2.3629482,-0.0040453193,-0.58909494
523.0,7.596713,16.5,33535.0,14268.085,55936.676,4446.811,2225.2524,0.0,-2.4026523,-1.3091071,-0.2966254
523.0,7.596713,17.5,27976.0,19486.45,35871.44,4082.2368,2830.9614,0.0,-2.7135918,3.0128956,2.0584893
523.0,7.596713,18.5,22589.0,15263.529,22873.45,10469.144,7222.858,0.0,-3.1322439,2.5422285,2.831944
523.0,7.596713,19.5,17106.0,12341.413,21493.158,11613.146,5863.4087,0.0,-3.0740542,3.0288873,2.7572832
523.0,7.596713,20.5,11416.0,5808.901,11885.285,8958.664,3853.209,0.0,2.8371427,2.7683787,2.2052922
523.0,7.596713,21.5,6644.0,2634.714,6896.01,2593.5137,3855.4966,0.0,-2.9858856,-2.3578215,-0.031388722
525.0,7.566684,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,1.5,126137.0,657.407,7306.1836,533.8187,1394.3319,0.0,0.77249616,2.1770935,-1.9258165
525.0,7.566684,2.5,98981.0,4.664,11199.649,627.18604,2179.803,0.0,0.9045172,-2.4460702,-2.9505305
525.0,7.566684,3.5,88361.0,905.559,13108.471,500.41638,1162.35,0.0,0.9223991,0.17159109,-1.4830956
525.0,7.566684,4.5,96711.0,2510.156,17079.008,1886.2832,3088.1272,0.0,1.0883287,-2.504205,3.097451
525.0,7.566684,5.5,109524.0,257.254,18101.488,3201.7893,3224.5105,0.0,1.2521386,-1.40922,2.8941615
525.0,7.566684,6.5,114753.0,3336.618,25688.654,3849.0793,1907.9193,0.0,1.3788569,3.1028767,0.68540585
525.0,7.566684,7.5,118787.0,3074.108,29777.04,3823.1362,2144.7747,0.0,1.0713142,-0.7906193,1.4356838
525.0,7.566684,8.5,113343.0,1212.716,30128.48,3924.469,4658.686,0.0,1.1724526,1.3654323,-1.3193088
525.0,7.566684,9.5,106475.0,2189.556,27435.818,10764.373,6147.2476,0.0,1.332505,-2.4910774,0.076157205
525.0,7.566684,10.5,96309.0,8327.706,10674.554,9090.763,6794.2686,0.0,2.6405463,-2.2439187,-0.034181718
525.0,7.566684,11.5,83905.0,13216.12,22107.312,14063.777,12017.888,0.0,-2.5106099,-1.482643,0.49671766
525.0,7.566684,12.5,79767.0,17360.979,72492.76,32712.354,15901.8955,0.0,-2.245193,-1.9598234,0.31741807
525.0,7.566684,13.5,67782.0,35720.59,83925.016,36643.633,15678.64,0.0,-2.1150355,-1.4453691,0.1881626
525.0,7.566684,14.5,52179.0,22507.146,74522.88,17267.443,10539.077,0.0,-2.3079064,-0.8798337,0.056978736
525.0,7.566684,15.5,40411.0,6425.83,69883.33,3052.2273,5939.9546,0.0,-2.462748,-0.46501082,-0.46251944
525.0,7.566684,16.5,33382.0,6638.237,57100.71,4406.532,6191.753,0.0,-2.5135467,2.4626245,0.17488466
525.0,7.566684,17.5,28458.0,13689.009,40026.96,10825.702,8981.705,0.0,-2.5479603,2.2689226,1.6173955
525.0,7.566684,18.5,22628.0,20476.902,28412.33,14549.531,14205.534,0.0,-2.4169068,0.95013684,1.9847844
525.0,7.566684,19.5,16627.0,13238.09,18216.494,11841.738,11884.472,0.0,-2.8939795,2.235228,2.5516102
525.0,7.566684,20.5,12601.0,6242.618,11505.428,12850.169,10640.454,0.0,-3.138284,2.3322222,2.5736861
525.0,7.566684,21.5,5542.0,3613.82,7301.0337,4218.731,933.06616,0.0,-2.9370368,2.9611669,0.23709112
527.0,7.5333905,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527.0,7.5333905,1.5,124701.0,160.863,6599.316,437.21152,879.9705,0.0,0.85026574,-0.21486223,-2.2544818
527.0,7.5333905,2.5,98567.0,1046.769,11222.569,799.1224,679.8511,0.0,1.029943,2.8851702,-2.6926076
527.0,7.5333905,3.5,90517.0,1106.127,13448.113,2081.5793,747.8533,0.0,1.0756394,0.30587605,2.642808
527.0,7.5333905,4.5,100195.0,360.778,18836.754,1267.0294,3095.7925,0.0,1.0782036,2.0070863,2.8531444
527.0,7.5333905,5.5,115347.0,562.882,16673.701,1931.3658,3647.8062,0.0,1.266319,-2.5781603,3.0645185
527.0,7.5333905,6.5,112811.0,4166.901,21465.035,4721.864,3418.4995,0.0,1.450341,2.486689,-1.7022883
527.0,7.5333905,7.5,110609.0,3323.611,29835.322,526.0193,2528.7886,0.0,1.1269281,-0.9996858,0.72542787
527.0,7.5333905,8.5,114626.0,2200.316,32924.312,6629.0474,6020.361,0.0,1.1555761,-0.015985401,-2.8176455
527.0,7.5333905,9.5,104815.0,3164.979,24663.482,6074.03,7609.3364,0.0,1.0966598,-1.5224491,-1.8320456
527.0,7.5333905,10.5,100466.0,101.481,13974.794,11489.505,8127.2036,0.0,1.3612859,-2.510538,0.3312146
527.0,7.5333905,11.5,85253.0,8675.986,24204.428,14128.984,2769.1248,0.0,-2.9189503,-2.2020726,-1.4799745
527.0,7.5333905,12.5,80876.0,9822.347,52660.44,25031.68,5651.823,0.0,-2.4658413,-2.455206,-1.0919642
527.0,7.5333905,13.5,69239.0,19243.5,73584.74,31064.123,12412.665,0.0,-2.3698432,-2.4114752,-0.14897123
527.0,7.5333905,14.5,54782.0,20952.564,69014.95,22613.6,13689.343,0.0,-2.4357162,-1.692249,-0.54115415
527.0,7.5333905,15.5,44200.0,6136.918,63311.15,2501.9731,9918.872,0.0,-2.4979599,-2.305416,-0.4101676
527.0,7.5333905,16.5,33765.0,4341.867,59164.04,9204.037,18273.734,0.0,-2.5246627,1.5002185,-0.11959984
527.0,7.5333905,17.5,26671.0,9746.638,47777.4,4751.964,14236.986,0.0,-2.577485,2.3882177,0.73586655
527.0,7.5333905,18.5,21097.0,16694.207,32928.824,6097.616,10430.194,0.0,-2.6178012,0.9046029,1.5761895
527.0,7.5333905,19.5,16394.0,5528.466,18281.77,17042.955,13013.931,0.0,-3.0194514,1.6098688,2.5835896
527.0,7.5333905,20.5,10998.0,4597.008,9716.753,12777.805,10472.02,0.0,3.1096604,1.8218744,2.0497167
527.0,7.5333905,21.5,6089.0,4966.912,9040.336,4155.799,5947.789,0.0,-2.5754342,1.9218413,2.0708942
530.0,7.48298,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
530.0,7.48298,1.5,125248.0,757.287,8198.386,899.24585,547.9305,0.0,0.9219961,3.1075983,0.48745328
530.0,7.48298,2.5,97791.0,318.37,9222.469,930.7215,797.768,0.0,1.152435,-1.640764,-0.9338538
530.0,7.48298,3.5,91643.0,184.962,11714.928,1027.233,1224.8242,0.0,1.2607629,0.9108813,1.7227751
530.0,7.48298,4.5,98488.0,516.85,17228.908,1269.347,3250.853,0.0,1.0247048,-0.8142971,2.1573277
530.0,7.48298,5.5,112382.0,2226.164,20632.314,2963.6167,4002.8005,0.0,1.1143024,0.6652637,1.3880345
530.0,7.48298,6.5,120443.0,3004.713,28363.412,3463.6538,1573.3237,0.0,1.3556768,1.1840498,-1.8036233
530.0,7.48298,7.5,111429.0,4076.639,27512.79,3425.5762,1284.4586,0.0,1.3884761,1.0252953,-1.7121781
530.0,7.48298,8.5,109443.0,2353.682,36711.566,2598.1692,8381.066,0.0,1.349764,1.4799129,-3.0426872
530.0,7.48298,9.5,106642.0,73.235,25322.2,11610.242,10853.244,0.0,1.3636881,-1.7236147,-2.2027967
530.0,7.48298,10.5,99537.0,711.07,1915.7433,9078.723,13622.937,0.0,2.3307133,-2.7468429,-1.0836803
530.0,7.48298,11.5,84549.0,3290.358,11275.162,4720.083,12258.294,0.0,-2.870607,3.0063508,0.41277596
530.0,7.48298,12.5,77668.0,2267.29,32951.12,14175.228,8193.0625,0.0,-2.4240155,-2.9171934,1.9365578
530.0,7.48298,13.5,69449.0,6610.444,47033.754,27564.312,13507.418,0.0,-2.3422766,-2.775495,2.6189833
530.0,7.48298,14.5,59401.0,4435.258,53878.67,16639.938,1702.8667,0.0,-2.3656082,-3.135069,-2.3011832
530.0,7.48298,15.5,46991.0,6886.768,65192.93,12528.34,19530.229,0.0,-2.5550327,1.9452481,-1.0318296
530.0,7.48298,16.5,37134.0,3513.373,59517.66,11835.073,16052.553,0.0,-2.575167,1.8948573,-1.0151721
530.0,7.48298,17.5,28006.0,6241.449,45434.684,10706.67,12087.342,0.0,-2.770028,2.7138581,-0.53924274
530.0,7.48298,18.5,20339.0,4380.135,27799.162,9620.258,8582.337,0.0,-3.0018845,2.6163971,0.69400454
530.0,7.48298,19.5,14626.0,5858.592,16386.7,10905.109,7271.55,0.0,2.953676,1.8667065,1.6534507
530.0,7.48298,20.5,10355.0,2706.866,12539.909,12230.796,7765.3154,0.0,2.717687,1.9795641,2.3006995
530.0,7.48298,21.5,6803.0,2287.126,9385.366,3876.8594,5483.3506,0.0,-3.07142,1.3070309,1.587876
532.0,7.445623,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
532.0,7.445623,1.5,125140.0,2116.439,6523.036,220.81679,231.34036,0.0,1.0360217,-1.6313341,2.5902257
532.0,7.445623,2.5,97946.0,812.342,10379.317,774.296,564.2873,0.0,1.1510925,1.6205233,-1.566272
532.0,7.445623,3.5,92074.0,313.843,13863.287,2312.9026,1016.32104,0.0,1.1283123,-1.3538252,2.906583
532.0,7.445623,4.5,99575.0,189.798,19134.05,3316.8748,453.2378,0.0,1.1132869,-1.5270059,-1.5767847
532.0,7.445623,5.5,113872.0,1226.773,21839.229,839.7385,4033.778,0.0,1.099824,-2.2940946,1.8353127
532.0,7.445623,6.5,116740.0,2180.771,24435.447,1378.5426,2058.3943,0.0,1.3098454,0.33332694,-1.03998
532.0,7.445623,7.5,117332.0,907.113,32123.85,3327.3752,4963.981,0.0,1.3378067,1.5052731,-2.494239
532.0,7.445623,8.5,113120.0,734.826,30848.643,8384.611,4832.4683,0.0,1.3012323,0.8040025,2.3156781
532.0,7.445623,9.5,101018.0,1175.735,24758.773,1259.8744,10367.79,0.0,1.5191673,-2.0936613,-3.0982873
532.0,7.445623,10.5,99149.0,2539.682,5576.701,8715.721,9716.058,0.0,1.2756808,-2.559443,-2.131996
532.0,7.445623,11.5,90229.0,3097.02,17388.975,5754.9326,10698.836,0.0,-2.037794,2.9116583,-0.24263467
532.0,7.445623,12.5,73698.0,3298.078,28910.852,5299.466,10818.215,0.0,-2.225775,2.2605348,1.0642458
532.0,7.445623,13.5,66102.0,2805.29,46915.887,14691.511,19187.445,0.0,-2.135325,3.0829241,1.7044921
532.0,7.445623,14.5,55886.0,6358.957,56869.203,21771.08,14025.53,0.0,-2.13299,2.6323102,2.310444
532.0,7.445623,15.5,48512.0,12496.702,62464.86,14269.932,7415.6655,0.0,-2.4104645,1.9470738,-1.6420606
532.0,7.445623,16.5,39723.0,8737.694,53908.758,4801.395,9857.727,0.0,-2.5452576,1.4721518,-1.1573086
532.0,7.445623,17.5,31784.0,4616.79,38494.14,12706.784,10259.922,0.0,-2.7606735,2.1254895,-0.04894735
532.0,7.445623,18.5,22769.0,880.658,25808.646,15983.173,10130.959,0.0,-3.0707276,2.396998,0.09889818
532.0,7.445623,19.5,15332.0,3626.024,17216.168,16548.365,707.99316,0.0,2.662127,2.0176473,0.39649203
532.0,7.445623,20.5,9591.0,3962.067,12978.691,12708.001,6547.436,0.0,2.5354922,1.9658693,1.5917568
532.0,7.445623,21.5,6126.0,3104.116,8032.7646,4837.527,2394.4028,0.0,2.7263768,2.2558455,1.8317369
535.0,7.388983,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
535.0,7.388983,1.5,126446.0,983.384,9113.945,677.2936,1663.9379,0.0,1.2467614,-0.9084319,-0.42206478
535.0,7.388983,2.5,99538.0,1337.888,11800.398,1066.1172,718.8241,0.0,1.1535105,-0.5554898,1.1637015
535.0,7.388983,3.5,91353.0,223.292,14283.719,1860.2283,1880.379,0.0,1.0755106,0.58628273,2.0258656
535.0,7.388983,4.5,102862.0,512.796,20683.93,2393.8115,1251.8153,0.0,1.2754618,-2.0425115,-2.9165692
535.0,7.388983,5.5,119593.0,234.417,23864.686,3808.0774,3406.8247,0.0,1.2160432,2.8382,0.16511764
535.0,7.388983,6.5,119280.0,1967.139,21607.643,5342.3306,631.3558,0.0,1.3318721,-2.4053435,1.5130811
535.0,7.388983,7.5,115428.0,418.633,37086.64,7842.931,2249.5479,0.0,1.6646247,2.9417837,-1.7453841
535.0,7.388983,8.5,116902.0,2320.37,35573.383,1854.0582,6044.509,0.0,1.3213962,-2.5564938,2.9522216
535.0,7.388983,9.5,105478.0,1140.915,24441.86,7026.3545,5549.496,0.0,1.5695326,1.0024745,-2.924431
535.0,7.388983,10.5,97435.0,2175.349,6793.814,14850.042,12713.475,0.0,2.0557961,2.0914454,-0.7400351
535.0,7.388983,11.5,85284.0,1160.486,15684.063,14526.121,8745.122,0.0,-1.6930553,2.7120168,-0.048293687
535.0,7.388983,12.5,75758.0,6006.138,37966.25,1639.4884,10543.399,0.0,-2.0897527,1.4727201,0.22223677
