snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.3231816,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.3231816,1.5,37571.0,82.495,1814.6234,137.92686,394.8006,9.443097,0.0,2.132722,1.1712917,-1.5533311,-0.6800505
600.0,6.3231816,2.5,41015.0,366.248,4106.013,38.213264,901.7834,72.08687,0.0,1.9264811,1.5506812,-2.9163358,-3.050987
600.0,6.3231816,3.5,36141.0,354.924,5252.437,878.203,1219.585,48.147438,0.0,2.0887141,-2.3179083,2.9618566,-0.13491936
600.0,6.3231816,4.5,42438.0,213.034,7776.9,82.61572,757.16724,366.4347,0.0,2.2081242,2.121416,-2.6344788,-2.3004494
600.0,6.3231816,5.5,63994.0,871.632,12298.104,561.3623,1554.3883,862.66656,0.0,1.9140205,0.81644404,-1.6852009,-3.0182614
600.0,6.3231816,6.5,67248.0,1822.307,11731.452,1799.2631,1221.2749,1419.6907,0.0,1.9813615,-1.3592207,-1.8909848,-0.95218295
600.0,6.3231816,7.5,67299.0,288.362,16386.654,1842.9747,2366.142,1495.4368,0.0,1.6979307,-1.8072978,-1.5867832,-0.12296522
600.0,6.3231816,8.5,81576.0,2942.022,17543.762,896.1591,1209.1643,2143.6238,0.0,1.465936,1.0051624,0.3970685,1.4242989
600.0,6.3231816,9.5,85547.0,1318.306,15253.582,7878.2183,2339.5325,2653.9683,0.0,1.4457787,-2.6077685,0.049767043,-3.0330873
600.0,6.3231816,10.5,90432.0,701.194,1381.3333,9369.507,4498.1167,5505.4624,0.0,-1.1926304,-2.611008,2.657204,-1.0990726
600.0,6.3231816,11.5,90809.0,1980.261,7077.9624,8151.939,4423.904,3724.553,0.0,-1.5296994,-1.8631929,2.108437,2.2487016
600.0,6.3231816,12.5,81771.0,2124.018,13355.247,12235.242,2910.5454,2139.5642,0.0,-1.1957794,-0.18102269,1.6404049,-0.17159013
600.0,6.3231816,13.5,73662.0,2912.218,16408.527,15987.614,3067.6113,2696.3784,0.0,-1.4789121,-0.44172025,3.0343616,-0.64516103
600.0,6.3231816,14.5,63668.0,2898.105,21233.334,18697.758,7446.7915,5399.4062,0.0,-1.2817587,-0.9075926,-1.0028578,1.0375645
600.0,6.3231816,15.5,57568.0,2607.315,25576.586,15290.715,7916.713,2595.2231,0.0,-1.3425163,-0.8181082,-1.2755392,0.9588136
600.0,6.3231816,16.5,45270.0,1077.622,22309.408,5714.073,3719.2827,4650.6157,0.0,-1.579806,-1.9851242,3.117539,-2.6505542
600.0,6.3231816,17.5,32547.0,2285.549,23800.178,17127.861,9378.861,5236.676,0.0,-1.915716,-2.7178159,-2.9506116,-1.8486539
600.0,6.3231816,18.5,23942.0,486.888,19216.969,17847.217,13648.969,2990.4275,0.0,-1.8956431,-2.638843,3.0369718,2.3840659
600.0,6.3231816,19.5,16997.0,291.338,12916.44,13744.328,13206.246,7072.828,0.0,-2.0408607,-2.7132812,-3.1394346,2.6353931
600.0,6.3231816,20.5,11874.0,270.973,7801.034,8479.7705,6370.936,4108.6045,0.0,-2.1903253,-2.9052565,2.908897,2.3192306
600.0,6.3231816,21.5,7776.0,530.16,4513.5254,3561.244,2404.082,2550.7449,0.0,-2.3723955,3.0930583,2.0765631,1.8267119
602.0,6.2968197,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.2968197,1.5,38158.0,208.278,1996.3076,460.2389,603.123,207.78117,0.0,2.426873,-1.3206053,-1.7930946,0.62638557
602.0,6.2968197,2.5,40157.0,221.631,3702.9592,177.64192,815.1925,302.49796,0.0,1.9863724,-2.6600497,-1.8603896,-2.153463
602.0,6.2968197,3.5,37703.0,189.345,5660.584,790.2598,755.05493,463.44998,0.0,2.0254521,1.4834476,2.2830243,2.173318
602.0,6.2968197,4.5,42238.0,250.445,7743.3525,657.9734,1108.7014,667.9956,0.0,2.0864758,-0.7575046,2.5553079,0.47754928
602.0,6.2968197,5.5,66532.0,1127.299,11914.116,1303.7114,891.70355,625.05524,0.0,2.1188483,1.3284793,-2.1997004,2.2911496
602.0,6.2968197,6.5,68675.0,948.546,13685.668,2515.9949,1930.8534,834.7,0.0,2.1384218,-1.7470645,-2.5593033,0.6969291
602.0,6.2968197,7.5,68665.0,144.662,16665.22,2289.5342,3885.0032,2875.155,0.0,1.7397414,-0.92359054,-1.514224,-1.5470321
602.0,6.2968197,8.5,80820.0,1271.101,18497.395,1349.14,1860.7252,2195.1663,0.0,1.3354188,0.40692845,-1.3047254,1.326447
