snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,15.0,1.3882518,144.29579,19.16222,0.0,2.3691587,-0.9988885
520.0,7.6413755,2.5,34.0,17.520374,337.86395,20.80179,0.0,2.3547559,-2.6027217
520.0,7.6413755,3.5,42.0,22.569044,316.03897,36.86525,0.0,2.7767367,-0.9433353
520.0,7.6413755,4.5,48.0,49.897064,330.65118,83.92434,0.0,2.8482928,0.42939734
520.0,7.6413755,5.5,76.0,25.436586,496.36502,36.886185,0.0,-2.9204175,2.4398446
520.0,7.6413755,6.5,72.0,74.58016,645.498,145.87465,0.0,-2.985807,1.1726053
520.0,7.6413755,7.5,87.0,23.820566,719.6325,227.47801,0.0,3.0771637,0.9126356
520.0,7.6413755,8.5,109.0,92.78734,1119.099,69.305435,0.0,2.9873326,-3.0784447
520.0,7.6413755,9.5,104.0,174.3211,654.9338,276.3401,0.0,3.0883155,-1.3337756
520.0,7.6413755,10.5,132.0,431.1861,252.93636,337.65244,0.0,-0.8443917,2.3111725
520.0,7.6413755,11.5,144.0,518.3992,856.03784,761.43616,0.0,-0.8234241,1.5956802
520.0,7.6413755,12.5,136.0,445.26202,1765.6984,1015.333,0.0,-0.84567434,1.5731177
520.0,7.6413755,13.5,179.0,69.18549,2928.7732,796.92065,0.0,-0.9517268,1.2707707
520.0,7.6413755,14.5,170.0,135.2007,3547.7961,1051.3599,0.0,-1.0428604,1.3861754
520.0,7.6413755,15.5,182.0,322.7406,3591.3396,1119.2762,0.0,-1.1334803,1.6160036
520.0,7.6413755,16.5,205.0,22.402962,3766.885,1316.881,0.0,-1.3013045,1.4767566
520.0,7.6413755,17.5,200.0,214.8417,3019.7158,636.75476,0.0,-1.8600656,-0.1874925
520.0,7.6413755,18.5,229.0,282.0174,4064.9583,404.4927,0.0,-2.078068,0.89315486
520.0,7.6413755,19.5,218.0,1014.33997,4084.9517,520.1325,0.0,-1.8255578,2.46961
520.0,7.6413755,20.5,233.0,4466.1523,5286.826,5768.063,0.0,-0.4889409,-2.550373
520.0,7.6413755,21.5,229.0,2736.1428,4111.3525,2282.3083,0.0,-1.7453043,2.2621205
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,15.0,11.830058,143.65085,27.784094,0.0,2.349248,0.94545984
523.0,7.596713,2.5,36.0,66.76961,397.47403,59.65398,0.0,2.5257633,2.3791513
523.0,7.596713,3.5,40.0,6.0619526,284.93292,75.772705,0.0,2.5467687,-0.9839094
523.0,7.596713,4.5,48.0,0.6504379,329.46536,36.295883,0.0,2.7569003,-1.4511957
523.0,7.596713,5.5,76.0,9.907748,495.58844,80.98819,0.0,-3.058728,-1.7134857
523.0,7.596713,6.5,72.0,2.217335,576.84357,35.161026,0.0,-2.9116144,-0.2842408
523.0,7.596713,7.5,91.0,47.034878,768.462,104.44721,0.0,3.0628498,0.46733153
523.0,7.596713,8.5,105.0,99.99695,911.1108,142.94482,0.0,2.8020546,-0.016669333
523.0,7.596713,9.5,104.0,38.81931,489.49103,243.42984,0.0,2.9828897,-0.02946937
523.0,7.596713,10.5,132.0,89.42245,338.63593,389.88873,0.0,-2.542009,-0.22921643
523.0,7.596713,11.5,145.0,70.698456,868.4393,616.26,0.0,-1.1396761,0.25892374
523.0,7.596713,12.5,135.0,1.2664683,1761.4039,577.62305,0.0,-0.9567807,0.3443405
523.0,7.596713,13.5,181.0,239.23135,2248.98,758.3375,0.0,-0.969022,0.47097957
523.0,7.596713,14.5,167.0,493.6165,2661.4832,284.00003,0.0,-1.1049566,0.9760544
523.0,7.596713,15.5,187.0,320.66248,3516.7446,206.11067,0.0,-1.0835775,-2.1078296
523.0,7.596713,16.5,197.0,6.2156787,4046.574,737.1856,0.0,-1.4102972,2.6674836
523.0,7.596713,17.5,200.0,473.37744,3731.925,421.87613,0.0,-1.5325246,2.9792686
523.0,7.596713,18.5,227.0,893.4172,3520.2751,518.7765,0.0,-1.7696693,2.7670484
523.0,7.596713,19.5,222.0,1026.6254,3255.659,133.15172,0.0,-1.8372875,-1.5841635
523.0,7.596713,20.5,218.0,1161.1306,3032.0847,396.24634,0.0,-1.6716143,2.6519523
523.0,7.596713,21.5,222.0,842.3629,2529.0352,2240.147,0.0,-2.2582278,-2.268457
525.0,7.566684,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,1.5,14.0,17.09835,143.42632,3.22521,0.0,2.4622502,0.70833206
525.0,7.566684,2.5,36.0,26.02833,332.9921,38.593964,0.0,2.6403146,-1.0350658
525.0,7.566684,3.5,40.0,19.616198,328.69653,72.087364,0.0,2.5309148,-2.9310257
525.0,7.566684,4.5,48.0,30.441463,216.42436,60.193336,0.0,2.6966596,-3.0487673
525.0,7.566684,5.5,76.0,79.201454,393.76398,133.00874,0.0,2.9323025,2.755574
525.0,7.566684,6.5,72.0,83.70514,477.7482,148.95471,0.0,-3.015424,-1.4598312
525.0,7.566684,7.5,89.0,11.598855,767.2545,115.6556,0.0,3.0247226,0.9993009
525.0,7.566684,8.5,107.0,99.6876,777.94934,286.5789,0.0,2.8880367,-0.3599919
525.0,7.566684,9.5,104.0,5.341802,383.94525,382.0893,0.0,2.1334548,-1.0918154
525.0,7.566684,10.5,134.0,35.464996,311.6373,305.23877,0.0,-1.2225032,-0.40693086
525.0,7.566684,11.5,142.0,134.39392,962.31287,468.68323,0.0,-1.1161706,-0.28657025
525.0,7.566684,12.5,137.0,256.5381,1684.0092,556.7389,0.0,-1.0456717,0.3991295
525.0,7.566684,13.5,177.0,535.39014,2143.559,532.0036,0.0,-1.1239221,-0.63352436
525.0,7.566684,14.5,170.0,350.5648,2579.1394,748.8595,0.0,-1.0760106,-1.0891775
525.0,7.566684,15.5,187.0,98.37014,3386.2864,668.89557,0.0,-1.1643463,-2.293777
525.0,7.566684,16.5,200.0,131.53494,3674.1716,1062.6154,0.0,-1.2862251,-2.9994168
525.0,7.566684,17.5,198.0,111.72279,3630.8105,1641.1016,0.0,-1.723099,2.7224689
525.0,7.566684,18.5,229.0,829.75714,3842.6455,2272.4976,0.0,-1.7584192,2.6519756
525.0,7.566684,19.5,224.0,1624.9266,3151.7876,1278.8613,0.0,-1.6891879,2.9124088
525.0,7.566684,20.5,216.0,1702.6147,3388.9658,492.95663,0.0,-1.7315818,-2.4960754
525.0,7.566684,21.5,210.0,2231.6855,4898.709,3516.1406,0.0,-1.2042012,2.0983517
527.0,7.5333905,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527.0,7.5333905,1.5,15.0,25.472528,126.874146,15.5253525,0.0,2.5907545,-2.957183
527.0,7.5333905,2.5,35.0,32.884937,316.263,50.240063,0.0,2.711873,-2.343512
527.0,7.5333905,3.5,41.0,29.971712,328.35342,42.23454,0.0,2.5804126,3.0653791
527.0,7.5333905,4.5,48.0,43.511063,312.63516,131.01627,0.0,2.462527,-2.680025
527.0,7.5333905,5.5,76.0,14.952304,386.17474,159.70181,0.0,2.695674,3.0891829
527.0,7.5333905,6.5,72.0,65.26938,314.36404,65.16642,0.0,-3.104278,-1.2342048
527.0,7.5333905,7.5,85.0,86.78404,637.1556,24.255852,0.0,-3.091025,2.2283058
527.0,7.5333905,8.5,111.0,5.1225867,1095.6339,71.6336,0.0,2.9856374,-2.197268
527.0,7.5333905,9.5,104.0,23.422335,450.42673,292.51846,0.0,2.8094292,-0.88446665
527.0,7.5333905,10.5,134.0,4.830889,511.13428,583.47595,0.0,-1.0008461,-0.785358
527.0,7.5333905,11.5,142.0,208.63786,951.34894,547.75574,0.0,-0.9278001,-0.738735
527.0,7.5333905,12.5,137.0,312.74396,1441.9875,585.9882,0.0,-0.9495712,-0.762604
527.0,7.5333905,13.5,177.0,767.801,2418.302,647.58844,0.0,-0.9379041,-1.0408385
527.0,7.5333905,14.5,170.0,797.9072,2576.4631,462.18466,0.0,-1.0790114,-1.9887879
527.0,7.5333905,15.5,188.0,388.4442,3190.5723,712.8841,0.0,-1.035743,-2.387025
527.0,7.5333905,16.5,197.0,52.63963,3141.0757,708.6233,0.0,-1.3784244,-2.8716383
527.0,7.5333905,17.5,197.0,205.53694,3443.4248,1648.7384,0.0,-1.8392862,2.564387
527.0,7.5333905,18.5,229.0,232.96773,3042.5378,1673.5234,0.0,-1.9642626,2.6879914
527.0,7.5333905,19.5,234.0,723.62555,3458.4402,2713.995,0.0,-1.7587196,2.931106
527.0,7.5333905,20.5,217.0,1139.5887,2596.925,2259.262,0.0,-1.8735629,-2.2192364
