snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.3231816,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.3231816,1.5,13.0,2.8393588,60.68596,7.914125,3.059797,8.386488,0.0,2.986719,1.4040126,0.69528294,0.30152255
600.0,6.3231816,2.5,36.0,6.855759,254.13936,14.211339,63.062004,28.63053,0.0,-2.7705507,2.5160294,2.257563,-1.7222931
600.0,6.3231816,3.5,40.0,3.0253782,351.26508,59.312035,3.5504417,25.806501,0.0,-2.6506712,-1.3488653,3.1129718,-1.614171
600.0,6.3231816,4.5,48.0,9.805961,478.66586,27.041536,123.136696,49.72634,0.0,-2.623501,1.4046702,1.6333684,-1.3025316
600.0,6.3231816,5.5,75.0,3.980469,826.8319,40.952198,285.92053,57.798595,0.0,-2.6515706,-1.7206659,2.1323977,-1.820183
600.0,6.3231816,6.5,73.0,103.37304,711.66626,88.10618,49.610172,70.83783,0.0,-2.5316162,0.9714699,-0.33317766,0.6205625
600.0,6.3231816,7.5,86.0,154.89352,893.72266,136.67482,208.3336,50.430843,0.0,-2.794556,1.111818,1.3053285,-0.29794395
600.0,6.3231816,8.5,110.0,89.19398,831.1414,58.030476,242.36507,96.57453,0.0,3.1130197,-2.5111048,1.9691774,-1.1949699
600.0,6.3231816,9.5,104.0,102.376144,341.31528,209.68309,115.7113,161.38252,0.0,2.4756289,-1.6909031,-2.9802165,-1.7840993
600.0,6.3231816,10.5,132.0,28.139204,345.09586,106.18739,201.85162,264.08713,0.0,0.27954528,-0.55458957,-1.4492359,-2.9468386
600.0,6.3231816,11.5,143.0,104.03942,748.98676,162.46666,223.08162,135.06152,0.0,0.09109494,2.807811,-1.775532,3.0214384
600.0,6.3231816,12.5,137.0,190.90057,1014.13776,338.8216,363.171,168.23714,0.0,-0.06067714,1.5694832,-2.4598832,3.123319
600.0,6.3231816,13.5,178.0,70.44786,1350.5027,639.64923,285.70285,170.11636,0.0,0.33066005,0.9044256,-1.9636929,-1.241671
600.0,6.3231816,14.5,170.0,35.36534,1602.9001,778.5905,594.0977,562.0548,0.0,0.34196883,0.93350554,-1.3195181,-1.5854073
600.0,6.3231816,15.5,187.0,154.21632,2043.7466,890.90295,841.8289,649.6907,0.0,0.27010944,0.62360704,-0.89531857,-1.541051
600.0,6.3231816,16.5,200.0,144.83403,2775.1106,1219.1058,759.1011,215.68947,0.0,-0.027212022,0.09633581,-1.0820397,-2.6805692
600.0,6.3231816,17.5,198.0,331.05814,3306.1436,581.8666,621.37244,222.38184,0.0,-0.21420395,0.07561794,-2.2220812,-1.1827521
600.0,6.3231816,18.5,227.0,36.94755,4193.1177,671.6912,716.23975,333.34906,0.0,-0.27478448,-1.344514,-1.7254151,-1.7876216
600.0,6.3231816,19.5,233.0,186.36665,4435.778,1058.2415,936.41705,754.54865,0.0,-0.2933805,-1.6717873,-1.6096649,0.5234331
600.0,6.3231816,20.5,238.0,72.48216,3806.6814,1627.0834,959.0197,1061.5404,0.0,-0.47170374,-1.7780002,-2.3839228,1.0212713
600.0,6.3231816,21.5,267.0,966.0075,3655.2622,2239.5828,1031.7605,1142.9379,0.0,-0.6107922,-1.9317809,2.414958,1.1384162
602.0,6.2968197,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.2968197,1.5,14.0,1.7729838,53.340008,4.3170776,10.219816,14.332718,0.0,-2.8657532,2.5161395,0.84884524,-1.2369823
602.0,6.2968197,2.5,36.0,28.180727,340.86456,43.946804,105.13522,15.9243765,0.0,-2.8763309,-2.1587768,2.4420776,2.6474366
602.0,6.2968197,3.5,40.0,14.233798,370.50183,59.939384,66.93984,71.7692,0.0,-2.6570582,-2.8102376,-2.9055898,1.9622259
602.0,6.2968197,4.5,48.0,7.028498,468.75528,17.514317,81.186295,20.361908,0.0,-2.4345667,-2.1045015,2.5020156,-2.167621
602.0,6.2968197,5.5,76.0,35.456066,842.17834,44.88888,240.93188,46.37603,0.0,-2.6444497,-1.9531746,2.0726278,-1.1490033
602.0,6.2968197,6.5,72.0,87.83385,724.3196,68.70516,79.65253,24.413208,0.0,-2.748465,0.024885802,1.3674304,0.6714328
602.0,6.2968197,7.5,85.0,156.45284,881.9341,120.3469,114.72449,61.60923,0.0,-2.9151232,0.43950555,1.0287932,-1.4656718
602.0,6.2968197,8.5,111.0,105.515724,980.2894,63.57335,187.68307,156.41595,0.0,-3.089206,3.0287812,1.6975399,1.9541589
602.0,6.2968197,9.5,104.0,27.940928,545.98663,306.03207,186.07433,104.229904,0.0,2.7399473,-1.6555302,2.8366096,2.653158
602.0,6.2968197,10.5,132.0,209.55354,222.1897,274.3583,246.74454,238.69574,0.0,0.040186074,-0.13711219,-2.566139,2.4406354
602.0,6.2968197,11.5,141.0,0.34128457,722.5425,228.49411,78.53796,73.39369,0.0,-0.14506763,0.58859044,2.5906405,1.9829654
602.0,6.2968197,12.5,140.0,163.7931,763.0558,287.32733,338.77982,150.374,0.0,-0.043817353,1.708322,-2.8499024,0.93033844
602.0,6.2968197,13.5,177.0,131.038,1425.4457,589.04553,272.60364,291.19135,0.0,0.23587698,1.2795663,-1.6770449,-0.1328832
602.0,6.2968197,14.5,170.0,169.24667,1475.8495,746.82513,376.46066,160.45317,0.0,0.23004325,0.9159922,-1.7431016,-1.4108155
602.0,6.2968197,15.5,186.0,178.3273,1832.7438,857.97095,462.60718,20.780792,0.0,0.36699194,0.57151747,-1.3641917,1.0829264
602.0,6.2968197,16.5,203.0,98.273926,2852.9297,1479.9912,616.5366,432.69052,0.0,0.07143745,0.07285085,-1.4514823,-2.6741152
602.0,6.2968197,17.5,198.0,129.89485,3106.697,803.768,754.38904,418.07727,0.0,-0.03793682,0.007717513,-1.5998278,-2.6022322
602.0,6.2968197,18.5,228.0,250.37115,3894.9875,620.1726,602.5579,161.12079,0.0,-0.19123925,-0.8917024,-1.4202019,-2.060069
602.0,6.2968197,19.5,228.0,719.1461,3884.032,1433.2336,764.6854,521.10236,0.0,-0.29165944,-1.3344752,-1.6404301,-0.26390535
602.0,6.2968197,20.5,234.0,751.972,3896.5051,2020.0237,856.0168,764.2267,0.0,-0.427779,-1.7320968,-2.7362123,0.57050717
602.0,6.2968197,21.5,264.0,1688.0182,3976.0752,1754.3462,1012.2763,983.384,0.0,-0.58620566,-1.78304,2.7868567,0.98024184
604.0,6.2570214,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604.0,6.2570214,1.5,14.0,8.689057,29.32311,5.6165843,8.990788,15.840095,0.0,-2.8510976,-2.6700041,1.8608128,1.5930965
604.0,6.2570214,2.5,36.0,4.7240458,368.67584,31.368927,154.2127,18.771015,0.0,-2.6410017,1.8544513,2.494199,-0.07930319
604.0,6.2570214,3.5,40.0,49.491463,470.233,38.670307,128.66608,41.772446,0.0,-2.589662,1.6723742,2.6402159,0.6092725
604.0,6.2570214,4.5,48.0,50.127205,503.1714,53.952793,81.60614,21.072683,0.0,-2.3945606,1.4014027,1.8470378,2.5684192
604.0,6.2570214,5.5,76.0,87.50022,825.24756,9.643167,292.56845,14.780952,0.0,-2.5302293,-1.516658,2.0596647,-2.575179
604.0,6.2570214,6.5,72.0,8.342468,655.408,43.26763,133.6429,37.229183,0.0,-2.6606576,-0.6103861,2.1346316,-1.8053324
604.0,6.2570214,7.5,86.0,137.80083,769.83923,177.79385,120.492485,83.989586,0.0,-2.8847299,-0.5052959,1.9164633,-1.9959135
604.0,6.2570214,8.5,110.0,156.50423,940.0609,47.84249,176.67543,69.53132,0.0,-3.1141937,-0.79386383,1.3863328,-1.7810684
604.0,6.2570214,9.5,104.0,122.8636,667.7948,205.65742,195.4697,42.86604,0.0,2.5316057,-2.2688687,1.5007743,-2.2170203
604.0,6.2570214,10.5,132.0,9.472729,559.5575,296.7912,253.37172,165.12665,0.0,1.00604,-1.3724581,0.3553659,-0.33876488
604.0,6.2570214,11.5,142.0,199.18246,452.50525,454.04886,121.83285,62.070927,0.0,-0.05186436,-1.2492659,0.32596272,0.81756777
604.0,6.2570214,12.5,138.0,83.53697,707.9672,185.34558,138.13571,65.093285,0.0,-0.0697048,-0.4372502,1.8820256,2.7065904
604.0,6.2570214,13.5,178.0,32.145832,872.22974,475.68484,126.12619,221.95467,0.0,0.17424953,1.2296865,-2.5776396,-1.6743821
604.0,6.2570214,14.5,170.0,134.87483,1244.7905,523.0236,299.33368,444.36755,0.0,0.3542812,1.3542942,-2.401295,-1.4717795
604.0,6.2570214,15.5,187.0,13.477889,1526.2911,564.23596,304.0816,406.5422,0.0,0.2172445,0.43767875,-1.6532474,-1.1026176
604.0,6.2570214,16.5,199.0,14.07331,2169.8247,859.1201,463.59695,456.45203,0.0,0.24791571,0.06601089,-1.5275526,-2.040504
604.0,6.2570214,17.5,201.0,184.92505,2840.1045,998.8585,348.97607,589.8167,0.0,0.023053361,-0.2946432,-1.8984083,2.7923722
604.0,6.2570214,18.5,231.0,279.47476,3736.7168,1485.9193,446.29855,1152.8649,0.0,-0.10467635,-0.70123935,-0.722432,2.5415573
604.0,6.2570214,19.5,227.0,495.8988,3391.1543,1714.7479,702.5745,414.83896,0.0,-0.2042731,-1.5789781,-2.8587756,0.15397306
604.0,6.2570214,20.5,243.0,1241.0104,3245.3833,1782.9766,1420.5513,908.86694,0.0,-0.3268806,-1.5711179,-2.6746848,0.06819035
604.0,6.2570214,21.5,252.0,1872.1069,3438.2427,2000.0636,1051.608,574.9621,0.0,-0.6519639,-1.7050592,-2.9121728,0.11341083
608.0,6.198067,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608.0,6.198067,1.5,14.0,7.0640388,18.27261,12.139067,15.156018,10.441118,0.0,3.0746367,1.6713607,2.17773,0.6035491
608.0,6.198067,2.5,36.0,6.263384,374.46353,61.738445,171.03815,11.554936,0.0,-2.4112358,-0.43606463,2.56845,-0.11345907
608.0,6.198067,3.5,40.0,14.904807,531.14075,80.672935,76.62698,28.996094,0.0,-2.53904,-0.72806275,2.5640903,-0.58292514
608.0,6.198067,4.5,48.0,33.28579,617.591,30.879486,102.19583,38.68658,0.0,-2.5699906,0.03306635,1.8428651,-2.1171088
608.0,6.198067,5.5,76.0,51.680367,828.44904,99.57338,223.36147,87.721954,0.0,-2.4037309,2.8061879,2.1329093,0.11888291
608.0,6.198067,6.5,72.0,68.20575,577.6984,43.29538,19.217981,30.984417,0.0,-2.7473316,-2.4024973,2.3866823,0.8332639
608.0,6.198067,7.5,87.0,21.63688,774.6558,122.96145,91.474686,26.79574,0.0,-2.976592,-0.8894555,1.1369921,-1.6119629
608.0,6.198067,8.5,109.0,26.879108,933.63306,101.318924,246.24802,168.01575,0.0,3.119011,-0.7729662,1.037646,2.2656457
608.0,6.198067,9.5,104.0,44.46299,486.8941,148.71692,169.97963,53.015335,0.0,2.5269241,-0.9006171,-0.6819626,-1.6068288
608.0,6.198067,10.5,132.0,55.15387,397.71542,115.26937,266.99625,98.60365,0.0,0.7471525,-1.9131771,-1.7430673,-0.85364133
608.0,6.198067,11.5,142.0,159.89635,679.8888,408.43445,146.46265,38.661396,0.0,0.14361303,-2.5495334,-1.3740232,0.75767547
