snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.3231816,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.3231816,1.5,12.0,6.617009,44.61033,9.489482,14.950787,14.018129,0.0,2.6017578,0.5442175,-0.26236564,-0.39040375
600.0,6.3231816,2.5,36.0,0.08057854,166.25009,12.940831,23.627224,15.715151,0.0,-2.6083536,1.0174266,2.9279172,2.6069348
600.0,6.3231816,3.5,40.0,13.37843,348.1212,33.882946,35.80491,19.457071,0.0,-2.5715232,-2.0372462,2.0921686,-1.66431
600.0,6.3231816,4.5,48.0,2.5884976,495.074,30.361055,45.74436,35.43565,0.0,-2.573676,1.1317865,1.8735391,-2.3131325
600.0,6.3231816,5.5,76.0,0.97849196,802.4618,34.15785,246.45715,16.077078,0.0,-2.676254,-0.41543075,2.274516,-2.0953689
600.0,6.3231816,6.5,72.0,36.921593,660.6516,26.001858,37.19877,32.81024,0.0,-2.4915304,0.47141692,0.3928245,0.31731552
600.0,6.3231816,7.5,89.0,102.034164,791.9677,127.990074,148.67107,18.152725,0.0,-2.6752977,0.688666,2.0377102,1.3053896
600.0,6.3231816,8.5,107.0,19.830189,667.1823,34.86974,218.44266,85.60922,0.0,-2.9629397,-0.68493956,2.0160255,-1.3800055
600.0,6.3231816,9.5,104.0,62.791527,312.23877,97.775856,86.107544,127.73038,0.0,2.8723722,-1.3981259,2.777617,-2.1692448
600.0,6.3231816,10.5,132.0,41.126915,168.08249,85.19851,150.72221,254.50241,0.0,-0.021559585,0.0653867,-1.9250792,-3.0535364
600.0,6.3231816,11.5,143.0,83.59084,595.89685,232.03748,232.8883,156.83893,0.0,0.053580534,2.8480034,-2.1428385,2.6625662
600.0,6.3231816,12.5,137.0,188.02217,881.7849,326.94196,336.42712,173.70369,0.0,-0.1046854,1.5902457,-2.4831955,2.6883173
600.0,6.3231816,13.5,180.0,73.53023,1281.2838,626.0643,252.08621,134.70554,0.0,0.34213823,0.8799544,-2.0640855,-1.4486445
600.0,6.3231816,14.5,168.0,20.798346,1518.0242,831.3942,554.1213,569.9202,0.0,0.34231204,0.89263815,-1.4507178,-1.5976863
600.0,6.3231816,15.5,186.0,161.15907,2086.5198,818.56793,874.1628,632.9426,0.0,0.2553689,0.6282106,-0.9559016,-1.5248511
600.0,6.3231816,16.5,201.0,114.95403,2763.3906,1142.9847,745.27374,298.31506,0.0,-0.0003801381,0.086246006,-1.009654,-2.8902946
600.0,6.3231816,17.5,199.0,336.2803,3322.2505,639.73175,684.9013,245.1232,0.0,-0.22782443,-0.11468658,-2.1688704,-1.3751107
600.0,6.3231816,18.5,227.0,48.131275,3898.9321,643.85614,890.65314,303.88907,0.0,-0.31380466,-1.0911372,-1.9227592,-0.8457394
600.0,6.3231816,19.5,230.0,313.76053,4022.0535,895.21875,915.34283,805.59735,0.0,-0.284814,-1.8525857,-1.3759924,0.79798806
600.0,6.3231816,20.5,240.0,463.71753,2811.3286,2207.3796,1172.8842,878.77826,0.0,-0.7087446,-1.5476607,-2.3339088,0.25246564
600.0,6.3231816,21.5,248.0,1203.3472,2493.2117,1871.4178,972.6102,575.1541,0.0,-0.73029906,-1.7438904,3.0659666,1.363908
602.0,6.2968197,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.2968197,1.5,13.0,5.853255,33.089066,6.727438,23.114656,5.3670135,0.0,3.1007025,-0.5843959,-1.2360662,-0.2741779
602.0,6.2968197,2.5,36.0,22.836363,202.69376,10.506882,46.345493,20.719145,0.0,-2.6631129,-2.996661,2.7918293,-1.1742694
602.0,6.2968197,3.5,40.0,11.478106,335.08655,35.254887,42.66228,50.24917,0.0,-2.592533,-2.53856,2.384479,1.974676
602.0,6.2968197,4.5,48.0,32.921204,465.55576,16.758312,59.97246,26.61145,0.0,-2.511028,-2.8331811,2.5136442,0.757654
602.0,6.2968197,5.5,76.0,9.132393,782.52954,39.653336,231.92413,46.987938,0.0,-2.6435819,-0.8165822,2.0385947,-1.6582688
602.0,6.2968197,6.5,72.0,59.503643,669.1352,83.47637,65.06188,19.42269,0.0,-2.7158763,-0.58557624,0.87959343,1.1780938
602.0,6.2968197,7.5,88.0,88.57817,773.9915,82.5039,69.61484,55.239372,0.0,-2.7220614,0.41432175,1.3157798,-1.0745131
602.0,6.2968197,8.5,108.0,49.935375,815.9571,70.24903,181.27766,47.96291,0.0,-2.9302454,0.016596844,1.4741942,1.6874468
602.0,6.2968197,9.5,104.0,0.3033162,456.63135,208.57649,157.84813,90.48196,0.0,3.0403435,-1.4408481,2.9199293,2.1673498
602.0,6.2968197,10.5,132.0,173.28812,200.59746,229.71599,247.84058,228.87938,0.0,-0.5338385,-0.09601698,-2.6614988,2.2324681
602.0,6.2968197,11.5,142.0,9.481301,624.1925,221.119,173.44194,85.910736,0.0,-0.25641444,0.74193263,2.6491952,1.9489645
602.0,6.2968197,12.5,139.0,140.12027,647.77893,250.69989,343.06766,154.90378,0.0,-0.09766397,1.781884,-2.8674138,0.94836694
602.0,6.2968197,13.5,178.0,94.92218,1318.7881,582.2578,204.1524,275.935,0.0,0.23214792,1.2189436,-1.7169211,-0.16327043
