snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.3231816,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.3231816,1.5,12.0,2.8801348,18.453775,174.67186,10.054453,31.96886,0.0,-2.4770527,-3.0808945,0.38735706,-1.8657653
600.0,6.3231816,2.5,36.0,48.705063,25.770182,665.517,14.824352,71.03932,0.0,-0.50819415,-3.0124323,1.2332408,-0.86518997
600.0,6.3231816,3.5,40.0,8.9122305,65.222786,646.3476,46.51586,46.108414,0.0,-3.0816503,-3.0350134,2.8543441,1.1228831
600.0,6.3231816,4.5,48.0,12.681803,40.600765,606.0698,31.713531,51.40402,0.0,1.7047619,-2.9009757,1.1933777,1.9820701
600.0,6.3231816,5.5,76.0,37.724926,28.528975,945.08215,33.377777,59.58974,0.0,1.5817059,-2.979113,-2.3219006,2.0802095
600.0,6.3231816,6.5,72.0,21.759052,49.664246,622.1516,98.35323,69.397575,0.0,2.6020594,-2.9048786,0.307753,0.9072775
600.0,6.3231816,7.5,89.0,61.097874,81.474785,710.40625,134.47176,60.448708,0.0,1.71987,-3.0493953,0.44592437,1.5234574
600.0,6.3231816,8.5,107.0,12.275448,112.13721,737.5381,98.31057,94.897446,0.0,0.5704944,-3.0101197,-0.09486391,1.4228516
600.0,6.3231816,9.5,104.0,78.16461,193.27032,564.3135,103.4173,81.78312,0.0,0.6593715,-3.1286688,-1.1288537,1.3442156
600.0,6.3231816,10.5,132.0,25.351463,135.85776,677.0381,149.51466,175.99216,0.0,1.1689312,-3.114189,-1.0243937,1.4478209
600.0,6.3231816,11.5,143.0,59.4671,123.725525,481.24728,193.45703,180.17706,0.0,2.465374,-2.8663936,1.2905887,1.8406029
600.0,6.3231816,12.5,137.0,50.04962,31.88772,439.6334,128.32092,53.939518,0.0,-2.0039535,-2.6514745,2.1157424,0.69305724
600.0,6.3231816,13.5,180.0,91.84187,113.53407,731.78925,127.64565,108.01598,0.0,-1.8830642,-2.726807,0.6917743,0.739031
600.0,6.3231816,14.5,168.0,219.2966,65.98419,838.2572,357.99347,196.26794,0.0,0.7533087,-2.9171934,0.26443356,0.33594403
600.0,6.3231816,15.5,186.0,135.10788,134.01552,1304.2737,180.47536,260.7079,0.0,1.2058468,-3.0733173,-0.104621015,0.72647333
600.0,6.3231816,16.5,201.0,24.542728,365.65842,1205.218,202.22227,196.31836,0.0,-0.7302679,3.107037,2.1260836,1.0803465
600.0,6.3231816,17.5,199.0,145.79788,299.27966,626.2062,353.48523,151.30026,0.0,-0.5937133,3.0547884,1.2768955,1.7363489
600.0,6.3231816,18.5,227.0,19.75943,288.2865,818.3774,495.07993,353.2116,0.0,1.4177439,-2.7206392,0.6747578,1.8766707
600.0,6.3231816,19.5,230.0,87.28877,749.6564,537.09076,614.6844,261.13235,0.0,1.2331349,-3.0432115,1.0111325,2.1605496
600.0,6.3231816,20.5,240.0,146.61046,245.55217,394.7793,102.355385,113.06517,0.0,-2.949881,3.003898,-2.2251678,-0.6415782
600.0,6.3231816,21.5,248.0,145.97832,291.73526,225.45473,64.14297,249.68896,0.0,2.4509935,1.6825371,1.0491828,-3.04254
602.0,6.2968197,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.2968197,1.5,13.0,1.9643533,31.292143,159.44226,26.96265,37.31413,0.0,1.9043772,-3.039233,-1.3081028,-1.6396871
602.0,6.2968197,2.5,36.0,25.685305,50.33843,665.5241,51.8736,60.351025,0.0,-2.2586145,-3.0717707,3.0412006,-1.5578905
602.0,6.2968197,3.5,40.0,34.924202,14.025505,586.67554,39.684452,52.321716,0.0,-2.3006375,-3.0025163,2.0081372,2.5970309
602.0,6.2968197,4.5,48.0,15.935149,40.558506,608.37964,32.98984,83.9139,0.0,3.0885222,-2.9442983,1.8643402,2.5992153
602.0,6.2968197,5.5,76.0,14.514044,25.97311,945.25934,50.55929,65.915886,0.0,2.4718423,-3.0269089,0.22555743,2.0069613
602.0,6.2968197,6.5,72.0,22.997208,35.417614,671.34705,28.912256,63.952805,0.0,1.1549572,-2.9286304,0.09719371,2.2366536
602.0,6.2968197,7.5,88.0,6.5297685,40.746235,708.6702,155.89949,67.15226,0.0,1.7199051,-3.0335667,0.8937014,2.691368
602.0,6.2968197,8.5,108.0,1.7608883,127.26524,754.7375,100.07998,129.42262,0.0,0.845453,-3.1049802,-0.18499228,1.7917871
602.0,6.2968197,9.5,104.0,83.420845,172.9966,536.8712,121.89675,87.30831,0.0,0.26182202,-2.9634397,-1.2905385,0.49783447
602.0,6.2968197,10.5,132.0,24.232841,96.76765,682.694,92.57252,207.23123,0.0,1.139705,-2.867809,-0.42471045,0.9707698
602.0,6.2968197,11.5,142.0,60.413303,254.62608,540.86206,192.93126,239.58054,0.0,2.7115996,-2.56748,0.65264034,1.2296755
602.0,6.2968197,12.5,139.0,62.44715,80.72779,508.74524,110.7555,90.69675,0.0,1.630172,-2.3817203,1.9637516,2.0152867
602.0,6.2968197,13.5,178.0,22.299541,293.80273,718.3492,197.41934,171.27055,0.0,-0.28096282,-2.762134,-1.6245213,1.6956497
602.0,6.2968197,14.5,169.0,178.12854,264.61453,791.3653,189.03195,217.96793,0.0,-0.21585836,-3.0390484,-0.9254142,1.0157303
602.0,6.2968197,15.5,186.0,84.27757,248.96446,997.6391,306.77115,362.5496,0.0,-0.81199086,3.0833519,-1.7622207,0.6444502
602.0,6.2968197,16.5,202.0,63.05253,342.42514,1381.6931,146.45505,234.42664,0.0,-0.74977744,3.0170057,2.3232627,1.031784
602.0,6.2968197,17.5,200.0,142.68654,338.2984,1132.0061,168.53159,202.61688,0.0,-0.50052446,3.112538,0.08508362,1.3563244
602.0,6.2968197,18.5,226.0,1.6043884,338.0024,963.06757,759.37854,344.94858,0.0,0.36330652,-2.947434,0.29766354,1.6756774
602.0,6.2968197,19.5,229.0,191.90204,362.29968,509.83524,382.144,536.70435,0.0,1.0503471,-2.6711483,0.23127292,1.3581496
602.0,6.2968197,20.5,238.0,175.73514,410.515,279.3079,298.51324,116.37413,0.0,2.252551,2.455744,0.35582614,1.20371
602.0,6.2968197,21.5,250.0,217.76315,547.33734,370.1694,121.32729,244.97607,0.0,2.1075103,1.650143,1.2645512,2.9102697
604.0,6.2570214,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604.0,6.2570214,1.5,13.0,11.215173,49.70404,159.57555,34.764343,42.429935,0.0,-0.6164129,-2.905878,1.6488795,-2.315518
604.0,6.2570214,2.5,36.0,10.58965,17.033278,663.6642,20.792435,11.82222,0.0,0.60950714,-3.0557065,-2.7348986,-1.4765011
604.0,6.2570214,3.5,40.0,40.689922,12.976254,564.3484,40.994465,100.13175,0.0,-0.80068487,-3.1147943,0.46048313,2.6642516
604.0,6.2570214,4.5,48.0,1.7076094,33.522316,610.79535,10.433796,87.72331,0.0,2.2041123,-3.0622497,-1.5674636,1.6017188
604.0,6.2570214,5.5,76.0,51.68655,52.83104,925.2132,42.42196,130.8634,0.0,-1.3435,-3.060644,-1.1826186,2.3325584
604.0,6.2570214,6.5,72.0,13.457932,17.02121,695.7209,79.05828,112.59463,0.0,-0.27544025,-3.0699587,-1.3744946,1.6454211
604.0,6.2570214,7.5,88.0,33.875614,25.785233,766.3192,60.227707,50.078476,0.0,-1.5816511,-2.9846637,-1.8088197,1.8771309
604.0,6.2570214,8.5,108.0,25.817036,90.23973,857.5845,76.108185,187.11412,0.0,0.6838662,-3.0607195,0.570963,1.415009
604.0,6.2570214,9.5,104.0,21.451393,84.7177,661.04236,146.48232,101.21201,0.0,1.6454669,-2.8006983,-1.0031599,0.9766129
604.0,6.2570214,10.5,133.0,43.132965,202.4371,811.5541,136.04639,67.19942,0.0,2.3127747,-2.8647254,-2.362689,-0.7330585
604.0,6.2570214,11.5,141.0,96.01746,180.42299,597.27515,48.481552,93.98509,0.0,0.96969014,-2.9377084,1.1689662,-0.34001032
604.0,6.2570214,12.5,138.0,161.62106,270.46652,593.1816,175.25143,154.4902,0.0,0.86970216,-2.6932616,-0.03639994,-0.7755499
604.0,6.2570214,13.5,180.0,145.81812,289.47232,733.7935,220.86243,285.0956,0.0,-0.0061713597,-2.7718828,-1.6555095,0.23794918
604.0,6.2570214,14.5,169.0,103.38963,308.94757,653.39996,300.7368,343.18912,0.0,0.20378043,-3.0034485,-1.8353801,0.28520668
604.0,6.2570214,15.5,187.0,13.340288,376.54083,702.8533,226.24495,419.06802,0.0,0.15089627,-2.9710872,-0.78751063,0.47104493
604.0,6.2570214,16.5,199.0,6.2303476,267.21405,994.88556,445.70792,624.2409,0.0,-0.3874644,2.9815624,-0.30023256,0.700986
