snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.6413755,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,0.75,14777.0,14777.0,243852.8,16836.857,0.0,0.96479213,-2.9661229
520.0,7.6413755,1.25,13519.0,13519.0,108355.58,23089.88,0.0,0.9573294,2.3652322
520.0,7.6413755,1.75,10084.0,10084.0,19779.818,15103.797,0.0,1.5757015,-3.0319889
520.0,7.6413755,2.25,6705.0,6705.0,12504.246,11602.235,0.0,2.4708517,2.5200648
520.0,7.6413755,2.75,4306.0,4306.0,18620.799,6191.892,0.0,2.2923484,-0.6590421
520.0,7.6413755,3.25,2244.0,2244.0,16946.55,13575.712,0.0,2.9772344,-1.4014249
520.0,7.6413755,3.75,1620.0,1620.0,7599.164,5856.3086,0.0,-2.5585096,2.8681235
520.0,7.6413755,4.25,1432.0,1432.0,9967.612,1912.0876,0.0,2.8995023,-2.8399286
520.0,7.6413755,4.75,1623.0,1623.0,15936.236,4030.2478,0.0,2.896082,0.33465463
520.0,7.6413755,5.25,1741.0,1741.0,25057.852,6707.5586,0.0,3.0336988,2.3954194
520.0,7.6413755,5.75,1911.0,1911.0,25905.9,4193.065,0.0,-2.910028,-1.6493906
523.0,7.596713,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,0.75,15113.0,15113.0,225830.1,33279.258,0.0,0.9893852,3.0610814
523.0,7.596713,1.25,13602.0,13602.0,95293.7,25598.254,0.0,1.061546,2.6460621
523.0,7.596713,1.75,9935.0,9935.0,28915.926,7186.4043,0.0,2.0695815,3.0912337
523.0,7.596713,2.25,6582.0,6582.0,15277.313,10534.548,0.0,2.7253218,1.8532423
523.0,7.596713,2.75,4196.0,4196.0,10713.619,3903.415,0.0,2.4536052,-0.2080821
523.0,7.596713,3.25,2472.0,2472.0,13082.95,6376.23,0.0,3.0645194,-0.99145025
523.0,7.596713,3.75,1771.0,1771.0,8945.67,4088.2957,0.0,2.920991,-1.9601917
523.0,7.596713,4.25,1651.0,1651.0,2967.1597,979.37476,0.0,-3.0144038,-0.21853773
523.0,7.596713,4.75,1700.0,1700.0,8784.934,4440.4014,0.0,-2.7854767,-3.09553
523.0,7.596713,5.25,1601.0,1601.0,14952.216,4926.0713,0.0,-2.9167402,-1.4020511
523.0,7.596713,5.75,1846.0,1846.0,21399.896,7374.757,0.0,3.0159965,-0.9575515
525.0,7.566684,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,0.75,14041.0,14041.0,162803.98,22155.766,0.0,1.069101,-1.5952475
525.0,7.566684,1.25,12413.0,12413.0,58218.11,14511.054,0.0,0.9007478,-2.8288906
525.0,7.566684,1.75,9794.0,9794.0,13778.195,16115.918,0.0,1.1055459,2.3840775
525.0,7.566684,2.25,6537.0,6537.0,21248.637,14176.375,0.0,2.8687792,-0.7069846
525.0,7.566684,2.75,3960.0,3960.0,18030.26,3526.8865,0.0,2.30452,-0.16891706
525.0,7.566684,3.25,2361.0,2361.0,13109.248,6670.2817,0.0,2.4412014,-0.8523347
525.0,7.566684,3.75,1795.0,1795.0,12008.891,2121.6404,0.0,2.7214344,-2.153751
525.0,7.566684,4.25,1683.0,1683.0,10040.686,4641.0728,0.0,-2.2974198,-1.8426393
525.0,7.566684,4.75,1761.0,1761.0,11134.008,4098.208,0.0,3.0652523,0.8846334
525.0,7.566684,5.25,1736.0,1736.0,8783.782,5971.4478,0.0,-2.9045358,0.046328526
