snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.6413755,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,0.75,14777.0,14777.0,276.71512,106.37904,0.0,1.0356572,-1.4674317
520.0,7.6413755,1.25,13519.0,13519.0,777.92175,65.62075,0.0,0.86731267,3.0652826
520.0,7.6413755,1.75,10084.0,10084.0,993.683,133.06981,0.0,0.94769263,-1.2970781
520.0,7.6413755,2.25,6705.0,6705.0,1139.1854,227.96236,0.0,1.0419137,-2.8641467
520.0,7.6413755,2.75,4306.0,4306.0,687.1006,152.12752,0.0,1.0579647,-1.8376726
520.0,7.6413755,3.25,2244.0,2244.0,495.81784,184.48389,0.0,1.7265944,-1.385354
520.0,7.6413755,3.75,1620.0,1620.0,346.00833,89.47957,0.0,1.363862,2.7742255
520.0,7.6413755,4.25,1432.0,1432.0,628.833,67.92043,0.0,1.6628753,1.3046409
520.0,7.6413755,4.75,1623.0,1623.0,645.90314,149.68272,0.0,1.7185873,0.70901185
520.0,7.6413755,5.25,1741.0,1741.0,892.28253,340.08566,0.0,1.8162022,0.100660205
520.0,7.6413755,5.75,1911.0,1911.0,895.26276,127.44851,0.0,1.3660347,0.92676246
523.0,7.596713,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,0.75,15113.0,15113.0,462.7864,193.26486,0.0,1.437721,1.2581418
523.0,7.596713,1.25,13602.0,13602.0,889.40436,121.32999,0.0,1.00996,0.26229632
523.0,7.596713,1.75,9935.0,9935.0,931.2116,185.16786,0.0,1.1195003,0.6555707
523.0,7.596713,2.25,6582.0,6582.0,1127.5465,219.93536,0.0,0.99421877,-0.5888692
523.0,7.596713,2.75,4196.0,4196.0,783.7535,51.48102,0.0,1.1062808,-0.8721005
523.0,7.596713,3.25,2472.0,2472.0,573.6183,193.54068,0.0,1.0265417,-0.90839994
523.0,7.596713,3.75,1771.0,1771.0,286.93967,38.56576,0.0,0.9657194,-1.6002443
523.0,7.596713,4.25,1651.0,1651.0,485.35666,126.74294,0.0,1.264441,-2.6385741
523.0,7.596713,4.75,1700.0,1700.0,488.66272,83.05007,0.0,1.2292545,2.220653
523.0,7.596713,5.25,1601.0,1601.0,578.6036,183.64915,0.0,1.3505858,1.4094236
523.0,7.596713,5.75,1846.0,1846.0,571.6486,287.90836,0.0,1.548136,2.7175822
525.0,7.566684,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,0.75,14041.0,14041.0,688.9182,298.5607,0.0,1.1112958,2.4519947
525.0,7.566684,1.25,12413.0,12413.0,962.67975,137.4113,0.0,0.82245713,-2.3544207
525.0,7.566684,1.75,9794.0,9794.0,1115.7526,228.63602,0.0,1.0111457,-2.6002407
525.0,7.566684,2.25,6537.0,6537.0,1022.4099,63.62237,0.0,1.0026299,-2.7805529
525.0,7.566684,2.75,3960.0,3960.0,924.6505,79.4858,0.0,0.9912877,-1.6310705
525.0,7.566684,3.25,2361.0,2361.0,433.41086,40.65912,0.0,1.1408541,-1.5423241
525.0,7.566684,3.75,1795.0,1795.0,444.7034,15.235964,0.0,1.2334576,2.2307332
525.0,7.566684,4.25,1683.0,1683.0,318.28488,96.08927,0.0,1.4245281,-2.876088
525.0,7.566684,4.75,1761.0,1761.0,618.43365,57.360966,0.0,1.3500745,-0.2663886
525.0,7.566684,5.25,1736.0,1736.0,566.7721,162.08969,0.0,1.3956581,-1.3390064
525.0,7.566684,5.75,1868.0,1868.0,694.6203,340.49036,0.0,1.5756912,-0.57950276
527.0,7.5333905,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527.0,7.5333905,0.75,14374.0,14374.0,626.2453,201.89648,0.0,0.962922,-0.7707776
527.0,7.5333905,1.25,12501.0,12501.0,1182.3793,174.94405,0.0,0.9545488,-1.3702371
527.0,7.5333905,1.75,9522.0,9522.0,933.5764,102.21057,0.0,1.0371825,0.2845688
527.0,7.5333905,2.25,6428.0,6428.0,878.08466,208.82948,0.0,1.0214193,1.2841463
527.0,7.5333905,2.75,4151.0,4151.0,888.2445,55.486343,0.0,0.9905926,0.03763862
527.0,7.5333905,3.25,2294.0,2294.0,591.92505,126.95383,0.0,1.2494253,2.8878279
527.0,7.5333905,3.75,1785.0,1785.0,494.3538,20.427425,0.0,1.1629375,0.68016034
527.0,7.5333905,4.25,1630.0,1630.0,532.3323,137.66307,0.0,1.1169242,3.0985603
527.0,7.5333905,4.75,1899.0,1899.0,482.25558,28.934282,0.0,1.0252771,2.381921
527.0,7.5333905,5.25,1817.0,1817.0,491.2076,79.600334,0.0,1.519974,-2.495985
527.0,7.5333905,5.75,1980.0,1980.0,658.8608,37.513443,0.0,1.5213658,0.19378833
530.0,7.48298,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
530.0,7.48298,0.75,14992.0,14992.0,463.61334,169.68243,0.0,1.1915137,-3.0133486
530.0,7.48298,1.25,13768.0,13768.0,1178.2434,112.37628,0.0,1.05028,2.255429
530.0,7.48298,1.75,10565.0,10565.0,1114.6508,203.99672,0.0,1.0297022,-2.6026516
530.0,7.48298,2.25,6813.0,6813.0,794.70667,188.85678,0.0,1.0544708,-1.3851545
530.0,7.48298,2.75,4225.0,4225.0,553.4903,112.74951,0.0,0.9203549,-2.037761
530.0,7.48298,3.25,2365.0,2365.0,394.69174,51.417744,0.0,0.9036977,1.8896698
530.0,7.48298,3.75,1768.0,1768.0,333.97565,255.52272,0.0,1.4514046,2.8328178
530.0,7.48298,4.25,1448.0,1448.0,318.95135,186.89078,0.0,1.3347312,2.800197
530.0,7.48298,4.75,1484.0,1484.0,437.22974,154.49934,0.0,1.221302,-1.9064296
530.0,7.48298,5.25,1596.0,1596.0,599.2165,66.460754,0.0,1.1696,-0.6482209
530.0,7.48298,5.75,1826.0,1826.0,585.6837,77.377235,0.0,1.1432109,0.8928993
532.0,7.445623,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
532.0,7.445623,0.75,15170.0,15170.0,650.89,87.49446,0.0,1.3425881,-2.646035
532.0,7.445623,1.25,13560.0,13560.0,1159.9124,57.127373,0.0,1.0391947,2.3538117
532.0,7.445623,1.75,10384.0,10384.0,1250.7169,373.12784,0.0,1.0560063,1.9819367
532.0,7.445623,2.25,6908.0,6908.0,1093.2158,233.34514,0.0,1.027591,1.7516233
532.0,7.445623,2.75,4325.0,4325.0,775.0729,240.4436,0.0,0.9306468,1.1451323
532.0,7.445623,3.25,2607.0,2607.0,535.3401,52.528667,0.0,1.2828774,-2.3911974
532.0,7.445623,3.75,1699.0,1699.0,292.69937,65.27084,0.0,1.5155969,0.794645
532.0,7.445623,4.25,1367.0,1367.0,105.91324,60.8902,0.0,1.884719,0.45765275
532.0,7.445623,4.75,1446.0,1446.0,294.13278,195.56592,0.0,0.972018,-0.67320806
532.0,7.445623,5.25,1610.0,1610.0,498.70535,229.12802,0.0,1.3063426,-1.184695
532.0,7.445623,5.75,1859.0,1859.0,828.8163,86.52941,0.0,1.2758241,0.4480249
535.0,7.388983,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
535.0,7.388983,0.75,14356.0,14356.0,883.51575,68.26797,0.0,1.1591232,0.1804472
535.0,7.388983,1.25,13016.0,13016.0,1387.9987,91.541954,0.0,0.9429208,-2.6401522
535.0,7.388983,1.75,10434.0,10434.0,1525.5708,80.5703,0.0,1.0425271,-0.8942113
535.0,7.388983,2.25,6794.0,6794.0,1320.3695,122.50235,0.0,0.8002956,-1.7287831
535.0,7.388983,2.75,4003.0,4003.0,893.894,201.22852,0.0,0.8849014,-1.2849622
535.0,7.388983,3.25,2446.0,2446.0,693.7322,265.64224,0.0,1.2461861,-0.24283178
535.0,7.388983,3.75,1885.0,1885.0,377.89792,186.64006,0.0,1.7592577,-0.31075728
