snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,phase0,phase1,phase2,phase3
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,123396.0,123396.0,7297.412,19509.45,2264.3518,0.0,2.700695,-1.1210339,1.243546
520.0,7.6413755,2.5,94624.0,94624.0,1209.4137,3752.8699,1922.506,0.0,2.0688853,-0.8116017,2.7627761
520.0,7.6413755,3.5,86614.0,86614.0,2094.8997,4295.5596,2037.8848,0.0,-0.66948867,1.9416332,0.17028692
520.0,7.6413755,4.5,98543.0,98543.0,5084.3945,9910.725,639.8621,0.0,0.48481092,-3.0448632,-1.4540422
520.0,7.6413755,5.5,114124.0,114124.0,9444.72,8437.702,2440.771,0.0,1.0632501,-2.651057,0.9448892
520.0,7.6413755,6.5,104651.0,104651.0,2608.673,3204.135,4993.8086,0.0,-0.32077777,3.0463638,1.7944273
520.0,7.6413755,7.5,100008.0,100008.0,7832.708,8533.872,4007.0889,0.0,-3.1219149,3.0772607,-2.0194223
520.0,7.6413755,8.5,96960.0,96960.0,8902.64,2971.6528,4276.066,0.0,3.1307669,-1.2539444,-1.6291983
520.0,7.6413755,9.5,93453.0,93453.0,6432.8594,3060.582,759.7999,0.0,-3.0274906,0.93988836,-1.6466141
520.0,7.6413755,10.5,88916.0,88916.0,6084.111,7837.675,3960.3845,0.0,1.1139756,0.8859173,2.9783003
520.0,7.6413755,11.5,74275.0,74275.0,7612.0464,5899.2354,4698.8315,0.0,0.16648299,2.0760152,0.18970579
520.0,7.6413755,12.5,62928.0,62928.0,9507.784,7575.2,4218.0513,0.0,-0.16255689,-1.5918478,1.0933906
520.0,7.6413755,13.5,51765.0,51765.0,10411.74,4849.159,1975.4669,0.0,-0.34618506,-2.9401684,2.7138455
520.0,7.6413755,14.5,40439.0,40439.0,11214.838,9682.502,2773.2139,0.0,-0.9330318,3.073226,-0.08202121
520.0,7.6413755,15.5,32671.0,32671.0,7289.3423,15452.312,3441.7686,0.0,0.18061973,-2.759531,-0.3143808
