snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,125195.0,125195.0,7107.695,18730.21,0.0,2.6972282,-1.1128942
520.0,7.6413755,2.5,97888.0,97888.0,1300.6191,3351.3257,0.0,1.9146563,-0.76362926
520.0,7.6413755,3.5,90308.0,90308.0,1927.3555,4572.802,0.0,-0.65805805,1.9481673
520.0,7.6413755,4.5,102409.0,102409.0,4948.88,10042.899,0.0,0.47066084,-3.0783503
520.0,7.6413755,5.5,117934.0,117934.0,9241.26,8342.187,0.0,1.0433505,-2.703717
520.0,7.6413755,6.5,108760.0,108760.0,2904.2705,3789.3362,0.0,-0.24957661,2.82696
520.0,7.6413755,7.5,104861.0,104861.0,7969.5903,9390.944,0.0,-3.1288521,2.9152308
520.0,7.6413755,8.5,102083.0,102083.0,9168.736,1453.9136,0.0,3.0652153,-1.939949
520.0,7.6413755,9.5,99715.0,99715.0,6100.4995,5307.809,0.0,3.0722582,1.4760858
520.0,7.6413755,10.5,95714.0,95714.0,7888.021,9839.656,0.0,1.1162857,1.1692232
520.0,7.6413755,11.5,81727.0,81727.0,8509.161,9232.155,0.0,0.37175065,2.0706177
520.0,7.6413755,12.5,70520.0,70520.0,9548.803,5302.575,0.0,-0.07797161,-1.8398498
520.0,7.6413755,13.5,60145.0,60145.0,11428.559,6322.503,0.0,-0.4339012,2.5489173
520.0,7.6413755,14.5,49106.0,49106.0,11617.445,12295.465,0.0,-0.8531796,2.5968812
520.0,7.6413755,15.5,42251.0,42251.0,9598.732,17409.54,0.0,0.6085266,3.0883873
520.0,7.6413755,16.5,36615.0,36615.0,17560.111,16098.0,0.0,0.9822887,-2.7734215
520.0,7.6413755,17.5,27563.0,27563.0,20262.715,6634.5767,0.0,0.6081477,-2.9334784
520.0,7.6413755,18.5,23429.0,23429.0,21386.693,6821.3135,0.0,0.725987,-2.8321674
520.0,7.6413755,19.5,18009.0,18009.0,20729.662,4101.035,0.0,0.64330375,1.9246479
520.0,7.6413755,20.5,12783.0,12783.0,15538.055,4656.074,0.0,0.58035207,1.4009624
520.0,7.6413755,21.5,8542.0,8542.0,10685.871,4517.4727,0.0,0.58792377,1.2451707
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,125615.0,125615.0,2936.822,18825.451,0.0,2.7453527,-1.2085073
523.0,7.596713,2.5,97696.0,97696.0,888.6972,3679.3333,0.0,1.2759619,-1.0009956
523.0,7.596713,3.5,86295.0,86295.0,2798.0508,6346.1187,0.0,3.060381,1.3079464
523.0,7.596713,4.5,96389.0,96389.0,3378.859,14927.235,0.0,-2.2519603,2.1559677
523.0,7.596713,5.5,111337.0,111337.0,3882.9275,16976.57,0.0,2.097322,2.8291252
523.0,7.596713,6.5,119971.0,119971.0,7944.3047,14472.307,0.0,0.28485897,2.1312528
523.0,7.596713,7.5,116777.0,116777.0,7601.886,5874.7954,0.0,-0.8810564,2.3615823
523.0,7.596713,8.5,111963.0,111963.0,14642.522,5101.837,0.0,-2.2245786,1.9824389
523.0,7.596713,9.5,98713.0,98713.0,6369.371,6513.008,0.0,-2.8391693,1.2229643
523.0,7.596713,10.5,92784.0,92784.0,3401.3948,9042.761,0.0,-1.2321892,1.4340211
523.0,7.596713,11.5,84060.0,84060.0,10028.519,12868.086,0.0,-0.22233242,2.1307425
523.0,7.596713,12.5,77085.0,77085.0,14872.38,12332.121,0.0,-0.13622855,2.5196557
523.0,7.596713,13.5,65901.0,65901.0,8973.725,17174.043,0.0,-0.2518696,2.8434114
523.0,7.596713,14.5,50675.0,50675.0,5001.2534,16804.78,0.0,-0.6382338,2.588172
523.0,7.596713,15.5,40911.0,40911.0,3904.3574,12068.223,0.0,-0.9820106,2.2196827
523.0,7.596713,16.5,33535.0,33535.0,11220.025,9851.299,0.0,0.12400671,2.6506007
523.0,7.596713,17.5,27976.0,27976.0,18755.742,6667.5103,0.0,0.48144877,2.6908646
523.0,7.596713,18.5,22589.0,22589.0,18163.854,5319.3867,0.0,0.5412353,-3.0241523
523.0,7.596713,19.5,17106.0,17106.0,19645.947,4852.7715,0.0,0.524071,2.0401137
523.0,7.596713,20.5,11416.0,11416.0,15414.323,6384.5083,0.0,0.36094344,0.70445806
523.0,7.596713,21.5,6644.0,6644.0,8484.662,3574.944,0.0,0.35873365,0.7540583
525.0,7.566684,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,1.5,126137.0,126137.0,2911.6328,18327.818,0.0,-2.9913254,-1.25745
