snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,phase0,phase1,phase2,phase3
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,57734.0,57734.0,2564.236,4090.7783,1183.603,0.0,2.738045,-0.99069804,1.0877348
520.0,7.6413755,2.5,56839.0,56839.0,1010.02795,5580.861,1302.0042,0.0,0.21950667,1.7087343,2.8690896
520.0,7.6413755,3.5,66130.0,66130.0,2502.9978,10078.66,2049.304,0.0,-0.68164766,1.9427742,-0.093552604
520.0,7.6413755,4.5,86232.0,86232.0,5068.6953,10655.654,633.88794,0.0,0.4755537,2.9422421,-1.3697402
520.0,7.6413755,5.5,105840.0,105840.0,9190.488,8532.609,2472.0168,0.0,1.037027,-2.822649,0.86956805
520.0,7.6413755,6.5,98215.0,98215.0,2388.7893,3491.2737,4904.392,0.0,-0.41554755,2.9302754,1.8082159
520.0,7.6413755,7.5,94065.0,94065.0,8143.6885,8314.893,3763.9866,0.0,-3.0980558,3.100157,-2.008575
520.0,7.6413755,8.5,91645.0,91645.0,9234.277,3621.4858,4007.0676,0.0,-3.0600932,-1.2045345,-1.5745319
520.0,7.6413755,9.5,88714.0,88714.0,6845.156,2742.942,674.98755,0.0,-2.9097936,0.49326295,-0.97982484
520.0,7.6413755,10.5,84600.0,84600.0,5491.803,7080.421,3569.189,0.0,1.1262966,0.74293935,2.9176319
520.0,7.6413755,11.5,69901.0,69901.0,7102.7256,4865.4116,4729.003,0.0,0.07157734,2.0685642,0.23553494
520.0,7.6413755,12.5,59277.0,59277.0,9231.81,8082.7983,4345.9067,0.0,-0.26842797,-1.5436697,1.2023628
520.0,7.6413755,13.5,48512.0,48512.0,10118.957,4584.545,2177.7314,0.0,-0.3714498,-2.784843,2.6908865
520.0,7.6413755,14.5,37669.0,37669.0,11087.891,9602.314,3266.03,0.0,-0.96953905,-3.103915,-0.032083493
520.0,7.6413755,15.5,30232.0,30232.0,6769.224,14981.364,4225.061,0.0,0.018606542,-2.713044,-0.1950878
520.0,7.6413755,16.5,27871.0,27871.0,11547.013,15610.496,2258.4983,0.0,0.9874269,-2.459702,-1.1825292
520.0,7.6413755,17.5,21258.0,21258.0,15652.205,6156.8926,6164.5273,0.0,0.61786866,-2.7113223,-2.5349271
520.0,7.6413755,18.5,18747.0,18747.0,18132.139,5711.089,5990.8403,0.0,0.7687871,-2.829095,-2.044527
520.0,7.6413755,19.5,14021.0,14021.0,16693.492,2709.8032,2092.2168,0.0,0.6361915,1.6052188,-1.9524447
520.0,7.6413755,20.5,10041.0,10041.0,12797.062,4040.8828,716.43134,0.0,0.60331273,1.2963891,2.7996304
520.0,7.6413755,21.5,7287.0,7287.0,9924.105,4729.971,2141.7004,0.0,0.5815261,1.1978035,2.194158
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,58445.0,58445.0,1326.215,4440.8647,1379.0038,0.0,2.5078137,-1.3695273,2.1637087
523.0,7.596713,2.5,57018.0,57018.0,1319.9442,3990.3816,1486.3824,0.0,1.2701995,1.8145903,-1.8559747
523.0,7.596713,3.5,61686.0,61686.0,2107.2812,10632.936,55.233345,0.0,2.886816,1.6017548,-0.23352358
523.0,7.596713,4.5,79720.0,79720.0,3117.2456,16724.021,1736.8297,0.0,-2.2016575,2.095542,-0.40320686
523.0,7.596713,5.5,99009.0,99009.0,3424.3962,16978.834,5361.5044,0.0,2.0537515,2.7880554,-2.8723066
523.0,7.596713,6.5,108780.0,108780.0,7643.3164,13713.978,2739.399,0.0,0.26741678,2.129307,2.8752441
523.0,7.596713,7.5,105605.0,105605.0,7254.7485,4091.767,5825.2407,0.0,-0.97443914,2.6628284,2.7009568
523.0,7.596713,8.5,101286.0,101286.0,14950.558,2383.896,7222.027,0.0,-2.2655106,1.7242337,-2.250626
523.0,7.596713,9.5,87530.0,87530.0,7580.6484,5851.087,5027.106,0.0,-2.7884302,0.45620894,-1.8981394
523.0,7.596713,10.5,81793.0,81793.0,5049.987,5638.2134,4022.9663,0.0,-1.886316,0.91067106,1.0012085
523.0,7.596713,11.5,72468.0,72468.0,9504.3125,6869.9883,6099.6294,0.0,-0.7019378,2.0692742,0.6388457
523.0,7.596713,12.5,63749.0,63749.0,16263.41,5237.633,5100.3125,0.0,-0.5135446,2.639611,1.0325673
523.0,7.596713,13.5,52363.0,52363.0,10334.887,10990.932,8430.398,0.0,-0.7352264,-3.079469,1.835395
523.0,7.596713,14.5,38689.0,38689.0,5311.7915,10137.059,3007.433,0.0,-1.0509363,2.86502,-0.109568484
523.0,7.596713,15.5,29518.0,29518.0,4392.3896,5784.709,4732.9897,0.0,-1.1235356,2.3430004,-1.8942959
523.0,7.596713,16.5,24915.0,24915.0,8843.392,5671.4854,2542.4534,0.0,0.024093324,2.8397493,-2.9134212
523.0,7.596713,17.5,21745.0,21745.0,14362.869,4544.361,5769.13,0.0,0.48373422,2.827843,2.6744819
523.0,7.596713,18.5,17280.0,17280.0,13136.613,4684.0366,4379.6255,0.0,0.54072934,-2.7831535,2.8026538
523.0,7.596713,19.5,12617.0,12617.0,14555.839,2965.4053,4924.823,0.0,0.505769,2.167172,-2.485859
523.0,7.596713,20.5,9104.0,9104.0,13161.232,6094.0723,2244.198,0.0,0.3232064,0.5820179,0.8442465
523.0,7.596713,21.5,5237.0,5237.0,7324.674,3470.9875,1314.9197,0.0,0.3421325,0.6789672,1.3321759
525.0,7.566684,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
