snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,phase0,phase1,phase2,phase3
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,125195.0,125195.0,7107.695,18730.21,2292.5864,0.0,2.6972282,-1.1128942,1.3237156
520.0,7.6413755,2.5,97888.0,97888.0,1300.6191,3351.3257,1812.5306,0.0,1.9146563,-0.76362926,2.7009692
520.0,7.6413755,3.5,90308.0,90308.0,1927.3555,4572.802,2001.6248,0.0,-0.65805805,1.9481673,0.1949362
520.0,7.6413755,4.5,102409.0,102409.0,4948.88,10042.899,758.12146,0.0,0.47066084,-3.0783503,-1.4735233
520.0,7.6413755,5.5,117934.0,117934.0,9241.26,8342.187,2541.27,0.0,1.0433505,-2.703717,0.96118486
520.0,7.6413755,6.5,108760.0,108760.0,2904.2705,3789.3362,5306.2383,0.0,-0.24957661,2.82696,1.7305151
520.0,7.6413755,7.5,104861.0,104861.0,7969.5903,9390.944,4275.438,0.0,-3.1288521,2.9152308,-1.9523773
520.0,7.6413755,8.5,102083.0,102083.0,9168.736,1453.9136,5134.2666,0.0,3.0652153,-1.939949,-1.6247627
520.0,7.6413755,9.5,99715.0,99715.0,6100.4995,5307.809,1414.3124,0.0,3.0722582,1.4760858,-2.1051223
520.0,7.6413755,10.5,95714.0,95714.0,7888.021,9839.656,4767.134,0.0,1.1162857,1.1692232,3.093002
520.0,7.6413755,11.5,81727.0,81727.0,8509.161,9232.155,4479.1685,0.0,0.37175065,2.0706177,-0.088078074
520.0,7.6413755,12.5,70520.0,70520.0,9548.803,5302.575,3328.0767,0.0,-0.07797161,-1.8398498,0.7023672
520.0,7.6413755,13.5,60145.0,60145.0,11428.559,6322.503,894.9621,0.0,-0.4339012,2.5489173,2.9858549
520.0,7.6413755,14.5,49106.0,49106.0,11617.445,12295.465,1726.6549,0.0,-0.8531796,2.5968812,-0.25389478
520.0,7.6413755,15.5,42251.0,42251.0,9598.732,17409.54,3078.501,0.0,0.6085266,3.0883873,-1.7692465
520.0,7.6413755,16.5,36615.0,36615.0,17560.111,16098.0,3282.6523,0.0,0.9822887,-2.7734215,-1.9966569
520.0,7.6413755,17.5,27563.0,27563.0,20262.715,6634.5767,6495.893,0.0,0.6081477,-2.9334784,-2.5230618
520.0,7.6413755,18.5,23429.0,23429.0,21386.693,6821.3135,6643.469,0.0,0.725987,-2.8321674,-2.20497
520.0,7.6413755,19.5,18009.0,18009.0,20729.662,4101.035,3589.5781,0.0,0.64330375,1.9246479,-2.4234097
520.0,7.6413755,20.5,12783.0,12783.0,15538.055,4656.074,2029.2871,0.0,0.58035207,1.4009624,2.9719129
520.0,7.6413755,21.5,8542.0,8542.0,10685.871,4517.4727,2220.6184,0.0,0.58792377,1.2451707,2.4556322
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,125615.0,125615.0,2936.822,18825.451,1509.8071,0.0,2.7453527,-1.2085073,1.5501164
523.0,7.596713,2.5,97696.0,97696.0,888.6972,3679.3333,1517.7793,0.0,1.2759619,-1.0009956,-2.173352
523.0,7.596713,3.5,86295.0,86295.0,2798.0508,6346.1187,855.4561,0.0,3.060381,1.3079464,0.4372157
523.0,7.596713,4.5,96389.0,96389.0,3378.859,14927.235,1905.2891,0.0,-2.2519603,2.1559677,-0.31824002
523.0,7.596713,5.5,111337.0,111337.0,3882.9275,16976.57,5331.9546,0.0,2.097322,2.8291252,-2.851386
523.0,7.596713,6.5,119971.0,119971.0,7944.3047,14472.307,2583.0752,0.0,0.28485897,2.1312528,2.7603986
523.0,7.596713,7.5,116777.0,116777.0,7601.886,5874.7954,6071.135,0.0,-0.8810564,2.3615823,2.763535
523.0,7.596713,8.5,111963.0,111963.0,14642.522,5101.837,7077.332,0.0,-2.2245786,1.9824389,-2.240296
523.0,7.596713,9.5,98713.0,98713.0,6369.371,6513.008,4649.8574,0.0,-2.8391693,1.2229643,-2.0909708
523.0,7.596713,10.5,92784.0,92784.0,3401.3948,9042.761,4706.303,0.0,-1.2321892,1.4340211,1.4453623
523.0,7.596713,11.5,84060.0,84060.0,10028.519,12868.086,4302.731,0.0,-0.22233242,2.1307425,0.71595824
523.0,7.596713,12.5,77085.0,77085.0,14872.38,12332.121,1178.8551,0.0,-0.13622855,2.5196557,-0.17097223
523.0,7.596713,13.5,65901.0,65901.0,8973.725,17174.043,6500.882,0.0,-0.2518696,2.8434114,2.0697112
523.0,7.596713,14.5,50675.0,50675.0,5001.2534,16804.78,2090.9927,0.0,-0.6382338,2.588172,-0.4703836
523.0,7.596713,15.5,40911.0,40911.0,3904.3574,12068.223,4814.056,0.0,-0.9820106,2.2196827,-1.9957949
523.0,7.596713,16.5,33535.0,33535.0,11220.025,9851.299,4277.4634,0.0,0.12400671,2.6506007,-2.9654665
523.0,7.596713,17.5,27976.0,27976.0,18755.742,6667.5103,6586.326,0.0,0.48144877,2.6908646,2.9084005
523.0,7.596713,18.5,22589.0,22589.0,18163.854,5319.3867,5443.557,0.0,0.5412353,-3.0241523,2.9006512
523.0,7.596713,19.5,17106.0,17106.0,19645.947,4852.7715,5880.424,0.0,0.524071,2.0401137,-2.7248576
523.0,7.596713,20.5,11416.0,11416.0,15414.323,6384.5083,2424.6562,0.0,0.36094344,0.70445806,1.3115413
523.0,7.596713,21.5,6644.0,6644.0,8484.662,3574.944,1578.0918,0.0,0.35873365,0.7540583,1.6344364
525.0,7.566684,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,1.5,126137.0,126137.0,2911.6328,18327.818,465.7446,0.0,-2.9913254,-1.25745,-2.0429022
525.0,7.566684,2.5,98981.0,98981.0,1960.6487,4725.0117,706.3275,0.0,1.8515471,-1.02607,1.6187348
525.0,7.566684,3.5,88361.0,88361.0,3431.9285,5425.169,1605.2963,0.0,1.0081701,0.95439374,-2.2807393
525.0,7.566684,4.5,96711.0,96711.0,2874.8887,15210.078,2606.9536,0.0,-3.1048348,1.8997544,-1.8895619
525.0,7.566684,5.5,109524.0,109524.0,3022.1387,21752.729,4105.7275,0.0,-3.0830243,2.2592773,0.5191195
525.0,7.566684,6.5,114753.0,114753.0,2804.3916,13154.527,3475.5364,0.0,0.9937252,2.3454156,0.49864325
525.0,7.566684,7.5,118787.0,118787.0,8998.956,7594.932,4924.679,0.0,-0.23771006,2.0131416,0.8975867
525.0,7.566684,8.5,113343.0,113343.0,9381.627,5054.114,3975.5635,0.0,-2.1540983,-3.1259222,1.8832337
525.0,7.566684,9.5,106475.0,106475.0,19486.914,4501.302,5041.4526,0.0,-2.6155033,1.9981139,1.2760048
525.0,7.566684,10.5,96309.0,96309.0,7137.611,14757.003,2194.8684,0.0,-1.4534339,1.2193298,0.26096225
525.0,7.566684,11.5,83905.0,83905.0,14303.769,12022.735,4522.195,0.0,-0.67480284,1.8380837,0.5503859
