snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,phase0,phase1,phase2,phase3
602.0,6.2968197,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.2968197,1.5,69207.0,69207.0,14009.499,3218.4302,1505.3152,0.0,0.6030758,-0.9046676,2.4882452
602.0,6.2968197,2.5,70446.0,70446.0,10522.647,7650.7686,2700.0298,0.0,0.62962365,1.8928174,2.2183502
602.0,6.2968197,3.5,76405.0,76405.0,7881.232,489.97617,1411.4319,0.0,0.6933629,-1.0681703,2.029235
602.0,6.2968197,4.5,89457.0,89457.0,9831.458,10327.845,5010.751,0.0,0.8527281,0.7026657,2.3671293
602.0,6.2968197,5.5,117161.0,117161.0,12368.419,23162.342,3736.7026,0.0,0.6809672,1.3277407,2.3396986
602.0,6.2968197,6.5,119565.0,119565.0,6150.323,19600.781,3825.3052,0.0,1.3816644,1.3201159,2.0390654
602.0,6.2968197,7.5,116280.0,116280.0,10168.254,17164.676,6439.8423,0.0,0.46427187,1.6389091,2.5090384
602.0,6.2968197,8.5,121341.0,121341.0,10662.737,18178.879,3150.7107,0.0,1.743107,2.3465858,1.8315414
602.0,6.2968197,9.5,113970.0,113970.0,16352.862,12919.744,3742.6606,0.0,2.0625176,-2.7148347,0.46941727
602.0,6.2968197,10.5,110907.0,110907.0,10481.097,11748.902,6425.9805,0.0,2.0723922,-2.0765395,0.47537804
602.0,6.2968197,11.5,107237.0,107237.0,10138.198,7529.3633,6026.216,0.0,1.4015366,-1.7113986,2.0255184
602.0,6.2968197,12.5,102469.0,102469.0,10845.309,5918.01,2351.475,0.0,1.2599466,-1.0595964,3.0888367
602.0,6.2968197,13.5,87594.0,87594.0,11936.945,7858.1167,7176.14,0.0,0.34311557,0.3409887,-1.0163534
602.0,6.2968197,14.5,72469.0,72469.0,19908.096,7010.383,3328.6682,0.0,-0.06135207,0.86877495,0.7135813
602.0,6.2968197,15.5,62842.0,62842.0,24931.307,7416.053,8789.19,0.0,-0.26089364,-0.058888696,1.0457081
