snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,phase0,phase1,phase2,phase3
602.0,6.2968197,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.2968197,1.5,133312.0,21680.576,1463664.4,166431.97,590085.7,0.0,0.9630634,-1.7079736,-0.53474903
602.0,6.2968197,2.5,108386.0,48727.934,652598.5,128392.164,433924.2,0.0,1.177839,-0.67936957,-0.5493159
602.0,6.2968197,3.5,98413.0,21965.15,248363.17,52743.656,155989.62,0.0,2.8413439,-2.6600702,-1.0902917
602.0,6.2968197,4.5,104327.0,36350.363,699563.06,101800.14,62360.35,0.0,-2.769257,-1.4523674,-1.2101629
602.0,6.2968197,5.5,129422.0,39266.93,1098816.2,81945.94,153537.88,0.0,-2.709835,-1.409723,-0.80562484
602.0,6.2968197,6.5,127981.0,53883.36,1129795.0,165544.28,103994.13,0.0,-2.6831188,-0.32720315,-0.5689603
602.0,6.2968197,7.5,122068.0,116457.64,1017720.4,137414.98,129532.52,0.0,-2.7702985,0.19196774,-0.73237175
602.0,6.2968197,8.5,125505.0,4806.911,919459.6,23616.607,108209.625,0.0,-2.9857569,-0.1696217,0.30299562
602.0,6.2968197,9.5,116150.0,9435.412,516856.97,216687.27,146300.27,0.0,2.9841912,-1.3831508,2.9591496
602.0,6.2968197,10.5,112186.0,134057.6,197778.73,181143.98,279972.38,0.0,-0.53230315,0.1025072,-2.8599396
602.0,6.2968197,11.5,107384.0,29687.547,513859.75,158556.6,68674.0,0.0,-0.17477548,1.0381078,3.0050259
602.0,6.2968197,12.5,101691.0,107460.55,499417.97,188423.08,276796.75,0.0,-0.22328587,1.8856064,-2.9524875
602.0,6.2968197,13.5,85873.0,42379.773,716125.94,266752.94,164799.14,0.0,0.06117321,1.1234915,-2.847627
602.0,6.2968197,14.5,70810.0,88355.29,663440.7,341831.53,49787.89,0.0,0.1915887,0.7117961,-1.7051412
602.0,6.2968197,15.5,62753.0,143975.78,688449.0,429625.44,88579.42,0.0,0.26375458,0.41003823,0.16688745
602.0,6.2968197,16.5,51626.0,97173.125,799287.94,585141.2,157436.66,0.0,0.061045405,-0.09202122,-0.60826755
602.0,6.2968197,17.5,37513.0,73723.86,579460.6,357301.62,90703.93,0.0,0.015026184,-0.2342875,-1.277072
602.0,6.2968197,18.5,25886.0,142747.44,447364.16,145772.86,84316.445,0.0,-0.43980414,-1.0433999,-2.9273264
602.0,6.2968197,19.5,18293.0,198610.36,471705.8,266577.7,116318.68,0.0,-0.6622331,-1.4711224,-2.44071
602.0,6.2968197,20.5,13255.0,197587.98,420961.66,287014.2,179087.77,0.0,-0.6636144,-1.4733893,-2.2796087
602.0,6.2968197,21.5,10375.0,196484.14,387670.3,304814.6,221876.6,0.0,-0.75693923,-1.5959903,-2.437933
604.0,6.2570214,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604.0,6.2570214,1.5,133879.0,20553.38,1570526.5,157148.67,672801.56,0.0,0.8302344,-1.0730702,-0.57778805
604.0,6.2570214,2.5,107761.0,86719.336,506955.78,75484.516,445683.94,0.0,1.0848227,-1.1645888,-0.74628603
604.0,6.2570214,3.5,97912.0,49924.855,217470.42,70224.03,248045.25,0.0,-3.1135166,2.0744398,-0.8856232
604.0,6.2570214,4.5,104541.0,45149.96,553664.94,72522.82,56732.305,0.0,-2.5414617,-1.711689,-0.96410507
604.0,6.2570214,5.5,126148.0,122442.695,1035050.25,24669.39,61513.86,0.0,-2.7189777,-2.1380625,2.7351727
604.0,6.2570214,6.5,132372.0,99733.46,1065591.4,109416.41,84785.77,0.0,-2.7594764,-1.2126302,-3.1278365
604.0,6.2570214,7.5,124620.0,35616.92,968499.7,253150.12,191636.44,0.0,-2.86998,-0.1371444,-1.8394697
604.0,6.2570214,8.5,126967.0,33807.22,889999.06,112473.84,111635.77,0.0,-2.986798,-0.81637,0.15083686
604.0,6.2570214,9.5,116186.0,70650.234,559130.1,156404.97,81232.086,0.0,2.7764354,-2.0155828,1.9620153
604.0,6.2570214,10.5,110265.0,27872.639,295859.16,203053.58,152159.34,0.0,1.1630677,-1.4251206,0.6726128
604.0,6.2570214,11.5,101916.0,153020.89,235653.77,288217.94,140968.81,0.0,-0.16688448,-1.1739217,1.0412136
604.0,6.2570214,12.5,96302.0,76022.09,426128.4,108419.62,154068.75,0.0,-0.171968,-0.14827786,2.1075459
604.0,6.2570214,13.5,87246.0,12010.415,464579.28,244811.38,221540.42,0.0,0.048523072,1.291317,2.7748263
604.0,6.2570214,14.5,74951.0,90231.61,523734.78,136816.75,132077.86,0.0,0.30565536,1.1458972,-2.674665
604.0,6.2570214,15.5,61521.0,49131.2,521239.78,273535.3,51585.266,0.0,0.12056354,-0.15494165,-0.7712497
604.0,6.2570214,16.5,49264.0,63733.254,583995.4,379541.78,95409.41,0.0,0.12983151,-0.15594247,-0.6050348
604.0,6.2570214,17.5,38417.0,99954.66,572106.75,370939.66,34410.094,0.0,0.0035844778,-0.34073764,-2.1859562
604.0,6.2570214,18.5,27025.0,134958.97,444691.3,288909.22,55851.53,0.0,-0.24538988,-0.74220556,-2.7978024
604.0,6.2570214,19.5,16680.0,134451.34,306328.78,177265.47,62981.023,0.0,-0.58124,-1.4980203,3.0594804
604.0,6.2570214,20.5,12392.0,152424.44,307019.75,211904.6,144089.03,0.0,-0.7973331,-1.8767809,-3.1264534
604.0,6.2570214,21.5,9762.0,191169.1,366302.7,289780.9,215568.95,0.0,-0.878675,-1.8767741,-2.94292
608.0,6.198067,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608.0,6.198067,1.5,134479.0,18624.055,1675658.2,211061.47,588485.8,0.0,0.84267485,0.34757048,-0.5766818
608.0,6.198067,2.5,109084.0,5735.1533,513096.3,189208.22,479324.8,0.0,0.88912684,-0.11917282,-0.6984569
608.0,6.198067,3.5,98257.0,38944.59,257708.62,121352.25,335796.75,0.0,-2.471238,-0.4545834,-0.6734351
608.0,6.198067,4.5,111062.0,114050.34,792396.0,46978.355,32888.246,0.0,-2.4835424,0.9729285,0.83936906
608.0,6.198067,5.5,129096.0,102210.18,981028.94,141672.75,114835.57,0.0,-2.5244393,2.497579,2.5016384
608.0,6.198067,6.5,124744.0,38392.004,766810.94,124632.56,71801.03,0.0,-2.7515774,-3.1193798,-2.9386666
608.0,6.198067,7.5,121245.0,116600.266,841057.1,138677.86,80573.84,0.0,-2.9260874,-1.6162018,-0.833354
608.0,6.198067,8.5,121456.0,109899.22,842756.5,91334.79,53112.9,0.0,-3.0062582,-1.5739943,0.63706064
608.0,6.198067,9.5,119156.0,1632.5364,417300.4,104333.87,167241.8,0.0,2.7746766,-0.9138012,-1.5938911
608.0,6.198067,10.5,114638.0,35180.574,214069.2,80542.92,169383.47,0.0,0.5426605,-1.8589022,-2.2560022
608.0,6.198067,11.5,104607.0,124985.586,410270.28,188078.02,113138.33,0.0,0.1261496,-2.4969082,-1.476247
608.0,6.198067,12.5,89786.0,126171.3,451049.12,221643.42,68143.67,0.0,0.1760168,-2.747684,3.1093771
608.0,6.198067,13.5,81817.0,143176.6,546887.2,173767.64,82755.53,0.0,0.31172115,-2.7666214,2.0737438
608.0,6.198067,14.5,77464.0,114903.7,652605.0,109544.3,150370.97,0.0,0.52018684,-3.1309202,2.9904454
608.0,6.198067,15.5,63039.0,15948.602,558616.56,117359.17,103814.086,0.0,0.5585973,1.3786827,2.7300599
608.0,6.198067,16.5,51410.0,48417.383,559340.3,90128.555,122524.734,0.0,0.46501943,0.23031217,1.7621578
608.0,6.198067,17.5,37919.0,63519.656,472139.75,99835.41,136988.7,0.0,0.2127202,-0.57578933,1.6165133
608.0,6.198067,18.5,27384.0,126559.71,401503.25,141483.05,110719.38,0.0,0.08465884,-0.56007826,1.4340106
608.0,6.198067,19.5,17962.0,125325.34,288789.9,119721.266,53287.297,0.0,-0.18284576,-0.9900458,1.8939124
608.0,6.198067,20.5,11753.0,80277.76,173264.06,113707.69,24401.697,0.0,-0.53900486,-1.4329944,2.4580574
608.0,6.198067,21.5,8860.0,113703.14,214368.39,152257.64,107339.414,0.0,-1.109773,-2.3712962,2.4372501
610.0,6.1668267,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610.0,6.1668267,1.5,135223.0,192118.23,1668373.4,202504.86,549795.6,0.0,0.79555464,-0.72211355,-0.6080074
610.0,6.1668267,2.5,110296.0,114042.484,502019.06,72235.25,290913.94,0.0,0.78115785,-1.4171406,-0.56850463
610.0,6.1668267,3.5,96451.0,9624.393,237882.58,64946.812,195323.75,0.0,-2.6141024,0.22468066,-0.70378995
610.0,6.1668267,4.5,107911.0,32911.9,703023.5,16619.152,171580.16,0.0,-2.5487564,-2.4769437,-0.19141677
610.0,6.1668267,5.5,131483.0,73308.84,1026740.0,112975.56,74982.5,0.0,-2.5683074,-3.0255723,0.7447077
