snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,phase0,phase1,phase2,phase3
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,125195.0,9468.305,2164599.0,82043.04,780163.5,0.0,1.1304138,-3.0565014,-0.25766456
520.0,7.6413755,2.5,97888.0,17753.1,1398146.9,54321.78,433589.66,0.0,1.3329117,-2.7126935,-0.41735646
520.0,7.6413755,3.5,90308.0,53487.582,855154.94,81486.71,185616.48,0.0,1.8142347,-1.7710639,-0.16912809
520.0,7.6413755,4.5,102409.0,59608.83,773869.2,134555.56,120487.96,0.0,2.1832352,0.6942747,-0.2603807
520.0,7.6413755,5.5,117934.0,14805.393,654487.75,84828.47,316185.97,0.0,2.9045753,-3.0211112,-0.43924785
520.0,7.6413755,6.5,108760.0,142304.73,932598.0,130530.01,78599.93,0.0,3.1102722,1.0866288,1.6827853
520.0,7.6413755,7.5,104861.0,35459.684,897750.1,296747.97,50545.14,0.0,2.8984969,0.70495313,-0.29469883
520.0,7.6413755,8.5,102083.0,108726.63,1078996.4,106988.016,100914.94,0.0,2.870572,-3.082183,1.9799277
520.0,7.6413755,9.5,99715.0,86553.43,721363.1,301942.16,160009.4,0.0,2.9812057,-1.2430649,1.3676506
520.0,7.6413755,10.5,95714.0,298616.0,58204.043,192712.17,115875.16,0.0,-0.46895775,1.9121487,-2.6811593
520.0,7.6413755,11.5,81727.0,315936.4,495703.12,442238.12,141441.11,0.0,-0.9371958,1.3502371,-2.1548285
520.0,7.6413755,12.5,70520.0,311355.12,1060110.9,546324.6,144957.42,0.0,-0.8146199,1.3246442,-2.4939003
520.0,7.6413755,13.5,60145.0,43706.23,1201229.1,224882.25,86922.02,0.0,-0.87583363,1.0418925,3.1017466
520.0,7.6413755,14.5,49106.0,120544.7,1136564.8,151915.75,58088.402,0.0,-0.9650706,1.6651496,-2.9143598
520.0,7.6413755,15.5,42251.0,99175.766,1103818.5,144632.02,192514.88,0.0,-1.0034724,1.3427349,2.867497
520.0,7.6413755,16.5,36615.0,209834.73,995306.75,281221.38,173365.4,0.0,-1.0181361,0.8570249,-2.9577928
520.0,7.6413755,17.5,27563.0,105134.64,430036.1,97088.21,108605.26,0.0,-1.2892512,-0.27190828,-2.8764787
520.0,7.6413755,18.5,23429.0,152527.58,298043.22,54966.246,58857.74,0.0,-1.7649268,-1.0348822,-2.941777
520.0,7.6413755,19.5,18009.0,186197.66,294772.47,106622.97,37632.53,0.0,-2.1219175,-1.3890904,-1.2123494
520.0,7.6413755,20.5,12783.0,193705.12,299608.75,143018.42,45088.453,0.0,-2.5077915,-2.123682,-1.8611342
520.0,7.6413755,21.5,8542.0,144546.16,222895.19,130027.58,58886.047,0.0,-2.71751,-2.5047374,-1.8306382
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,125615.0,40742.84,2046384.6,124043.055,675641.9,0.0,1.1668217,1.4221408,-0.25750214
523.0,7.596713,2.5,97696.0,113246.0,1365529.6,112847.45,389779.25,0.0,1.409584,2.125917,-0.41315767
523.0,7.596713,3.5,86295.0,19226.082,875225.75,95203.23,211884.23,0.0,1.7653013,-1.3172297,-0.4288384
523.0,7.596713,4.5,96389.0,2790.993,719876.0,59597.67,293992.28,0.0,2.1697397,-0.7982449,-0.7273406
523.0,7.596713,5.5,111337.0,3735.431,609231.3,135136.97,130572.04,0.0,2.8495798,-1.7006143,-2.0231614
523.0,7.596713,6.5,119971.0,6626.926,950901.75,97550.14,131765.67,0.0,-3.0493011,-2.48278,-2.7987247
523.0,7.596713,7.5,116777.0,9443.25,1061367.4,65911.336,107008.766,0.0,2.9665833,1.8023671,2.1099477
523.0,7.596713,8.5,111963.0,179358.16,1049387.1,126597.82,104990.37,0.0,2.68687,0.017764349,2.7190573
523.0,7.596713,9.5,98713.0,103932.68,579847.2,232939.95,327090.03,0.0,2.832812,0.16132225,1.6510757
523.0,7.596713,10.5,92784.0,89879.45,248903.5,202081.77,65623.66,0.0,-3.0870032,0.050380368,1.8753504
523.0,7.596713,11.5,84060.0,21858.28,415330.44,464326.44,161058.94,0.0,-0.9717514,0.44280478,2.7296214
523.0,7.596713,12.5,77085.0,57441.867,1027811.06,477789.53,151948.5,0.0,-0.83422476,0.3585769,2.8104827
523.0,7.596713,13.5,65901.0,71096.88,1062161.5,372639.8,215382.38,0.0,-0.9508155,0.64386594,2.6671362
523.0,7.596713,14.5,50675.0,189632.61,980576.44,206829.7,191221.95,0.0,-1.0923965,1.9638697,1.346689
523.0,7.596713,15.5,40911.0,58468.484,863588.3,94828.81,252667.05,0.0,-1.0261756,2.343226,2.18997
523.0,7.596713,16.5,33535.0,25570.574,797099.6,24123.34,264501.16,0.0,-1.1910207,-1.7983718,2.6360981
523.0,7.596713,17.5,27976.0,116521.98,573699.9,45576.4,126751.99,0.0,-1.2867465,-0.24646688,-2.6876845
523.0,7.596713,18.5,22589.0,139693.89,402584.7,32953.785,142525.23,0.0,-1.3451197,0.5672357,-2.6805959
523.0,7.596713,19.5,17106.0,118607.69,253220.66,69640.58,28631.068,0.0,-1.7991295,-1.4158167,2.434324
