snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,33671.0,12374.313,242101.39,5353.105,0.0,1.8004171,-2.1656966
520.0,7.6413755,2.5,41658.0,887.787,246952.55,19785.363,0.0,2.1913588,0.8051175
520.0,7.6413755,3.5,56894.0,47748.44,242158.08,21169.006,0.0,2.715799,-1.438098
520.0,7.6413755,4.5,79381.0,51594.727,289349.2,69818.72,0.0,2.7368057,0.4727865
520.0,7.6413755,5.5,98776.0,10917.038,315561.3,27514.143,0.0,-3.0838346,-2.7871895
520.0,7.6413755,6.5,91219.0,135850.84,421065.44,75527.57,0.0,-3.0189621,0.9689132
520.0,7.6413755,7.5,85910.0,30080.998,367380.25,149863.33,0.0,2.97538,0.6544944
520.0,7.6413755,8.5,81422.0,81323.34,451931.62,32402.965,0.0,2.912726,-3.025846
520.0,7.6413755,9.5,78202.0,71577.62,280487.44,128963.11,0.0,2.998461,-1.2547092
520.0,7.6413755,10.5,73687.0,230752.83,89223.14,122556.98,0.0,-0.31552017,2.1066542
520.0,7.6413755,11.5,60663.0,227635.39,198413.39,169752.69,0.0,-0.69711405,1.6005858
520.0,7.6413755,12.5,51897.0,215145.56,420183.2,204324.98,0.0,-0.7314413,1.5688617
520.0,7.6413755,13.5,41569.0,64085.68,430451.7,53982.594,0.0,-0.8708217,1.3136326
520.0,7.6413755,14.5,31392.0,112581.29,389990.0,27475.508,0.0,-1.0051045,1.163235
520.0,7.6413755,15.5,25013.0,15940.432,373077.6,43109.562,0.0,-1.0120738,1.033369
520.0,7.6413755,16.5,23284.0,114784.56,370111.44,76271.57,0.0,-0.98613197,1.1541892
520.0,7.6413755,17.5,17944.0,95301.83,168397.88,41486.566,0.0,-1.4260297,-0.90552616
520.0,7.6413755,18.5,15747.0,111653.14,113642.516,31885.27,0.0,-1.903358,-1.5399102
520.0,7.6413755,19.5,11482.0,128238.77,104760.76,38303.766,0.0,-2.1477165,-1.8379476
520.0,7.6413755,20.5,8532.0,127506.05,106089.57,65798.28,0.0,-2.5875015,-2.3731868
520.0,7.6413755,21.5,6263.0,109062.65,90445.22,61489.84,0.0,-2.7137218,-2.5051649
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,34311.0,21821.662,229828.33,18823.78,0.0,1.8142422,1.1377556
523.0,7.596713,2.5,42109.0,86404.914,264062.8,36035.84,0.0,2.3082798,1.9463593
523.0,7.596713,3.5,52064.0,7448.834,250535.81,57010.742,0.0,2.5703912,-1.1130022
523.0,7.596713,4.5,72292.0,1691.394,270493.72,34605.688,0.0,2.724816,-1.3379116
523.0,7.596713,5.5,92012.0,2531.143,284178.88,50636.05,0.0,-3.0936525,-1.792181
523.0,7.596713,6.5,100882.0,19969.672,419411.4,10620.951,0.0,-2.9415302,-0.9812649
523.0,7.596713,7.5,96604.0,24200.209,420240.72,34370.434,0.0,2.9546075,1.1785941
523.0,7.596713,8.5,91648.0,149206.39,431158.34,83043.68,0.0,2.675773,0.034010865
523.0,7.596713,9.5,77277.0,79887.51,207184.36,114161.414,0.0,2.9727497,-0.026341157
523.0,7.596713,10.5,71887.0,43482.145,50807.4,85470.36,0.0,-2.5329008,-0.060428284
523.0,7.596713,11.5,63014.0,66640.53,194638.42,151500.34,0.0,-0.8526044,0.30919465
523.0,7.596713,12.5,54669.0,126806.06,397546.06,139460.05,0.0,-0.7667665,0.089542024
523.0,7.596713,13.5,42428.0,98131.836,327823.94,59679.37,0.0,-0.8207926,0.48536295
523.0,7.596713,14.5,31085.0,152451.77,275291.16,37577.836,0.0,-1.0999571,2.336841
523.0,7.596713,15.5,23848.0,73332.35,269414.38,20469.104,0.0,-1.0485954,-1.9944129
523.0,7.596713,16.5,19463.0,15198.187,238729.8,34859.27,0.0,-1.2176915,-2.4626822
523.0,7.596713,17.5,17089.0,80596.66,199001.3,30099.13,0.0,-1.3130634,-2.4077787
523.0,7.596713,18.5,14061.0,112452.555,145154.77,27672.479,0.0,-1.437691,-3.0391104
523.0,7.596713,19.5,10099.0,87159.33,82925.55,29729.457,0.0,-1.8494092,-2.269151
523.0,7.596713,20.5,6673.0,79276.03,68397.13,47402.69,0.0,-2.6302743,-2.494419
523.0,7.596713,21.5,4402.0,64686.094,53813.26,42445.03,0.0,-2.8373685,-2.8533921
525.0,7.566684,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,1.5,34089.0,24008.99,224138.53,24605.766,0.0,1.9010967,3.0569777
525.0,7.566684,2.5,42426.0,54986.008,227520.8,35380.918,0.0,2.4077563,-0.30698478
525.0,7.566684,3.5,54142.0,34428.88,262463.9,39096.953,0.0,2.5548944,-2.9583533
525.0,7.566684,4.5,72113.0,25369.969,196356.86,53027.254,0.0,2.6981707,-3.125735
525.0,7.566684,5.5,89995.0,94390.195,236208.38,69580.05,0.0,2.8283253,2.7625406
525.0,7.566684,6.5,96018.0,123540.35,315293.16,98224.54,0.0,-3.0585272,-1.6612759
525.0,7.566684,7.5,98627.0,13361.595,452687.56,59987.03,0.0,2.9552662,1.5923675
525.0,7.566684,8.5,93186.0,120789.79,370325.7,121912.516,0.0,2.8081188,-0.29282504
525.0,7.566684,9.5,83851.0,14973.881,188296.25,185165.92,0.0,1.9567938,-1.1107261
525.0,7.566684,10.5,74023.0,36585.062,109160.64,113328.445,0.0,-0.8440153,-0.53714883
525.0,7.566684,11.5,63045.0,104975.99,244602.7,84542.836,0.0,-0.8587281,-0.076478474
525.0,7.566684,12.5,56536.0,229613.95,380186.2,107368.73,0.0,-0.8401777,0.1721187
525.0,7.566684,13.5,44155.0,195072.06,305201.34,55615.887,0.0,-0.9336455,-0.4450583
525.0,7.566684,14.5,33054.0,123727.875,265375.25,34427.312,0.0,-0.92730325,-0.9214039
525.0,7.566684,15.5,23326.0,63097.4,216191.47,54641.004,0.0,-1.0169438,-2.3963478
525.0,7.566684,16.5,19021.0,31460.588,147822.84,72295.21,0.0,-1.1217979,-2.2557683
525.0,7.566684,17.5,16355.0,2222.425,105878.21,77831.805,0.0,-1.5394243,-2.612688
525.0,7.566684,18.5,12697.0,78518.5,117049.695,17212.852,0.0,-1.4728051,-2.552628
525.0,7.566684,19.5,9075.0,85556.36,66676.26,24614.988,0.0,-1.9548455,-2.3480341
525.0,7.566684,20.5,6872.0,83362.945,77507.37,58024.79,0.0,-2.6108809,-2.3918371
525.0,7.566684,21.5,2942.0,32066.05,27741.11,21732.994,0.0,-2.6452367,-2.5577543
527.0,7.5333905,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
