snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,33671.0,2266125.0,24495.236,264077.7,0.0,2.724876,-1.1273367
520.0,7.6413755,2.5,41658.0,2185148.0,23636.535,131277.58,0.0,0.11148128,-1.2230941
520.0,7.6413755,3.5,56894.0,2673522.2,50885.004,134308.7,0.0,-0.15475345,-1.4833562
520.0,7.6413755,4.5,79381.0,3432972.0,101383.76,210992.1,0.0,0.67984414,-1.6342603
520.0,7.6413755,5.5,98776.0,3763773.2,140720.25,281447.28,0.0,0.6453863,-1.7161065
520.0,7.6413755,6.5,91219.0,3330583.5,100701.3,236890.92,0.0,-0.3676389,-1.4361851
520.0,7.6413755,7.5,85910.0,2949386.8,99210.38,201107.92,0.0,-2.7500956,-1.6375529
520.0,7.6413755,8.5,81422.0,2765692.0,147638.14,316336.56,0.0,-3.0614014,-1.1353617
520.0,7.6413755,9.5,78202.0,2417598.5,179874.44,294581.62,0.0,3.1354933,-0.88100076
520.0,7.6413755,10.5,73687.0,2178514.2,194429.66,322834.66,0.0,2.1383386,-0.68080187
520.0,7.6413755,11.5,60663.0,1666912.4,77436.42,218480.73,0.0,0.7871752,-0.7418706
520.0,7.6413755,12.5,51897.0,1392662.9,42021.1,328301.47,0.0,2.3385305,-1.2008406
520.0,7.6413755,13.5,41569.0,1043323.44,73885.73,221727.22,0.0,-0.84334177,-1.5445194
520.0,7.6413755,14.5,31392.0,803168.44,131641.08,210853.25,0.0,-1.0399286,-1.8608695
520.0,7.6413755,15.5,25013.0,655584.0,72628.73,252144.8,0.0,-0.06178933,-2.000156
520.0,7.6413755,16.5,23284.0,613562.06,86656.72,255348.97,0.0,1.4336102,-1.8123788
520.0,7.6413755,17.5,17944.0,370548.1,93467.375,112992.77,0.0,0.5839897,-1.965016
520.0,7.6413755,18.5,15747.0,270938.78,114456.984,47043.023,0.0,0.7083325,-1.8207612
520.0,7.6413755,19.5,11482.0,217324.2,127445.7,31327.639,0.0,0.593626,0.16080482
520.0,7.6413755,20.5,8532.0,170968.48,115257.43,51458.71,0.0,0.53112525,0.51279086
520.0,7.6413755,21.5,6263.0,125306.27,89906.48,55289.094,0.0,0.446625,0.54833263
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,34311.0,2290265.8,23197.145,256403.81,0.0,2.2954524,-1.217164
523.0,7.596713,2.5,42109.0,2206016.8,23061.371,167200.83,0.0,1.1040443,-1.0970198
523.0,7.596713,3.5,52064.0,2485959.8,13628.33,132508.2,0.0,-2.3535366,-0.80418104
523.0,7.596713,4.5,72292.0,3043818.2,19733.457,102991.09,0.0,-1.8661615,-1.8672496
523.0,7.596713,5.5,92012.0,3526543.0,102513.45,218325.33,0.0,2.2607431,-2.0594046
523.0,7.596713,6.5,100882.0,3611660.0,131587.52,107190.12,0.0,0.27168456,-0.6848234
