snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,phase0,phase1,phase2,phase3
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,121118.0,3263629.0,222651.55,1038435.94,146807.64,0.0,2.3842385,1.993607,-2.590463
520.0,7.6413755,2.5,92709.0,8556690.0,614002.7,668736.56,135586.45,0.0,2.8988256,-2.0994859,0.31508026
520.0,7.6413755,3.5,84954.0,13816112.0,786349.9,1037494.2,411786.3,0.0,2.4834492,-1.7743474,2.988335
520.0,7.6413755,4.5,97090.0,19644346.0,1313857.4,1544347.2,96441.45,0.0,-2.7525425,0.36676183,1.2975521
520.0,7.6413755,5.5,112683.0,24637982.0,1920434.6,2177168.0,591694.6,0.0,-2.1462786,0.9713044,-1.910201
520.0,7.6413755,6.5,103172.0,22515126.0,591064.8,1130018.5,1324180.6,0.0,2.3319473,1.345693,-1.3519471
520.0,7.6413755,7.5,98135.0,21318408.0,2085859.0,1682106.5,926428.25,0.0,0.12840346,0.7040974,1.0355452
520.0,7.6413755,8.5,94827.0,20206622.0,2231151.2,1733361.0,791374.56,0.0,0.061772928,1.9406966,1.4610983
520.0,7.6413755,9.5,90934.0,19188724.0,1241845.1,1059015.2,102566.445,0.0,0.24517564,2.441302,2.3650212
520.0,7.6413755,10.5,86561.0,17830922.0,1239631.5,1541221.6,915749.7,0.0,-2.198607,3.1303332,-0.498659
520.0,7.6413755,11.5,71699.0,14421239.0,1547788.9,248025.1,834357.44,0.0,3.0626483,-0.67170966,-2.8294468
520.0,7.6413755,12.5,60728.0,12138441.0,1874843.6,2136476.5,800366.4,0.0,2.7866623,1.6488268,-1.8366715
520.0,7.6413755,13.5,49568.0,9693460.0,2152362.0,1115715.9,377832.0,0.0,2.729397,0.69779694,-0.1782108
520.0,7.6413755,14.5,38441.0,7386330.5,2250557.2,1895905.6,786404.9,0.0,2.1008039,0.20896918,3.0179021
520.0,7.6413755,15.5,30775.0,5752859.5,1219632.0,2922865.2,908601.5,0.0,3.0336833,0.5249646,2.922501
520.0,7.6413755,16.5,28298.0,5105554.5,2145280.8,2923091.5,664404.2,0.0,-2.098328,0.7894913,2.081956
520.0,7.6413755,17.5,21614.0,3716508.5,2693737.5,1095771.8,1062878.6,0.0,-2.5257096,0.6540762,0.8700492
520.0,7.6413755,18.5,19029.0,3274828.8,3214263.2,1125334.9,1073350.8,0.0,-2.2949848,0.40508673,1.489111
520.0,7.6413755,19.5,14239.0,2466005.2,2991203.8,566375.06,369656.22,0.0,-2.4412115,-1.3010569,1.2899818
520.0,7.6413755,20.5,10248.0,1759400.1,2299048.8,750717.44,159282.64,0.0,-2.491784,-1.7098821,-0.17032382
520.0,7.6413755,21.5,7409.0,1247415.1,1742315.1,836022.56,378664.22,0.0,-2.5313416,-1.8617464,-0.8154687
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,121525.0,3543849.2,197185.73,1081797.4,252012.16,0.0,-1.5356663,1.8394319,-0.88366973
523.0,7.596713,2.5,92430.0,8657668.0,302682.56,408244.94,368103.03,0.0,-2.219389,2.8747573,1.7570596
523.0,7.596713,3.5,80968.0,12530944.0,461786.62,1271343.1,26531.604,0.0,-0.6594211,-2.2004268,-2.9590297
523.0,7.596713,4.5,91207.0,17741912.0,414419.3,1788112.8,491544.97,0.0,1.0855483,-1.1999695,2.7123692
523.0,7.596713,5.5,106089.0,22598680.0,988758.94,2280628.8,1289588.8,0.0,-1.2806569,0.020403897,0.30131778
523.0,7.596713,6.5,113779.0,24761666.0,1722337.6,1561650.4,497837.25,0.0,-2.8000784,-1.0978982,-0.2504321
523.0,7.596713,7.5,109791.0,23645140.0,1408335.6,1040559.9,1379452.1,0.0,2.1088243,1.4051336,-0.37485936
523.0,7.596713,8.5,104589.0,22332642.0,3342393.0,803570.2,1772126.2,0.0,0.745001,2.1552486,0.88595766
523.0,7.596713,9.5,90162.0,19074146.0,1613657.0,1427020.5,1320432.0,0.0,0.3246687,2.9130487,1.3482515
523.0,7.596713,10.5,83641.0,17406936.0,1140365.6,939540.3,1091565.9,0.0,1.4402981,-2.9444785,-2.3413956
523.0,7.596713,11.5,73963.0,15130042.0,2298807.2,815678.9,1367982.6,0.0,2.4649918,-0.9559739,-2.545302
