snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,phase0,phase1,phase2,phase3
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,57734.0,5482963.5,46707.63,1339571.4,167543.03,0.0,2.5415456,2.0217955,-2.1985621
520.0,7.6413755,2.5,56839.0,9153162.0,505708.38,533546.6,134607.73,0.0,2.846724,3.0333729,0.037947614
520.0,7.6413755,3.5,66130.0,13860252.0,707046.25,814004.25,434287.38,0.0,2.4989324,-1.941126,3.1101706
520.0,7.6413755,4.5,86232.0,19627840.0,1325696.1,1504497.1,116155.945,0.0,-2.7340522,0.48288873,1.1792784
520.0,7.6413755,5.5,105840.0,24608770.0,1928148.8,2260601.0,606493.1,0.0,-2.14764,1.009537,-1.9344746
520.0,7.6413755,6.5,98215.0,22462182.0,584612.0,1209749.4,1317922.4,0.0,2.3228993,1.3824599,-1.3610712
520.0,7.6413755,7.5,94065.0,21236946.0,2085460.1,1709849.0,920169.8,0.0,0.121562354,0.750804,1.0281101
520.0,7.6413755,8.5,91645.0,20120704.0,2226643.8,1821150.2,779462.4,0.0,0.06671256,1.9418765,1.4681829
520.0,7.6413755,9.5,88714.0,19127974.0,1229712.1,1111997.5,90304.88,0.0,0.23237094,2.4163964,2.22748
520.0,7.6413755,10.5,84600.0,17754946.0,1248588.6,1552436.4,922872.56,0.0,-2.1894214,3.0915391,-0.49581903
520.0,7.6413755,11.5,69901.0,14347253.0,1534311.5,208134.06,817877.3,0.0,3.0670724,-0.5360461,-2.8228645
520.0,7.6413755,12.5,59277.0,12080028.0,1864855.5,2171340.2,792740.3,0.0,2.777271,1.6526674,-1.8468884
520.0,7.6413755,13.5,48512.0,9649020.0,2152780.8,1124707.1,382689.12,0.0,2.7210693,0.7106004,-0.17865625
520.0,7.6413755,14.5,37669.0,7355486.5,2259423.0,1909610.1,785735.94,0.0,2.1055818,0.2190704,3.033908
520.0,7.6413755,15.5,30232.0,5736470.0,1222018.0,2922268.0,906476.75,0.0,3.0374393,0.5283822,2.9277503
520.0,7.6413755,16.5,27871.0,5090934.5,2148860.2,2921766.2,664775.4,0.0,-2.097169,0.7942276,2.0778263
520.0,7.6413755,17.5,21258.0,3700458.5,2693819.0,1089606.0,1067825.2,0.0,-2.5230875,0.6677581,0.8699813
520.0,7.6413755,18.5,18747.0,3262951.5,3202870.2,1120560.0,1076407.2,0.0,-2.296668,0.41226333,1.4932233
520.0,7.6413755,19.5,14021.0,2456896.2,2982188.2,561712.6,365754.56,0.0,-2.443511,-1.3087136,1.2818463
520.0,7.6413755,20.5,10041.0,1747357.5,2288613.0,755677.75,177400.38,0.0,-2.4887242,-1.6966068,-0.19939053
520.0,7.6413755,21.5,7287.0,1242419.1,1740788.9,835274.6,385015.03,0.0,-2.5321565,-1.8657533,-0.81205195
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,58445.0,5652637.0,241812.62,1379292.4,216693.89,0.0,-1.0348111,1.8682613,-0.91219246
523.0,7.596713,2.5,57018.0,9227748.0,267702.6,838213.94,337694.4,0.0,-2.2111347,2.2847264,1.6040318
523.0,7.596713,3.5,61686.0,12559198.0,457086.6,1159746.8,24999.908,0.0,-0.5791677,-2.4951062,-2.8895452
523.0,7.596713,4.5,79720.0,17665816.0,403753.56,1545240.4,454638.62,0.0,1.0779074,-1.2445838,2.7296147
523.0,7.596713,5.5,99009.0,22523668.0,1021641.8,2215776.0,1266777.9,0.0,-1.2842449,0.07441105,0.28365922
523.0,7.596713,6.5,108780.0,24698144.0,1718761.4,1442914.2,496548.28,0.0,-2.8088012,-1.0938555,-0.25773132
523.0,7.596713,7.5,105605.0,23547302.0,1422547.9,1144226.1,1380279.4,0.0,2.1036034,1.4653573,-0.37317008
523.0,7.596713,8.5,101286.0,22224900.0,3330614.2,910046.06,1778702.4,0.0,0.74293065,2.1434174,0.8820295
523.0,7.596713,9.5,87530.0,18972644.0,1601800.0,1488390.2,1329709.6,0.0,0.31882527,2.862365,1.3507046
523.0,7.596713,10.5,81793.0,17339858.0,1119641.1,950585.44,1078336.5,0.0,1.4369124,-2.9917076,-2.3323727
523.0,7.596713,11.5,72468.0,15075577.0,2290821.2,779151.8,1370236.0,0.0,2.4693816,-0.9490508,-2.5394378
523.0,7.596713,12.5,63749.0,13068007.0,3665031.0,797633.4,976422.06,0.0,2.6208544,0.053911816,-2.1795475
523.0,7.596713,13.5,52363.0,10467074.0,2321721.2,2295380.5,1640249.6,0.0,2.3686352,0.21140572,-1.2286531
523.0,7.596713,14.5,38689.0,7568008.5,1135623.9,1925092.8,631834.56,0.0,2.116235,-0.10569571,2.8615913
523.0,7.596713,15.5,29518.0,5661058.5,841068.75,806065.9,1103734.1,0.0,1.9730605,-0.8454326,1.2125037
523.0,7.596713,16.5,24915.0,4582320.0,1605453.4,880166.6,544546.06,0.0,-3.0461662,-0.10473987,0.49174848
523.0,7.596713,17.5,21745.0,3826889.8,2476755.5,684379.5,815449.94,0.0,-2.6360736,-0.044819914,-0.35609195
523.0,7.596713,18.5,17280.0,2979926.5,2333450.5,674763.1,543157.4,0.0,-2.5596673,0.37180957,-0.45259959
