snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,phase0,phase1,phase2,phase3
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,125195.0,3233955.5,225721.16,1043710.8,151001.67,0.0,2.3625877,1.9785117,-2.6470895
520.0,7.6413755,2.5,97888.0,8575107.0,627751.5,672251.06,132311.1,0.0,2.8722572,-2.047784,0.33686846
520.0,7.6413755,3.5,90308.0,13892045.0,785102.44,1118344.0,419770.03,0.0,2.4561238,-1.7161651,3.015006
520.0,7.6413755,4.5,102409.0,19862052.0,1291739.6,1545684.4,125341.23,0.0,-2.7647216,0.21038125,1.2976497
520.0,7.6413755,5.5,117934.0,25016280.0,1918104.4,2016437.9,618325.4,0.0,-2.1673858,0.85030246,-1.9544507
520.0,7.6413755,6.5,108760.0,23051632.0,672270.06,815600.25,1396999.5,0.0,2.423644,1.086213,-1.4058676
520.0,7.6413755,7.5,104861.0,22175480.0,2049489.4,1614804.2,1050668.8,0.0,0.10576217,0.33614957,1.0863084
520.0,7.6413755,8.5,102083.0,21240946.0,2163289.8,1084318.1,1006517.94,0.0,-0.08067515,1.7703944,1.4120299
520.0,7.6413755,9.5,99715.0,20546538.0,1031318.8,456606.66,285617.16,0.0,-0.15263158,-2.6058652,0.82512015
520.0,7.6413755,10.5,95714.0,19233104.0,1764029.1,1493434.2,1148537.5,0.0,-2.15273,-2.5205393,-0.2810191
520.0,7.6413755,11.5,81727.0,16028297.0,1782887.6,1128706.4,710715.56,0.0,-2.8943872,-0.97684765,3.0114026
520.0,7.6413755,12.5,70520.0,13721243.0,1910494.2,1512310.4,599767.06,0.0,2.9718437,1.4357157,-2.3664472
520.0,7.6413755,13.5,60145.0,11447299.0,2424103.0,1097967.5,184068.23,0.0,2.6626678,-0.26654774,0.3002812
520.0,7.6413755,14.5,49106.0,9183229.0,2339925.8,2274266.8,461857.1,0.0,2.205435,-0.42130145,2.9204645
520.0,7.6413755,15.5,42251.0,7747305.0,1661407.5,3236864.0,585709.56,0.0,-2.5605974,0.012670772,1.3998137
520.0,7.6413755,16.5,36615.0,6493522.0,3246550.2,2859534.0,723425.3,0.0,-2.1001568,0.44730467,1.4129583
