snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,phase0,phase1,phase2,phase3
602.0,6.2968197,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.2968197,1.5,133312.0,55628.086,402512.72,2351444.2,176724.58,0.0,-2.131497,-3.0021083,2.4992282
602.0,6.2968197,2.5,108386.0,84089.01,388306.7,2832815.2,230159.22,0.0,-1.5424516,3.1369336,2.0209851
602.0,6.2968197,3.5,98413.0,47909.805,317948.9,2796527.0,51840.582,0.0,-1.4745358,3.0086076,1.3604722
602.0,6.2968197,4.5,104327.0,55758.527,392049.53,3242839.0,114103.66,0.0,-1.5511931,3.1078331,1.1978722
602.0,6.2968197,5.5,129422.0,53865.53,561073.4,2911698.5,188375.36,0.0,-1.6503333,-3.0575244,0.9747932
602.0,6.2968197,6.5,127981.0,149302.5,641451.5,1940914.4,107548.15,0.0,-2.024171,-2.843583,0.35324037
602.0,6.2968197,7.5,122068.0,327526.1,544725.56,1373676.6,204655.27,0.0,-2.123615,-2.527299,1.003084
602.0,6.2968197,8.5,125505.0,258701.62,274229.34,652879.1,330734.84,0.0,-2.8436782,-2.341365,0.78146803
602.0,6.2968197,9.5,116150.0,201841.83,318851.22,311394.6,46888.85,0.0,1.4365599,-2.0024643,1.6541907
602.0,6.2968197,10.5,112186.0,175142.11,592396.8,344175.5,139602.33,0.0,1.0462551,3.0632546,-3.0957816
602.0,6.2968197,11.5,107384.0,4810.6143,813196.75,662991.1,352477.8,0.0,1.069044,2.8769915,-2.270254
602.0,6.2968197,12.5,101691.0,172707.66,871576.3,898806.56,303277.5,0.0,0.9552036,3.0966713,-1.6041384
602.0,6.2968197,13.5,85873.0,62163.195,906231.0,788787.94,139404.08,0.0,0.86733586,3.1222694,-1.4430248
602.0,6.2968197,14.5,70810.0,6548.251,778551.8,505046.8,166917.08,0.0,0.84997314,2.9043767,2.6431167
602.0,6.2968197,15.5,62753.0,68518.89,710607.9,186131.0,351317.1,0.0,0.82441294,2.5722585,2.472387
602.0,6.2968197,16.5,51626.0,107931.055,629650.06,176830.2,188367.61,0.0,0.8339225,-2.7855802,2.2082171
602.0,6.2968197,17.5,37513.0,53794.867,431349.25,147319.92,110648.81,0.0,0.7090839,-2.7766857,2.5179029
602.0,6.2968197,18.5,25886.0,25207.848,346764.1,92652.97,60507.402,0.0,0.76784027,0.056205466,0.58100283
602.0,6.2968197,19.5,18293.0,60623.617,263397.94,148896.16,89322.57,0.0,0.31621248,-0.59872174,-0.8092903
602.0,6.2968197,20.5,13255.0,112671.305,273898.34,208689.4,155375.75,0.0,-0.09320328,-0.7476625,-1.0260156
602.0,6.2968197,21.5,10375.0,118806.52,255636.17,192326.23,116877.305,0.0,-0.31222653,-0.9284083,-1.2148961
604.0,6.2570214,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604.0,6.2570214,1.5,133879.0,1691.9261,192277.2,2268678.0,177031.92,0.0,-1.890156,-3.0577314,1.5446529
604.0,6.2570214,2.5,107761.0,19082.74,338122.66,2547054.2,171670.39,0.0,-1.4384583,-3.116383,2.3604155
604.0,6.2570214,3.5,97912.0,82704.45,353723.56,1941861.0,234894.48,0.0,-1.3573636,2.823843,1.8261312
604.0,6.2570214,4.5,104541.0,62062.76,339283.38,2376560.0,222339.5,0.0,-1.3702403,2.6590776,2.9788723
604.0,6.2570214,5.5,126148.0,42643.074,391129.12,2478768.5,107026.94,0.0,-1.3306775,2.9166782,-1.354522
604.0,6.2570214,6.5,132372.0,45119.48,387402.12,2050219.2,82392.35,0.0,-1.5102012,3.1339135,3.126428
604.0,6.2570214,7.5,124620.0,15500.473,373376.88,1808973.8,77201.93,0.0,-1.7580311,-2.7768369,2.260603
604.0,6.2570214,8.5,126967.0,18491.783,205929.66,1482237.5,370878.16,0.0,-2.1253333,-2.565949,0.48057556
604.0,6.2570214,9.5,116186.0,71991.016,311517.03,818875.9,305577.38,0.0,1.768744,-2.4742434,0.554718
604.0,6.2570214,10.5,110265.0,159160.28,524140.97,591254.75,108145.086,0.0,1.4506867,-2.7739873,2.1266356
604.0,6.2570214,11.5,101916.0,81319.25,785912.25,787201.0,298227.06,0.0,1.2670879,-3.110042,2.9072046
604.0,6.2570214,12.5,96302.0,39987.05,942087.7,873480.1,28916.51,0.0,1.0527326,-3.0288634,2.2642772
604.0,6.2570214,13.5,87246.0,80585.43,971819.75,705921.06,123542.87,0.0,0.91972554,-3.0566516,2.6137087
604.0,6.2570214,14.5,74951.0,59566.12,958518.06,690595.3,263321.9,0.0,0.7914103,3.0675323,2.8599834
604.0,6.2570214,15.5,61521.0,53910.59,768816.25,389628.97,263880.66,0.0,0.8014016,2.9514792,2.244118
604.0,6.2570214,16.5,49264.0,26784.98,575119.1,131011.4,191161.83,0.0,0.7550789,-2.847784,2.3599358
604.0,6.2570214,17.5,38417.0,89038.88,459773.75,81866.27,141475.11,0.0,0.7487066,2.872443,-2.8127844
604.0,6.2570214,18.5,27025.0,83693.38,351057.44,77092.36,158386.88,0.0,0.73311585,2.2492435,-2.2186518
604.0,6.2570214,19.5,16680.0,29231.758,202790.34,67090.73,23111.395,0.0,0.44261485,0.2823669,-1.7584103
604.0,6.2570214,20.5,12392.0,49046.848,136709.97,67432.68,58723.71,0.0,0.097635604,-0.56061506,-1.3304169
604.0,6.2570214,21.5,9762.0,63811.574,130477.78,87833.15,55063.41,0.0,-0.28332305,-1.0447228,-1.4092387
608.0,6.198067,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608.0,6.198067,1.5,134479.0,68928.93,548105.5,2212160.0,453534.97,0.0,-0.928317,-3.043254,2.6392148
608.0,6.198067,2.5,109084.0,99230.58,364617.6,2582714.2,318286.38,0.0,-0.43816432,-3.0263336,1.9982646
608.0,6.198067,3.5,98257.0,114843.17,315258.97,1192062.0,256478.7,0.0,-0.9353465,-2.9075792,2.5147905
608.0,6.198067,4.5,111062.0,129409.125,370649.38,595999.56,67195.8,0.0,-0.46071976,2.5377774,-3.0143917
608.0,6.198067,5.5,129096.0,21018.766,385702.34,1113267.4,181420.73,0.0,-0.36852184,2.5798874,-0.016501395
608.0,6.198067,6.5,124744.0,123988.47,182716.19,1506821.9,101607.04,0.0,-0.9162365,2.8528621,-0.21128742
608.0,6.198067,7.5,121245.0,153244.62,233738.52,1707583.4,81110.14,0.0,-0.7449739,3.0607953,-2.9466166
608.0,6.198067,8.5,121456.0,68009.54,299657.34,1745628.6,122322.24,0.0,-2.8780694,-2.9948611,-0.44002467
608.0,6.198067,9.5,119156.0,8905.354,390733.88,1192257.4,296071.7,0.0,2.4715383,-2.8557036,-0.61711097
608.0,6.198067,10.5,114638.0,117644.78,493510.2,906882.3,261528.84,0.0,1.7413023,-2.8674328,-1.2351015
608.0,6.198067,11.5,104607.0,160326.19,566579.5,836999.6,275201.9,0.0,1.5092597,-3.1394808,-1.638175
608.0,6.198067,12.5,89786.0,218129.88,773525.56,685362.9,219608.55,0.0,1.3287063,2.860777,-3.0824945
608.0,6.198067,13.5,81817.0,119815.664,835379.0,586064.6,198927.78,0.0,1.2458847,2.7907243,2.7700887
608.0,6.198067,14.5,77464.0,107717.71,811207.0,486298.44,210631.02,0.0,1.1339716,2.930617,2.276423
608.0,6.198067,15.5,63039.0,71928.125,703729.6,292269.94,341966.47,0.0,0.9935403,2.6738498,2.6752064
608.0,6.198067,16.5,51410.0,54187.49,575049.6,252574.8,407039.38,0.0,0.88274276,2.7781224,2.5853581
608.0,6.198067,17.5,37919.0,19458.83,463969.2,153939.98,260296.94,0.0,0.85819864,2.700968,2.5962815
608.0,6.198067,18.5,27384.0,48936.023,350375.47,29385.754,110517.87,0.0,1.0460304,0.6744778,-3.041827
608.0,6.198067,19.5,17962.0,87339.98,268146.94,67845.63,116161.555,0.0,1.2760694,0.42090008,-2.6736002
608.0,6.198067,20.5,11753.0,50012.113,231703.44,74841.32,136642.11,0.0,1.2311592,0.35908306,-2.375196
608.0,6.198067,21.5,8860.0,15480.2,97619.52,53590.645,97042.02,0.0,0.53415745,-0.5424907,-2.371835
610.0,6.1668267,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610.0,6.1668267,1.5,135223.0,132303.22,275115.84,2123127.5,222796.23,0.0,-1.5485734,-3.02861,2.4399724
610.0,6.1668267,2.5,110296.0,81703.445,391293.56,2897118.5,401067.1,0.0,-0.36437467,-2.9314144,2.1488547
610.0,6.1668267,3.5,96451.0,25768.322,343423.75,1807685.1,362753.72,0.0,-0.55137086,-2.612472,2.6152356
610.0,6.1668267,4.5,107911.0,89126.46,494310.06,1059186.9,195352.75,0.0,-0.64604175,-2.2229967,-3.1260202
610.0,6.1668267,5.5,131483.0,179725.42,544892.6,868704.75,186926.02,0.0,-0.6498706,-2.9017515,-2.0575256
610.0,6.1668267,6.5,129942.0,8750.9795,443667.28,1410120.1,104320.445,0.0,-0.6929653,2.912458,-1.7998348
610.0,6.1668267,7.5,121307.0,89045.99,237844.4,1575121.5,78162.34,0.0,-0.80356336,2.9788601,2.3076468
610.0,6.1668267,8.5,120184.0,73374.87,137683.83,1578946.2,202462.47,0.0,-1.7881671,3.1192749,1.070049
610.0,6.1668267,9.5,119315.0,89543.31,382402.72,1141562.1,73845.45,0.0,2.3985176,-3.0910256,3.0658853
610.0,6.1668267,10.5,115479.0,18453.154,446995.0,884551.8,247274.81,0.0,2.1413832,-2.8498974,-2.9528337
610.0,6.1668267,11.5,107760.0,173237.31,620570.56,769713.6,210313.6,0.0,1.6367942,-3.0131533,-2.1962209
610.0,6.1668267,12.5,90680.0,282780.56,734880.56,577163.1,135219.27,0.0,1.6375821,3.1049273,-2.065444
