snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,phase0,phase1,phase2,phase3
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,57734.0,40746.508,259166.7,1344422.9,87076.45,0.0,-2.4455504,-2.7509255,-1.0058666
520.0,7.6413755,2.5,56839.0,31739.135,193872.45,1910753.5,108795.586,0.0,-1.9637314,-2.5552435,-0.19010781
520.0,7.6413755,3.5,66130.0,29878.078,233133.4,1667722.6,28922.725,0.0,-2.462977,-2.2252755,0.81875
520.0,7.6413755,4.5,86232.0,32495.258,63466.926,1216250.4,81686.664,0.0,-1.4830732,-2.1531715,2.06149
520.0,7.6413755,5.5,105840.0,9713.72,212582.75,727926.5,172914.86,0.0,-0.44388935,-2.6807973,2.8621693
520.0,7.6413755,6.5,98215.0,309594.94,308803.88,662388.56,330214.06,0.0,-1.0395427,-2.8741903,0.74481624
520.0,7.6413755,7.5,94065.0,340930.7,269043.3,779610.3,277641.22,0.0,-1.8748518,-3.0010908,0.58863395
520.0,7.6413755,8.5,91645.0,481702.22,303643.1,892992.94,144413.94,0.0,2.593389,-2.9852607,2.0687337
520.0,7.6413755,9.5,88714.0,317129.25,261034.48,880426.0,242558.08,0.0,2.4012983,-2.7427046,3.0088508
520.0,7.6413755,10.5,84600.0,299098.47,501186.47,905138.56,237618.23,0.0,2.1197352,-2.1955066,2.8461657
520.0,7.6413755,11.5,69901.0,296785.16,426175.9,598844.06,160329.56,0.0,1.9437038,-2.1817582,-2.8631682
520.0,7.6413755,12.5,59277.0,244269.88,484132.75,446609.22,177669.38,0.0,2.3751686,-1.8414389,-2.2125125
520.0,7.6413755,13.5,48512.0,291981.78,402384.06,385828.8,308246.2,0.0,2.3232322,-1.8556523,-1.6645495
520.0,7.6413755,14.5,37669.0,285677.66,350033.66,174695.98,398533.72,0.0,2.634411,-0.38542363,-1.5787566
520.0,7.6413755,15.5,30232.0,198019.58,240577.16,114846.99,240571.95,0.0,2.711745,0.344262,-1.8765728
520.0,7.6413755,16.5,27871.0,69413.016,298462.2,65572.88,109703.61,0.0,2.5649176,-1.0533535,-2.1834831
520.0,7.6413755,17.5,21258.0,128312.7,205446.6,57135.418,35574.145,0.0,2.7218132,-2.5871625,-2.6501844
520.0,7.6413755,18.5,18747.0,121945.22,188251.5,66740.52,15845.041,0.0,2.5532715,2.6060166,0.044753097
520.0,7.6413755,19.5,14021.0,13619.343,118597.5,45704.71,82475.06,0.0,1.7614921,1.9087007,-0.42776546
520.0,7.6413755,20.5,10041.0,2293.103,93607.87,59821.945,34763.832,0.0,1.6684476,1.9160646,-0.86623293
520.0,7.6413755,21.5,7287.0,33005.445,97270.44,92169.484,65659.11,0.0,1.1589975,1.1832561,1.1023092
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,58445.0,13970.818,84460.79,1457749.6,27466.037,0.0,-0.93840367,-2.7506402,-1.0059385
523.0,7.596713,2.5,57018.0,40394.61,157533.31,2284129.8,23750.71,0.0,-0.66498584,-2.661191,-2.2981794
523.0,7.596713,3.5,61686.0,32559.97,170425.77,2304205.8,72277.31,0.0,-0.8228705,-2.500465,-2.1466327
523.0,7.596713,4.5,79720.0,54260.844,229418.5,2137195.8,131310.8,0.0,-0.6077579,-2.2588136,-1.6448323
523.0,7.596713,5.5,99009.0,251025.55,267295.3,1515611.4,156644.67,0.0,-0.636238,-2.3908193,-2.082368
523.0,7.596713,6.5,108780.0,354398.75,567318.2,996995.44,176612.28,0.0,-0.35600227,-2.591473,2.915228
523.0,7.596713,7.5,105605.0,129782.31,606656.7,950801.94,188485.81,0.0,-0.7744433,-2.7427049,-0.9469261
523.0,7.596713,8.5,101286.0,55545.938,328979.1,1244925.9,40012.746,0.0,-1.1239026,-2.8134427,-1.9156477
523.0,7.596713,9.5,87530.0,179450.08,282165.0,928691.94,153724.64,0.0,0.7582083,-2.6451654,3.1192164
523.0,7.596713,10.5,81793.0,245455.77,582825.0,1046768.5,212254.47,0.0,0.9349446,-2.5100036,2.8671114
523.0,7.596713,11.5,72468.0,229654.48,597147.8,804984.1,184457.03,0.0,1.4085166,-2.2268689,-3.1158588
523.0,7.596713,12.5,63749.0,248882.48,535545.25,435163.06,135638.38,0.0,2.1618118,-1.9996403,-2.023828
523.0,7.596713,13.5,52363.0,295733.12,483356.22,398626.2,253691.1,0.0,2.762752,-1.7601442,-0.46897557
523.0,7.596713,14.5,38689.0,172025.45,607463.4,412925.2,507055.66,0.0,2.447862,-2.4398253,-0.95390064
523.0,7.596713,15.5,29518.0,255282.06,510006.28,82401.17,283864.6,0.0,2.6318693,-1.6710354,-1.2872379
523.0,7.596713,16.5,24915.0,250464.44,506185.62,57309.73,300800.5,0.0,2.8952425,-2.9162176,-1.3310105
523.0,7.596713,17.5,21745.0,168915.72,425709.88,143605.12,230201.92,0.0,2.900725,-2.619924,-0.8955389
523.0,7.596713,18.5,17280.0,105146.02,318219.38,169186.7,154468.67,0.0,2.7102785,-3.0107074,-1.2455629
523.0,7.596713,19.5,12617.0,68991.04,179595.22,181444.92,88191.4,0.0,2.5264776,2.7758946,-2.3261256
523.0,7.596713,20.5,9104.0,60004.145,85336.39,52395.598,2802.211,0.0,3.0520425,2.9117107,1.8983103
523.0,7.596713,21.5,5237.0,11289.677,8009.7383,14619.508,8458.55,0.0,1.8021599,1.5807256,-0.29259217
525.0,7.566684,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,1.5,58346.0,68905.46,235728.77,1491200.5,50247.383,0.0,-1.2066176,-2.8104885,-1.5699637
525.0,7.566684,2.5,57831.0,30124.783,153712.23,2438559.8,54206.715,0.0,-1.3122444,-2.8331072,-1.4071558
525.0,7.566684,3.5,63818.0,148750.4,100825.19,2630705.5,80024.39,0.0,0.70191854,-2.7946732,-2.3845968
525.0,7.566684,4.5,79900.0,163940.97,160420.86,2454955.0,106787.875,0.0,-1.0362576,-2.660668,3.055873
525.0,7.566684,5.5,97094.0,324692.25,219275.22,1771783.2,221329.75,0.0,-0.3999007,-2.6559553,2.5444462
525.0,7.566684,6.5,103976.0,107432.555,350448.66,1154191.1,262661.8,0.0,-0.123581074,-2.73605,1.8362755
525.0,7.566684,7.5,107833.0,187164.53,740702.2,954551.9,97643.53,0.0,-0.4485154,-2.6155539,0.044933513
525.0,7.566684,8.5,102551.0,106612.83,410872.66,1006391.4,71761.81,0.0,-1.0227718,-2.658151,0.7576705
525.0,7.566684,9.5,94960.0,5533.63,85846.73,892220.44,94512.04,0.0,-2.0133595,-2.9364784,1.9608498
525.0,7.566684,10.5,84560.0,169017.72,281721.9,882205.75,182488.08,0.0,1.1826212,-2.576956,-2.5664542
525.0,7.566684,11.5,72798.0,114436.74,207248.89,881805.1,277885.44,0.0,1.4112502,-2.4743967,-2.8858
525.0,7.566684,12.5,66529.0,96463.04,445188.22,699762.4,357646.72,0.0,2.071471,-2.4206781,3.1203327
525.0,7.566684,13.5,53283.0,113703.92,444630.2,429674.12,328726.3,0.0,2.0761409,-2.7241552,-2.3816323
525.0,7.566684,14.5,40381.0,133406.23,455225.66,258047.12,260976.3,0.0,2.6144018,-2.5515547,-1.52388
525.0,7.566684,15.5,29974.0,295185.06,533940.1,183917.39,509676.3,0.0,2.6983206,-2.3157363,-1.5965582
525.0,7.566684,16.5,23991.0,216480.67,517613.66,166026.55,428109.34,0.0,2.5994873,-2.7248678,-1.807282
525.0,7.566684,17.5,20566.0,125398.61,492487.3,225302.86,327547.06,0.0,2.330433,2.5631576,-1.7715808
525.0,7.566684,18.5,16783.0,104005.41,308564.72,132155.45,112243.734,0.0,2.6804597,2.3827386,-1.5739825
525.0,7.566684,19.5,12058.0,79427.97,271233.4,211955.58,64689.062,0.0,2.7584276,2.8507197,-2.2319179
525.0,7.566684,20.5,9470.0,17717.514,143715.0,152131.88,45164.22,0.0,2.4632866,3.031588,-2.1297345
525.0,7.566684,21.5,3959.0,14567.453,24253.914,18515.691,12506.023,0.0,2.8809896,2.7033143,-0.8641058
527.0,7.5333905,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527.0,7.5333905,1.5,57173.0,41888.438,184504.12,1371301.1,66520.35,0.0,-0.9896114,-2.7555404,-3.0519602
527.0,7.5333905,2.5,57277.0,62222.85,261705.52,2178415.0,94592.09,0.0,-1.18846,-2.9555678,-0.13197172
527.0,7.5333905,3.5,65995.0,31037.967,296357.4,2529870.8,7739.9185,0.0,-1.4040755,-3.0973752,2.7282813
527.0,7.5333905,4.5,83192.0,35336.223,241742.42,2712246.2,288016.0,0.0,-1.4846245,-3.0152984,0.40297502
527.0,7.5333905,5.5,102423.0,133961.94,225108.44,2239064.8,310322.3,0.0,-1.0609767,-2.9461198,1.2235662
