snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,phase0,phase1,phase2,phase3
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,125195.0,44247.023,349426.1,1738484.5,106214.61,0.0,-2.706983,-2.8020968,-1.7420475
520.0,7.6413755,2.5,97888.0,10950.618,238542.75,2245401.5,188592.1,0.0,-1.9369445,-2.606659,-0.24070124
520.0,7.6413755,3.5,90308.0,76574.01,254504.39,1741098.0,65911.414,0.0,-2.5120387,-2.2586489,0.07437458
520.0,7.6413755,4.5,102409.0,53852.02,74043.76,1203338.8,108730.055,0.0,-1.3423058,-2.1684482,2.287499
520.0,7.6413755,5.5,117934.0,1082.8,233122.45,768460.0,189525.05,0.0,-0.40956566,-2.6561065,2.8055005
520.0,7.6413755,6.5,108760.0,330304.0,313304.78,630484.7,304757.25,0.0,-1.1016272,-2.8486927,0.6394747
520.0,7.6413755,7.5,104861.0,344327.16,331616.34,798807.3,318005.03,0.0,-1.9535159,-2.9815536,0.47991702
520.0,7.6413755,8.5,102083.0,493651.66,320481.66,869824.1,154506.17,0.0,2.8454347,-3.0097766,2.1980586
520.0,7.6413755,9.5,99715.0,300063.94,286218.28,830583.2,274423.16,0.0,2.4307795,-2.8209941,3.0444534
520.0,7.6413755,10.5,95714.0,256291.1,488734.7,806274.75,247755.34,0.0,2.2312818,-2.1993747,2.7669456
520.0,7.6413755,11.5,81727.0,309186.62,399530.9,600849.06,152414.7,0.0,2.1332722,-2.1311336,-2.689813
520.0,7.6413755,12.5,70520.0,223278.66,513751.44,517043.44,183437.39,0.0,2.4213214,-1.7729627,-1.8229917
520.0,7.6413755,13.5,60145.0,305459.1,380664.53,466927.66,338394.56,0.0,2.316792,-1.6365678,-1.3918661
520.0,7.6413755,14.5,49106.0,327970.34,358638.06,310706.47,443796.8,0.0,2.8887541,-0.45232522,-1.3062323
