snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,phase0,phase1,phase2,phase3
602.0,6.2968197,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.2968197,1.5,133312.0,2272.5544,7204.7153,799.21313,924.17065,0.0,2.4016857,-0.619615,-2.8741183
602.0,6.2968197,2.5,108386.0,1976.9633,9961.997,192.3324,149.68509,0.0,2.3005428,-0.35440388,-2.1928122
602.0,6.2968197,3.5,98413.0,1530.0511,13106.913,450.72086,451.55664,0.0,2.2169688,1.1176953,1.8289189
602.0,6.2968197,4.5,104327.0,1488.3107,17644.74,1605.3783,1267.1241,0.0,2.1182644,-1.9122558,-2.7762406
602.0,6.2968197,5.5,129422.0,1342.0328,23294.535,521.7828,1273.267,0.0,2.089589,0.7340842,-2.95106
602.0,6.2968197,6.5,127981.0,3263.2522,24744.645,3890.322,2666.056,0.0,2.1244125,-2.1599598,-2.6709247
602.0,6.2968197,7.5,122068.0,1249.4146,26741.07,4134.669,4625.7466,0.0,1.8768796,-1.070428,-1.5415847
602.0,6.2968197,8.5,125505.0,199.46797,25096.678,3119.4187,2458.4878,0.0,1.4548539,-0.023173077,-0.56579566
602.0,6.2968197,9.5,116150.0,3372.3591,18087.86,1139.2787,1671.7736,0.0,1.2558876,-0.3762631,-2.4121423
602.0,6.2968197,10.5,112186.0,340.4176,601.9229,11122.018,2188.6116,0.0,-2.0512552,-3.0379374,-0.03526928
602.0,6.2968197,11.5,107384.0,136.50282,18918.533,6585.6616,12572.66,0.0,-1.4853947,3.0021477,1.3302525
602.0,6.2968197,12.5,101691.0,4874.2637,22056.164,6531.044,6355.4995,0.0,-1.217772,-0.52604824,2.1744819
602.0,6.2968197,13.5,85873.0,4297.2915,25587.307,19229.42,8304.491,0.0,-1.0498497,-0.37546304,2.5897675
602.0,6.2968197,14.5,70810.0,8391.299,26306.268,18847.195,3234.1345,0.0,-1.088707,-0.80198866,-1.5266054
602.0,6.2968197,15.5,62753.0,6750.087,32516.912,20748.666,5541.116,0.0,-1.2567946,-1.1620225,-0.4559313
602.0,6.2968197,16.5,51626.0,51.524307,29357.438,13324.333,3860.997,0.0,-1.4410459,-1.2057709,0.6929537
602.0,6.2968197,17.5,37513.0,874.9516,25052.701,6778.4375,7442.8545,0.0,-1.6329567,-2.6513786,2.3581505
602.0,6.2968197,18.5,25886.0,1769.0083,26043.26,18288.537,15966.19,0.0,-1.7477298,-2.7383685,2.6521783
602.0,6.2968197,19.5,18293.0,4483.5107,21735.146,18495.906,16500.26,0.0,-1.7048932,-2.7992253,2.611525
602.0,6.2968197,20.5,13255.0,1392.3143,11747.491,11279.069,9702.137,0.0,-1.958678,-2.9665313,2.7019188
602.0,6.2968197,21.5,10375.0,22.15883,6951.269,7019.044,5729.7446,0.0,-2.1826212,-2.9854145,2.4314952
604.0,6.2570214,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604.0,6.2570214,1.5,133879.0,218.94878,8452.384,737.26935,315.35608,0.0,2.489975,1.1811546,0.8974385
604.0,6.2570214,2.5,107761.0,218.82759,9785.096,1094.7185,254.99634,0.0,2.2781014,1.0209318,-2.8370457
604.0,6.2570214,3.5,97912.0,9.194361,13293.098,671.7794,711.44104,0.0,2.1280055,0.5433778,-2.239237
604.0,6.2570214,4.5,104541.0,68.48267,19113.941,1320.0643,933.03436,0.0,2.2473807,1.021869,1.3765512
