snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,27938.0,70.371,2203.3005,227.45242,0.0,0.56807506,0.6748383
520.0,7.6413755,2.5,40263.0,17.848,5266.7285,541.01587,0.0,0.77659744,-2.719652
520.0,7.6413755,3.5,57150.0,286.211,7463.634,733.6022,0.0,0.93360955,-2.7679527
520.0,7.6413755,4.5,81043.0,1088.293,9107.526,1797.2864,0.0,1.2810252,-2.0603292
520.0,7.6413755,5.5,102145.0,378.861,14972.171,1601.956,0.0,1.4468421,-1.8921411
520.0,7.6413755,6.5,95116.0,1139.987,13054.455,840.12695,0.0,1.3525727,-0.68606246
520.0,7.6413755,7.5,90846.0,1724.979,11162.425,7114.0327,0.0,1.4167814,-0.81818634
520.0,7.6413755,8.5,88220.0,1024.001,17822.834,1840.0281,0.0,0.991635,-1.3768488
520.0,7.6413755,9.5,85640.0,5668.29,12193.944,9952.051,0.0,0.815737,-1.4897661
520.0,7.6413755,10.5,81576.0,11517.947,1773.6594,12896.163,0.0,-1.7161638,-1.3492582
520.0,7.6413755,11.5,67096.0,13247.594,17797.377,9097.168,0.0,-1.9544065,-0.44520554
520.0,7.6413755,12.5,57075.0,13275.627,25697.629,6023.6567,0.0,-2.2178674,-0.38305658
520.0,7.6413755,13.5,46515.0,8976.719,29357.988,6211.3027,0.0,-2.2054296,-0.51995635
520.0,7.6413755,14.5,35826.0,3800.15,25836.443,552.5128,0.0,-2.3437915,-1.0644945
520.0,7.6413755,15.5,28716.0,6236.499,20324.402,5135.314,0.0,-2.2608593,0.99762446
520.0,7.6413755,16.5,26840.0,9999.483,19283.482,10209.17,0.0,-2.4811497,0.17208353
520.0,7.6413755,17.5,20380.0,9142.627,16345.882,3021.0247,0.0,-2.961801,-1.3718855
520.0,7.6413755,18.5,17968.0,5497.633,14104.496,5900.647,0.0,3.0051305,-2.4295976
520.0,7.6413755,19.5,13351.0,6264.429,11744.484,5400.944,0.0,-3.1262405,-3.05177
520.0,7.6413755,20.5,9569.0,2902.059,5463.0015,745.2303,0.0,3.0970926,-2.7857504
520.0,7.6413755,21.5,6989.0,31.107,1432.0569,2486.8313,0.0,1.8727616,0.744078
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,28655.0,222.605,2733.5266,227.77016,0.0,0.8679934,2.7052674
523.0,7.596713,2.5,40766.0,488.772,5802.6626,613.08594,0.0,0.97742635,1.4485816
523.0,7.596713,3.5,52348.0,599.237,8941.336,359.53513,0.0,0.98091424,2.877176
523.0,7.596713,4.5,73791.0,245.151,11551.729,1165.4353,0.0,1.1958172,-2.8187733
523.0,7.596713,5.5,95006.0,2549.668,13888.027,3179.0034,0.0,1.3680726,3.13443
523.0,7.596713,6.5,105385.0,3467.74,17528.117,5077.747,0.0,1.183326,-2.830493
523.0,7.596713,7.5,102293.0,1602.232,17171.977,1804.288,0.0,1.2102481,-1.050685
523.0,7.596713,8.5,97985.0,3521.57,15758.363,6493.1143,0.0,1.1998587,-2.4214194
523.0,7.596713,9.5,84195.0,4686.26,11409.921,8456.602,0.0,1.2455367,-2.631105
523.0,7.596713,10.5,78746.0,6797.799,5152.4077,7618.439,0.0,1.9488806,-1.9927524
523.0,7.596713,11.5,69698.0,10555.87,19330.492,6358.0845,0.0,-2.355153,-1.8530464
523.0,7.596713,12.5,61208.0,10986.06,36121.918,9069.31,0.0,-2.1589592,-1.6906172
523.0,7.596713,13.5,49975.0,12654.241,34752.305,6684.6265,0.0,-2.102004,-1.2481908
523.0,7.596713,14.5,36556.0,4697.742,29173.65,1853.1997,0.0,-2.2686794,-0.3874196
523.0,7.596713,15.5,27770.0,3493.094,24232.592,3192.9602,0.0,-2.5146308,1.1076031
523.0,7.596713,16.5,23526.0,7423.608,21884.215,1758.3987,0.0,-2.5637374,2.2669861
523.0,7.596713,17.5,20489.0,9680.758,16523.95,2349.8958,0.0,-2.7021782,3.0329642
523.0,7.596713,18.5,16348.0,5035.291,7354.5547,5443.323,0.0,2.9989598,2.1996012
523.0,7.596713,19.5,11927.0,4104.414,9500.384,8416.71,0.0,2.836367,2.795813
523.0,7.596713,20.5,8616.0,3542.566,8049.6147,7358.0894,0.0,2.841163,2.8227596
523.0,7.596713,21.5,5030.0,2536.381,4690.3833,2951.7874,0.0,-3.010047,-2.4097698
525.0,7.566684,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,1.5,28402.0,238.55,2219.8762,231.29773,0.0,0.8586031,-1.521919
525.0,7.566684,2.5,41036.0,521.343,5670.931,459.84467,0.0,0.9807782,2.9375222
525.0,7.566684,3.5,54451.0,839.455,8675.345,602.31055,0.0,0.9007628,2.3009467
525.0,7.566684,4.5,73771.0,896.15,12617.977,1333.2917,0.0,1.0102854,-2.9134407
525.0,7.566684,5.5,92880.0,267.291,13875.952,1650.2301,0.0,1.2582588,-1.909587
525.0,7.566684,6.5,100589.0,3695.388,17717.225,5612.457,0.0,1.4083523,2.9762287
525.0,7.566684,7.5,104504.0,4293.425,17588.58,2553.9463,0.0,0.95606375,-0.9546402
525.0,7.566684,8.5,99485.0,1155.826,16442.672,5625.394,0.0,1.1680506,1.5454003
