snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,33671.0,15454.157,67.37361,444.71655,0.0,2.3646617,-0.8386849
520.0,7.6413755,2.5,41658.0,20281.857,263.15686,1578.5638,0.0,-0.36205015,1.757511
520.0,7.6413755,3.5,56894.0,31092.377,325.12766,2395.5613,0.0,-1.0954437,1.9149224
520.0,7.6413755,4.5,79381.0,47863.895,940.2778,2201.8794,0.0,0.5270451,2.4890153
520.0,7.6413755,5.5,98776.0,62537.965,2950.6953,3076.5945,0.0,1.013451,2.852352
520.0,7.6413755,6.5,91219.0,63526.77,652.17285,2173.6763,0.0,1.391678,2.6451302
520.0,7.6413755,7.5,85910.0,63312.125,4057.3796,2238.6738,0.0,-2.9202118,-2.9480774
520.0,7.6413755,8.5,81422.0,66490.54,4647.6045,1849.2312,0.0,-2.951624,-1.2192022
520.0,7.6413755,9.5,78202.0,65846.016,3166.151,499.7204,0.0,-3.1216862,-1.2293165
520.0,7.6413755,10.5,73687.0,63167.977,3772.907,1796.5117,0.0,0.7804619,1.1244049
520.0,7.6413755,11.5,60663.0,52478.02,3098.78,953.0728,0.0,0.44123587,1.9745458
520.0,7.6413755,12.5,51897.0,44575.074,3797.1877,2695.943,0.0,0.5014257,-1.7809541
520.0,7.6413755,13.5,41569.0,36790.98,3454.4592,2320.9158,0.0,-0.028558822,-2.896352
520.0,7.6413755,14.5,31392.0,28795.178,4444.859,4178.909,0.0,-1.0276822,3.010279
520.0,7.6413755,15.5,25013.0,24552.838,3123.694,6297.9453,0.0,0.2662794,-2.6269648
520.0,7.6413755,16.5,23284.0,23433.688,5564.3853,6625.184,0.0,1.1458594,-2.3457496
520.0,7.6413755,17.5,17944.0,17077.947,6780.1143,2146.2917,0.0,0.6997884,-2.7554855
520.0,7.6413755,18.5,15747.0,14948.026,6980.8374,2346.9568,0.0,0.7807486,-2.5375967
520.0,7.6413755,19.5,11482.0,11038.296,6581.1743,797.20197,0.0,0.5688704,1.0926989
520.0,7.6413755,20.5,8532.0,8175.605,5104.767,1289.7928,0.0,0.6700542,1.5604557
520.0,7.6413755,21.5,6263.0,5683.941,3884.9763,1699.5604,0.0,0.65700364,1.4001629
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,34311.0,15523.719,190.13535,345.20404,0.0,1.9174877,-1.5347514
523.0,7.596713,2.5,42109.0,20322.04,336.3875,1426.7323,0.0,1.7192849,1.9131036
523.0,7.596713,3.5,52064.0,29018.412,449.29333,2813.0796,0.0,-2.9432411,1.5962919
523.0,7.596713,4.5,72292.0,43892.027,781.52484,4750.6978,0.0,-2.3986511,2.1163583
523.0,7.596713,5.5,92012.0,59388.902,1795.9067,5955.749,0.0,1.5489616,2.626414
523.0,7.596713,6.5,100882.0,70592.9,3545.4072,5839.105,0.0,0.06152976,1.944148
523.0,7.596713,7.5,96604.0,73519.4,4338.627,1791.8895,0.0,-1.2172884,-3.0069022
523.0,7.596713,8.5,91648.0,74754.266,7189.8105,1214.8116,0.0,-2.1758265,0.12640157
523.0,7.596713,9.5,77277.0,62957.895,2875.3599,2764.844,0.0,-3.070008,0.42850828
523.0,7.596713,10.5,71887.0,60320.76,1663.0898,2376.4343,0.0,-1.5389421,1.7766774
523.0,7.596713,11.5,63014.0,54614.61,4951.9243,3147.5122,0.0,-0.6245359,2.306872
523.0,7.596713,12.5,54669.0,47542.902,6961.17,2029.5663,0.0,-0.35170695,2.6937013
523.0,7.596713,13.5,42428.0,39549.117,4515.4775,4828.801,0.0,-0.6811491,-3.073327
523.0,7.596713,14.5,31085.0,29086.05,2191.344,4400.267,0.0,-1.3323056,2.7574744
523.0,7.596713,15.5,23848.0,22337.414,2068.2913,2111.6702,0.0,-1.0618918,2.6728141
523.0,7.596713,16.5,19463.0,19511.213,3919.213,1610.9951,0.0,-0.13122839,2.8991039
523.0,7.596713,17.5,17089.0,16939.635,5821.1865,1894.72,0.0,0.4805455,2.8895013
523.0,7.596713,18.5,14061.0,13315.891,5076.702,2266.6624,0.0,0.61366373,-2.82506
523.0,7.596713,19.5,10099.0,9709.522,5635.9033,1274.3538,0.0,0.51261836,2.347588
523.0,7.596713,20.5,6673.0,7285.07,5293.6396,2416.8135,0.0,0.35228184,0.5872658
523.0,7.596713,21.5,4402.0,4426.772,3070.7678,1348.0966,0.0,0.35148275,0.64364326
525.0,7.566684,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,1.5,34089.0,15622.489,154.32623,451.47397,0.0,0.19807582,-1.2658352
525.0,7.566684,2.5,42426.0,20277.393,187.10818,1163.9386,0.0,1.0542737,1.8438957
525.0,7.566684,3.5,54142.0,29160.947,687.66077,2549.66,0.0,0.8988111,1.6957816
525.0,7.566684,4.5,72113.0,44291.105,969.1167,4934.7266,0.0,-3.129558,2.110683
525.0,7.566684,5.5,89995.0,57937.23,1489.0813,7012.345,0.0,2.065748,2.2432687
525.0,7.566684,6.5,96018.0,67921.28,1583.9688,4802.527,0.0,0.74484026,2.2469072
525.0,7.566684,7.5,98627.0,73773.31,3827.027,1026.8391,0.0,-0.41980073,1.7833409
525.0,7.566684,8.5,93186.0,75045.48,3438.3403,1320.9028,0.0,-2.146126,-1.4730859
525.0,7.566684,9.5,83851.0,69487.98,7681.05,1319.2013,0.0,-2.561568,1.3676813
525.0,7.566684,10.5,74023.0,61441.234,4640.6323,3611.217,0.0,-1.6845101,1.1132785
525.0,7.566684,11.5,63045.0,53503.17,4984.7754,2853.2104,0.0,-0.9247856,1.9145321
525.0,7.566684,12.5,56536.0,49094.152,7679.8125,3615.8132,0.0,-0.99671584,2.4602509
525.0,7.566684,13.5,44155.0,41380.36,4688.263,2792.525,0.0,-0.44796103,2.3357716
525.0,7.566684,14.5,33054.0,32160.035,3656.246,2450.8787,0.0,-1.4760885,1.942447
525.0,7.566684,15.5,23326.0,22617.03,2582.5215,2218.6084,0.0,-0.94398797,1.2486582
525.0,7.566684,16.5,19021.0,17834.44,3823.2136,1975.184,0.0,0.21685961,0.66393524
525.0,7.566684,17.5,16355.0,15542.244,4644.055,1055.8297,0.0,0.32421133,-3.0756779
525.0,7.566684,18.5,12697.0,13152.857,5243.421,1417.2098,0.0,0.6498134,-2.7148256
525.0,7.566684,19.5,9075.0,9659.754,5065.134,1009.6157,0.0,0.5063165,1.4911124
525.0,7.566684,20.5,6872.0,7277.616,5172.0303,2413.612,0.0,0.43725124,1.0533525
525.0,7.566684,21.5,2942.0,3103.97,2262.0303,1105.99,0.0,0.20504329,0.41521022
527.0,7.5333905,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527.0,7.5333905,1.5,33251.0,15341.895,546.75085,588.1847,0.0,0.57905316,-1.8022476
527.0,7.5333905,2.5,41946.0,20067.156,312.46866,1032.634,0.0,1.3716346,2.2532978
527.0,7.5333905,3.5,56339.0,29940.46,190.0837,1993.591,0.0,-1.6649567,1.6957433
527.0,7.5333905,4.5,75331.0,46037.0,517.513,4726.5356,0.0,1.9638362,1.6271181
527.0,7.5333905,5.5,94583.0,60564.16,969.07184,7379.5234,0.0,1.8725556,1.6361883
527.0,7.5333905,6.5,94635.0,67059.67,2557.8452,7226.3555,0.0,0.49712768,1.8979527
527.0,7.5333905,7.5,91868.0,69324.47,2489.3228,5683.0327,0.0,0.25587866,1.4413182
527.0,7.5333905,8.5,94362.0,75248.63,1981.0674,2777.6785,0.0,-1.5683649,2.8001761
527.0,7.5333905,9.5,83771.0,69995.16,6782.438,1542.4337,0.0,-2.607901,-1.1795204
527.0,7.5333905,10.5,78499.0,67992.86,7243.2314,3784.2634,0.0,-2.6191545,0.7737689
527.0,7.5333905,11.5,63743.0,54102.883,4626.8867,3685.6682,0.0,-1.539898,0.7863781
527.0,7.5333905,12.5,58992.0,51283.91,7495.0396,3212.0967,0.0,-1.1873833,2.1063082
527.0,7.5333905,13.5,47563.0,43708.473,5598.0034,3012.5906,0.0,-1.1618148,1.8221521
527.0,7.5333905,14.5,36146.0,34650.12,3269.5215,4010.6714,0.0,-1.2183313,1.0105052
527.0,7.5333905,15.5,27626.0,26199.71,2081.484,1896.6549,0.0,-1.3139381,0.62653124
527.0,7.5333905,16.5,19729.0,18175.393,3438.2017,1873.8973,0.0,-0.35413495,-1.2192303
527.0,7.5333905,17.5,14992.0,13711.523,4427.1533,1186.65,0.0,0.11546391,-0.28793538
527.0,7.5333905,18.5,11795.0,11425.862,5550.3496,1118.3625,0.0,0.37213537,0.21323355
527.0,7.5333905,19.5,8479.0,9035.178,5012.367,1421.0322,0.0,0.61616653,0.94797236
527.0,7.5333905,20.5,6288.0,6339.972,4198.932,2533.6736,0.0,0.4457024,0.80524164
527.0,7.5333905,21.5,3046.0,3478.014,2193.5593,676.3948,0.0,0.4209524,0.67597044
530.0,7.48298,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
530.0,7.48298,1.5,33103.0,15067.528,165.59813,531.88837,0.0,0.7470326,-1.5410534
530.0,7.48298,2.5,41476.0,19644.33,291.86807,1118.209,0.0,0.63986325,2.4031694
530.0,7.48298,3.5,58116.0,29912.604,1049.53,1923.6174,0.0,1.4544802,2.1770892
530.0,7.48298,4.5,74574.0,44353.484,394.9852,3401.4849,0.0,1.1925228,1.2685745
530.0,7.48298,5.5,92756.0,59820.375,698.1659,4639.995,0.0,2.4995015,1.1623132
530.0,7.48298,6.5,101869.0,70058.26,1472.5024,5497.4995,0.0,2.8028615,1.221324
530.0,7.48298,7.5,92121.0,70107.62,829.6878,5430.781,0.0,-0.7080241,1.0736948
530.0,7.48298,8.5,88721.0,71318.24,973.5471,1967.8003,0.0,2.760168,1.3018401
530.0,7.48298,9.5,84586.0,70387.33,5132.9023,1463.2532,0.0,-2.2583046,-1.9437195
530.0,7.48298,10.5,77997.0,65834.086,6634.798,344.89212,0.0,-2.5459359,-1.8793716
530.0,7.48298,11.5,64912.0,53837.887,2221.0002,1989.4769,0.0,-2.4479814,0.46141472
530.0,7.48298,12.5,58204.0,50194.926,3488.2053,1477.4434,0.0,-1.2055387,-0.22213194
