snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,86579.0,1097.144,2171.3142,1853.5331,0.0,-0.0029001143,2.5125248
520.0,7.6413755,2.5,89676.0,1187.271,3185.6423,1852.9902,0.0,0.35743144,-2.1694403
520.0,7.6413755,3.5,85141.0,1091.761,3562.388,683.4367,0.0,0.41199443,3.135627
520.0,7.6413755,4.5,76342.0,1373.409,2647.943,1194.9645,0.0,0.23876633,-1.6682693
520.0,7.6413755,5.5,67121.0,2176.438,3643.6177,1228.307,0.0,0.17382565,0.61998874
520.0,7.6413755,6.5,59386.0,965.935,2790.2124,959.03,0.0,0.2773188,2.057047
520.0,7.6413755,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,85429.0,990.142,1670.139,817.68823,0.0,-0.2221041,1.0853016
523.0,7.596713,2.5,89305.0,830.956,2606.1858,344.1734,0.0,0.42443126,-0.36177585
523.0,7.596713,3.5,83637.0,1047.823,4121.248,1429.2002,0.0,0.50922817,0.3750683
523.0,7.596713,4.5,75091.0,8.578,2897.122,2060.0935,0.0,1.009963,-0.7657211
523.0,7.596713,5.5,66612.0,1789.705,2928.2437,2221.7434,0.0,0.45537904,0.2529998
523.0,7.596713,6.5,59039.0,156.006,2710.3276,2295.164,0.0,0.49570367,0.07770743
523.0,7.596713,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,1.5,86193.0,436.09,961.7262,403.9388,0.0,-0.0899501,2.8628547
525.0,7.566684,2.5,89465.0,727.829,4565.139,920.30084,0.0,0.24643019,0.22561501
525.0,7.566684,3.5,84927.0,395.008,3929.8806,1802.1361,0.0,0.5694891,0.31900346
525.0,7.566684,4.5,75316.0,2465.168,5687.1074,215.16652,0.0,0.6629497,-1.8462888
525.0,7.566684,5.5,66405.0,1336.383,4034.4934,36.84677,0.0,0.45567378,0.77256644
525.0,7.566684,6.5,58948.0,1107.957,3613.5452,181.96046,0.0,0.385181,-2.0502095
525.0,7.566684,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
