snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,15.0,5.7369013,32.996223,338.74384,0.0,-2.928218,-2.7471786
520.0,7.6413755,2.5,34.0,20.005129,25.208754,827.0065,0.0,-2.9047801,-2.8783362
520.0,7.6413755,3.5,42.0,45.32385,68.24856,740.69086,0.0,-1.5098805,-2.8247824
520.0,7.6413755,4.5,48.0,15.833899,87.87441,597.2073,0.0,-1.1195198,-2.8261664
520.0,7.6413755,5.5,76.0,45.07297,100.550026,1030.5457,0.0,-0.9129361,-2.8831263
520.0,7.6413755,6.5,72.0,38.561993,104.605446,777.51575,0.0,-2.1881678,-2.7285354
520.0,7.6413755,7.5,87.0,39.968098,208.56117,688.1214,0.0,-2.1050198,-2.6003108
520.0,7.6413755,8.5,109.0,79.42138,127.83432,1050.1298,0.0,2.943927,-2.840438
520.0,7.6413755,9.5,104.0,48.618015,126.6087,778.42584,0.0,0.23860517,-2.6592512
520.0,7.6413755,10.5,132.0,117.40796,207.01138,1163.9681,0.0,0.8480378,-2.609361
520.0,7.6413755,11.5,144.0,178.72914,271.86063,1025.6194,0.0,1.4681592,-2.4549615
520.0,7.6413755,12.5,136.0,221.27986,382.31705,1131.6302,0.0,0.7938328,-2.6143548
520.0,7.6413755,13.5,179.0,295.22217,469.78333,1528.2771,0.0,-0.03697943,-2.7356586
520.0,7.6413755,14.5,170.0,202.06067,486.37054,1418.7056,0.0,0.26992053,-2.9443293
520.0,7.6413755,15.5,182.0,205.35504,851.48737,1779.3127,0.0,0.91106725,-2.7457652
520.0,7.6413755,16.5,205.0,239.67542,936.34863,1767.1793,0.0,1.1779532,-2.7242258
520.0,7.6413755,17.5,200.0,273.22992,515.9976,1562.1589,0.0,1.0161746,-2.6682303
520.0,7.6413755,18.5,229.0,597.8069,1028.8552,2199.8906,0.0,0.8979344,-2.5685208
520.0,7.6413755,19.5,218.0,200.47778,504.0919,1924.2915,0.0,1.0965332,-2.228107
520.0,7.6413755,20.5,233.0,1927.1355,4626.097,5250.388,0.0,0.24290268,-2.569394
520.0,7.6413755,21.5,229.0,554.35944,1156.4567,2058.3464,0.0,2.1600204,-1.88906
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,15.0,5.879904,7.3252177,365.3948,0.0,0.8560847,-2.6743317
523.0,7.596713,2.5,36.0,10.299858,65.05012,1016.3504,0.0,-2.5123093,-2.7854
523.0,7.596713,3.5,40.0,5.125305,77.39873,796.4874,0.0,-1.3093798,-2.7101316
523.0,7.596713,4.5,48.0,19.606241,54.995876,722.86505,0.0,-1.782809,-2.6570714
523.0,7.596713,5.5,76.0,18.252478,24.445066,1047.2235,0.0,2.8427682,-2.8526309
523.0,7.596713,6.5,72.0,10.583648,131.46426,720.4238,0.0,-0.120356694,-2.5839486
523.0,7.596713,7.5,91.0,43.771553,36.025024,937.6334,0.0,1.7811824,-2.6962006
523.0,7.596713,8.5,105.0,31.82187,237.25946,1016.1663,0.0,2.8128572,-2.6178977
523.0,7.596713,9.5,104.0,12.653421,142.16473,849.60333,0.0,2.2957628,-2.3047318
523.0,7.596713,10.5,132.0,4.2166553,170.71338,1064.3469,0.0,1.5198817,-2.2201781
523.0,7.596713,11.5,145.0,9.200102,338.63974,1262.3503,0.0,2.142952,-2.2447364
523.0,7.596713,12.5,135.0,171.1025,85.78184,1058.6208,0.0,2.584128,-2.4367883
523.0,7.596713,13.5,181.0,186.2193,133.45499,1566.6768,0.0,-1.4891149,-2.8319063
523.0,7.596713,14.5,167.0,9.251793,369.98312,1351.787,0.0,-0.4150005,-2.7656927
523.0,7.596713,15.5,187.0,101.30298,502.09427,1421.2501,0.0,-0.6451898,-2.5665166
523.0,7.596713,16.5,197.0,47.921852,312.8963,1928.6807,0.0,-0.51401657,-2.595892
523.0,7.596713,17.5,200.0,15.943504,343.3843,1812.7717,0.0,1.1137958,-2.4111876
523.0,7.596713,18.5,227.0,5.045583,1247.2202,1604.9211,0.0,2.2628453,-2.3460798
523.0,7.596713,19.5,222.0,202.94897,399.62872,1790.5322,0.0,-2.5532792,-2.3805022
523.0,7.596713,20.5,218.0,475.41046,345.69733,1260.8438,0.0,3.0502284,-1.8834561
523.0,7.596713,21.5,222.0,851.54535,2462.2478,818.3499,0.0,-0.73226076,2.5691242
525.0,7.566684,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,1.5,14.0,26.061901,38.90822,381.9278,0.0,1.2177641,-2.8076577
525.0,7.566684,2.5,36.0,3.640291,59.78076,1039.5416,0.0,-1.8529322,-2.834571
525.0,7.566684,3.5,40.0,16.666534,36.028156,785.88086,0.0,-0.7076602,-2.7047606
525.0,7.566684,4.5,48.0,32.048717,40.2511,764.8813,0.0,-1.5184386,-2.6935446
525.0,7.566684,5.5,76.0,24.506771,81.07515,1000.4153,0.0,-2.2417397,-2.86712
525.0,7.566684,6.5,72.0,16.786291,13.367179,660.37213,0.0,0.45608604,-2.6530073
525.0,7.566684,7.5,89.0,63.70959,32.819424,822.0986,0.0,2.9344876,-2.6730988
525.0,7.566684,8.5,107.0,60.326927,110.75854,757.9045,0.0,1.3975736,-2.7090147
525.0,7.566684,9.5,104.0,39.48809,158.23784,755.21857,0.0,2.0275028,-2.3183188
525.0,7.566684,10.5,134.0,19.786161,170.21774,1178.1707,0.0,2.318558,-2.358241
525.0,7.566684,11.5,142.0,36.40851,126.17554,1331.8372,0.0,-2.76717,-2.2194996
525.0,7.566684,12.5,137.0,80.427925,198.5989,1162.242,0.0,2.1745856,-2.3450348
525.0,7.566684,13.5,177.0,293.21265,302.70447,1138.4149,0.0,1.8199902,-2.7713192
525.0,7.566684,14.5,170.0,177.84026,214.37474,1000.20233,0.0,-2.9083438,-2.8399334
525.0,7.566684,15.5,187.0,266.0791,509.80023,1281.3191,0.0,-1.4827657,-2.830998
525.0,7.566684,16.5,200.0,147.2292,230.21674,1687.0624,0.0,-1.557765,-2.3123481
525.0,7.566684,17.5,198.0,91.71386,662.8338,1982.6614,0.0,2.3908024,-2.3000665
525.0,7.566684,18.5,229.0,414.56177,506.20505,2261.1497,0.0,2.256734,-2.8086193
525.0,7.566684,19.5,224.0,328.81668,1907.4155,831.85077,0.0,3.1190312,-1.8434408
525.0,7.566684,20.5,216.0,232.36552,1293.8065,1484.8811,0.0,-2.861663,-1.7720612
525.0,7.566684,21.5,210.0,4504.8145,9378.207,10183.188,0.0,2.5574284,-1.2110096
527.0,7.5333905,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527.0,7.5333905,1.5,15.0,31.011568,50.57833,333.5177,0.0,2.497086,-2.682692
527.0,7.5333905,2.5,35.0,13.843177,63.831776,987.2431,0.0,-2.6682003,-2.824835
527.0,7.5333905,3.5,41.0,15.054913,37.373085,837.6691,0.0,-2.7984436,-2.754248
527.0,7.5333905,4.5,48.0,23.74215,62.05308,749.7317,0.0,-1.9527125,-2.8068707
527.0,7.5333905,5.5,76.0,42.117325,49.54625,1017.8912,0.0,-2.4395478,-2.7789655
527.0,7.5333905,6.5,72.0,56.359547,89.603065,617.4984,0.0,-2.6527705,-2.5891166
527.0,7.5333905,7.5,85.0,46.67599,37.10986,610.708,0.0,-1.9355611,-2.597873
527.0,7.5333905,8.5,111.0,34.743595,82.49321,904.17444,0.0,1.079022,-2.6905298
527.0,7.5333905,9.5,104.0,141.56357,219.57431,858.4695,0.0,-0.12332686,-2.0783148
527.0,7.5333905,10.5,134.0,64.68836,222.73154,1187.6792,0.0,2.932587,-2.2394094
527.0,7.5333905,11.5,142.0,14.661527,234.99281,1517.4498,0.0,3.0614042,-2.2043126
527.0,7.5333905,12.5,137.0,39.86151,147.12039,1443.6593,0.0,2.9241166,-2.1956673
527.0,7.5333905,13.5,177.0,291.01984,389.32144,1096.4496,0.0,1.6962065,-2.3773718
527.0,7.5333905,14.5,170.0,217.32605,83.27357,920.78357,0.0,2.0148358,-2.457601
527.0,7.5333905,15.5,188.0,25.195297,51.77354,967.54663,0.0,-0.32048753,-2.6865118
527.0,7.5333905,16.5,197.0,15.14342,161.37971,1544.811,0.0,-1.9160867,-2.315173
527.0,7.5333905,17.5,197.0,230.04555,33.013466,1746.9758,0.0,-2.1443324,-2.382647
527.0,7.5333905,18.5,229.0,6.519055,1017.0557,1905.7787,0.0,-2.8013682,-2.6921773
527.0,7.5333905,19.5,234.0,236.62985,1685.0137,2049.2866,0.0,3.0277288,-2.4691057
527.0,7.5333905,20.5,217.0,5.395136,1693.0278,1387.0931,0.0,-2.4863358,-2.0213518
527.0,7.5333905,21.5,231.0,1737.1793,3698.4915,2629.0366,0.0,3.0612645,-0.8243893
530.0,7.48298,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
530.0,7.48298,1.5,14.0,14.935577,49.562763,294.06082,0.0,-0.26187918,-2.5499945
530.0,7.48298,2.5,35.0,3.7319715,82.4806,766.5406,0.0,-2.0121613,-2.8185601
530.0,7.48298,3.5,41.0,19.020895,45.388348,717.66327,0.0,2.6893063,-2.769476
530.0,7.48298,4.5,48.0,34.25774,16.036652,693.6708,0.0,-1.870186,-2.6571991
530.0,7.48298,5.5,76.0,6.6869473,113.284645,932.7314,0.0,1.1069878,-2.758074
530.0,7.48298,6.5,72.0,16.482227,48.77738,626.19653,0.0,1.3419725,-2.587923
530.0,7.48298,7.5,87.0,0.011514267,128.73671,571.76843,0.0,-0.82952684,-2.6158154
530.0,7.48298,8.5,109.0,43.560894,137.62961,704.7191,0.0,-0.61833537,-2.4444864
530.0,7.48298,9.5,104.0,112.585144,118.23582,570.8295,0.0,-0.29568404,-2.086296
530.0,7.48298,10.5,133.0,38.79125,112.33276,741.66846,0.0,0.26826522,-2.2464907
530.0,7.48298,11.5,141.0,151.95424,255.95653,1155.1222,0.0,2.6713789,-2.3148139
530.0,7.48298,12.5,138.0,86.587555,294.0422,1282.7614,0.0,2.8206613,-2.1666596
530.0,7.48298,13.5,175.0,181.1967,356.15573,1414.6133,0.0,2.6072323,-2.2731745
530.0,7.48298,14.5,173.0,65.955215,110.76819,1029.3254,0.0,1.6964338,-2.2817426
530.0,7.48298,15.5,186.0,48.884834,164.62526,1265.9697,0.0,-2.9992366,-2.4537923
530.0,7.48298,16.5,204.0,90.941345,200.03127,1469.8057,0.0,-2.0693703,-2.394957
530.0,7.48298,17.5,192.0,132.73209,353.45987,1879.9866,0.0,-0.4955861,-2.3681147
530.0,7.48298,18.5,235.0,239.46559,141.049,2101.4993,0.0,-0.14725664,-2.5207481
530.0,7.48298,19.5,230.0,240.09439,589.90314,1693.524,0.0,-1.1726847,-2.2177577
530.0,7.48298,20.5,234.0,519.77563,240.17563,1498.6786,0.0,-2.6024365,-2.0786095
530.0,7.48298,21.5,225.0,200.79285,1831.6232,1216.2014,0.0,-2.102831,-2.3213825
532.0,7.445623,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
532.0,7.445623,1.5,15.0,2.724632,15.553753,302.82596,0.0,1.2637346,-2.965523
532.0,7.445623,2.5,34.0,18.78362,35.766445,788.1304,0.0,0.4121489,-2.8159378
532.0,7.445623,3.5,42.0,67.48895,106.24184,681.59454,0.0,-2.3825455,-2.7944446
532.0,7.445623,4.5,48.0,18.94025,77.08912,610.781,0.0,-1.7183996,-2.7037828
532.0,7.445623,5.5,76.0,30.560774,9.227138,790.47485,0.0,-0.47468033,-2.773888
532.0,7.445623,6.5,72.0,87.99299,36.024208,591.98553,0.0,-2.9283304,-2.6630044
532.0,7.445623,7.5,89.0,123.10876,82.72057,577.8899,0.0,0.010930576,-2.6982296
532.0,7.445623,8.5,107.0,114.644646,268.6242,624.3064,0.0,0.15119357,-2.6128936
532.0,7.445623,9.5,104.0,23.224083,112.77324,707.96954,0.0,0.20063913,-2.1943662
532.0,7.445623,10.5,132.0,28.066439,181.39777,862.2679,0.0,0.2659066,-2.3203912
532.0,7.445623,11.5,143.0,93.212875,162.38335,860.2565,0.0,-1.9234248,-2.309445
532.0,7.445623,12.5,138.0,77.749886,250.10063,1201.462,0.0,-2.9777617,-2.2574086
532.0,7.445623,13.5,178.0,41.502148,328.6696,1435.559,0.0,1.9968143,-2.1119206
532.0,7.445623,14.5,169.0,23.724932,465.7274,1287.1025,0.0,0.76847506,-1.9704341
532.0,7.445623,15.5,185.0,169.55511,197.16872,1081.191,0.0,2.7090018,-2.1211705
532.0,7.445623,16.5,202.0,121.34294,596.37537,1400.7472,0.0,3.0772243,-2.0094545
532.0,7.445623,17.5,198.0,94.97048,309.55203,1197.1906,0.0,-2.961209,-2.0052543
532.0,7.445623,18.5,236.0,218.19179,330.0284,1760.1802,0.0,2.761986,-2.0684245
532.0,7.445623,19.5,228.0,244.43175,156.4804,1589.1082,0.0,-2.9022481,-2.1852243
532.0,7.445623,20.5,226.0,418.43622,526.7856,1945.281,0.0,-1.90369,-2.0067117
532.0,7.445623,21.5,228.0,195.4466,880.58527,1451.1733,0.0,-1.7977085,-2.6101804
535.0,7.388983,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
535.0,7.388983,1.5,14.0,37.78172,39.935436,359.349,0.0,2.3642583,-2.7641592
535.0,7.388983,2.5,35.0,0.2135804,65.30399,888.5316,0.0,2.1520019,-2.8510385
535.0,7.388983,3.5,41.0,13.546992,18.4694,645.5058,0.0,-1.7794943,-2.7720942
535.0,7.388983,4.5,48.0,6.4706383,12.924783,565.19305,0.0,-1.1141273,-2.7188146
535.0,7.388983,5.5,76.0,32.463566,38.82884,769.07404,0.0,-0.32715046,-2.8226678
535.0,7.388983,6.5,72.0,2.689909,10.63887,551.11633,0.0,2.6116743,-2.9209678
535.0,7.388983,7.5,89.0,35.251347,74.046455,684.66644,0.0,2.5909605,-2.8122911
535.0,7.388983,8.5,107.0,102.90833,148.65361,724.2154,0.0,1.7735387,-2.7832882
535.0,7.388983,9.5,104.0,94.20206,67.05399,469.7632,0.0,1.775114,-2.6878607
535.0,7.388983,10.5,135.0,43.46681,336.82877,641.78845,0.0,1.3034663,-2.3297791
535.0,7.388983,11.5,140.0,78.80534,255.173,711.0939,0.0,1.2790042,-2.0382314
535.0,7.388983,12.5,139.0,22.541628,333.87497,1141.7831,0.0,2.1419702,-2.0484715
535.0,7.388983,13.5,174.0,77.61524,208.97,1201.583,0.0,2.477443,-1.9536045
535.0,7.388983,14.5,172.0,83.04852,282.06488,1427.7246,0.0,1.1307468,-1.9841052
535.0,7.388983,15.5,186.0,124.16006,333.4218,1211.2649,0.0,0.49676716,-2.0155368
535.0,7.388983,16.5,204.0,96.05559,292.70508,1246.3047,0.0,0.10794847,-1.8538638
535.0,7.388983,17.5,191.0,97.94724,98.29455,1198.8875,0.0,-2.1078448,-2.0190196
535.0,7.388983,18.5,240.0,373.17856,419.3512,1368.0239,0.0,-1.9234638,-2.0938177
535.0,7.388983,19.5,231.0,108.7492,249.42337,1597.1017,0.0,-1.3319792,-2.3400455
535.0,7.388983,20.5,230.0,690.7362,772.6872,2463.4514,0.0,0.02320643,-2.4295106
535.0,7.388983,21.5,237.0,380.061,273.19348,2032.1097,0.0,0.032766078,-2.4524703
537.0,7.3680286,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
537.0,7.3680286,1.5,15.0,23.756765,67.03117,346.6666,0.0,1.8523624,-2.780139
537.0,7.3680286,2.5,34.0,41.25199,39.614857,855.6398,0.0,0.9021937,-2.7531848
