snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.641375389072152,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,1.5,12.0,12.0,5.299043684383429e-14,2.7327039149199644e-14,0.0,0.558369517326355,-0.21190090477466583
520.0,7.641375389072152,2.5,28.0,28.0,6.215161929235705e-14,1.6018392767347498e-14,0.0,-2.9522290229797363,-1.967738151550293
520.0,7.641375389072152,3.5,36.0,36.0,1.0047628283232847e-13,2.7304367837288174e-14,0.0,-0.6145630478858948,-1.0456510782241821
520.0,7.641375389072152,4.5,40.0,40.0,8.118036742580997e-14,1.2767425638298627e-14,0.0,-0.12652520835399628,-1.1132137775421143
520.0,7.641375389072152,5.5,52.0,52.0,8.278395025097712e-14,3.008953617258736e-14,0.0,-0.24507518112659454,-2.3802218437194824
520.0,7.641375389072152,6.5,68.0,68.0,7.397486344783461e-14,6.996132150399944e-14,0.0,0.32487010955810547,0.6430737376213074
520.0,7.641375389072152,7.5,68.0,68.0,4.975652331872005e-14,5.735569256531979e-14,0.0,-0.1300344169139862,-1.567674160003662
520.0,7.641375389072152,8.5,84.0,84.0,1.22572579398267e-13,3.418658511778396e-14,0.0,-0.010907519608736038,-2.957188367843628
520.0,7.641375389072152,9.5,92.0,92.0,1.3706418452795457e-13,8.991316132172841e-15,0.0,-0.3114771544933319,0.30414509773254395
520.0,7.641375389072152,10.5,100.0,100.0,1.6983689529003005e-13,3.131281389316257e-14,0.0,-0.5214722156524658,-2.8320305347442627
520.0,7.641375389072152,11.5,108.0,108.0,1.3027372287934202e-13,1.8783478118570885e-14,0.0,-0.6115300059318542,1.6584540605545044
520.0,7.641375389072152,12.5,120.0,120.0,1.5219317687862736e-13,1.9309588752882954e-14,0.0,-0.5503489971160889,3.0460000038146973
520.0,7.641375389072152,13.5,124.0,124.0,1.5399646896122404e-13,3.659486462819328e-14,0.0,-0.6797584295272827,2.6153066158294678
520.0,7.641375389072152,14.5,156.0,156.0,2.1228549223858844e-13,2.659417969850604e-14,0.0,-0.6941854357719421,3.123288154602051
520.0,7.641375389072152,15.5,132.0,132.0,1.528602199864775e-13,2.5127711840367282e-14,0.0,-0.6104503273963928,-2.1456592082977295
520.0,7.641375389072152,16.5,172.0,172.0,2.0193250627824058e-13,5.840251081725417e-14,0.0,-0.7257627248764038,-2.2272696495056152
520.0,7.641375389072152,17.5,164.0,164.0,1.6372723420814114e-13,1.3078475676181338e-14,0.0,-0.5577784180641174,-1.5922549962997437
520.0,7.641375389072152,18.5,188.0,188.0,1.3476422239162724e-13,5.3464333046617656e-14,0.0,-0.44011443853378296,-1.9653316736221313
520.0,7.641375389072152,19.5,180.0,180.0,1.6884810789582456e-13,4.449045602048587e-14,0.0,-0.5526652932167053,-0.343254029750824
520.0,7.641375389072152,20.5,200.0,200.0,1.4169278527600448e-13,1.6015674415394955e-14,0.0,-0.5510695576667786,-0.5876596570014954
520.0,7.641375389072152,21.5,204.0,204.0,1.4968553604363859e-13,4.845030322419285e-14,0.0,-0.6410529017448425,0.966768741607666
520.0,7.641375389072152,22.5,196.0,196.0,1.2986162131837047e-13,2.8765192768619575e-14,0.0,-0.48304519057273865,-0.17434148490428925
520.0,7.641375389072152,23.5,228.0,228.0,1.3425088569810994e-13,4.824042933007212e-14,0.0,-0.518948495388031,0.06361013650894165
520.0,7.641375389072152,24.5,252.0,252.0,1.2554928756360756e-13,4.364119700949158e-14,0.0,-0.6151531934738159,0.02642793580889702
520.0,7.641375389072152,25.5,252.0,252.0,1.0858737279700545e-13,3.5514274499684085e-14,0.0,-0.4521266520023346,0.5529499650001526
520.0,7.641375389072152,26.5,244.0,244.0,8.204809378583724e-14,4.258458791042054e-14,0.0,-0.44912463426589966,0.15184123814105988
520.0,7.641375389072152,27.5,260.0,260.0,9.02407902508125e-14,3.626060246686467e-14,0.0,-0.6268320083618164,0.4100874066352844
520.0,7.641375389072152,28.5,280.0,280.0,6.22848403957957e-14,4.577578418044277e-14,0.0,-0.7418139576911926,0.8261234760284424
520.0,7.641375389072152,29.5,300.0,300.0,5.5712800856302805e-14,5.728712733042443e-14,0.0,-0.7973395586013794,0.5848228335380554
520.0,7.641375389072152,30.5,284.0,284.0,5.259764659243031e-14,4.1710407469351055e-14,0.0,-0.6312121152877808,0.7397485375404358
520.0,7.641375389072152,31.5,292.0,292.0,4.202281569894325e-14,4.667824513395005e-14,0.0,-0.6486627459526062,0.4277397096157074
520.0,7.641375389072152,32.5,316.0,316.0,1.6663500726302742e-14,4.861255439475969e-14,0.0,1.4108855724334717,0.48455896973609924
520.0,7.641375389072152,33.5,324.0,324.0,1.504338488660217e-14,4.288604780010119e-14,0.0,0.3767383396625519,0.6823213696479797
520.0,7.641375389072152,34.5,324.0,324.0,1.8422598905264114e-14,4.174134911610801e-14,0.0,1.9704630374908447,0.5749872326850891
520.0,7.641375389072152,35.5,348.0,348.0,3.062750175799994e-14,4.3378828229792755e-14,0.0,2.2603015899658203,0.37186872959136963
520.0,7.641375389072152,36.5,352.0,352.0,3.4199057699239296e-14,4.7878117139582675e-14,0.0,2.287735939025879,0.4944027066230774
520.0,7.641375389072152,37.5,372.0,372.0,4.832960075585088e-14,5.891582692101931e-14,0.0,2.7215769290924072,0.8722552061080933
520.0,7.641375389072152,38.5,372.0,372.0,4.4875340427594436e-14,5.5536044372277025e-14,0.0,2.314260482788086,0.3761156499385834
520.0,7.641375389072152,39.5,340.0,340.0,5.2079700153681825e-14,4.745887226857219e-14,0.0,2.3992598056793213,0.44012224674224854
523.0,7.596713167865263,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
