snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.641375389072152,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,1.5,12.0,12.0,3.945075357585049e-15,4.555230075158804e-15,0.0,-0.7078933715820312,2.4563398361206055
520.0,7.641375389072152,2.5,28.0,28.0,7.976302854139416e-15,2.108193345433474e-14,0.0,0.87625652551651,-2.2559473514556885
520.0,7.641375389072152,3.5,36.0,36.0,3.0485943683753706e-14,3.472879264928701e-14,0.0,1.5451740026474,-1.880049705505371
520.0,7.641375389072152,4.5,40.0,40.0,1.4701395986030183e-14,2.1539255876821184e-14,0.0,-2.5101168155670166,-1.4197782278060913
520.0,7.641375389072152,5.5,52.0,52.0,1.9557303781273127e-14,1.8074540953748418e-14,0.0,-1.053210735321045,-0.26315733790397644
520.0,7.641375389072152,6.5,68.0,68.0,3.401808986780797e-14,3.527419548528387e-14,0.0,-1.1076467037200928,0.49755430221557617
520.0,7.641375389072152,7.5,68.0,68.0,7.929109263314899e-14,2.981247674507542e-14,0.0,-1.7295440435409546,2.651622772216797
520.0,7.641375389072152,8.5,84.0,84.0,1.5515606199814708e-13,7.66663757123034e-14,0.0,-1.926561951637268,2.881920576095581
520.0,7.641375389072152,9.5,92.0,92.0,2.1611656872776377e-13,9.868180327557262e-14,0.0,-1.918434739112854,2.6564996242523193
520.0,7.641375389072152,10.5,100.0,100.0,2.34302189056596e-13,1.1062333998735001e-13,0.0,-1.8183413743972778,2.609316349029541
520.0,7.641375389072152,11.5,108.0,108.0,2.533534512741603e-13,1.2050083306872307e-13,0.0,-1.7717756032943726,2.3436472415924072
520.0,7.641375389072152,12.5,120.0,120.0,2.682584168752158e-13,1.4646049236295182e-13,0.0,-1.814481496810913,2.4449620246887207
520.0,7.641375389072152,13.5,124.0,124.0,2.459316942445543e-13,1.952633921852238e-13,0.0,-1.942184567451477,2.4720876216888428
520.0,7.641375389072152,14.5,156.0,156.0,2.461195318658696e-13,2.0630364231107873e-13,0.0,-1.9733961820602417,2.5091512203216553
520.0,7.641375389072152,15.5,132.0,132.0,1.847568689433253e-13,1.552795026744242e-13,0.0,-2.0001513957977295,2.7082948684692383
520.0,7.641375389072152,16.5,172.0,172.0,1.7420967746462716e-13,1.369326330498236e-13,0.0,-2.007622718811035,2.5993740558624268
520.0,7.641375389072152,17.5,164.0,164.0,1.124408583236059e-13,8.62843862613166e-14,0.0,-2.065941572189331,2.801240921020508
520.0,7.641375389072152,18.5,188.0,188.0,8.905821607276031e-14,8.074108293929438e-14,0.0,-2.22210693359375,2.970417022705078
520.0,7.641375389072152,19.5,180.0,180.0,6.333545841370575e-14,7.660010820090282e-14,0.0,-2.629293441772461,-3.1282331943511963
520.0,7.641375389072152,20.5,200.0,200.0,5.1262074362686544e-14,7.194561204914682e-14,0.0,-2.6449453830718994,-3.0988824367523193
520.0,7.641375389072152,21.5,204.0,204.0,4.877857159236692e-14,6.584148108571742e-14,0.0,-3.0032057762145996,-2.8783693313598633
520.0,7.641375389072152,22.5,196.0,196.0,4.6760370197509097e-14,5.855172694386408e-14,0.0,3.0059285163879395,-2.6588728427886963
520.0,7.641375389072152,23.5,228.0,228.0,4.577254311983364e-14,5.209297848643565e-14,0.0,3.012990951538086,-2.626791477203369
520.0,7.641375389072152,24.5,252.0,252.0,3.7805861968774915e-14,3.9474509643299525e-14,0.0,3.0370430946350098,-2.3515396118164062
520.0,7.641375389072152,25.5,252.0,252.0,3.3063527565864956e-14,3.218895995704327e-14,0.0,2.9477105140686035,-2.130492687225342
520.0,7.641375389072152,26.5,244.0,244.0,2.979149139390747e-14,2.7818595865963708e-14,0.0,2.896796703338623,-1.9796262979507446
520.0,7.641375389072152,27.5,260.0,260.0,2.8522195201641036e-14,2.6918313088881243e-14,0.0,2.807842493057251,-2.032087564468384
520.0,7.641375389072152,28.5,280.0,280.0,2.8496888768166544e-14,2.908799462814198e-14,0.0,2.950918197631836,-1.7670116424560547
520.0,7.641375389072152,29.5,300.0,300.0,2.7025179054130218e-14,2.7583938586316512e-14,0.0,3.0203211307525635,-1.7086085081100464
520.0,7.641375389072152,30.5,284.0,284.0,2.396615487266407e-14,2.223873431652988e-14,0.0,3.1258060932159424,-1.6201764345169067
520.0,7.641375389072152,31.5,292.0,292.0,2.2558339678388202e-14,1.7512804005177148e-14,0.0,-3.137728691101074,-1.6148853302001953
520.0,7.641375389072152,32.5,316.0,316.0,2.4487703271510757e-14,1.83586161246731e-14,0.0,-3.1348493099212646,-1.6654092073440552
520.0,7.641375389072152,33.5,324.0,324.0,2.360656076218954e-14,1.604658976656409e-14,0.0,3.0907230377197266,-1.6803592443466187
520.0,7.641375389072152,34.5,324.0,324.0,2.1666838968043038e-14,1.3505191673636818e-14,0.0,2.8806772232055664,-1.9683747291564941
520.0,7.641375389072152,35.5,348.0,348.0,2.2338062257206077e-14,1.454150427558755e-14,0.0,2.5258829593658447,-2.2358288764953613
520.0,7.641375389072152,36.5,352.0,352.0,2.3529029648188073e-14,1.3990869876515725e-14,0.0,2.506837844848633,-2.6244771480560303
520.0,7.641375389072152,37.5,372.0,372.0,2.2355434869623715e-14,1.3285229707024467e-14,0.0,2.619751214981079,-2.4797210693359375
520.0,7.641375389072152,38.5,372.0,372.0,2.0905539251087624e-14,1.1039411264703009e-14,0.0,2.647056818008423,-2.437262535095215
520.0,7.641375389072152,39.5,340.0,340.0,1.9222899534333354e-14,8.851164942530907e-15,0.0,2.704318046569824,-2.468510150909424
523.0,7.596713167865263,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,1.5,12.0,12.0,1.0690887518087029e-14,7.117509227867434e-15,0.0,1.6075141429901123,0.7976418137550354
