snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,phase0,phase1,phase2,phase3
520.0,7.641375389072152,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,1.5,12.0,2.228352770940687e-17,1.301756893985157e-16,6.932668873489399e-17,7.621082989969511e-17,0.0,1.8001041412353516,-0.6666896939277649,0.9295632243156433
520.0,7.641375389072152,2.5,28.0,2.7928730325871374e-16,2.8976097153063157e-16,1.408047088069159e-16,8.786254233023136e-17,0.0,1.841429591178894,0.3931931257247925,-0.7218589782714844
520.0,7.641375389072152,3.5,36.0,4.564685963741842e-16,2.771466921823245e-16,8.546078040829179e-17,8.954457770991099e-17,0.0,1.75770103931427,0.9115097522735596,-0.5160632133483887
520.0,7.641375389072152,4.5,40.0,4.634801762928777e-16,2.682943508505698e-16,6.167670405432188e-17,7.913818900029577e-17,0.0,1.7446801662445068,0.5843576192855835,-0.5435436367988586
520.0,7.641375389072152,5.5,52.0,5.730507172233587e-16,1.9892437740858215e-16,8.616930361633531e-17,2.799478963133435e-17,0.0,1.6123472452163696,0.5732382535934448,-0.5330507159233093
520.0,7.641375389072152,6.5,68.0,7.282830573348653e-16,1.2716158883016029e-16,1.1568135424932873e-16,2.731447824526256e-17,0.0,1.7947198152542114,0.42571017146110535,1.9635552167892456
520.0,7.641375389072152,7.5,68.0,6.570415513610295e-16,1.484484002973877e-16,6.139382151971854e-17,1.0325528165143464e-16,0.0,1.9719274044036865,-0.3882826566696167,2.0041918754577637
520.0,7.641375389072152,8.5,84.0,7.491452141279427e-16,2.4218204562239385e-16,2.030744682732138e-16,1.8838715519584065e-16,0.0,2.336594343185425,-1.316179633140564,1.7986623048782349
520.0,7.641375389072152,9.5,92.0,8.875787733130284e-16,1.0443595293567853e-16,1.709873117491142e-16,1.259870188301146e-16,0.0,2.6696603298187256,-1.9359703063964844,2.7055282592773438
520.0,7.641375389072152,10.5,100.0,1.057298076740103e-15,1.2983009995603596e-16,1.8633565463248053e-16,1.8087778460195765e-16,0.0,2.977612018585205,-2.401843309402466,-2.8739209175109863
520.0,7.641375389072152,11.5,108.0,1.1344103680713583e-15,8.975867190477442e-17,1.0722218178888784e-16,9.515912898334122e-17,0.0,2.707674026489258,-2.437483549118042,-2.9667468070983887
520.0,7.641375389072152,12.5,120.0,1.2613091384598533e-15,8.96398556815873e-17,4.940343818534593e-17,4.398054135112179e-17,0.0,2.3970208168029785,-2.4696130752563477,3.0808804035186768
520.0,7.641375389072152,13.5,124.0,1.3144044458464235e-15,1.0831675349753231e-16,1.5528314223600716e-17,1.5829477449741473e-17,0.0,2.326709032058716,-2.5155186653137207,2.7868869304656982
520.0,7.641375389072152,14.5,156.0,1.6623451459086376e-15,1.4634732183683362e-16,9.02946138041761e-18,8.388157350491986e-18,0.0,2.3028836250305176,2.3130083084106445,2.6782736778259277
520.0,7.641375389072152,15.5,132.0,1.4104032425608449e-15,1.301537194814463e-16,1.619537583062063e-17,7.465333152431902e-18,0.0,2.2710962295532227,1.6537703275680542,-2.671950578689575
520.0,7.641375389072152,16.5,172.0,1.8425300178550718e-15,1.8112699757690762e-16,3.2643859002515134e-17,1.0999416824631022e-17,0.0,2.2567942142486572,1.4641835689544678,0.8268679976463318
520.0,7.641375389072152,17.5,164.0,1.7595980807805873e-15,1.8279366724952847e-16,3.929722670258131e-17,1.729123463229823e-17,0.0,2.2591588497161865,1.4612826108932495,0.7622054815292358
520.0,7.641375389072152,18.5,188.0,2.017524060142495e-15,2.166564033544201e-16,4.910108051040065e-17,2.08972259423272e-17,0.0,2.26607608795166,1.4878817796707153,0.8142254948616028
520.0,7.641375389072152,19.5,180.0,1.931183874246496e-15,2.1155815174956586e-16,4.201067689677576e-17,1.6935677663437212e-17,0.0,2.2661242485046387,1.4319783449172974,-2.153491258621216
520.0,7.641375389072152,20.5,200.0,2.145860351321599e-15,2.4409176081131747e-16,5.867330389437044e-17,2.388517602279737e-17,0.0,2.2701144218444824,1.4603527784347534,0.7629857659339905
