snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.641375389072152,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,1.5,12.0,12.0,1.6290532156182914e-23,2.1970502626800184e-25,0.0,3.1355032920837402,3.1176297664642334
520.0,7.641375389072152,2.5,28.0,28.0,6.648825699053222e-23,2.6030756489382582e-24,0.0,3.1355106830596924,3.1320765018463135
520.0,7.641375389072152,3.5,36.0,36.0,1.2274851352013777e-22,5.884065404597612e-24,0.0,3.135505437850952,3.1286416053771973
520.0,7.641375389072152,4.5,40.0,40.0,1.741248068008983e-22,1.0859464127581328e-23,0.0,3.1355066299438477,3.1292755603790283
520.0,7.641375389072152,5.5,52.0,52.0,2.750439419704956e-22,1.7997585817942823e-23,0.0,3.1354873180389404,3.125433921813965
520.0,7.641375389072152,6.5,68.0,68.0,4.28803425534348e-22,4.4406945065418595e-23,0.0,3.1355342864990234,3.1325714588165283
520.0,7.641375389072152,7.5,68.0,68.0,4.954820687560988e-22,5.536114030242303e-23,0.0,3.135528326034546,3.131155014038086
520.0,7.641375389072152,8.5,84.0,84.0,6.929712500874279e-22,7.599155964896498e-23,0.0,3.135488510131836,3.127704381942749
520.0,7.641375389072152,9.5,92.0,92.0,8.535155588393262e-22,1.0059401845881714e-22,0.0,3.135465383529663,3.126574754714966
520.0,7.641375389072152,10.5,100.0,100.0,1.0329729585996315e-21,1.6393789442312402e-22,0.0,3.1355514526367188,3.131556272506714
520.0,7.641375389072152,11.5,108.0,108.0,1.2223759462259134e-21,1.9833188817565842e-22,0.0,3.1355226039886475,3.1300318241119385
520.0,7.641375389072152,12.5,120.0,120.0,1.4803570468191537e-21,2.47005109982381e-22,0.0,3.135488986968994,3.128689765930176
520.0,7.641375389072152,13.5,124.0,124.0,1.6593885000800597e-21,2.9433889219037263e-22,0.0,3.1354730129241943,3.1283085346221924
520.0,7.641375389072152,14.5,156.0,156.0,2.269650748199576e-21,4.6013755199913455e-22,0.0,3.135521173477173,3.1298234462738037
520.0,7.641375389072152,15.5,132.0,132.0,2.0712763504068016e-21,4.759894478560058e-22,0.0,3.1355912685394287,3.1312901973724365
520.0,7.641375389072152,16.5,172.0,172.0,2.877752440063646e-21,6.370521901621382e-22,0.0,3.135483980178833,3.128854990005493
520.0,7.641375389072152,17.5,164.0,164.0,2.935963563258475e-21,6.745229377249165e-22,0.0,3.135448694229126,3.1282331943511963
