snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.641375389072152,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,1.5,12.0,12.0,4.544055271514468e-20,6.120534964232635e-22,0.0,3.135040044784546,3.1158151626586914
520.0,7.641375389072152,2.5,28.0,28.0,1.8546068279897687e-19,7.251344230081927e-21,0.0,3.1350479125976562,3.1313555240631104
520.0,7.641375389072152,3.5,36.0,36.0,3.423905580024424e-19,1.6391187487978678e-20,0.0,3.135042428970337,3.1276605129241943
520.0,7.641375389072152,4.5,40.0,40.0,4.856956124154341e-19,3.025095410405482e-20,0.0,3.1350436210632324,3.128342628479004
520.0,7.641375389072152,5.5,52.0,52.0,7.671921943612911e-19,5.0135646658321155e-20,0.0,3.1350231170654297,3.1242101192474365
520.0,7.641375389072152,6.5,68.0,68.0,1.1960654068433468e-18,1.237012633679094e-19,0.0,3.13507342338562,3.1318881511688232
520.0,7.641375389072152,7.5,68.0,68.0,1.3820425729184405e-18,1.5421472122589446e-19,0.0,3.1350669860839844,3.130364418029785
520.0,7.641375389072152,8.5,84.0,84.0,1.9328881611169016e-18,2.1168278024315084e-19,0.0,3.1350245475769043,3.126652479171753
520.0,7.641375389072152,9.5,92.0,92.0,2.3806713423401974e-18,2.8021388402854963e-19,0.0,3.1349995136260986,3.1254374980926514
520.0,7.641375389072152,10.5,100.0,100.0,2.881161558027195e-18,4.566544554945128e-19,0.0,3.135091781616211,3.130796194076538
520.0,7.641375389072152,11.5,108.0,108.0,3.4094117706888654e-18,5.524552345923622e-19,0.0,3.135061025619507,3.1291563510894775
520.0,7.641375389072152,12.5,120.0,120.0,4.128923439449893e-18,6.880283049458042e-19,0.0,3.1350250244140625,3.1277127265930176
520.0,7.641375389072152,13.5,124.0,124.0,4.628206471540678e-18,8.198656557146655e-19,0.0,3.135007858276367,3.127302646636963
520.0,7.641375389072152,14.5,156.0,156.0,6.330144240672203e-18,1.2816639746991823e-18,0.0,3.1350595951080322,3.128932476043701
520.0,7.641375389072152,15.5,132.0,132.0,5.776718897681644e-18,1.3257927197941968e-18,0.0,3.135134696960449,3.1305103302001953
520.0,7.641375389072152,16.5,172.0,172.0,8.02590567689731e-18,1.774385223604887e-18,0.0,3.1350197792053223,3.1278908252716064
520.0,7.641375389072152,17.5,164.0,164.0,8.188115550053645e-18,1.878721370891785e-18,0.0,3.134981870651245,3.1272218227386475
520.0,7.641375389072152,18.5,188.0,188.0,1.0017508090370579e-17,2.4364190193102653e-18,0.0,3.134974956512451,3.1272759437561035
520.0,7.641375389072152,19.5,180.0,180.0,1.0323747395753323e-17,3.1039714881490727e-18,0.0,3.135266065597534,3.131608486175537
520.0,7.641375389072152,20.5,200.0,200.0,1.2008163446848801e-17,3.2434934418888012e-18,0.0,3.1349754333496094,3.1274125576019287
520.0,7.641375389072152,21.5,204.0,204.0,1.296595912701611e-17,3.6470243892330215e-18,0.0,3.134950637817383,3.1272032260894775
520.0,7.641375389072152,22.5,196.0,196.0,1.314165577070309e-17,3.885148927793083e-18,0.0,3.1349551677703857,3.127410411834717
520.0,7.641375389072152,23.5,228.0,228.0,1.6335734292258726e-17,5.678135787699227e-18,0.0,3.135268211364746,3.1308178901672363
520.0,7.641375389072152,24.5,252.0,252.0,1.883475692557312e-17,6.128718861651616e-18,0.0,3.134979248046875,3.1277780532836914
520.0,7.641375389072152,25.5,252.0,252.0,1.9902408500399212e-17,6.7780472575946044e-18,0.0,3.1349833011627197,3.1278939247131348
520.0,7.641375389072152,26.5,244.0,244.0,2.023648279756544e-17,7.060471907302983e-18,0.0,3.13493275642395,3.1274733543395996
520.0,7.641375389072152,27.5,260.0,260.0,2.303405070590483e-17,9.209683548118682e-18,0.0,3.1352925300598145,3.1304657459259033
520.0,7.641375389072152,28.5,280.0,280.0,2.5779160523897624e-17,1.0006893899911792e-17,0.0,3.135061025619507,3.1286041736602783
520.0,7.641375389072152,29.5,300.0,300.0,2.8831865418064893e-17,1.1113071467899027e-17,0.0,3.1348917484283447,3.127300977706909
520.0,7.641375389072152,30.5,284.0,284.0,2.8678979086318105e-17,1.1469970640978964e-17,0.0,3.134892225265503,3.127399444580078
520.0,7.641375389072152,31.5,292.0,292.0,3.167990755352243e-17,1.450104023502262e-17,0.0,3.1353838443756104,3.1306166648864746
520.0,7.641375389072152,32.5,316.0,316.0,3.525471600108781e-17,1.539641347632527e-17,0.0,3.1350204944610596,3.128326654434204
520.0,7.641375389072152,33.5,324.0,324.0,3.774166553621019e-17,1.6686357482751414e-17,0.0,3.1349258422851562,3.127758264541626
520.0,7.641375389072152,34.5,324.0,324.0,3.944975675114518e-17,1.780716426106751e-17,0.0,3.1348705291748047,3.1274704933166504
520.0,7.641375389072152,35.5,348.0,348.0,4.5311824040783955e-17,2.235599520535106e-17,0.0,3.1352264881134033,3.129470109939575
520.0,7.641375389072152,36.5,352.0,352.0,4.791259221794529e-17,2.4019709510543843e-17,0.0,3.135183095932007,3.1292076110839844
520.0,7.641375389072152,37.5,372.0,372.0,5.2336558853484494e-17,2.5853067126571218e-17,0.0,3.134908676147461,3.1277918815612793
520.0,7.641375389072152,38.5,372.0,372.0,5.495698043043858e-17,2.7940110693475483e-17,0.0,3.1349165439605713,3.1278679370880127
520.0,7.641375389072152,39.5,340.0,340.0,5.311538568114931e-17,2.8334363833006705e-17,0.0,3.1350815296173096,3.1286611557006836
523.0,7.596713167865263,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,1.5,12.0,12.0,9.310977055357806e-20,1.283944626362611e-21,0.0,3.1091148853302,3.0142970085144043
