snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.641375389072152,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,1.5,12.0,2.486316985899229e-17,5.313424178184838e-19,1.2509239702719431e-20,0.0,2.230154275894165,1.4405938386917114
520.0,7.641375389072152,2.5,28.0,5.801382918792887e-17,2.1635564541332787e-18,6.130790864675806e-20,0.0,2.230034828186035,1.252403736114502
520.0,7.641375389072152,3.5,36.0,7.458849049046221e-17,3.984983097027802e-18,1.8363081511946878e-19,0.0,2.230118989944458,1.3331811428070068
520.0,7.641375389072152,4.5,40.0,8.28744910353039e-17,5.633949576871661e-18,3.2183669863735016e-19,0.0,2.230099678039551,1.321434497833252
520.0,7.641375389072152,5.5,52.0,1.0773373013202534e-16,8.874896662562417e-18,6.867095446926035e-19,0.0,2.230412006378174,1.3789316415786743
520.0,7.641375389072152,6.5,68.0,1.4087129353750397e-16,1.3717821455294839e-17,9.764032671488142e-19,0.0,2.22965145111084,1.2361406087875366
520.0,7.641375389072152,7.5,68.0,1.4085801894303372e-16,1.5764441290664976e-17,1.378889580530194e-18,0.0,2.2297534942626953,1.2792134284973145
520.0,7.641375389072152,8.5,84.0,1.739821423179196e-16,2.196302412687033e-17,2.450117330777344e-18,0.0,2.230391502380371,1.3488833904266357
520.0,7.641375389072152,9.5,92.0,1.9051908418452052e-16,2.6882141141523785e-17,3.4553706438278488e-18,0.0,2.230754852294922,1.3647488355636597
520.0,7.641375389072152,10.5,100.0,2.0701458761115499e-16,3.2056064180934193e-17,3.815548733888395e-18,0.0,2.2293832302093506,1.267836570739746
520.0,7.641375389072152,11.5,108.0,2.235072984760415e-16,3.766334138933694e-17,5.195812845335352e-18,0.0,2.2298479080200195,1.306012511253357
520.0,7.641375389072152,12.5,120.0,2.4824547803575456e-16,4.525533885164081e-17,7.074897958130098e-18,0.0,2.230377674102783,1.3324252367019653
520.0,7.641375389072152,13.5,124.0,2.56388746911539e-16,5.021908015776245e-17,8.53356413971853e-18,0.0,2.2306177616119385,1.338786244392395
520.0,7.641375389072152,14.5,156.0,3.222936012105379e-16,6.756205226328945e-17,1.1700790866426217e-17,0.0,2.229872226715088,1.310341238975525
520.0,7.641375389072152,15.5,132.0,2.7244108005319205e-16,6.05353110184437e-17,1.0514914392858902e-17,0.0,2.228795289993286,1.275381326675415
520.0,7.641375389072152,16.5,172.0,3.547280015383424e-16,8.357691124016968e-17,1.683430172758655e-17,0.0,2.2304563522338867,1.3296465873718262
520.0,7.641375389072152,17.5,164.0,3.37840467440917e-16,8.413188800562945e-17,1.824643270234157e-17,0.0,2.2309679985046387,1.3401200771331787
520.0,7.641375389072152,18.5,188.0,3.8672771514552777e-16,1.0124746902476399e-16,2.304984173991293e-17,0.0,2.2310423851013184,1.3390758037567139
520.0,7.641375389072152,19.5,180.0,3.6934074924657755e-16,1.0045272132150365e-16,2.0541636259397707e-17,0.0,2.226989507675171,1.2450608015060425
520.0,7.641375389072152,20.5,200.0,4.0996373471284455e-16,1.1708372648887282e-16,2.9033560505854024e-17,0.0,2.2310566902160645,1.3375083208084106
520.0,7.641375389072152,21.5,204.0,4.172760642673725e-16,1.2413030692624268e-16,3.222288520694953e-17,0.0,2.2313475608825684,1.3402998447418213
520.0,7.641375389072152,22.5,196.0,3.999575756882519e-16,1.23281181358811e-16,3.297193652904525e-17,0.0,2.231250762939453,1.336778163909912
