snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.641375389072152,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,1.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,2.5,28.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,3.5,36.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,4.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,5.5,52.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,6.5,68.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,7.5,68.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,8.5,84.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,9.5,92.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,10.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,11.5,108.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,12.5,120.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,13.5,124.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,14.5,156.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,15.5,132.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,16.5,172.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,17.5,164.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,18.5,188.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,19.5,180.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,20.5,200.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,21.5,204.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,22.5,196.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,23.5,228.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,24.5,252.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,25.5,252.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,26.5,244.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,27.5,260.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,28.5,280.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,29.5,300.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,30.5,284.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,31.5,292.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,32.5,316.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,33.5,324.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,34.5,324.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,35.5,348.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,36.5,352.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,37.5,372.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,38.5,372.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,39.5,340.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,1.5,12.0,2.8870374465496196e-21,1.1602708899864355e-22,2.09881036211976e-24,0.0,1.1730015277862549,-1.1088664531707764
523.0,7.596713167865263,2.5,28.0,6.741946891723389e-21,4.732627130094997e-22,1.4174245228720008e-23,0.0,1.1732206344604492,-0.6732710599899292
523.0,7.596713167865263,3.5,36.0,8.679168343405634e-21,8.735109175619638e-22,3.695134555570535e-23,0.0,1.1730660200119019,-0.8263791799545288
523.0,7.596713167865263,4.5,40.0,9.658303003836934e-21,1.238369263796686e-21,6.637528038282571e-23,0.0,1.1731016635894775,-0.801318883895874
523.0,7.596713167865263,5.5,52.0,1.257962139183223e-20,1.9563289790416612e-21,1.2875870294368408e-22,0.0,1.172522783279419,-0.9347589612007141
523.0,7.596713167865263,6.5,68.0,1.64900167634808e-20,3.0412519285280225e-21,2.363808702254099e-22,0.0,1.1739310026168823,-0.6473979949951172
523.0,7.596713167865263,7.5,68.0,1.6534902620821738e-20,3.511526926270501e-21,3.1199943620760744e-22,0.0,1.173750400543213,-0.7187899351119995
523.0,7.596713167865263,8.5,84.0,2.048806985404655e-20,4.9138714332626175e-21,4.940987928622063e-22,0.0,1.1725600957870483,-0.8611149787902832
523.0,7.596713167865263,9.5,92.0,2.2520717575379296e-20,6.050275304722732e-21,6.842771504886093e-22,0.0,1.171862244606018,-0.8994000554084778
523.0,7.596713167865263,10.5,100.0,2.457467650659522e-20,7.284772022696707e-21,9.051407651105497e-22,0.0,1.1744513511657715,-0.699429988861084
523.0,7.596713167865263,11.5,108.0,2.6651253657685643e-20,8.617693850805123e-21,1.165035353746889e-21,0.0,1.1735856533050537,-0.7696621417999268
523.0,7.596713167865263,12.5,120.0,2.974957011751525e-20,1.0433696285432436e-20,1.5322415579308866e-21,0.0,1.1725720167160034,-0.8245044946670532
523.0,7.596713167865263,13.5,124.0,3.089600367242253e-20,1.1681853732330402e-20,1.8517593123727692e-21,0.0,1.172089695930481,-0.8389589786529541
523.0,7.596713167865263,14.5,156.0,3.9093101817707344e-20,1.5909400803454004e-20,2.711049347026267e-21,0.0,1.1735378503799438,-0.7786905765533447
523.0,7.596713167865263,15.5,132.0,3.3271097705003695e-20,1.444118513958193e-20,2.6314509401579327e-21,0.0,1.175672173500061,-0.7121515870094299
523.0,7.596713167865263,16.5,172.0,4.362299811481488e-20,2.0112893348365233e-20,3.891119995416647e-21,0.0,1.172416090965271,-0.8181220889091492
523.0,7.596713167865263,17.5,164.0,4.188415783847758e-20,2.0498466498473096e-20,4.217620165542388e-21,0.0,1.1713532209396362,-0.8417086601257324
523.0,7.596713167865263,18.5,188.0,4.836510178195921e-20,2.5016657265788075e-20,5.4437209939902966e-21,0.0,1.1711502075195312,-0.8399677276611328
523.0,7.596713167865263,19.5,180.0,4.6654207931863984e-20,2.5383743169537034e-20,5.841843710230442e-21,0.0,1.1794410943984985,-0.6612294316291809
523.0,7.596713167865263,20.5,200.0,5.224421373214065e-20,2.980975298877049e-20,7.165551003815714e-21,0.0,1.1711629629135132,-0.8350917100906372
523.0,7.596713167865263,21.5,204.0,5.374038635861874e-20,3.211881443602055e-20,8.097558070322712e-21,0.0,1.170462727546692,-0.8422690033912659
523.0,7.596713167865263,22.5,196.0,5.206629881460786e-20,3.2443389918632164e-20,8.530790896636968e-21,0.0,1.170569658279419,-0.8352884650230408
523.0,7.596713167865263,23.5,228.0,6.109838408947667e-20,3.9616174044055703e-20,1.086525060534444e-20,0.0,1.1795380115509033,-0.6984634399414062
523.0,7.596713167865263,24.5,252.0,6.820665082352601e-20,4.6099170020686895e-20,1.3165740907667229e-20,0.0,1.1712249517440796,-0.8225336670875549
523.0,7.596713167865263,25.5,252.0,6.893178449035384e-20,4.8496283530325424e-20,1.4431897051004132e-20,0.0,1.171381950378418,-0.817703902721405
523.0,7.596713167865263,26.5,244.0,6.744923126341446e-20,4.9219888418317004e-20,1.5220757481637773e-20,0.0,1.1699695587158203,-0.8323295712471008
