snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.641375389072152,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,1.5,12.0,5.166524546449035e-20,1.6091463425814427e-21,1.3489006712929306e-22,0.0,-3.073573112487793,-1.3308051824569702
520.0,7.641375389072152,2.5,28.0,1.2125582438278013e-19,6.5829755834779134e-21,7.362896769535375e-22,0.0,-3.0629653930664062,-1.0198662281036377
520.0,7.641375389072152,3.5,36.0,1.5735932421448463e-19,1.2372809801886873e-20,2.171290021364213e-21,0.0,-3.0445613861083984,-1.1492666006088257
520.0,7.641375389072152,4.5,40.0,1.7685770316176703e-19,1.7825452207364723e-20,3.9576021405528886e-21,0.0,-3.0237574577331543,-1.131556510925293
520.0,7.641375389072152,5.5,52.0,2.335799076075775e-19,2.927678119475548e-20,8.612557126710949e-21,0.0,-2.9937903881073,-1.2294628620147705
520.0,7.641375389072152,6.5,68.0,3.1032153723839637e-19,4.501159896952e-20,1.3693307357262578e-20,0.0,-2.972275972366333,-1.0218303203582764
520.0,7.641375389072152,7.5,68.0,3.1714430387649274e-19,5.3888305724895393e-20,1.9791466479512954e-20,0.0,-2.937486410140991,-1.0750515460968018
520.0,7.641375389072152,8.5,84.0,4.036770894723428e-19,8.097868973829414e-20,3.616917232574781e-20,0.0,-2.8932507038116455,-1.1844285726547241
520.0,7.641375389072152,9.5,92.0,4.574863515416536e-19,1.0586632104119383e-19,5.381690799338961e-20,0.0,-2.8502864837646484,-1.2088048458099365
520.0,7.641375389072152,10.5,100.0,5.051236830185825e-19,1.2356183625768443e-19,6.324870373360931e-20,0.0,-2.84368896484375,-1.1129835844039917
520.0,7.641375389072152,11.5,108.0,5.634046059311726e-19,1.5295979055299675e-19,8.629628761686303e-20,0.0,-2.8104138374328613,-1.131718397140503
520.0,7.641375389072152,12.5,120.0,6.455387293728012e-19,1.9211002546565354e-19,1.157873458378187e-19,0.0,-2.7905349731445312,-1.1605719327926636
520.0,7.641375389072152,13.5,124.0,6.783931542312769e-19,2.1369205388275264e-19,1.3158616049743346e-19,0.0,-2.796388626098633,-1.1699491739273071
520.0,7.641375389072152,14.5,156.0,8.460376421822459e-19,2.6903157584143824e-19,1.6118210776429265e-19,0.0,-2.841197967529297,-1.137751817703247
520.0,7.641375389072152,15.5,132.0,6.9690524954506055e-19,2.1674368401676382e-19,1.220051369187722e-19,0.0,-2.9126880168914795,-1.053241491317749
520.0,7.641375389072152,16.5,172.0,9.004497896711372e-19,2.9050884599593826e-19,1.5430010606179497e-19,0.0,-2.9721148014068604,-1.1083444356918335
520.0,7.641375389072152,17.5,164.0,8.278744102918065e-19,2.6633628469202704e-19,1.2112416483420218e-19,0.0,-3.0828778743743896,-1.0672025680541992
520.0,7.641375389072152,18.5,188.0,9.094897363929995e-19,2.937552468626492e-19,1.0564810478064067e-19,0.0,3.070904016494751,-0.9837890267372131
520.0,7.641375389072152,19.5,180.0,8.229930624007663e-19,2.6560489402222655e-19,7.004805764070242e-20,0.0,2.9066545963287354,-0.7014420628547668
520.0,7.641375389072152,20.5,200.0,9.000466425200942e-19,3.0831425593621587e-19,6.021642053858493e-20,0.0,2.8447890281677246,-0.6300548315048218
520.0,7.641375389072152,21.5,204.0,8.891575335388695e-19,3.1964522325080593e-19,4.485570328013409e-20,0.0,2.7484359741210938,-0.22231224179267883
520.0,7.641375389072152,22.5,196.0,8.322252769162589e-19,3.142820610622509e-19,3.9856195244274896e-20,0.0,2.6743366718292236,0.26675426959991455
520.0,7.641375389072152,23.5,228.0,9.425359120572227e-19,3.718014633316503e-19,5.3519766240582965e-20,0.0,2.606926918029785,0.5258784890174866
520.0,7.641375389072152,24.5,252.0,1.0279855304903287e-18,4.298131506931135e-19,6.815355571228001e-20,0.0,2.573131561279297,0.8754022121429443
520.0,7.641375389072152,25.5,252.0,1.0108482093546082e-18,4.441851667083754e-19,8.097394346816728e-20,0.0,2.5366098880767822,1.0219883918762207
520.0,7.641375389072152,26.5,244.0,9.661619481105388e-19,4.439794113594396e-19,9.042529360089539e-20,0.0,2.5115442276000977,1.1200411319732666
520.0,7.641375389072152,27.5,260.0,1.0151333151203626e-18,4.829928444295044e-19,9.862431548140323e-20,0.0,2.4896976947784424,1.090517520904541
520.0,7.641375389072152,28.5,280.0,1.0845526902700738e-18,5.374368927546964e-19,1.2217839174043383e-19,0.0,2.478424549102783,1.1891591548919678
520.0,7.641375389072152,29.5,300.0,1.1521067731384779e-18,5.934059220851012e-19,1.4706292840336763e-19,0.0,2.4682657718658447,1.2497717142105103
520.0,7.641375389072152,30.5,284.0,1.0809594176891434e-18,5.754095111357964e-19,1.4821063767278618e-19,0.0,2.4602622985839844,1.2680575847625732
520.0,7.641375389072152,31.5,292.0,1.0999019571141843e-18,5.996927723861976e-19,1.4416442420529257e-19,0.0,2.4547834396362305,1.2122679948806763
520.0,7.641375389072152,32.5,316.0,1.1839561218539134e-18,6.6653130050385635e-19,1.775674334833986e-19,0.0,2.452604055404663,1.2865115404129028
520.0,7.641375389072152,33.5,324.0,1.2051039247920207e-18,6.976693267140694e-19,1.9309719850008394e-19,0.0,2.4509522914886475,1.3095335960388184
520.0,7.641375389072152,34.5,324.0,1.1961786459825735e-18,7.102550158020815e-19,2.0120298429925597e-19,0.0,2.4505600929260254,1.323257565498352
520.0,7.641375389072152,35.5,348.0,1.2735590141426481e-18,7.722127368669086e-19,2.0770523279617117e-19,0.0,2.4527010917663574,1.300727367401123
520.0,7.641375389072152,36.5,352.0,1.2794731487272491e-18,7.94352641189396e-19,2.189180095463216e-19,0.0,2.455277442932129,1.3257732391357422
520.0,7.641375389072152,37.5,372.0,1.3426516529504009e-18,8.536442722082013e-19,2.4760894476235697e-19,0.0,2.4574332237243652,1.3575166463851929
520.0,7.641375389072152,38.5,372.0,1.3320125593093204e-18,8.646267921570269e-19,2.506007140138375e-19,0.0,2.46167254447937,1.3680757284164429
520.0,7.641375389072152,39.5,340.0,1.208070401263789e-18,7.979247540444416e-19,2.2382287059255354e-19,0.0,2.46759033203125,1.3679471015930176
523.0,7.596713167865263,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,1.5,12.0,5.008498372489165e-18,2.0869467351462444e-18,8.611649304253694e-19,0.0,1.0030357837677002,-1.2917338609695435
523.0,7.596713167865263,2.5,28.0,1.2577049603297271e-17,7.471966469340186e-18,3.7577728705678606e-18,0.0,1.0536184310913086,-0.9829021096229553
523.0,7.596713167865263,3.5,36.0,1.4297438039258534e-17,9.764197877894037e-18,5.993333688866569e-18,0.0,1.0319243669509888,-1.0885378122329712
523.0,7.596713167865263,4.5,40.0,1.0727787255080859e-17,7.255057485661597e-18,4.4048171863279135e-18,0.0,1.0384711027145386,-1.0681126117706299
523.0,7.596713167865263,5.5,52.0,8.553448716395394e-18,5.441813500324782e-18,3.1735842952875464e-18,0.0,1.0230672359466553,-1.1441116333007812
523.0,7.596713167865263,6.5,68.0,6.5876486139891425e-18,3.704712163413813e-18,1.7760534616751598e-18,0.0,1.0756388902664185,-0.9335004091262817
523.0,7.596713167865263,7.5,68.0,4.289956352866402e-18,2.189870163288964e-18,1.0258476145818386e-18,0.0,1.060481071472168,-1.0838249921798706
523.0,7.596713167865263,8.5,84.0,3.649891853088688e-18,1.6602492642062993e-18,7.726662233705664e-19,0.0,1.0642564296722412,-1.218543291091919
523.0,7.596713167865263,9.5,92.0,2.8367799283939624e-18,1.1087068919646015e-18,4.917878884183889e-19,0.0,1.1103100776672363,-1.2757937908172607
523.0,7.596713167865263,10.5,100.0,2.328495846748756e-18,7.640722518377105e-19,2.888078737396585e-19,0.0,1.2180328369140625,-1.329180359840393
523.0,7.596713167865263,11.5,108.0,2.0005185270763275e-18,5.457302679785268e-19,2.5529155884971095e-19,0.0,1.3318902254104614,-1.6199839115142822
523.0,7.596713167865263,12.5,120.0,1.8147893893931117e-18,4.0810231953938536e-19,2.498961389434674e-19,0.0,1.524121642112732,-1.8569360971450806
523.0,7.596713167865263,13.5,124.0,1.5690077664191586e-18,3.0633989070859505e-19,2.3533480825878777e-19,0.0,1.799769639968872,-2.0479066371917725
523.0,7.596713167865263,14.5,156.0,1.6607673253599723e-18,3.177613767029275e-19,2.5986502309440986e-19,0.0,2.082038402557373,-2.2196173667907715
523.0,7.596713167865263,15.5,132.0,1.2108920177307839e-18,2.4352749722019563e-19,2.0414790612436285e-19,0.0,2.310336112976074,-2.3272900581359863
523.0,7.596713167865263,16.5,172.0,1.3371923643051274e-18,2.713371317677861e-19,2.1839129318919535e-19,0.0,2.3635966777801514,-2.2863271236419678
523.0,7.596713167865263,17.5,164.0,1.084863399987664e-18,2.3023451655115507e-19,1.630301717370256e-19,0.0,2.3990681171417236,-2.289952039718628
523.0,7.596713167865263,18.5,188.0,1.070994166054564e-18,2.4047099512531396e-19,1.399720838076472e-19,0.0,2.3979458808898926,-2.308666944503784
523.0,7.596713167865263,19.5,180.0,9.05395192360862e-19,2.2479738637612925e-19,1.0279231598634789e-19,0.0,2.4102704524993896,-2.4501640796661377
523.0,7.596713167865263,20.5,200.0,8.84788468940941e-19,2.24273648492914e-19,8.426326826466033e-20,0.0,2.386538505554199,-2.2855827808380127
523.0,7.596713167865263,21.5,204.0,8.086337756535168e-19,2.21526839600496e-19,6.216036739683351e-20,0.0,2.3824315071105957,-2.301351308822632
523.0,7.596713167865263,22.5,196.0,7.08914361075682e-19,2.1014752289910738e-19,4.305017110295994e-20,0.0,2.383040428161621,-2.341252326965332
523.0,7.596713167865263,23.5,228.0,7.636077499728413e-19,2.483410202949478e-19,3.6383044586590335e-20,0.0,2.392587661743164,-2.478555679321289
523.0,7.596713167865263,24.5,252.0,7.783334777314517e-19,2.711524646454182e-19,2.5785443719023258e-20,0.0,2.395601749420166,-2.4502406120300293
523.0,7.596713167865263,25.5,252.0,7.281130162978846e-19,2.759237176414064e-19,1.6027168312639287e-20,0.0,2.406735420227051,-2.6642680168151855
523.0,7.596713167865263,26.5,244.0,6.673875161812589e-19,2.7257945994017595e-19,9.931275256104527e-21,0.0,2.417632579803467,-3.116241931915283
523.0,7.596713167865263,27.5,260.0,6.8336140778542355e-19,3.0185615989877634e-19,1.0804647657912105e-20,0.0,2.4338219165802,2.6960043907165527
523.0,7.596713167865263,28.5,280.0,7.062022426422737e-19,3.314382887524782e-19,1.3085998208852904e-20,0.0,2.444155216217041,2.2198965549468994
523.0,7.596713167865263,29.5,300.0,7.302303401720789e-19,3.646294284764328e-19,1.8489083380907915e-20,0.0,2.455821990966797,1.9932018518447876
523.0,7.596713167865263,30.5,284.0,6.734282093995805e-19,3.56741378666011e-19,2.1051577949117584e-20,0.0,2.4693965911865234,1.952816367149353
