snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.641375389072152,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,1.5,12.0,12.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,2.5,28.0,28.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,3.5,36.0,36.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,4.5,40.0,40.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,5.5,52.0,52.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,6.5,68.0,68.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,7.5,68.0,68.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,8.5,84.0,84.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,9.5,92.0,92.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,10.5,100.0,100.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,11.5,108.0,108.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,12.5,120.0,120.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,13.5,124.0,124.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,14.5,156.0,156.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,15.5,132.0,132.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,16.5,172.0,172.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,17.5,164.0,164.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,18.5,188.0,188.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,19.5,180.0,180.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,20.5,200.0,200.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,21.5,204.0,204.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,22.5,196.0,196.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,23.5,228.0,228.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,24.5,252.0,252.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,25.5,252.0,252.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,26.5,244.0,244.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,27.5,260.0,260.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,28.5,280.0,280.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,29.5,300.0,300.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,30.5,284.0,284.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,31.5,292.0,292.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,32.5,316.0,316.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,33.5,324.0,324.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,34.5,324.0,324.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,35.5,348.0,348.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,36.5,352.0,352.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,37.5,372.0,372.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,38.5,372.0,372.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,39.5,340.0,340.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,1.5,12.0,12.0,1.5064549647772488e-22,2.62791557010643e-24,0.0,1.2557209730148315,-0.9624891877174377
523.0,7.596713167865263,2.5,28.0,28.0,6.146002268148722e-22,2.048339107606683e-23,0.0,1.2559603452682495,-0.5182029008865356
523.0,7.596713167865263,3.5,36.0,36.0,1.1345411001805833e-21,5.089800435638233e-23,0.0,1.2557910680770874,-0.6599400043487549
523.0,7.596713167865263,4.5,40.0,40.0,1.6088388963169697e-21,9.220730201261783e-23,0.0,1.2558296918869019,-0.635784387588501
523.0,7.596713167865263,5.5,52.0,52.0,2.5418031827354463e-21,1.7107507227609055e-22,0.0,1.2551966905593872,-0.7692336440086365
523.0,7.596713167865263,6.5,68.0,68.0,3.9550246810162875e-21,3.4457169392874054e-22,0.0,1.256734848022461,-0.4955403208732605
523.0,7.596713167865263,7.5,68.0,68.0,4.56827590212822e-21,4.454593527685998e-22,0.0,1.2565371990203857,-0.5589086413383484
523.0,7.596713167865263,8.5,84.0,84.0,6.392911094754976e-21,6.740268419984716e-22,0.0,1.2552366256713867,-0.6940739750862122
523.0,7.596713167865263,9.5,92.0,92.0,7.873847159071404e-21,9.21980605164828e-22,0.0,1.2544732093811035,-0.7327030301094055
