snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.641375389072152,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,1.5,12.0,12.0,2.308559744868792e-15,2.436384767086908e-15,0.0,2.8253631591796875,-0.6142359972000122
520.0,7.641375389072152,2.5,28.0,28.0,9.049023676420133e-17,1.0872667115062581e-16,0.0,-0.46846961975097656,-0.2514188289642334
520.0,7.641375389072152,3.5,36.0,36.0,2.0516571182663705e-16,2.928842430829758e-16,0.0,-0.6641793251037598,-0.3533555567264557
520.0,7.641375389072152,4.5,40.0,40.0,2.3524900272463323e-16,2.3705872169259404e-16,0.0,2.4848389625549316,1.6997994184494019
520.0,7.641375389072152,5.5,52.0,52.0,2.745179823742801e-16,2.673144994371419e-16,0.0,2.4657773971557617,1.7652853727340698
520.0,7.641375389072152,6.5,68.0,68.0,5.1035292799774826e-17,4.65509606912274e-17,0.0,2.4441609382629395,1.685263991355896
520.0,7.641375389072152,7.5,68.0,68.0,1.9935400816810376e-17,1.7232718111177338e-17,0.0,2.4562816619873047,1.7293286323547363
520.0,7.641375389072152,8.5,84.0,84.0,1.1993645046576616e-17,1.0351459103879325e-17,0.0,2.4132258892059326,1.6513783931732178
520.0,7.641375389072152,9.5,92.0,92.0,6.2318553874388034e-18,5.032766041594038e-18,0.0,2.4009408950805664,1.628950595855713
520.0,7.641375389072152,10.5,100.0,100.0,3.507409471862614e-18,2.3909419719271567e-18,0.0,2.4008984565734863,1.6136866807937622
520.0,7.641375389072152,11.5,108.0,108.0,2.5178601720191124e-18,1.7091352874822775e-18,0.0,2.389383554458618,1.6119037866592407
520.0,7.641375389072152,12.5,120.0,120.0,1.8844694255187933e-18,1.2510018524925453e-18,0.0,2.3784008026123047,1.5981210470199585
520.0,7.641375389072152,13.5,124.0,124.0,1.3358440209218103e-18,8.351358058606428e-19,0.0,2.3732259273529053,1.5902888774871826
520.0,7.641375389072152,14.5,156.0,156.0,1.1639270713911633e-18,6.563499744370346e-19,0.0,2.3722217082977295,1.585919976234436
520.0,7.641375389072152,15.5,132.0,132.0,7.188127990232814e-19,3.664933143618174e-19,0.0,2.3727900981903076,1.5866528749465942
520.0,7.641375389072152,16.5,172.0,172.0,7.276553296475024e-19,3.8565889925255487e-19,0.0,2.368281364440918,1.5848581790924072
520.0,7.641375389072152,17.5,164.0,164.0,5.287788758971715e-19,2.666423362703388e-19,0.0,2.3703525066375732,1.5884631872177124
520.0,7.641375389072152,18.5,188.0,188.0,4.721809289390915e-19,2.2224822764908837e-19,0.0,2.3755993843078613,1.5964674949645996
520.0,7.641375389072152,19.5,180.0,180.0,3.537881319578922e-19,1.3462691086999203e-19,0.0,2.388719081878662,1.624941110610962
520.0,7.641375389072152,20.5,200.0,200.0,3.282496717906389e-19,1.4072689282703434e-19,0.0,2.3918814659118652,1.628550410270691
520.0,7.641375389072152,21.5,204.0,204.0,2.7441640727279865e-19,1.0996976624342963e-19,0.0,2.4055349826812744,1.6570210456848145
520.0,7.641375389072152,22.5,196.0,196.0,2.211861568844977e-19,8.205321906779462e-20,0.0,2.422374725341797,1.698392629623413
520.0,7.641375389072152,23.5,228.0,228.0,2.1774506100104315e-19,6.797122581145749e-20,0.0,2.4482245445251465,1.806046724319458
520.0,7.641375389072152,24.5,252.0,252.0,2.0636510176537527e-19,6.77814902174607e-20,0.0,2.469017267227173,1.8342114686965942
520.0,7.641375389072152,25.5,252.0,252.0,1.7760141770139739e-19,5.418634489299828e-20,0.0,2.501857280731201,1.9499894380569458
520.0,7.641375389072152,26.5,244.0,244.0,1.5120830973061537e-19,4.4088078915349386e-20,0.0,2.537122964859009,2.0769801139831543
520.0,7.641375389072152,27.5,260.0,260.0,1.45615850850566e-19,4.0743595185462775e-20,0.0,2.5848281383514404,2.353410482406616
520.0,7.641375389072152,28.5,280.0,280.0,1.4184545148702436e-19,4.127687169143084e-20,0.0,2.624634265899658,2.449747085571289
520.0,7.641375389072152,29.5,300.0,300.0,1.3863491202114957e-19,4.206695899983434e-20,0.0,2.6725590229034424,2.5964415073394775
520.0,7.641375389072152,30.5,284.0,284.0,1.2266104883253778e-19,4.047255503243035e-20,0.0,2.726383686065674,2.777238368988037
520.0,7.641375389072152,31.5,292.0,292.0,1.2450146142358092e-19,5.006819104286926e-20,0.0,2.788343906402588,2.9665467739105225
520.0,7.641375389072152,32.5,316.0,316.0,1.276140910258135e-19,5.3573442296245675e-20,0.0,2.833298683166504,3.025181293487549
520.0,7.641375389072152,33.5,324.0,324.0,1.2765265664647885e-19,5.874557239339637e-20,0.0,2.885014772415161,3.1080119609832764
520.0,7.641375389072152,34.5,324.0,324.0,1.266074135612052e-19,6.368848363600286e-20,0.0,2.934417486190796,-3.1069753170013428
520.0,7.641375389072152,35.5,348.0,348.0,1.4300655119352967e-19,8.263282695908236e-20,0.0,2.983233690261841,-3.0674972534179688
520.0,7.641375389072152,36.5,352.0,352.0,1.4796235504436005e-19,9.157921756312302e-20,0.0,3.023343563079834,-3.0379440784454346
520.0,7.641375389072152,37.5,372.0,372.0,1.5671579903762483e-19,1.0029530648895666e-19,0.0,3.061659336090088,-2.996270179748535
520.0,7.641375389072152,38.5,372.0,372.0,1.6384472457415498e-19,1.111259362550816e-19,0.0,3.0954201221466064,-2.974100112915039
520.0,7.641375389072152,39.5,340.0,340.0,1.6064511598421568e-19,1.1540384184429336e-19,0.0,3.1215481758117676,-2.9661781787872314
523.0,7.596713167865263,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,1.5,12.0,12.0,1.6711866661165346e-16,2.873092539725801e-16,0.0,2.4983229637145996,1.1983362436294556
523.0,7.596713167865263,2.5,28.0,28.0,7.482277574894917e-17,8.4879767546882e-17,0.0,2.0033974647521973,0.3999117612838745
523.0,7.596713167865263,3.5,36.0,36.0,1.071472745320919e-16,5.830690348929146e-17,0.0,-0.23666274547576904,-0.30899202823638916
523.0,7.596713167865263,4.5,40.0,40.0,6.922951923051886e-16,4.808118881824151e-16,0.0,-0.3152347505092621,-0.573212742805481
523.0,7.596713167865263,5.5,52.0,52.0,4.029196468975826e-16,5.791234942038765e-17,0.0,-0.38930168747901917,-0.2984355092048645
