snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.641375389072152,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,1.5,12.0,5.1022997879979745e-20,1.5666007110671497e-21,1.3458887520856485e-22,0.0,-3.0772926807403564,-1.3224921226501465
520.0,7.641375389072152,2.5,28.0,1.19749153671106e-19,6.408735339406644e-21,7.4042073171607085e-22,0.0,-3.066378116607666,-1.0041475296020508
520.0,7.641375389072152,3.5,36.0,1.5540610521900258e-19,1.2049820754183489e-20,2.1751694101709053e-21,0.0,-3.0474257469177246,-1.136309027671814
520.0,7.641375389072152,4.5,40.0,1.7466566161380444e-19,1.7365071013172114e-20,3.9663727241941606e-21,0.0,-3.026021957397461,-1.118533730506897
520.0,7.641375389072152,5.5,52.0,2.306952703176637e-19,2.854645230663799e-20,8.611603657897926e-21,0.0,-2.9952220916748047,-1.2191051244735718
520.0,7.641375389072152,6.5,68.0,3.0648892511710263e-19,4.386372113769498e-20,1.3765962465364848e-20,0.0,-2.9730899333953857,-1.007383108139038
520.0,7.641375389072152,7.5,68.0,3.1324422483648764e-19,5.255547856373318e-20,1.986150738377652e-20,0.0,-2.9373855590820312,-1.0621087551116943
520.0,7.641375389072152,8.5,84.0,3.9876684195865145e-19,7.911121741935598e-20,3.620001613935389e-20,0.0,-2.892148017883301,-1.1741318702697754
520.0,7.641375389072152,9.5,92.0,4.519867378415183e-19,1.0356185760324286e-19,5.383432604915933e-20,0.0,-2.848297119140625,-1.199513554573059
520.0,7.641375389072152,10.5,100.0,4.989895700898307e-19,1.2074258921862007e-19,6.343623257429293e-20,0.0,-2.8413093090057373,-1.1007897853851318
520.0,7.641375389072152,11.5,108.0,5.566101960784503e-19,1.4961843085983347e-19,8.647690120916603e-20,0.0,-2.807398796081543,-1.1206427812576294
520.0,7.641375389072152,12.5,120.0,6.377792065403827e-19,1.8805082942980915e-19,1.1594616998931223e-19,0.0,-2.787200689315796,-1.150062084197998
520.0,7.641375389072152,13.5,124.0,6.701325667428044e-19,2.0910296926842671e-19,1.3175292496457033e-19,0.0,-2.7931246757507324,-1.1588244438171387
520.0,7.641375389072152,14.5,156.0,8.352667683298281e-19,2.6263863040924404e-19,1.615932045487706e-19,0.0,-2.8385887145996094,-1.1237372159957886
520.0,7.641375389072152,15.5,132.0,6.874488173847778e-19,2.1079443562544355e-19,1.2270338267026158e-19,0.0,-2.911548376083374,-1.0346901416778564
520.0,7.641375389072152,16.5,172.0,8.877249601155043e-19,2.822053918310974e-19,1.5492479492604e-19,0.0,-2.972806453704834,-1.0877704620361328
520.0,7.641375389072152,17.5,164.0,8.152695219249938e-19,2.5786009048817776e-19,1.219040005672417e-19,0.0,-3.0873324871063232,-1.0393837690353394
520.0,7.641375389072152,18.5,188.0,8.944409429063989e-19,2.835364298169723e-19,1.070683826549938e-19,0.0,3.0611956119537354,-0.9433180689811707
520.0,7.641375389072152,19.5,180.0,8.077530867950893e-19,2.553208884880141e-19,7.371448244374784e-20,0.0,2.889017105102539,-0.6404943466186523
520.0,7.641375389072152,20.5,200.0,8.826235304827366e-19,2.9683933241723274e-19,6.414578021111806e-20,0.0,2.8242759704589844,-0.5543016791343689
520.0,7.641375389072152,21.5,204.0,8.705890865458558e-19,3.078206385797333e-19,5.104826481496217e-20,0.0,2.7229764461517334,-0.15583859384059906
520.0,7.641375389072152,22.5,196.0,8.135745254522961e-19,3.0276241421775423e-19,4.733057182666189e-20,0.0,2.6448638439178467,0.2690308094024658
520.0,7.641375389072152,23.5,228.0,9.193433186448843e-19,3.5761028352357606e-19,6.397023044166729e-20,0.0,2.572686195373535,0.47375860810279846
520.0,7.641375389072152,24.5,252.0,1.0014903150847958e-18,4.1414584206174496e-19,7.835077763880132e-20,0.0,2.5373055934906006,0.7880621552467346
520.0,7.641375389072152,25.5,252.0,9.828786479047761e-19,4.279134246790107e-19,9.123743103480498e-20,0.0,2.497934341430664,0.9209499359130859
520.0,7.641375389072152,26.5,244.0,9.377255466024971e-19,4.276571713313423e-19,1.0039521469044955e-19,0.0,2.4706099033355713,1.0141448974609375
520.0,7.641375389072152,27.5,260.0,9.822418222306869e-19,4.63719746301628e-19,1.1145506504783348e-19,0.0,2.444669723510742,0.9622934460639954
520.0,7.641375389072152,28.5,280.0,1.0477768606214256e-18,5.162540146839568e-19,1.3533518347235242e-19,0.0,2.432133197784424,1.066263198852539
520.0,7.641375389072152,29.5,300.0,1.1108947738647078e-18,5.699284328572578e-19,1.6121253002105725e-19,0.0,2.4202561378479004,1.1299161911010742
520.0,7.641375389072152,30.5,284.0,1.0395708153545933e-18,5.51757599391923e-19,1.6264847306181752e-19,0.0,2.4096107482910156,1.1421589851379395
520.0,7.641375389072152,31.5,292.0,1.0525902246058717e-18,5.715639524392554e-19,1.6291822729071863e-19,0.0,2.398463726043701,1.0510084629058838
520.0,7.641375389072152,32.5,316.0,1.1313976861177534e-18,6.358346490571655e-19,1.9676221518943137e-19,0.0,2.3956525325775146,1.1385866403579712
520.0,7.641375389072152,33.5,324.0,1.1482257451019556e-18,6.644177522486619e-19,2.1386367656985194e-19,0.0,2.3914222717285156,1.1582696437835693
520.0,7.641375389072152,34.5,324.0,1.1359336344042645e-18,6.748974547485154e-19,2.234971318655934e-19,0.0,2.3880393505096436,1.1657332181930542
520.0,7.641375389072152,35.5,348.0,1.2016061915718402e-18,7.286090752651136e-19,2.3630985898325374e-19,0.0,2.383697509765625,1.1084953546524048
520.0,7.641375389072152,36.5,352.0,1.2018246706511307e-18,7.469219785129486e-19,2.495059487466042e-19,0.0,2.382507085800171,1.1225063800811768
520.0,7.641375389072152,37.5,372.0,1.2573420348359695e-18,8.019310541920403e-19,2.805806702835895e-19,0.0,2.3824656009674072,1.1590824127197266
520.0,7.641375389072152,38.5,372.0,1.2402772987990005e-18,8.084325289211959e-19,2.866801900288197e-19,0.0,2.381744146347046,1.1527034044265747
520.0,7.641375389072152,39.5,340.0,1.1163767065792498e-18,7.407257360120084e-19,2.612308080719997e-19,0.0,2.380889654159546,1.1221344470977783
523.0,7.596713167865263,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,1.5,12.0,9.978081819803271e-21,1.3538139448152737e-21,1.2991324873902393e-22,0.0,-3.03385853767395,-2.1911025047302246
523.0,7.596713167865263,2.5,28.0,2.413269871878908e-20,5.6913070430614116e-21,1.0491462378014243e-21,0.0,-3.0382115840911865,-2.63838267326355
523.0,7.596713167865263,3.5,36.0,3.2759974403454083e-20,1.0858095248195514e-20,2.677408101342511e-21,0.0,-3.0290019512176514,-2.501523017883301
523.0,7.596713167865263,4.5,40.0,3.888513051713561e-20,1.611139909277536e-20,5.050230112395024e-21,0.0,-3.02485990524292,-2.5269341468811035
523.0,7.596713167865263,5.5,52.0,5.460552680646971e-20,2.6539884669229555e-20,9.72395700432711e-21,0.0,-3.0025978088378906,-2.3992691040039062
523.0,7.596713167865263,6.5,68.0,7.990534990458984e-20,4.574032269054591e-20,2.1083231125380366e-20,0.0,-3.0326991081237793,-2.67392635345459
523.0,7.596713167865263,7.5,68.0,8.957670039012009e-20,5.697560022452638e-20,2.9314825251928625e-20,0.0,-3.015709161758423,-2.608125925064087
523.0,7.596713167865263,8.5,84.0,1.2346407350086993e-19,8.436786496967797e-20,4.67046663450684e-20,0.0,-2.9819159507751465,-2.491071939468384
523.0,7.596713167865263,9.5,92.0,1.5326316459521325e-19,1.1198414454268529e-19,6.761309509116165e-20,0.0,-2.9629173278808594,-2.4620330333709717
523.0,7.596713167865263,10.5,100.0,1.9439827484610712e-19,1.5250378132341976e-19,1.0044496877291138e-19,0.0,-3.008507490158081,-2.653747081756592
523.0,7.596713167865263,11.5,108.0,2.3564972029533833e-19,1.9168398251213052e-19,1.333306706476168e-19,0.0,-2.9785592555999756,-2.57352352142334
523.0,7.596713167865263,12.5,120.0,2.829426085953213e-19,2.3581090304171926e-19,1.6910053654820228e-19,0.0,-2.9651057720184326,-2.535385847091675
523.0,7.596713167865263,13.5,124.0,3.047000953436684e-19,2.585669482043355e-19,1.8871863432851118e-19,0.0,-2.9697136878967285,-2.5358242988586426
523.0,7.596713167865263,14.5,156.0,3.762120306479856e-19,3.227293491511975e-19,2.330397815663883e-19,0.0,-3.003253936767578,-2.5861923694610596
523.0,7.596713167865263,15.5,132.0,3.0691993791503104e-19,2.657950643485876e-19,1.915188989467589e-19,0.0,-3.0262603759765625,-2.597752571105957
523.0,7.596713167865263,16.5,172.0,3.3977064046075027e-19,2.9021742708661626e-19,1.9491529223256928e-19,0.0,-3.050609827041626,-2.5391411781311035
523.0,7.596713167865263,17.5,164.0,2.749791598925143e-19,2.3332507159994174e-19,1.427105711830194e-19,0.0,-3.105438709259033,-2.5231833457946777
523.0,7.596713167865263,18.5,188.0,2.6617679495221367e-19,2.258872291565055e-19,1.1927044610332474e-19,0.0,3.0972213745117188,-2.5359742641448975
523.0,7.596713167865263,19.5,180.0,2.2563328686035714e-19,1.9615797898319459e-19,8.824236913611012e-20,0.0,2.995570659637451,-2.6430139541625977
523.0,7.596713167865263,20.5,200.0,2.1062225933859835e-19,1.8397062536585188e-19,6.134177390155142e-20,0.0,2.9233837127685547,-2.4946489334106445
523.0,7.596713167865263,21.5,204.0,1.8960923514154894e-19,1.720265649994487e-19,3.855834169931291e-20,0.0,2.8256003856658936,-2.5083937644958496
523.0,7.596713167865263,22.5,196.0,1.6491817820017663e-19,1.5694705941601746e-19,1.9742473507635878e-20,0.0,2.738409996032715,-2.556861400604248
523.0,7.596713167865263,23.5,228.0,1.778381189827955e-19,1.791582356858598e-19,6.891327779650984e-21,0.0,2.657683849334717,-2.5983123779296875
523.0,7.596713167865263,24.5,252.0,1.8038030349911238e-19,1.9250554856755644e-19,9.247782568034755e-21,0.0,2.5926811695098877,0.6987382769584656
523.0,7.596713167865263,25.5,252.0,1.6975543994950724e-19,1.9302075494495329e-19,2.2597110714544276e-20,0.0,2.5352988243103027,0.678598940372467
523.0,7.596713167865263,26.5,244.0,1.5678259838177618e-19,1.889566566027938e-19,3.232505362136417e-20,0.0,2.492201805114746,0.6952536106109619
523.0,7.596713167865263,27.5,260.0,1.6076978988004077e-19,2.0458487132946718e-19,4.52722527933003e-20,0.0,2.45304012298584,0.5774732828140259
