snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.323181769898123,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.323181769898123,1.5,12.0,2.6007528311391796e-14,1.1897180702102538e-14,1.221827500895799e-13,1.4347096700269096e-13,6.686552586021773e-14,0.0,-2.500187397003174,-1.2398731708526611,-0.7049707770347595,-1.4060139656066895
600.0,6.323181769898123,2.5,28.0,4.359587438772759e-14,5.366760870263031e-14,4.419546830837253e-14,9.43282586309157e-14,1.0670871968899532e-13,0.0,1.1142836809158325,2.5888314247131348,0.263974666595459,-1.8305789232254028
600.0,6.323181769898123,3.5,36.0,4.169040939837505e-14,1.1747162285192515e-13,3.1702178548937474e-14,6.677586675196044e-15,5.1646694720506135e-14,0.0,-1.729918122291565,-0.4447489082813263,2.8175625801086426,-1.6046743392944336
600.0,6.323181769898123,4.5,40.0,4.4915982012287e-14,5.4377035024007973e-14,1.1058783148206491e-13,1.6479196178749166e-13,4.4605558110023526e-14,0.0,-1.6695259809494019,-1.5061123371124268,-1.1574745178222656,-1.0536922216415405
600.0,6.323181769898123,5.5,52.0,9.705327226562296e-14,1.261980151122983e-13,4.5795745800450345e-14,3.098087646648576e-14,3.066927988427383e-14,0.0,-1.5799480676651,-0.9289647936820984,2.6292724609375,-2.0983619689941406
600.0,6.323181769898123,6.5,68.0,9.267694440649385e-14,3.9682911542743523e-14,3.032747505980764e-14,7.674904051405965e-14,7.244544185199513e-14,0.0,-1.3937352895736694,1.0872615575790405,1.7120717763900757,2.9340357780456543
600.0,6.323181769898123,7.5,68.0,6.198578976490676e-14,5.4217770153333935e-14,3.10689551713146e-14,2.4451113346588734e-14,1.072258131773113e-14,0.0,-1.0371546745300293,-3.020765781402588,-2.732898473739624,0.6325134038925171
600.0,6.323181769898123,8.5,84.0,5.759061034050356e-14,2.2671860116158123e-14,5.866565531469032e-14,3.1200227557499575e-14,5.773195748173362e-14,0.0,-0.9919435381889343,-1.1116645336151123,2.069812774658203,0.37570810317993164
600.0,6.323181769898123,9.5,92.0,1.6373849907771847e-14,1.3680381273532192e-14,1.929131353145604e-14,3.917295797040552e-14,2.0773349562373073e-14,0.0,-0.6823258399963379,-1.8598726987838745,2.234531879425049,3.062589406967163
600.0,6.323181769898123,10.5,100.0,1.111006767270592e-13,4.549791690982906e-14,6.336609816161649e-14,9.176675629891904e-14,9.592776906644038e-14,0.0,0.41873565316200256,0.19055627286434174,-1.6212104558944702,2.864147901535034
600.0,6.323181769898123,11.5,108.0,4.911400943601908e-14,2.141312352856573e-14,7.150044842373965e-14,2.1596968647519073e-14,6.84674482381242e-14,0.0,-1.3213870525360107,-0.599665641784668,1.5581954717636108,-1.7736949920654297
600.0,6.323181769898123,12.5,120.0,4.6375118236676935e-14,6.269839989611386e-14,4.944268975151586e-14,3.423571043011088e-14,3.902735879373965e-14,0.0,0.44538816809654236,0.5296989679336548,0.29534944891929626,0.5395911931991577
600.0,6.323181769898123,13.5,124.0,6.17955597174806e-14,4.70505388145232e-14,3.154337598943205e-14,1.3983194154680634e-15,2.4955665427638044e-14,0.0,0.08901160955429077,0.8887078166007996,0.6989367008209229,-0.5024381279945374
600.0,6.323181769898123,14.5,156.0,3.587962785493899e-14,9.468303250166195e-14,4.2476399272284073e-14,5.2623817741488105e-14,3.924059920949261e-14,0.0,0.9366635084152222,1.8613685369491577,3.0385940074920654,-1.6126500368118286
600.0,6.323181769898123,15.5,132.0,4.988709979510987e-14,4.585623278904471e-14,3.872936171285001e-15,2.7478658953890807e-14,2.4371471998102715e-14,0.0,0.09172694385051727,0.2004259079694748,-2.8773276805877686,1.079378604888916
600.0,6.323181769898123,16.5,172.0,3.4831180637222986e-14,6.630960904899581e-14,2.9143324993280657e-14,2.6357357884145467e-14,3.468623483230502e-14,0.0,0.08061270415782928,0.06449303776025772,-0.7953188419342041,-1.4184376001358032
600.0,6.323181769898123,17.5,164.0,4.386948297034968e-14,2.1957759469740537e-14,4.0687672241303473e-14,2.6767576885929202e-14,3.3761380815462214e-15,0.0,0.11859982460737228,0.7414306998252869,2.4143435955047607,0.8543152809143066
600.0,6.323181769898123,18.5,188.0,6.426386115962468e-14,3.5085003427935895e-14,2.3943490734817922e-14,2.0252429711253536e-14,1.6813884648051352e-14,0.0,0.9478537440299988,0.20907920598983765,0.920038104057312,-1.060560941696167
600.0,6.323181769898123,19.5,180.0,6.015657129333427e-14,5.1821391800143127e-14,2.3095023593058946e-14,2.1625667940534184e-14,2.8030780617098582e-14,0.0,0.8627429008483887,0.9159402847290039,-1.28932785987854,-2.552762985229492
600.0,6.323181769898123,20.5,200.0,6.607488536349015e-14,6.75408227155565e-14,1.9946599058672034e-14,1.3125301589941992e-14,1.1972264151596332e-14,0.0,1.0539629459381104,-0.6590933799743652,1.516310691833496,-0.4236127436161041
600.0,6.323181769898123,21.5,204.0,5.753669838747671e-14,6.822948175457456e-14,1.7741061496067345e-14,1.3288206245937919e-14,1.8363621058201793e-14,0.0,1.112874984741211,-0.8727141618728638,2.3232803344726562,-0.9339519739151001
600.0,6.323181769898123,22.5,196.0,5.470996648337251e-14,6.175271500048926e-14,1.2117405175456873e-14,5.891968009427904e-15,3.2101356999430377e-15,0.0,1.2638578414916992,2.6379916667938232,-2.7442994117736816,1.2920619249343872
600.0,6.323181769898123,23.5,228.0,6.475957194541221e-14,9.89737410889879e-14,7.96553015988397e-15,8.512051552747538e-15,3.2576026932331815e-14,0.0,1.5221256017684937,2.9971048831939697,-1.1417827606201172,2.860775947570801
600.0,6.323181769898123,24.5,252.0,7.174711942180972e-14,1.2487960744348538e-13,1.7629661456779325e-14,1.4925767441143186e-14,1.511466617636157e-14,0.0,1.3747552633285522,2.1155455112457275,0.4507317543029785,1.9985564947128296
600.0,6.323181769898123,25.5,252.0,6.9998118358474e-14,1.2865434739970554e-13,3.1355250401238513e-14,1.9257995096916238e-14,1.2253026778921497e-14,0.0,1.492327094078064,2.3744301795959473,1.163880467414856,1.9521769285202026
600.0,6.323181769898123,26.5,244.0,6.580909997716891e-14,1.3112162508747642e-13,3.134680067945513e-14,2.3941742242257132e-14,1.0194287749604459e-14,0.0,1.4976810216903687,2.0833659172058105,1.7614927291870117,2.7502503395080566
600.0,6.323181769898123,27.5,260.0,6.727034023139983e-14,1.3929008873345007e-13,4.159739943744455e-14,1.8344728912155344e-14,2.0548267299903848e-14,0.0,1.5126938819885254,1.891417145729065,2.575958728790283,3.0094475746154785
600.0,6.323181769898123,28.5,280.0,6.85514335184087e-14,1.3868951668922426e-13,3.731686595111962e-14,2.506064986828837e-14,2.7344147765694157e-14,0.0,1.4190499782562256,2.2911720275878906,2.882697582244873,-2.7221505641937256
600.0,6.323181769898123,29.5,300.0,7.341189830513406e-14,1.7210102541085962e-13,6.56527035591745e-14,2.91044341271361e-14,1.1282585651051325e-14,0.0,1.4764209985733032,2.0110397338867188,2.787116050720215,2.7034530639648438
600.0,6.323181769898123,30.5,284.0,6.931963141519615e-14,1.470849153813553e-13,9.44122088697517e-14,2.0575122141520347e-14,2.5217687812027414e-14,0.0,1.3853150606155396,2.256375312805176,-2.294261932373047,1.39360511302948
600.0,6.323181769898123,31.5,292.0,5.909804438354593e-14,1.49833964260511e-13,6.962405172381652e-14,2.7428095108257334e-14,3.2604641157845664e-14,0.0,1.5568759441375732,2.220505714416504,2.5603444576263428,-2.7140564918518066
600.0,6.323181769898123,32.5,316.0,5.446894834042898e-14,1.664320199771949e-13,9.15692810991151e-14,4.359841776400192e-14,2.0686277284395305e-14,0.0,1.4971144199371338,2.441413640975952,2.2446651458740234,-2.6666667461395264
600.0,6.323181769898123,33.5,324.0,6.108668800831885e-14,1.8030188872141467e-13,1.0297470692178967e-13,6.361939074712207e-14,2.4695205086526508e-14,0.0,1.5498329401016235,2.273611545562744,2.24574613571167,-2.2476048469543457
600.0,6.323181769898123,34.5,324.0,5.660652746238351e-14,1.7401925649510113e-13,1.0511786997374045e-13,5.908214351496976e-14,2.834175273396147e-14,0.0,1.550415277481079,2.3966221809387207,2.1643714904785156,-1.9278709888458252
600.0,6.323181769898123,35.5,348.0,6.291202368086113e-14,1.8061538207330997e-13,1.1314794588639986e-13,4.9244358494698976e-14,4.0262141488408686e-14,0.0,1.5747262239456177,2.4679794311523438,2.3272407054901123,-2.394973039627075
600.0,6.323181769898123,36.5,352.0,7.135556658348016e-14,1.6994056449820035e-13,1.200790223909172e-13,8.392059612267964e-14,4.865496404525571e-14,0.0,1.5904852151870728,2.322763204574585,2.064488410949707,-2.9232821464538574
600.0,6.323181769898123,37.5,372.0,6.209524675048275e-14,2.0688102318924599e-13,1.2027396548702754e-13,6.168392795611753e-14,3.178728062880828e-14,0.0,1.559984803199768,2.367833375930786,2.100998640060425,-2.0781168937683105
600.0,6.323181769898123,38.5,372.0,6.06022122675437e-14,1.8777315675700524e-13,1.076867537126752e-13,5.6510819082978507e-14,2.2766693358204e-14,0.0,1.6159443855285645,2.378385543823242,2.2023634910583496,-2.011575698852539
600.0,6.323181769898123,39.5,340.0,5.70428036403281e-14,1.679148875901204e-13,1.0199294186179815e-13,5.403352672201177e-14,2.246724838053026e-14,0.0,1.670390248298645,2.400646209716797,2.3214430809020996,-2.6070961952209473
602.0,6.296819541234349,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.296819541234349,1.5,12.0,6.134855502022609e-15,6.809993934634556e-14,3.484771650849157e-14,4.08034406958581e-14,5.5400855359141076e-14,0.0,0.5663763880729675,-1.1931242942810059,-0.6304353475570679,0.8811613321304321
602.0,6.296819541234349,2.5,28.0,5.948325463916646e-14,1.001209801618211e-13,8.27017869020632e-14,8.268662495724277e-14,9.328818901510885e-14,0.0,-3.0231995582580566,1.83153235912323,0.7458649277687073,0.9740456938743591
602.0,6.296819541234349,3.5,36.0,3.312471756849837e-14,1.118219817584666e-13,9.958036276437499e-14,1.6071168277468382e-13,1.4616093959562186e-13,0.0,-1.971130132675171,1.5001633167266846,0.6065931916236877,-1.154954433441162
602.0,6.296819541234349,4.5,40.0,2.5880691903804043e-14,5.5281461638372215e-14,7.057582764428706e-14,2.4754514577133737e-14,3.838820271918677e-14,0.0,-1.421633243560791,2.2399795055389404,-0.3491363525390625,1.5577948093414307
602.0,6.296819541234349,5.5,52.0,2.7277542407450582e-14,1.2151155711436815e-14,2.2824426735612746e-14,5.648008247067972e-14,4.260623175443474e-14,0.0,-0.6751992702484131,2.6304080486297607,1.7099593877792358,-2.576554775238037
602.0,6.296819541234349,6.5,68.0,5.6627093422342845e-14,4.652978599240713e-14,7.093401099595867e-14,1.4790961902328174e-14,3.3182313380738097e-14,0.0,-0.7725633382797241,0.05386127531528473,-1.942513346672058,-2.937411308288574
602.0,6.296819541234349,7.5,68.0,3.749058965292658e-14,4.360400908200271e-14,4.408611709670553e-14,5.0743684302921274e-14,4.577046706369132e-14,0.0,-0.39807790517807007,0.5274237990379333,-0.4719811677932739,0.13602682948112488
602.0,6.296819541234349,8.5,84.0,7.515132450803402e-14,7.650717571136941e-14,7.332626080073575e-14,4.9964876794671366e-14,3.811471917327032e-14,0.0,-1.8321950435638428,-0.25045979022979736,2.01810359954834,-2.7937183380126953
602.0,6.296819541234349,9.5,92.0,4.978985702463329e-14,3.1090077416460373e-14,3.338291077810849e-14,2.863544366216847e-14,2.88637010563856e-14,0.0,-0.7329291701316833,0.3692418932914734,-1.719770908355713,-1.0105103254318237
602.0,6.296819541234349,10.5,100.0,5.247973550951551e-14,2.603939181216026e-14,1.6808098674383842e-14,2.894524239134606e-14,5.561222974509588e-14,0.0,-2.461449146270752,1.126800775527954,1.199751853942871,0.20570023357868195
602.0,6.296819541234349,11.5,108.0,5.813741415366946e-14,6.679784124098592e-14,3.0312732311103794e-14,2.002587417636139e-14,1.5838804738100807e-14,0.0,-0.6112582683563232,0.4754202663898468,-1.2905207872390747,0.6521263122558594
602.0,6.296819541234349,12.5,120.0,3.109821495911498e-14,4.613714494695075e-14,4.627877245313155e-14,3.291145435557298e-14,1.2617898869631225e-14,0.0,-0.058441512286663055,-1.4660136699676514,0.6983756422996521,-2.2199583053588867
602.0,6.296819541234349,13.5,124.0,1.6803536169386797e-14,8.231446263025291e-14,3.0188218450554815e-14,2.5844309525808172e-14,5.366589585825552e-14,0.0,0.02013207972049713,-1.201371431350708,-2.7180309295654297,-2.346377372741699
602.0,6.296819541234349,14.5,156.0,8.679949798197709e-14,6.018404504278783e-14,7.967344801501119e-14,6.876971378842344e-14,3.718646839733707e-14,0.0,1.0350158214569092,0.3504468500614166,-0.6793240904808044,-1.821413278579712
602.0,6.296819541234349,15.5,132.0,3.505583071549377e-14,4.3516479244392e-14,3.523305130711706e-14,1.6515465166702624e-14,2.8067034767728746e-14,0.0,-0.2913825511932373,-0.5064253807067871,2.060528516769409,-2.5817651748657227
602.0,6.296819541234349,16.5,172.0,6.514028276201692e-14,8.663637297865443e-14,1.55312609417476e-14,1.4603877333350835e-14,2.95705402049481e-14,0.0,0.2857324779033661,-0.2149856686592102,2.6681160926818848,-1.3921434879302979
602.0,6.296819541234349,17.5,164.0,5.1390678144176347e-14,6.026701169025018e-14,1.7500070496933336e-14,1.5870770206001748e-14,1.3319297133683519e-14,0.0,0.05315397307276726,0.24277766048908234,1.9374419450759888,-0.6695830821990967
602.0,6.296819541234349,18.5,188.0,6.899978499804935e-14,7.9976709254951e-14,3.328668259920509e-14,1.9049212970520888e-14,3.837661501202514e-14,0.0,0.15030471980571747,1.0872403383255005,-1.860939860343933,-0.5895543098449707
602.0,6.296819541234349,19.5,180.0,7.147132549418372e-14,4.7485998538154784e-14,9.726341709308697e-15,2.011433962996137e-14,3.0090017964028344e-14,0.0,0.5424521565437317,0.46310538053512573,-0.814031720161438,-2.7703094482421875
602.0,6.296819541234349,20.5,200.0,8.564567647749086e-14,1.9692537187547168e-14,1.4291715766112916e-14,2.984823360740299e-14,7.146583973444965e-15,0.0,0.5083487629890442,-0.7078065872192383,-0.8972551822662354,0.7520349621772766
602.0,6.296819541234349,21.5,204.0,6.927515879733351e-14,5.4656092504947594e-14,6.397819089541722e-15,1.0778156737495218e-14,1.2605441192441384e-14,0.0,1.5371371507644653,1.3314353227615356,-1.9234340190887451,-2.5574421882629395
602.0,6.296819541234349,22.5,196.0,6.127054159171808e-14,4.500732783252454e-14,1.5663178760548837e-14,2.9211027229008164e-14,2.0320791981328935e-14,0.0,1.5099327564239502,2.0101423263549805,-0.5458993911743164,-1.927104115486145
602.0,6.296819541234349,23.5,228.0,8.258489242940134e-14,9.361907869188532e-14,5.776248124619638e-15,3.540330338023604e-14,2.2386097843413214e-14,0.0,1.4415894746780396,0.0016368133947253227,-0.8235264420509338,-2.5102217197418213
602.0,6.296819541234349,24.5,252.0,8.164314086985328e-14,8.667810650128983e-14,2.997279315555136e-14,1.5742286692523542e-14,1.4171497672690228e-14,0.0,1.1122024059295654,-1.018502950668335,-0.37297654151916504,-2.102475166320801
602.0,6.296819541234349,25.5,252.0,8.406971408088382e-14,8.17274323924548e-14,9.083692923678578e-15,1.5351363966222254e-14,1.0713026262123117e-14,0.0,1.2820558547973633,2.2748184204101562,1.7670315504074097,-1.1499266624450684
