snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.323181769898123,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.323181769898123,1.5,12.0,3.4342523094787244e-15,4.1041790927376304e-14,5.776104168232478e-14,4.723787057558554e-14,1.0305853294065991e-13,0.0,0.9442741870880127,2.349989414215088,-1.3433805704116821,0.33754244446754456
600.0,6.323181769898123,2.5,28.0,4.555850054849264e-14,1.5624958952891918e-13,1.4180293763531008e-13,7.963808581584992e-14,1.0440804665657897e-13,0.0,2.3444318771362305,1.9096932411193848,2.187950611114502,0.4087177515029907
600.0,6.323181769898123,3.5,36.0,1.603890766943908e-14,8.004204208333994e-14,9.639924150841653e-14,1.1041302773671938e-13,7.267748718395458e-14,0.0,1.347071647644043,1.8551560640335083,2.4932632446289062,-2.9129810333251953
600.0,6.323181769898123,4.5,40.0,1.2940344257836127e-14,2.017415125805162e-14,4.0484185250106973e-14,1.0906053555301637e-14,3.372557244071888e-14,0.0,2.050879955291748,1.0959053039550781,0.4071723222732544,-1.6869605779647827
600.0,6.323181769898123,5.5,52.0,2.3833157466340328e-14,2.2979648134287262e-14,2.06284681683249e-14,2.971597102328882e-14,1.556376093292256e-14,0.0,-2.8687446117401123,0.7159836888313293,0.4140344262123108,0.6790963411331177
600.0,6.323181769898123,6.5,68.0,7.992325487001352e-16,1.2449784123321023e-14,2.6657106370721958e-14,2.925397503236152e-14,2.820439355419445e-14,0.0,-2.2514760494232178,1.5636910200119019,-2.6303162574768066,-0.22979041934013367
600.0,6.323181769898123,7.5,68.0,4.1396308547660046e-15,3.747372849431796e-14,2.1127957696850586e-14,1.5906631982757488e-14,2.603477760757142e-14,0.0,-0.670984148979187,1.403257131576538,1.6227538585662842,0.013265330344438553
600.0,6.323181769898123,8.5,84.0,7.164117423483305e-15,2.4256100583219203e-14,1.3561846871736483e-14,1.2938230939858861e-14,1.4688198192469986e-14,0.0,-1.1156399250030518,-2.798579692840576,-1.338840126991272,-0.5683141350746155
600.0,6.323181769898123,9.5,92.0,4.733974497975679e-16,5.674882034451087e-15,1.2188065468145135e-14,1.0685400801837929e-14,1.0713239434592068e-14,0.0,3.0101358890533447,-2.9319193363189697,-0.6424898505210876,-0.7940829992294312
600.0,6.323181769898123,10.5,100.0,3.862493956402133e-15,8.792036274184649e-15,4.980193257592351e-15,6.6537638682626305e-15,1.2923258128230492e-15,0.0,-3.117980718612671,-1.6432973146438599,1.8529765605926514,2.6968495845794678
600.0,6.323181769898123,11.5,108.0,3.5346670065845376e-15,6.864919056108466e-15,6.165624771713511e-15,5.5844600740847715e-15,3.084662280817628e-15,0.0,-1.0914981365203857,-2.6840317249298096,0.16170905530452728,2.0908913612365723
600.0,6.323181769898123,12.5,120.0,3.094370386755806e-15,2.923291302786741e-15,7.66020556965612e-15,4.718352549941202e-15,4.090428484290423e-15,0.0,-0.37646588683128357,-2.37454891204834,-1.2961207628250122,1.349824070930481
600.0,6.323181769898123,13.5,124.0,4.842419173300581e-15,5.6007734427911625e-15,1.3885794852874703e-15,1.0732431070510648e-14,3.667330006481939e-15,0.0,0.9126468300819397,-2.5348100662231445,-1.0028384923934937,-0.7942801117897034
600.0,6.323181769898123,14.5,156.0,2.589341179757296e-15,1.0079070576641153e-14,6.681298835511071e-15,4.484210302191129e-15,3.719897119405841e-15,0.0,-0.7303013205528259,-2.7234654426574707,-1.0705666542053223,0.32667016983032227
600.0,6.323181769898123,15.5,132.0,3.3365258831892595e-15,1.2147840684803003e-14,2.8195450655842575e-15,5.8790423089032165e-15,4.0928169689432876e-15,0.0,-0.8362228274345398,1.3260219097137451,-2.099217653274536,-1.2941465377807617
600.0,6.323181769898123,16.5,172.0,2.5358313556221633e-15,1.0153031953146352e-14,6.939527014760999e-15,4.137315321103305e-15,4.244720055657749e-15,0.0,-1.0050586462020874,-1.637022852897644,-2.584235191345215,-2.404568672180176
600.0,6.323181769898123,17.5,164.0,1.8247048447548155e-16,4.667131507668257e-15,1.1317310596513952e-15,1.8357666614050193e-15,1.6787784471394333e-15,0.0,-0.9950402975082397,-2.735757350921631,-1.3308238983154297,-1.2582911252975464
600.0,6.323181769898123,18.5,188.0,2.0138678424256717e-15,5.357281189981562e-15,1.3766365355507141e-15,3.5397024423585808e-15,3.4434298663776466e-15,0.0,-1.1560741662979126,2.346910238265991,2.625673532485962,-1.4200489521026611
600.0,6.323181769898123,19.5,180.0,2.8917838226951006e-15,1.5097747654956932e-15,2.111935280559012e-15,1.1828089933663032e-15,3.042967716270914e-15,0.0,-1.0383217334747314,2.036330223083496,-0.2720221281051636,-1.819353699684143
600.0,6.323181769898123,20.5,200.0,2.85560302211137e-15,1.1255126005139677e-15,2.1598298644680035e-15,7.068528653167516e-16,1.3238494019355697e-15,0.0,-1.3325519561767578,1.4200139045715332,0.5392969846725464,-1.345839500427246
600.0,6.323181769898123,21.5,204.0,2.7849968967270933e-15,3.7793720044301815e-15,3.676453117871006e-15,3.0948208315180973e-15,4.8282319991916775e-15,0.0,-1.215696096420288,0.7408252954483032,1.5702519416809082,-2.0691614151000977
600.0,6.323181769898123,22.5,196.0,1.372044614390605e-15,7.61277640050899e-16,7.081693989697887e-16,1.486188850720618e-15,1.3638515895268408e-15,0.0,-0.9287028312683105,1.0363409519195557,0.9426549077033997,-1.345590591430664
600.0,6.323181769898123,23.5,228.0,1.2855730325086632e-15,1.9097545032991637e-15,6.970205887306231e-16,1.0965432316334685e-15,1.1819736229320365e-15,0.0,-0.5809621810913086,1.0914350748062134,0.8385786414146423,-1.3517506122589111
600.0,6.323181769898123,24.5,252.0,2.0464966103450914e-15,1.79376978484959e-15,1.9657470670442086e-15,6.58899113610753e-16,2.1194623106211908e-15,0.0,-0.38408350944519043,1.5791521072387695,0.4085463285446167,-1.173349380493164
600.0,6.323181769898123,25.5,252.0,8.630491756165767e-16,7.810288762114378e-16,8.05155850779042e-17,1.3006207125775528e-15,1.4367108989072607e-15,0.0,1.682648777961731,-2.909452438354492,0.6787057518959045,-2.0261313915252686
600.0,6.323181769898123,26.5,244.0,1.0057300756365507e-15,5.191045666720121e-16,5.901059269472004e-16,7.025744574324084e-16,7.627618863538346e-16,0.0,1.2442964315414429,2.4698383808135986,0.6803415417671204,-2.02641224861145
600.0,6.323181769898123,27.5,260.0,8.013932768090217e-16,4.385641627085644e-16,5.213501470512748e-16,3.256759506920912e-16,3.792875116357067e-16,0.0,1.9638769626617432,2.4174180030822754,1.8071175813674927,-2.4189839363098145
600.0,6.323181769898123,28.5,280.0,6.055286603386079e-16,4.037809803945776e-16,6.467734094435972e-16,4.240550844651123e-16,3.432385384760011e-16,0.0,2.464869260787964,2.0862488746643066,1.712490439414978,-1.9246795177459717
600.0,6.323181769898123,29.5,300.0,4.982133446301915e-16,6.087296560235968e-16,6.004265860892429e-16,5.335509265489554e-16,2.8754073577573086e-16,0.0,2.2204818725585938,1.8790793418884277,0.9677536487579346,-1.5369329452514648
600.0,6.323181769898123,30.5,284.0,2.7616625154587766e-16,3.9926486012420705e-16,2.956457417591083e-16,3.493836834388866e-16,1.7536255143028517e-16,0.0,2.0300066471099854,2.1671206951141357,1.1172568798065186,-2.467966318130493
600.0,6.323181769898123,31.5,292.0,2.3544350148029186e-16,3.3438019781940306e-16,2.37297843296357e-16,2.4011920336388117e-16,2.3838811298227116e-16,0.0,1.9303667545318604,2.4280903339385986,1.6977167129516602,-2.8143692016601562
