snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.323181769898123,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.323181769898123,1.5,12.0,1.3078608833948235e-14,8.92825545716057e-15,5.40706201306971e-14,4.0072586429419975e-14,1.0043621040260498e-14,0.0,0.6250356435775757,-1.6620327234268188,-0.7070504426956177,-2.51227068901062
600.0,6.323181769898123,2.5,28.0,3.000524091342771e-14,2.7991429204673784e-14,1.585457330592667e-14,4.933414169493861e-14,6.53553151913589e-14,0.0,1.0304981470108032,2.562061309814453,0.5336782336235046,-2.008925676345825
600.0,6.323181769898123,3.5,36.0,3.77015618431651e-14,7.56890956177195e-14,2.7045930258039737e-14,2.7770602092499293e-14,3.435896560193173e-14,0.0,-1.7429474592208862,-0.3357177972793579,0.9949979186058044,-1.6840945482254028
600.0,6.323181769898123,4.5,40.0,8.19706309123161e-14,4.527631107678618e-14,2.7121471541329536e-14,4.558179324131435e-14,2.0861559060857595e-14,0.0,-1.354914903640747,-1.6771026849746704,-1.110671043395996,-2.9453461170196533
600.0,6.323181769898123,5.5,52.0,8.364645510527263e-14,8.861717309636904e-14,2.837606124213172e-14,1.1934615549400598e-14,3.594570986270842e-14,0.0,-1.2127830982208252,-1.3878005743026733,-3.1158478260040283,-2.4037601947784424
600.0,6.323181769898123,6.5,68.0,1.1494413277093884e-13,1.0645533149261976e-13,5.2206541538210845e-14,6.596390660664046e-14,9.077413405073422e-14,0.0,-0.7571220993995667,1.358677864074707,1.5897929668426514,2.883049488067627
600.0,6.323181769898123,7.5,68.0,9.532369874996546e-14,1.3440042407009165e-13,1.492921002719001e-14,2.0632893216000484e-14,5.049792949931244e-14,0.0,-0.854300320148468,3.135110855102539,2.5372540950775146,2.3755531311035156
600.0,6.323181769898123,8.5,84.0,1.1281966571900781e-13,1.6415801953887317e-13,3.575675278958866e-14,1.628368082283485e-14,5.430044669414792e-14,0.0,-0.8834253549575806,-0.7068138718605042,1.9465419054031372,1.1514643430709839
600.0,6.323181769898123,9.5,92.0,6.774258481641662e-14,1.5046698861334622e-13,5.069469682028866e-14,4.168354202186513e-14,1.823149364970806e-14,0.0,-1.0510735511779785,0.8983942270278931,2.7745749950408936,-2.6135940551757812
600.0,6.323181769898123,10.5,100.0,1.151934992706105e-13,1.9249117891214005e-13,7.980180847841226e-14,2.7350719382609266e-14,6.155589491792034e-14,0.0,-1.1251240968704224,0.8811635971069336,-1.906675934791565,3.0301642417907715
600.0,6.323181769898123,11.5,108.0,9.577445580317631e-14,2.007717567591238e-13,7.747008526859029e-14,3.399503979074591e-14,4.5567662687411234e-14,0.0,-1.0728223323822021,0.36761677265167236,-2.688624620437622,-1.7900680303573608
600.0,6.323181769898123,12.5,120.0,1.0056194700742982e-13,2.0138974273631673e-13,1.0511579058080484e-13,4.499755680880046e-14,2.5980705642461586e-14,0.0,-0.9183782339096069,0.8410912156105042,-2.104198932647705,0.06600034236907959
600.0,6.323181769898123,13.5,124.0,9.069876333268542e-14,1.813939817104147e-13,8.270073265136438e-14,4.857421498720382e-14,2.2378529782492104e-14,0.0,-0.9897316694259644,0.9094403982162476,-2.43495512008667,-0.4926668703556061
600.0,6.323181769898123,14.5,156.0,7.24301938955299e-14,1.312312576775813e-13,6.653605222871677e-14,5.497740992526985e-14,2.6887451313491157e-14,0.0,-1.062389850616455,0.5472992658615112,3.0213828086853027,-2.534966468811035
600.0,6.323181769898123,15.5,132.0,5.760968552247572e-14,1.1311030903462574e-13,5.0163799715908754e-14,5.284032746061756e-14,1.253219638144462e-14,0.0,-1.2118488550186157,-0.07544377446174622,2.9757463932037354,2.9103260040283203
600.0,6.323181769898123,16.5,172.0,4.632805030986391e-14,1.2594919970661554e-13,4.8861766320430494e-14,2.646621957789075e-14,5.0127866268341295e-14,0.0,-1.1196030378341675,-0.032802291214466095,-2.267615556716919,-2.3478689193725586
600.0,6.323181769898123,17.5,164.0,4.324245836081521e-14,9.962696330618283e-14,4.782335665511536e-14,4.270900390546687e-14,3.1118320323451775e-14,0.0,-1.3154739141464233,0.23977459967136383,-3.1321327686309814,-2.7722980976104736
600.0,6.323181769898123,18.5,188.0,5.407060229786244e-14,7.703490714942157e-14,4.0418869124952237e-14,2.21322655337485e-14,4.618150693833196e-14,0.0,-1.1530462503433228,-0.48400193452835083,-2.6690351963043213,-2.3026247024536133
