snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.3231816,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.3231816,0.75,35689.0,328.77975,502.62033,811.86383,439.98364,134.4813,0.0,2.928411,2.1303337,0.42235506,1.7790339
600.0,6.3231816,1.25,44081.0,496.7713,84.984085,839.8348,979.7502,330.499,0.0,1.4243501,-2.9754262,-0.4754,2.2769468
600.0,6.3231816,1.75,48197.0,266.36594,1400.8817,1281.045,105.77005,969.66583,0.0,2.7050102,2.9995656,-0.9109361,-1.744078
600.0,6.3231816,2.25,49987.0,305.8224,321.0265,2805.0627,609.5343,858.44196,0.0,0.72603345,1.4889718,-0.6815217,1.7658498
600.0,6.3231816,2.75,51007.0,1380.0691,2745.8455,2643.6094,1550.5841,1016.5729,0.0,2.1881413,-2.6958406,0.62991494,-1.4246666
600.0,6.3231816,3.25,50208.0,697.0982,2247.3608,708.11646,873.7798,1754.9525,0.0,2.4342191,-0.35419583,-1.4226754,2.6392174
600.0,6.3231816,3.75,49314.0,843.6106,1038.305,857.1846,610.3506,1366.3527,0.0,2.3964665,-0.4014225,-2.614614,1.2711363
600.0,6.3231816,4.25,47950.0,343.87088,1855.5217,397.17142,1705.7513,1168.4062,0.0,-1.4248942,2.1724143,-2.48438,-2.3792384
600.0,6.3231816,4.75,45778.0,580.567,2037.6207,2342.9028,722.85223,1189.698,0.0,-3.070741,-2.0476537,2.6142392,-2.4006128
600.0,6.3231816,5.25,44182.0,535.0971,4178.8623,400.10983,996.2139,2644.0247,0.0,2.278415,0.9607271,-2.925034,-2.0925658
600.0,6.3231816,5.75,42468.0,533.54346,881.7786,29.786741,511.6913,2047.2454,0.0,-2.9276345,3.079929,-1.1719356,-2.843256
600.0,6.3231816,6.25,41146.0,863.93475,3036.077,2329.4841,2552.0051,437.276,0.0,-2.8518813,0.806221,-1.7634724,-1.3490632
600.0,6.3231816,6.75,39591.0,3172.5828,1768.2539,2191.075,2572.8418,310.5547,0.0,-1.7647811,0.6794144,-1.446319,-2.8987029
600.0,6.3231816,7.25,38390.0,1772.73,3715.699,1771.1416,671.69696,890.1535,0.0,-1.4215358,-0.4941801,-2.1451783,-1.2589062
600.0,6.3231816,7.75,36475.0,1236.2549,1450.4717,3371.8962,2249.8665,762.8795,0.0,1.7756177,1.6266229,-2.7310286,-0.5983831
600.0,6.3231816,8.25,34820.0,485.78842,2112.1887,1040.1847,2160.168,3112.5325,0.0,-2.3885598,-1.7678082,-0.32989264,-3.0980217
600.0,6.3231816,8.75,33573.0,785.64264,1642.0353,2487.7434,2431.2512,2381.0674,0.0,-1.6570052,1.3459333,1.3898592,2.3816652
600.0,6.3231816,9.25,32753.0,671.38086,2729.3242,999.1821,1855.498,1060.2299,0.0,-0.57391787,2.6107013,-2.582354,1.0761317
600.0,6.3231816,9.75,31156.0,243.47311,1594.2404,2413.9194,1069.0215,1850.3296,0.0,-0.6947079,-0.82695955,3.0702457,2.1140857
600.0,6.3231816,10.25,30873.0,763.1476,317.3035,3133.198,1034.4656,1638.7015,0.0,3.0247948,2.7607117,-0.47440574,0.028259026
600.0,6.3231816,10.75,29728.0,1369.7816,2653.547,624.46356,488.80292,2803.529,0.0,0.28990602,-1.0820497,0.30734095,-2.5377984
600.0,6.3231816,11.25,28784.0,1259.0732,2207.4563,3348.955,3924.2869,1860.7711,0.0,-0.41429213,-0.09956535,0.48243576,-0.86626965
600.0,6.3231816,11.75,28246.0,1016.8124,1137.3546,2106.9026,2298.3118,124.6473,0.0,0.034724142,1.1472547,0.225009,1.1812128
600.0,6.3231816,12.25,27632.0,1043.1829,649.67444,1369.3384,2646.2515,971.41534,0.0,2.0184693,-2.924914,1.6894747,1.140643
600.0,6.3231816,12.75,26859.0,577.716,3627.646,934.2844,2290.3875,2435.4768,0.0,-0.19020332,-0.6148203,-0.3202606,0.6888868
600.0,6.3231816,13.25,25937.0,1377.2864,3221.5928,1490.9548,1490.3566,237.5525,0.0,-0.16555269,-0.4021681,1.7172236,-1.8620424
600.0,6.3231816,13.75,25251.0,1418.9537,1728.2565,914.1109,492.07254,2133.839,0.0,-0.22605895,-0.3859389,-1.8537902,-2.7575192
600.0,6.3231816,14.25,24597.0,253.40605,3865.796,1733.9728,1040.6697,1156.8483,0.0,-0.2609465,-1.6768872,0.6667426,-2.3832326
600.0,6.3231816,14.75,23751.0,940.0904,3088.3167,1984.3019,1841.8245,3046.4492,0.0,-0.8300498,-0.13361095,-1.5735388,-1.576847
600.0,6.3231816,15.25,22990.0,477.8287,2770.011,2462.52,2142.693,3937.0693,0.0,-1.3637624,0.11666096,-2.3074422,-0.5980549
600.0,6.3231816,15.75,22165.0,766.5869,3610.336,3254.8855,741.551,1432.331,0.0,-0.6577759,-0.43437096,-1.3713509,0.53952795
600.0,6.3231816,16.25,21230.0,1898.0363,2902.1812,321.28848,712.18506,1595.1045,0.0,-0.11935087,-1.1615963,-2.3085992,0.6127398
600.0,6.3231816,16.75,20530.0,264.711,2096.3137,3166.6694,1356.5458,135.53877,0.0,-0.31124154,-0.10185375,-2.3384883,-2.672285
600.0,6.3231816,17.25,19654.0,980.2086,2570.2832,1536.9513,176.95412,1360.9464,0.0,-1.4137008,-0.46625587,2.6627858,-1.9756477
600.0,6.3231816,17.75,18002.0,1872.1542,2099.1287,1520.2174,2590.3198,1815.8682,0.0,-0.9116998,-0.7385851,-1.770286,-1.9209644
600.0,6.3231816,18.25,15823.0,1712.137,406.99863,922.95435,860.42755,836.1632,0.0,3.1180923,-2.155634,-1.9224294,-2.8978386
600.0,6.3231816,18.75,13078.0,53.502033,331.5341,986.3849,436.43027,759.75006,0.0,2.0066085,1.2387862,1.0007929,-1.0154309
600.0,6.3231816,19.25,10183.0,217.3938,637.88135,611.0521,1103.4956,576.20953,0.0,2.0340252,-1.2378714,-2.929972,-1.2648107
600.0,6.3231816,19.75,5509.0,207.45216,469.83255,493.27036,235.25311,199.79993,0.0,2.666317,2.0033965,0.54284567,-2.6367097
602.0,6.2968197,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.2968197,0.75,35786.0,74.951126,321.57108,824.4078,633.65607,665.4934,0.0,-2.2497265,-3.080038,0.50144565,-1.6519419
602.0,6.2968197,1.25,43947.0,359.2168,1082.4589,1443.2343,1586.4944,658.69977,0.0,2.8231523,0.25548038,-0.47030747,0.9801197
602.0,6.2968197,1.75,47866.0,670.0838,1528.7085,1741.1207,2087.2202,724.2569,0.0,2.2686305,-1.0902321,-1.1230751,1.0984755
602.0,6.2968197,2.25,50308.0,669.5834,1827.5052,332.15585,347.19833,2138.0942,0.0,2.9355388,2.9706843,2.5434084,0.014208555
602.0,6.2968197,2.75,50872.0,1164.7017,855.1314,1889.4103,1283.363,487.46957,0.0,2.7266438,-1.3819854,-0.05614418,0.80494016
602.0,6.2968197,3.25,50462.0,444.0241,1263.1859,1244.0856,1462.2834,1661.9762,0.0,-2.8226576,-0.47487935,-1.4568359,-1.3160052
602.0,6.2968197,3.75,49729.0,700.00226,705.11865,760.20154,1510.9447,1847.8809,0.0,-2.815987,-0.80664504,2.2172785,-1.4422021
602.0,6.2968197,4.25,47387.0,414.1701,884.29596,680.26044,1112.0725,1267.068,0.0,2.4716322,-1.8561686,2.6445885,0.8520441
602.0,6.2968197,4.75,45972.0,216.13972,671.3201,1061.6056,1718.7291,833.63,0.0,2.0371883,1.5805635,-2.8671272,1.8753422
602.0,6.2968197,5.25,44104.0,1860.2601,2983.7134,850.6781,3005.599,1289.6775,0.0,2.4770489,0.6877753,0.16868964,2.0874362
602.0,6.2968197,5.75,42975.0,396.05267,2344.9636,845.1634,2461.096,227.04027,0.0,2.6301699,-0.88680196,-0.9421309,-0.040251054
602.0,6.2968197,6.25,41209.0,646.40765,765.32837,1180.5118,1204.0194,125.76686,0.0,-1.7427028,2.2395205,-0.9746722,2.031491
602.0,6.2968197,6.75,39551.0,726.2045,1804.2517,138.60475,373.00027,299.73438,0.0,-0.9073339,2.4817908,-0.37746388,2.1356606
602.0,6.2968197,7.25,38515.0,74.49189,1195.2208,654.2706,1266.199,1385.5317,0.0,-2.273418,0.86477137,-0.18521215,-0.5507839
602.0,6.2968197,7.75,36514.0,612.1581,1885.4155,1395.0333,1394.9791,3740.3113,0.0,-0.39623064,0.7890759,0.3478116,-1.5868498
602.0,6.2968197,8.25,34836.0,671.6731,2068.9924,1414.2279,2736.8987,2122.4888,0.0,-0.8154625,-2.7022812,-2.5482063,1.2276406
602.0,6.2968197,8.75,33478.0,931.56573,1141.8809,567.2131,1257.8984,2694.0854,0.0,-1.4010907,1.1913984,-2.715197,-2.341908
602.0,6.2968197,9.25,32224.0,416.02942,1304.8605,783.3069,3258.7917,1957.6873,0.0,-2.0161953,3.0811765,-1.5708281,-0.48266143
602.0,6.2968197,9.75,31245.0,445.39853,1038.0891,1476.999,3102.27,2113.8967,0.0,-0.736883,-0.03015756,2.2897801,1.3856231
