snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.3231816,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.3231816,1.5,13895.0,58717700.0,2104486.2,20081674.0,1361476.5,1961296.4,0.0,0.78967035,1.5589623,-2.8502443,-2.6206567
600.0,6.3231816,2.5,18938.0,88505170.0,4645844.0,27399088.0,1377025.8,5896700.0,0.0,1.1634562,1.805761,2.233427,-3.033654
600.0,6.3231816,3.5,17889.0,91695390.0,2086957.1,15831376.0,2150725.5,4931796.0,0.0,-3.0325034,0.8293229,2.3150558,-2.3310988
600.0,6.3231816,4.5,21147.0,109845360.0,3145577.0,33317948.0,5006828.0,6475434.5,0.0,-1.4777797,0.80210966,-2.6436894,1.4939479
600.0,6.3231816,5.5,31840.0,156864020.0,9235889.0,48634610.0,12216668.0,7923581.5,0.0,-0.421775,1.6296567,0.72776103,2.8432345
600.0,6.3231816,6.5,33708.0,166864430.0,16117003.0,41015224.0,12329285.0,3298009.5,0.0,2.9442735,1.5826128,-2.1091073,2.9634023
600.0,6.3231816,7.5,33694.0,164882080.0,7481657.5,36549460.0,5287119.5,6555990.5,0.0,-0.44840246,1.7958806,-2.1385107,-2.6017199
600.0,6.3231816,8.5,40708.0,201715620.0,19259362.0,45247100.0,8619016.0,3676638.2,0.0,2.306731,2.7780097,-2.6603746,-1.212312
600.0,6.3231816,9.5,42918.0,210492620.0,25462834.0,24055796.0,9763403.0,10341677.0,0.0,2.3926387,-2.3119895,1.5682416,2.4515593
600.0,6.3231816,10.5,44434.0,219235870.0,17653148.0,16432041.0,16134930.0,7405203.5,0.0,-2.625076,-2.0983422,2.1542366,-2.423434
600.0,6.3231816,11.5,45077.0,224028820.0,12529205.0,18295516.0,9866320.0,30590120.0,0.0,1.9430752,-0.7684277,2.887084,-2.8797226
600.0,6.3231816,12.5,40009.0,197615020.0,14177737.0,27026786.0,12435681.0,4465815.0,0.0,0.5144769,0.18226019,2.145664,0.03662205
600.0,6.3231816,13.5,36041.0,176488220.0,27762720.0,44321696.0,5966341.0,12103859.0,0.0,-0.7247003,0.914542,0.5420566,-1.3690741
600.0,6.3231816,14.5,30952.0,148070160.0,41843384.0,36440376.0,19196240.0,9238133.0,0.0,-0.4570447,0.77954257,1.0703924,2.7151108
600.0,6.3231816,15.5,27554.0,137692620.0,59478220.0,41782820.0,38242000.0,24559738.0,0.0,-0.2094509,0.45559013,0.6617287,1.6014869
600.0,6.3231816,16.5,21322.0,103326184.0,44464780.0,24791776.0,28274860.0,7899407.5,0.0,-0.45769325,0.5641571,0.4695583,1.1682067
600.0,6.3231816,17.5,15246.0,73358540.0,38015156.0,15093340.0,21317884.0,2235926.5,0.0,-0.55635804,0.8826772,0.6767576,0.469595
600.0,6.3231816,18.5,11048.0,55052500.0,42782010.0,12410523.0,5585812.5,5892443.0,0.0,-0.7171222,-1.5566882,1.5540653,2.130413
600.0,6.3231816,19.5,7816.0,37910980.0,35777120.0,19748936.0,2915294.8,2728392.0,0.0,-0.66985697,-1.1327455,-2.0984998,0.8535864
600.0,6.3231816,20.5,5506.0,27892746.0,34761296.0,23255020.0,11733380.0,7031257.5,0.0,-0.7127776,-1.3064011,-2.0919743,-2.9549549
600.0,6.3231816,21.5,3678.0,18030310.0,24485194.0,17625154.0,12554278.0,9552140.0,0.0,-0.71925867,-1.3659106,-2.1746774,-2.8554053
602.0,6.2968197,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.2968197,1.5,14120.0,59958412.0,2143629.5,19496072.0,2488997.2,3699032.8,0.0,-1.4134134,1.5201082,0.36932078,2.427485
602.0,6.2968197,2.5,18589.0,85847544.0,3381479.2,33654788.0,2266294.2,8454162.0,0.0,-1.6843294,1.7531883,0.00920769,2.97253
602.0,6.2968197,3.5,18621.0,95029576.0,2872430.5,5126951.5,4909067.5,353844.94,0.0,1.771469,1.6119759,-0.68363833,1.0785743
602.0,6.2968197,4.5,20992.0,109283630.0,3538139.2,29473902.0,1934153.5,7100366.0,0.0,-1.753805,0.48385164,0.18507333,-0.11621405
602.0,6.2968197,5.5,33182.0,164453580.0,2525942.8,59859436.0,9561002.0,16432016.0,0.0,-2.9935753,1.1650016,-1.6508706,2.0511692
602.0,6.2968197,6.5,34344.0,168769620.0,11326959.0,43746904.0,8304403.0,13919161.0,0.0,2.588748,1.208631,0.879506,2.9806345
602.0,6.2968197,7.5,34334.0,169978820.0,13427632.0,36360280.0,10491239.0,5079077.5,0.0,-0.52199906,1.6895071,2.2843776,1.7985727
602.0,6.2968197,8.5,40453.0,200123860.0,14026749.0,41863384.0,8405864.0,3918536.0,0.0,2.9860907,2.143111,1.1689987,-1.2716396
602.0,6.2968197,9.5,41400.0,203460240.0,36621320.0,34152536.0,11298972.0,15734748.0,0.0,2.401134,-2.9391348,0.12899005,1.049002
602.0,6.2968197,10.5,43496.0,215890000.0,30332614.0,20565420.0,26442040.0,3484887.0,0.0,2.9405015,-2.6550736,0.07309362,-0.61550945
602.0,6.2968197,11.5,42979.0,215073440.0,8619943.0,9041446.0,11233486.0,10398269.0,0.0,2.1898632,-1.7589003,1.3838141,1.9066124
602.0,6.2968197,12.5,42384.0,206409420.0,17039892.0,16872500.0,1395016.9,6325775.5,0.0,1.436657,0.1437194,-1.9823217,2.020822
602.0,6.2968197,13.5,36674.0,180621170.0,15392008.0,29609478.0,21362710.0,1909750.2,0.0,-0.5369373,0.59573996,-1.0791895,-0.55346364
602.0,6.2968197,14.5,30311.0,145548960.0,40471148.0,26525198.0,16709542.0,5846229.5,0.0,-0.3352416,0.60342586,-0.32753837,-1.2009817
602.0,6.2968197,15.5,27416.0,132481064.0,60917340.0,33591310.0,30123184.0,24604494.0,0.0,-0.47645634,0.37747028,0.23006308,1.2314047
602.0,6.2968197,16.5,22356.0,112091720.0,59040692.0,34824676.0,40091028.0,24401812.0,0.0,-0.42377788,0.32835984,0.20580639,0.38471532
602.0,6.2968197,17.5,15528.0,73954310.0,35173270.0,16106344.0,18648504.0,1613326.8,0.0,-0.64755297,1.2258798,0.23181309,0.4881681
602.0,6.2968197,18.5,10313.0,49165804.0,31684334.0,2141060.5,9883789.0,4010114.5,0.0,-0.6948683,2.7429025,1.1905205,0.4953944
602.0,6.2968197,19.5,6796.0,33396020.0,30338164.0,13201907.0,1521095.6,3040798.5,0.0,-0.6283659,-1.4641886,2.5277522,0.9589399
602.0,6.2968197,20.5,5369.0,26048870.0,32280108.0,20049226.0,8385004.0,4222294.5,0.0,-0.7064095,-1.3842118,-2.192141,2.824886
602.0,6.2968197,21.5,4278.0,20982284.0,30511560.0,21417314.0,14176782.0,9907494.0,0.0,-0.7068075,-1.4714308,-2.4022908,3.0975945
604.0,6.2570214,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604.0,6.2570214,1.5,14313.0,60873380.0,1141352.8,18139964.0,2408046.2,2844110.2,0.0,2.039483,1.5025529,-2.7411656,2.6801696
604.0,6.2570214,2.5,18203.0,84578500.0,1949799.5,36180756.0,944924.1,8979251.0,0.0,1.614,1.5824122,-2.1450553,-3.094003
604.0,6.2570214,3.5,18785.0,97524090.0,1656649.8,27757196.0,5242454.0,9625660.0,0.0,-0.2887855,2.261199,-2.0241055,-2.4362414
604.0,6.2570214,4.5,21177.0,109117110.0,7154695.5,13647960.0,2896672.8,6912158.0,0.0,1.0740976,-1.173925,1.7593275,2.8561604
604.0,6.2570214,5.5,32433.0,159686830.0,9452897.0,35810030.0,412324.03,9599368.0,0.0,2.0389404,0.19612435,0.40395632,0.47997501
604.0,6.2570214,6.5,36411.0,178995860.0,6115182.5,53346970.0,1143353.9,4828752.0,0.0,-1.8508177,0.4966316,2.3602676,1.1050622
604.0,6.2570214,7.5,35541.0,175553700.0,13364100.0,39706540.0,2622761.2,14400763.0,0.0,-1.5233179,0.87679756,-2.9312367,2.1827214
604.0,6.2570214,8.5,40289.0,200704030.0,28570126.0,32640830.0,13230869.0,4975235.5,0.0,-2.6918454,1.8042489,-2.2659059,-2.752505
604.0,6.2570214,9.5,40543.0,200389200.0,34881836.0,25224820.0,20512194.0,9058008.0,0.0,2.4983044,1.8626093,-1.8902254,-1.8940253
604.0,6.2570214,10.5,41985.0,208281090.0,33416146.0,22541104.0,35914096.0,3967416.0,0.0,2.3324754,2.7752662,-1.4987141,1.1069567
