snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.3231816,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.3231816,1.5,13895.0,8564.642,37778.543,14502.993,14221.609,14984.054,0.0,-3.125034,1.530942,-0.7988038,-0.06918368
600.0,6.3231816,2.5,18938.0,1197.0461,1423.8806,14516.785,11092.95,4744.9634,0.0,-1.1072731,1.1010306,-1.537476,2.055306
600.0,6.3231816,3.5,17889.0,1057.4868,4554.797,26184.717,28153.236,23674.492,0.0,-0.058327053,-1.5740206,-1.4880273,-1.9982265
600.0,6.3231816,4.5,21147.0,6019.8784,32690.797,17373.135,21867.3,7702.376,0.0,-2.095139,0.17027803,0.83353466,-1.9526656
600.0,6.3231816,5.5,31840.0,6394.9844,56272.023,19411.453,41319.18,27874.775,0.0,-2.7296293,-2.0723379,1.2047008,-1.3417494
600.0,6.3231816,6.5,33708.0,33024.062,39479.234,26669.604,38301.355,32966.45,0.0,-0.829616,0.19094655,-1.0142052,1.0159653
600.0,6.3231816,7.5,33694.0,42907.273,64791.684,54904.5,40377.223,8795.701,0.0,1.9397801,0.4596581,0.79869205,-1.2008785
600.0,6.3231816,8.5,40708.0,22839.318,255360.62,39451.793,48389.203,37807.26,0.0,1.3794963,-2.5908647,2.133617,-1.6771206
600.0,6.3231816,9.5,42918.0,19585.996,377355.4,70374.305,52247.43,43580.113,0.0,0.92612255,-2.0362768,-2.2192202,-2.2775922
600.0,6.3231816,10.5,44434.0,8402.767,517045.7,31323.596,136705.25,86027.98,0.0,0.41432592,-1.9527363,-1.5270654,2.8155313
600.0,6.3231816,11.5,45077.0,31479.244,657163.5,78175.31,90653.586,74176.914,0.0,0.27907217,2.5367386,-1.5770094,2.5910578
600.0,6.3231816,12.5,40009.0,63680.426,652025.8,114985.17,49821.977,90777.13,0.0,0.16556014,1.5159867,-2.6075115,2.7481031
600.0,6.3231816,13.5,36041.0,38280.76,667730.44,154010.92,31640.465,30408.562,0.0,0.38024503,0.7069248,2.3593462,-3.0955133
600.0,6.3231816,14.5,30952.0,41839.773,618534.56,217121.89,30196.498,53328.242,0.0,0.41871798,0.5943506,-0.6442903,-2.6735108
600.0,6.3231816,15.5,27554.0,83089.51,618124.25,280559.62,132008.6,11918.511,0.0,0.29610318,0.3489379,-0.19759747,-1.8421103
600.0,6.3231816,16.5,21322.0,66671.19,524645.44,270996.4,95635.62,71682.39,0.0,0.11117851,-0.15475021,-0.46889347,0.93354076
600.0,6.3231816,17.5,15246.0,70417.48,388442.3,161744.22,27382.336,54316.62,0.0,-0.009158064,-0.325152,-0.9268144,0.4283964
