snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.3231816,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.3231816,1.5,13895.0,1834457.0,161838.4,209768.45,13435.556,95479.95,0.0,-3.1170995,1.6804347,1.3314465,2.429811
600.0,6.3231816,2.5,18938.0,3521778.5,178647.08,418939.28,80111.97,41245.676,0.0,-2.7543287,0.10598219,-1.3865556,2.4946928
600.0,6.3231816,3.5,17889.0,3819637.0,24592.477,590035.0,63268.234,224047.27,0.0,0.7197298,2.4394445,-1.0882022,1.3311372
600.0,6.3231816,4.5,21147.0,4712110.5,202595.7,945882.1,75060.81,328065.56,0.0,1.2662307,3.1215925,1.1155584,-2.3583145
600.0,6.3231816,5.5,31840.0,7283568.5,573046.9,945288.44,478134.03,160470.9,0.0,2.8477871,-1.5297493,-2.4005685,-1.0481812
600.0,6.3231816,6.5,33708.0,7979931.0,627330.56,1367098.4,510087.78,157167.73,0.0,-0.2638561,-1.727991,0.8636457,1.0088832
600.0,6.3231816,7.5,33694.0,7995879.5,300847.47,1235511.6,236470.03,170830.25,0.0,2.7868514,-1.4073396,0.95650053,0.53117144
600.0,6.3231816,8.5,40708.0,9549905.0,1032216.7,1631844.6,340358.16,59086.99,0.0,-0.6950011,-0.15127356,0.46109453,-1.6237643
600.0,6.3231816,9.5,42918.0,9883291.0,1202918.8,1455512.9,364774.22,561848.6,0.0,-0.7807295,1.0242422,-1.6827586,-0.36635992
600.0,6.3231816,10.5,44434.0,10022034.0,667919.7,1275132.4,413717.38,511831.56,0.0,0.25048,1.5362636,-1.1125681,0.5653557
600.0,6.3231816,11.5,45077.0,9989701.0,745657.75,1289309.0,106836.125,1222669.9,0.0,-0.9914599,2.0509224,-0.31664228,0.38969463
600.0,6.3231816,12.5,40009.0,8621829.0,433718.7,1078830.0,604036.5,209865.77,0.0,-2.4174407,2.9505262,-1.10325,-2.2354236
600.0,6.3231816,13.5,36041.0,7581691.0,836984.2,1654803.5,192825.12,505924.44,0.0,2.2643816,-2.3314078,-2.530103,1.7323403
600.0,6.3231816,14.5,30952.0,6339065.5,1467145.8,1298738.9,655557.44,445995.84,0.0,2.5990303,-2.3004565,-1.8451105,-0.31752062
600.0,6.3231816,15.5,27554.0,5507044.5,1834391.8,926431.3,1007899.25,575477.2,0.0,2.7357972,-2.9453592,-2.5860956,-1.4190621
600.0,6.3231816,16.5,21322.0,4105576.0,1757573.6,585651.25,813764.7,62593.03,0.0,2.521791,-3.020234,-2.8412888,-1.0644164
